,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KGACANTO15,43.9,16.1,50,0.3,29.27,2020-03-01,102.12
1,2020-03-02,KGACANTO15,46.4,29.2,81,0.0,29.14,2020-03-02,104.48
2,2020-03-03,KGACANTO15,59.3,47.4,92,0.6,28.92,2020-03-03,109.1
3,2020-03-04,KGACANTO15,53.7,49.4,95,0.2,29.06,2020-03-04,110.03
4,2020-03-05,KGACANTO15,47.9,40.2,97,0.2,29.07,2020-03-05,113.29
5,2020-03-06,KGACANTO15,45.8,21.6,63,1.5,29.33,2020-03-06,140.55
6,2020-03-07,KGACANTO15,43.9,18.2,47,0.7,29.44,2020-03-07,140.66
7,2020-03-08,KGACANTO15,49.3,21.2,48,0.4,29.56,2020-03-08,97.7
8,2020-03-09,KGACANTO15,55.0,25.2,52,0.6,29.54,2020-03-09,113.24
9,2020-03-10,KGACANTO15,58.4,41.1,78,0.6,29.38,2020-03-10,111.75
10,2020-03-11,KGACANTO15,61.8,49.1,77,0.5,29.21,2020-03-11,114.74
11,2020-03-12,KGACANTO15,62.7,50.0,86,0.4,29.02,2020-03-12,106.17
12,2020-03-13,KGACANTO15,64.7,54.5,85,0.5,29.22,2020-03-13,112.37
13,2020-03-14,KGACANTO15,58.6,49.4,85,0.2,29.31,2020-03-14,102.38
14,2020-03-15,KGACANTO15,56.9,48.4,92,0.4,29.29,2020-03-15,68.77
15,2020-03-16,KGACANTO15,51.9,47.9,91,0.4,29.34,2020-03-16,83.83
16,2020-03-17,KGACANTO15,55.9,47.3,85,0.3,29.27,2020-03-17,80.63
17,2020-03-18,KGACANTO15,63.6,51.1,87,0.3,29.28,2020-03-18,77.53
18,2020-03-19,KGACANTO15,67.9,52.8,76,0.7,29.26,2020-03-19,81.21
19,2020-03-20,KGACANTO15,64.8,51.3,78,0.5,29.26,2020-03-20,83.65
20,2020-03-21,KGACANTO15,61.9,39.1,81,0.7,29.29,2020-03-21,74.57
21,2020-03-22,KGACANTO15,53.5,36.1,71,0.9,29.29,2020-03-22,52.41
22,2020-03-23,KGACANTO15,50.8,43.4,95,0.2,29.28,2020-03-23,61.13
23,2020-03-24,KGACANTO15,55.7,51.7,97,0.2,29.08,2020-03-24,63.15
