,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KGACHATS32,45.9,23.4,61,1.6,30.29,2020-03-01,132.91
1,2020-03-02,KGACHATS32,51.9,36.5,84,3.8,30.12,2020-03-02,121.91
2,2020-03-03,KGACHATS32,60.3,48.6,86,1.7,29.94,2020-03-03,108.51
3,2020-03-04,KGACHATS32,53.6,43.9,82,0.6,30.07,2020-03-04,108.15
4,2020-03-05,KGACHATS32,49.8,43.7,97,0.4,30.09,2020-03-05,116.35
5,2020-03-06,KGACHATS32,45.1,27.0,71,1.4,30.4,2020-03-06,157.21
6,2020-03-07,KGACHATS32,43.1,25.9,61,1.3,30.5,2020-03-07,155.53
7,2020-03-08,KGACHATS32,49.7,28.8,56,2.3,30.57,2020-03-08,116.3
8,2020-03-09,KGACHATS32,58.6,29.3,60,3.2,30.53,2020-03-09,113.19
9,2020-03-10,KGACHATS32,58.0,48.0,88,2.6,30.36,2020-03-10,114.11
10,2020-03-11,KGACHATS32,62.1,55.0,88,1.8,30.21,2020-03-11,122.52
11,2020-03-12,KGACHATS32,62.9,55.4,91,2.4,30.03,2020-03-12,109.48
12,2020-03-13,KGACHATS32,63.6,46.9,78,1.2,30.27,2020-03-13,146.36
13,2020-03-14,KGACHATS32,55.4,42.3,83,0.3,30.33,2020-03-14,134.79
14,2020-03-15,KGACHATS32,55.1,49.3,95,0.8,30.34,2020-03-15,99.08
15,2020-03-16,KGACHATS32,51.4,45.7,92,1.4,30.35,2020-03-16,101.53
16,2020-03-17,KGACHATS32,56.4,50.0,94,1.1,30.28,2020-03-17,100.36
17,2020-03-18,KGACHATS32,61.4,52.3,91,2.0,30.27,2020-03-18,104.64
18,2020-03-19,KGACHATS32,68.2,57.9,82,1.9,30.25,2020-03-19,112.58
19,2020-03-20,KGACHATS32,67.2,59.9,85,2.6,30.28,2020-03-20,113.81
20,2020-03-21,KGACHATS32,58.1,42.8,88,0.9,30.36,2020-03-21,110.29
21,2020-03-22,KGACHATS32,52.8,41.7,82,2.4,30.34,2020-03-22,80.95
22,2020-03-23,KGACHATS32,54.6,46.6,95,2.4,30.25,2020-03-23,76.21
23,2020-03-24,KGACHATS32,59.3,54.9,95,1.8,30.1,2020-03-24,75.29
24,2020-03-25,KGACHATS32,58.7,50.0,88,0.6,29.99,2020-03-25,95.52
25,2020-03-26,KGACHATS32,60.6,42.8,78,2.8,30.06,2020-03-26,105.2
26,2020-03-27,KGACHATS32,72.0,55.0,68,2.3,29.99,2020-03-27,130.01
27,2020-03-28,KGACHATS32,72.6,60.1,77,2.0,30.02,2020-03-28,127.25
28,2020-03-29,KGACHATS32,70.9,40.5,62,1.3,30.15,2020-03-29,100.66
29,2020-03-30,KGACHATS32,62.9,40.5,53,0.6,30.23,2020-03-30,96.94
30,2020-03-31,KGACHATS32,52.3,41.5,82,0.8,29.98,2020-03-31,83.04
31,2020-04-01,KGACHATS32,47.5,37.8,76,0.8,30.06,2020-04-01,96.28
32,2020-04-02,KGACHATS32,50.9,36.3,72,0.6,30.15,2020-04-02,86.09
33,2020-04-03,KGACHATS32,56.7,37.2,64,0.5,30.09,2020-04-03,93.63
34,2020-04-04,KGACHATS32,63.4,42.4,61,0.3,30.04,2020-04-04,81.97
35,2020-04-05,KGACHATS32,64.8,44.1,67,0.4,30.07,2020-04-05,83.19
36,2020-04-06,KGACHATS32,66.0,49.1,72,0.3,30.14,2020-04-06,99.59
37,2020-04-07,KGACHATS32,67.1,53.4,76,1.4,30.1,2020-04-07,94.24
38,2020-04-08,KGACHATS32,69.2,57.2,83,1.1,29.97,2020-04-08,103.26
