,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KGACHULA2,50.8,27.5,64,0.6,30.13,2020-03-01,176.68
1,2020-03-02,KGACHULA2,60.0,37.9,68,2.7,30.03,2020-03-02,126.68
2,2020-03-03,KGACHULA2,68.4,55.9,82,2.2,29.79,2020-03-03,123.12
3,2020-03-04,KGACHULA2,61.1,54.7,98,0.6,29.87,2020-03-04,112.13
4,2020-03-05,KGACHULA2,54.4,50.7,98,0.4,29.86,2020-03-05,140.01
5,2020-03-06,KGACHULA2,55.6,23.2,62,0.9,30.12,2020-03-06,221.98
6,2020-03-07,KGACHULA2,47.9,28.0,57,0.4,30.27,2020-03-07,221.98
7,2020-03-08,KGACHULA2,51.9,35.1,73,0.6,30.39,2020-03-08,187.33
8,2020-03-09,KGACHULA2,59.4,44.8,75,1.0,30.37,2020-03-09,132.57
9,2020-03-10,KGACHULA2,65.8,54.5,74,1.2,30.25,2020-03-10,109.05
10,2020-03-11,KGACHULA2,65.7,55.6,83,0.5,30.07,2020-03-11,128.22
11,2020-03-12,KGACHULA2,67.5,57.2,82,0.8,29.91,2020-03-12,158.58
12,2020-03-13,KGACHULA2,70.5,59.0,76,0.6,30.04,2020-03-13,263.94
13,2020-03-14,KGACHULA2,70.4,57.7,76,0.4,30.09,2020-03-14,271.72
14,2020-03-15,KGACHULA2,71.7,57.2,70,0.2,30.09,2020-03-15,218.7
15,2020-03-16,KGACHULA2,65.6,57.7,83,0.6,30.13,2020-03-16,157.1
16,2020-03-17,KGACHULA2,68.9,59.4,84,1.0,30.07,2020-03-17,148.66
17,2020-03-18,KGACHULA2,72.6,61.9,79,1.0,30.09,2020-03-18,153.49
18,2020-03-19,KGACHULA2,72.9,59.0,76,1.4,30.1,2020-03-19,174.46
19,2020-03-20,KGACHULA2,73.0,59.0,74,1.0,30.14,2020-03-20,202.48
20,2020-03-21,KGACHULA2,69.9,62.1,86,0.3,30.09,2020-03-21,187.67
21,2020-03-22,KGACHULA2,67.4,55.4,79,0.5,30.07,2020-03-22,128.22
22,2020-03-23,KGACHULA2,67.7,59.7,85,1.4,30.07,2020-03-23,108.38
23,2020-03-24,KGACHULA2,72.4,57.4,76,1.8,29.93,2020-03-24,95.11
24,2020-03-25,KGACHULA2,75.4,61.2,72,1.0,29.73,2020-03-25,97.39
25,2020-03-26,KGACHULA2,70.7,55.4,72,0.6,29.86,2020-03-26,98.46
26,2020-03-27,KGACHULA2,73.9,63.5,78,1.5,29.85,2020-03-27,103.62
27,2020-03-28,KGACHULA2,74.8,63.5,76,1.6,29.86,2020-03-28,97.12
28,2020-03-29,KGACHULA2,76.2,65.8,79,1.2,29.96,2020-03-29,74.33
29,2020-03-30,KGACHULA2,71.8,42.6,60,0.1,29.98,2020-03-30,83.51
30,2020-03-31,KGACHULA2,65.8,48.9,79,1.1,29.79,2020-03-31,76.27
31,2020-04-01,KGACHULA2,56.2,38.8,64,0.6,29.83,2020-04-01,75.4
32,2020-04-02,KGACHULA2,56.1,41.2,69,0.2,29.9,2020-04-02,80.63
33,2020-04-03,KGACHULA2,62.1,36.7,65,0.3,29.86,2020-04-03,73.59
34,2020-04-04,KGACHULA2,68.3,45.9,58,0.1,29.81,2020-04-04,65.95
35,2020-04-05,KGACHULA2,68.0,53.1,75,0.4,29.9,2020-04-05,55.16
36,2020-04-06,KGACHULA2,68.2,53.6,74,0.5,29.96,2020-04-06,50.74
37,2020-04-07,KGACHULA2,70.2,55.8,78,0.4,29.93,2020-04-07,55.56
38,2020-04-08,KGACHULA2,72.7,63.9,86,0.6,29.78,2020-04-08,62.47
39,2020-04-09,KGACHULA2,76.7,60.8,77,0.3,29.63,2020-04-09,66.35
40,2020-04-10,KGACHULA2,63.6,26.1,52,0.5,29.82,2020-04-10,70.71
41,2020-04-11,KGACHULA2,57.6,31.5,55,0.6,29.93,2020-04-11,65.95
42,2020-04-12,KGACHULA2,68.9,45.7,82,3.0,29.84,2020-04-12,46.72
43,2020-04-13,KGACHULA2,74.2,48.7,70,2.0,29.83,2020-04-13,66.76
44,2020-04-14,KGACHULA2,68.8,55.9,83,0.6,29.87,2020-04-14,72.18
45,2020-04-15,KGACHULA2,62.6,34.3,65,0.3,29.89,2020-04-15,69.37
46,2020-04-16,KGACHULA2,59.8,28.9,50,0.3,30.07,2020-04-16,73.39
47,2020-04-17,KGACHULA2,63.4,46.6,70,0.9,30.08,2020-04-17,83.65
48,2020-04-18,KGACHULA2,71.4,57.2,78,0.6,29.86,2020-04-18,76.01
49,2020-04-19,KGACHULA2,63.0,48.7,87,0.4,29.79,2020-04-19,62.13
50,2020-04-20,KGACHULA2,67.4,59.2,84,0.5,29.69,2020-04-20,75.4
51,2020-04-21,KGACHULA2,67.6,45.1,66,0.3,29.81,2020-04-21,72.32
52,2020-04-22,KGACHULA2,65.9,37.2,59,0.3,29.94,2020-04-22,87.6
53,2020-04-23,KGACHULA2,63.3,49.5,85,1.5,29.87,2020-04-23,76.41
54,2020-04-24,KGACHULA2,69.1,57.4,81,1.2,29.67,2020-04-24,109.92
55,2020-04-25,KGACHULA2,70.6,56.1,75,1.6,29.74,2020-04-25,91.76
56,2020-04-26,KGACHULA2,68.4,37.6,54,0.6,29.92,2020-04-26,87.13
57,2020-04-27,KGACHULA2,63.0,41.5,57,0.3,30.01,2020-04-27,78.42
58,2020-04-28,KGACHULA2,67.1,42.8,60,0.8,30.04,2020-04-28,87.47
59,2020-04-29,KGACHULA2,70.0,51.4,75,4.2,29.87,2020-04-29,90.55
60,2020-04-30,KGACHULA2,63.2,51.1,80,0.8,29.77,2020-04-30,102.21
61,2020-05-01,KGACHULA2,63.9,43.3,65,0.4,29.91,2020-05-01,136.13
62,2020-05-02,KGACHULA2,67.8,45.5,63,0.3,30.01,2020-05-02,125.4
63,2020-05-03,KGACHULA2,71.4,52.2,65,0.6,29.96,2020-05-03,116.15
64,2020-05-04,KGACHULA2,73.6,60.1,71,0.6,29.85,2020-05-04,96.38
65,2020-05-05,KGACHULA2,75.6,61.9,74,0.8,29.78,2020-05-05,106.03
66,2020-05-06,KGACHULA2,72.5,38.5,53,0.8,29.84,2020-05-06,109.18
67,2020-05-07,KGACHULA2,60.4,34.0,51,0.5,29.98,2020-05-07,130.09
68,2020-05-08,KGACHULA2,65.0,41.0,65,2.2,29.92,2020-05-08,157.57
69,2020-05-09,KGACHULA2,64.3,41.4,57,0.4,30.0,2020-05-09,140.42
70,2020-05-10,KGACHULA2,64.7,45.3,64,0.2,30.04,2020-05-10,120.17
71,2020-05-11,KGACHULA2,65.9,37.2,58,0.4,29.99,2020-05-11,120.17
72,2020-05-12,KGACHULA2,63.5,39.2,55,0.2,30.09,2020-05-12,120.17
73,2020-05-13,KGACHULA2,70.3,50.9,67,1.2,30.07,2020-05-13,105.23
74,2020-05-14,KGACHULA2,72.4,56.7,69,1.7,30.08,2020-05-14,135.39
75,2020-05-15,KGACHULA2,72.8,58.3,71,0.8,29.99,2020-05-15,166.55
76,2020-05-16,KGACHULA2,75.3,61.3,72,0.4,29.86,2020-05-16,158.45
77,2020-05-17,KGACHULA2,76.3,62.4,76,0.3,29.82,2020-05-17,156.1
78,2020-05-18,KGACHULA2,74.5,64.6,85,2.5,29.75,2020-05-18,139.41
79,2020-05-19,KGACHULA2,75.8,58.8,70,1.2,29.67,2020-05-19,126.94
80,2020-05-20,KGACHULA2,70.2,60.1,87,1.1,29.75,2020-05-20,138.54
81,2020-05-21,KGACHULA2,69.6,59.0,86,0.2,29.89,2020-05-21,190.48
82,2020-05-22,KGACHULA2,75.7,63.3,82,1.0,29.96,2020-05-22,241.09
83,2020-05-23,KGACHULA2,76.5,64.2,80,0.4,29.95,2020-05-23,202.95
84,2020-05-24,KGACHULA2,81.0,64.4,70,0.7,29.95,2020-05-24,170.84
85,2020-05-25,KGACHULA2,77.6,65.5,80,0.5,29.96,2020-05-25,195.11
86,2020-05-26,KGACHULA2,73.3,69.1,94,0.1,29.97,2020-05-26,165.35
87,2020-05-27,KGACHULA2,74.9,69.3,91,0.1,29.97,2020-05-27,150.07
88,2020-05-28,KGACHULA2,77.5,69.4,85,0.9,30.04,2020-05-28,170.04
89,2020-05-29,KGACHULA2,76.1,68.7,88,0.7,30.07,2020-05-29,208.65
90,2020-05-30,KGACHULA2,78.7,68.5,82,0.2,30.04,2020-05-30,207.84
91,2020-05-31,KGACHULA2,79.1,61.2,69,0.2,30.04,2020-05-31,184.65
92,2020-06-01,KGACHULA2,77.5,59.5,71,0.7,30.18,2020-06-01,162.2
93,2020-06-02,KGACHULA2,75.9,61.9,70,0.6,30.2,2020-06-02,134.72
94,2020-06-03,KGACHULA2,75.8,62.8,78,0.9,30.12,2020-06-03,153.02
95,2020-06-04,KGACHULA2,77.3,65.5,79,0.5,30.01,2020-06-04,168.7
96,2020-06-05,KGACHULA2,80.0,68.4,75,1.3,30.03,2020-06-05,199.13
97,2020-06-06,KGACHULA2,75.6,68.9,87,1.2,30.03,2020-06-06,226.61
98,2020-06-07,KGACHULA2,74.2,71.2,95,1.1,29.96,2020-06-07,196.51
99,2020-06-08,KGACHULA2,79.8,72.5,86,2.4,29.95,2020-06-08,171.85
100,2020-06-09,KGACHULA2,78.4,72.5,91,1.3,30.02,2020-06-09,137.94
101,2020-06-10,KGACHULA2,79.8,71.2,84,1.6,30.04,2020-06-10,155.36
102,2020-06-11,KGACHULA2,81.6,72.1,80,0.2,30.08,2020-06-11,195.24
103,2020-06-12,KGACHULA2,77.1,67.5,85,0.2,30.07,2020-06-12,228.62
104,2020-06-13,KGACHULA2,76.4,64.0,80,0.1,30.06,2020-06-13,265.21
105,2020-06-14,KGACHULA2,76.2,58.5,72,0.2,30.14,2020-06-14,247.65
106,2020-06-15,KGACHULA2,74.3,62.1,74,0.1,30.15,2020-06-15,187.73
107,2020-06-16,KGACHULA2,68.7,57.9,77,0.2,30.16,2020-06-16,159.65
108,2020-06-17,KGACHULA2,69.8,57.0,76,0.2,30.12,2020-06-17,168.03
109,2020-06-18,KGACHULA2,75.9,61.5,72,0.3,30.07,2020-06-18,198.19
110,2020-06-19,KGACHULA2,78.9,61.0,71,0.0,30.09,2020-06-19,266.29
111,2020-06-20,KGACHULA2,79.4,66.9,76,0.3,30.07,2020-06-20,274.6
112,2020-06-21,KGACHULA2,81.7,67.8,73,0.7,30.04,2020-06-21,238.34
113,2020-06-22,KGACHULA2,79.5,68.0,78,1.0,30.07,2020-06-22,203.15
114,2020-06-23,KGACHULA2,77.0,67.3,85,0.9,30.01,2020-06-23,165.08
115,2020-06-24,KGACHULA2,76.5,68.9,87,0.4,30.03,2020-06-24,176.41
116,2020-06-25,KGACHULA2,77.4,69.6,88,0.6,30.16,2020-06-25,215.68
117,2020-06-26,KGACHULA2,79.4,69.6,82,0.1,30.2,2020-06-26,266.35
118,2020-06-27,KGACHULA2,82.2,68.2,74,0.5,30.16,2020-06-27,304.96
119,2020-06-28,KGACHULA2,83.2,68.4,72,0.5,30.04,2020-06-28,296.51
120,2020-06-29,KGACHULA2,84.3,71.8,75,0.3,30.05,2020-06-29,213.54
121,2020-06-30,KGACHULA2,79.5,70.9,85,0.2,29.99,2020-06-30,176.07
