,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KGACLARK10,41.5,20.5,65,0.2,30.34,2020-03-01,121.96
1,2020-03-02,KGACLARK10,42.7,30.7,91,0.0,30.21,2020-03-02,109.59
2,2020-03-03,KGACLARK10,53.8,46.3,95,0.1,29.97,2020-03-03,108.55
3,2020-03-04,KGACLARK10,52.3,45.3,87,0.1,30.07,2020-03-04,109.94
4,2020-03-05,KGACLARK10,47.1,39.1,97,0.0,30.13,2020-03-05,113.48
5,2020-03-06,KGACLARK10,41.8,25.4,72,1.1,30.33,2020-03-06,155.3
6,2020-03-07,KGACLARK10,40.5,24.1,67,0.2,30.53,2020-03-07,153.27
7,2020-03-08,KGACLARK10,41.8,25.9,70,0.2,30.65,2020-03-08,123.83
8,2020-03-09,KGACLARK10,47.0,28.4,78,0.2,30.63,2020-03-09,114.57
9,2020-03-10,KGACLARK10,53.3,45.9,93,0.0,30.45,2020-03-10,116.77
10,2020-03-11,KGACLARK10,59.8,49.2,82,0.3,30.23,2020-03-11,116.58
11,2020-03-12,KGACLARK10,58.0,45.4,91,0.1,30.04,2020-03-12,114.76
12,2020-03-13,KGACLARK10,64.9,53.5,80,0.1,30.2,2020-03-13,127.82
13,2020-03-14,KGACLARK10,54.8,45.3,88,0.0,30.35,2020-03-14,122.29
14,2020-03-15,KGACLARK10,58.4,49.2,89,0.1,30.32,2020-03-15,94.38
15,2020-03-16,KGACLARK10,50.9,44.3,85,0.1,30.39,2020-03-16,100.12
16,2020-03-17,KGACLARK10,55.0,45.8,91,0.1,30.31,2020-03-17,85.74
17,2020-03-18,KGACLARK10,54.9,44.8,95,0.1,30.35,2020-03-18,88.78
18,2020-03-19,KGACLARK10,64.8,54.4,86,0.2,30.28,2020-03-19,93.25
19,2020-03-20,KGACLARK10,66.4,54.0,83,0.3,30.23,2020-03-20,100.47
20,2020-03-21,KGACLARK10,63.3,45.3,78,0.5,30.24,2020-03-21,101.46
21,2020-03-22,KGACLARK10,51.9,42.5,84,0.2,30.35,2020-03-22,68.0
22,2020-03-23,KGACLARK10,49.7,46.6,96,0.0,30.34,2020-03-23,66.64
23,2020-03-24,KGACLARK10,52.8,49.0,98,0.1,30.13,2020-03-24,62.81
24,2020-03-25,KGACLARK10,61.0,47.9,79,0.3,29.94,2020-03-25,83.26
25,2020-03-26,KGACLARK10,57.1,44.4,82,0.2,30.1,2020-03-26,82.05
26,2020-03-27,KGACLARK10,64.3,45.1,73,0.3,30.0,2020-03-27,97.12
27,2020-03-28,KGACLARK10,67.9,52.2,78,0.3,29.96,2020-03-28,91.71
28,2020-03-29,KGACLARK10,68.7,37.4,66,0.4,30.07,2020-03-29,73.6
29,2020-03-30,KGACLARK10,63.4,32.1,46,0.3,30.13,2020-03-30,81.7
30,2020-03-31,KGACLARK10,53.2,39.4,80,0.2,29.95,2020-03-31,65.1
31,2020-04-01,KGACLARK10,48.2,35.9,69,0.4,30.03,2020-04-01,76.91
32,2020-04-02,KGACLARK10,49.8,30.2,68,0.2,30.13,2020-04-02,83.99
33,2020-04-03,KGACLARK10,56.8,32.7,60,0.2,30.06,2020-04-03,71.64
34,2020-04-04,KGACLARK10,61.8,39.4,58,0.2,30.0,2020-04-04,60.73
35,2020-04-05,KGACLARK10,61.8,45.9,67,0.2,30.07,2020-04-05,54.62
36,2020-04-06,KGACLARK10,63.5,45.2,68,0.1,30.11,2020-04-06,69.47
37,2020-04-07,KGACLARK10,65.2,50.2,74,0.2,30.05,2020-04-07,63.9
38,2020-04-08,KGACLARK10,68.5,52.5,76,0.4,29.9,2020-04-08,67.96
39,2020-04-09,KGACLARK10,66.5,30.4,61,0.7,29.73,2020-04-09,76.93
40,2020-04-10,KGACLARK10,54.1,13.5,37,0.9,30.0,2020-04-10,87.58
41,2020-04-11,KGACLARK10,49.6,25.7,58,0.1,30.16,2020-04-11,78.18
42,2020-04-12,KGACLARK10,51.6,37.2,90,0.1,30.12,2020-04-12,43.02
43,2020-04-13,KGACLARK10,65.7,60.1,97,0.8,29.72,2020-04-13,81.91
44,2020-04-14,KGACLARK10,63.2,40.6,61,0.3,30.03,2020-04-14,82.55
45,2020-04-15,KGACLARK10,52.6,24.3,54,0.3,30.12,2020-04-15,84.98
46,2020-04-16,KGACLARK10,51.1,25.0,57,0.3,30.29,2020-04-16,88.52
47,2020-04-17,KGACLARK10,53.0,33.3,72,0.2,30.29,2020-04-17,99.69
48,2020-04-18,KGACLARK10,58.5,32.6,69,0.2,30.0,2020-04-18,93.67
49,2020-04-19,KGACLARK10,49.7,35.9,84,0.0,30.02,2020-04-19,63.75
50,2020-04-20,KGACLARK10,59.9,38.0,75,0.2,29.84,2020-04-20,79.13
51,2020-04-21,KGACLARK10,58.0,39.5,67,0.6,29.96,2020-04-21,87.06
52,2020-04-22,KGACLARK10,57.5,33.6,60,0.1,30.11,2020-04-22,85.76
53,2020-04-23,KGACLARK10,54.3,49.9,96,0.0,30.11,2020-04-23,72.3
54,2020-04-24,KGACLARK10,62.1,51.1,85,0.3,29.82,2020-04-24,121.51
55,2020-04-25,KGACLARK10,59.9,47.4,85,0.2,29.93,2020-04-25,100.87
56,2020-04-26,KGACLARK10,55.2,42.5,74,0.6,30.05,2020-04-26,93.18
57,2020-04-27,KGACLARK10,58.4,16.5,53,0.3,30.17,2020-04-27,92.23
58,2020-04-28,KGACLARK10,59.7,38.2,66,0.1,30.2,2020-04-28,99.39
59,2020-04-29,KGACLARK10,58.7,47.5,90,0.2,30.03,2020-04-29,85.36
60,2020-04-30,KGACLARK10,54.6,45.7,86,0.2,29.89,2020-04-30,97.97
61,2020-05-01,KGACLARK10,59.2,37.4,63,0.4,30.08,2020-05-01,121.65
62,2020-05-02,KGACLARK10,61.0,41.4,67,0.1,30.2,2020-05-02,133.13
63,2020-05-03,KGACLARK10,67.1,46.8,69,0.2,30.09,2020-05-03,120.66
64,2020-05-04,KGACLARK10,73.0,54.7,71,0.2,29.92,2020-05-04,104.98
65,2020-05-05,KGACLARK10,67.6,57.4,89,0.2,29.95,2020-05-05,106.42
66,2020-05-06,KGACLARK10,55.5,38.5,76,0.5,30.06,2020-05-06,113.18
67,2020-05-07,KGACLARK10,52.7,33.3,64,0.3,30.12,2020-05-07,117.12
68,2020-05-08,KGACLARK10,49.2,39.3,92,0.0,30.08,2020-05-08,121.09
69,2020-05-09,KGACLARK10,50.3,22.4,66,0.3,30.22,2020-05-09,135.82
70,2020-05-10,KGACLARK10,52.7,32.7,66,0.1,30.29,2020-05-10,118.72
71,2020-05-11,KGACLARK10,53.7,31.1,59,0.4,30.18,2020-05-11,118.72
72,2020-05-12,KGACLARK10,53.5,35.8,72,0.1,30.32,2020-05-12,118.72
73,2020-05-13,KGACLARK10,60.8,47.5,76,0.0,30.32,2020-05-13,121.89
74,2020-05-14,KGACLARK10,65.5,53.0,79,0.0,30.32,2020-05-14,140.73
75,2020-05-15,KGACLARK10,66.6,54.1,79,0.1,30.18,2020-05-15,152.85
76,2020-05-16,KGACLARK10,67.8,51.5,78,0.1,30.08,2020-05-16,162.88
77,2020-05-17,KGACLARK10,69.2,55.2,79,0.1,30.02,2020-05-17,150.84
78,2020-05-18,KGACLARK10,66.8,61.6,95,0.0,29.91,2020-05-18,121.42
79,2020-05-19,KGACLARK10,67.3,53.7,87,0.1,29.87,2020-05-19,125.43
80,2020-05-20,KGACLARK10,55.0,52.4,95,0.1,30.0,2020-05-20,116.72
81,2020-05-21,KGACLARK10,61.6,52.5,89,0.0,30.08,2020-05-21,139.13
82,2020-05-22,KGACLARK10,64.3,55.9,93,0.0,30.11,2020-05-22,167.58
83,2020-05-23,KGACLARK10,71.5,59.7,85,0.0,30.12,2020-05-23,184.91
84,2020-05-24,KGACLARK10,73.3,60.1,83,0.0,30.07,2020-05-24,159.2
85,2020-05-25,KGACLARK10,70.7,62.4,89,0.1,30.12,2020-05-25,161.39
86,2020-05-26,KGACLARK10,69.4,64.1,92,0.0,30.08,2020-05-26,138.3
87,2020-05-27,KGACLARK10,67.2,63.7,94,0.0,30.04,2020-05-27,132.8
88,2020-05-28,KGACLARK10,70.2,65.0,93,0.0,30.05,2020-05-28,138.72
