,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KGAELLIJ66,45.4,14.9,47,0.7,30.0,2020-03-01,131.88
1,2020-03-02,KGAELLIJ66,48.4,32.3,84,0.9,29.87,2020-03-02,109.4
2,2020-03-03,KGAELLIJ66,57.4,47.4,90,0.9,29.68,2020-03-03,106.11
3,2020-03-04,KGAELLIJ66,52.0,33.9,79,0.5,29.8,2020-03-04,110.94
4,2020-03-05,KGAELLIJ66,47.0,42.5,98,0.7,29.81,2020-03-05,115.26
5,2020-03-06,KGAELLIJ66,42.6,22.6,69,2.2,30.06,2020-03-06,169.76
6,2020-03-07,KGAELLIJ66,41.0,19.7,55,1.5,30.18,2020-03-07,172.77
7,2020-03-08,KGAELLIJ66,46.9,23.2,49,0.8,30.27,2020-03-08,140.17
8,2020-03-09,KGAELLIJ66,53.1,25.8,56,1.0,30.26,2020-03-09,130.09
9,2020-03-10,KGAELLIJ66,55.6,43.7,88,0.6,30.12,2020-03-10,109.51
10,2020-03-11,KGAELLIJ66,59.3,53.1,89,0.8,29.95,2020-03-11,117.87
11,2020-03-12,KGAELLIJ66,59.1,53.1,95,0.4,29.78,2020-03-12,115.48
12,2020-03-13,KGAELLIJ66,62.5,47.3,84,0.8,29.99,2020-03-13,149.43
13,2020-03-14,KGAELLIJ66,56.0,45.3,84,0.5,30.06,2020-03-14,158.47
14,2020-03-15,KGAELLIJ66,55.2,50.8,99,0.3,30.05,2020-03-15,131.99
15,2020-03-16,KGAELLIJ66,51.0,47.3,94,0.7,30.06,2020-03-16,128.88
16,2020-03-17,KGAELLIJ66,54.7,47.0,94,0.3,30.01,2020-03-17,116.9
17,2020-03-18,KGAELLIJ66,59.3,51.5,91,0.9,30.01,2020-03-18,114.19
18,2020-03-19,KGAELLIJ66,65.6,54.6,81,0.8,30.0,2020-03-19,122.59
19,2020-03-20,KGAELLIJ66,65.1,56.0,84,0.7,30.02,2020-03-20,133.85
20,2020-03-21,KGAELLIJ66,58.1,42.3,85,0.9,30.05,2020-03-21,150.82
21,2020-03-22,KGAELLIJ66,51.3,41.0,83,1.4,30.04,2020-03-22,101.5
22,2020-03-23,KGAELLIJ66,50.5,46.5,97,0.7,30.0,2020-03-23,81.63
23,2020-03-24,KGAELLIJ66,55.8,52.4,98,0.4,29.83,2020-03-24,74.91
24,2020-03-25,KGAELLIJ66,58.1,48.6,85,0.8,29.73,2020-03-25,89.28
25,2020-03-26,KGAELLIJ66,59.1,43.7,75,1.0,29.82,2020-03-26,95.82
26,2020-03-27,KGAELLIJ66,68.6,49.9,65,1.0,29.75,2020-03-27,101.29
27,2020-03-28,KGAELLIJ66,70.1,55.7,74,0.9,29.77,2020-03-28,96.28
28,2020-03-29,KGAELLIJ66,67.9,33.8,62,0.9,29.87,2020-03-29,72.69
29,2020-03-30,KGAELLIJ66,61.1,27.2,42,0.9,29.94,2020-03-30,76.02
30,2020-03-31,KGAELLIJ66,51.2,34.0,75,1.1,29.73,2020-03-31,64.69
31,2020-04-01,KGAELLIJ66,44.8,30.6,68,1.5,29.77,2020-04-01,71.37
32,2020-04-02,KGAELLIJ66,50.7,30.0,60,0.8,29.86,2020-04-02,77.13
33,2020-04-03,KGAELLIJ66,59.3,9.7,43,0.8,29.8,2020-04-03,71.77
34,2020-04-04,KGAELLIJ66,62.7,30.4,42,0.5,29.78,2020-04-04,67.19
35,2020-04-05,KGAELLIJ66,65.0,39.5,47,0.6,29.81,2020-04-05,62.69
36,2020-04-06,KGAELLIJ66,65.8,40.4,54,0.6,29.87,2020-04-06,67.48
37,2020-04-07,KGAELLIJ66,64.0,49.3,72,0.6,29.83,2020-04-07,68.73
38,2020-04-08,KGAELLIJ66,65.9,53.6,84,0.5,29.72,2020-04-08,74.09
39,2020-04-09,KGAELLIJ66,63.1,28.8,64,1.1,29.57,2020-04-09,84.77
40,2020-04-10,KGAELLIJ66,50.3,13.4,37,1.5,29.76,2020-04-10,91.85
41,2020-04-11,KGAELLIJ66,51.7,20.6,42,0.6,29.84,2020-04-11,95.14
42,2020-04-12,KGAELLIJ66,56.7,31.4,81,1.3,29.79,2020-04-12,52.61
43,2020-04-13,KGAELLIJ66,59.9,45.5,84,1.1,29.83,2020-04-13,80.02
44,2020-04-14,KGAELLIJ66,51.2,31.5,70,1.1,29.82,2020-04-14,87.71
45,2020-04-15,KGAELLIJ66,46.2,14.5,46,1.5,29.88,2020-04-15,86.78
46,2020-04-16,KGAELLIJ66,49.0,24.4,50,0.6,30.02,2020-04-16,92.1
47,2020-04-17,KGAELLIJ66,55.5,29.3,56,0.8,30.0,2020-04-17,109.19
48,2020-04-18,KGAELLIJ66,56.0,34.2,69,0.7,29.79,2020-04-18,111.54
49,2020-04-19,KGAELLIJ66,49.8,34.8,83,0.4,29.75,2020-04-19,70.09
50,2020-04-20,KGAELLIJ66,56.1,40.0,81,0.7,29.62,2020-04-20,87.38
51,2020-04-21,KGAELLIJ66,57.4,33.7,65,0.7,29.75,2020-04-21,93.07
52,2020-04-22,KGAELLIJ66,57.5,24.8,49,0.6,29.88,2020-04-22,95.0
53,2020-04-23,KGAELLIJ66,54.0,48.3,97,1.0,29.85,2020-04-23,90.03
54,2020-04-24,KGAELLIJ66,58.8,50.8,90,0.6,29.62,2020-04-24,111.04
55,2020-04-25,KGAELLIJ66,59.2,48.1,84,0.8,29.68,2020-04-25,114.9
56,2020-04-26,KGAELLIJ66,51.3,42.1,80,1.1,29.85,2020-04-26,97.39
57,2020-04-27,KGAELLIJ66,53.8,27.7,63,0.8,30.24,2020-04-27,105.9
58,2020-04-28,KGAELLIJ66,59.6,34.8,58,0.4,30.25,2020-04-28,104.5
59,2020-04-29,KGAELLIJ66,60.5,43.1,77,0.8,30.05,2020-04-29,91.46
60,2020-04-30,KGAELLIJ66,51.2,45.5,93,0.2,29.95,2020-04-30,103.93
61,2020-05-01,KGAELLIJ66,56.3,34.7,64,0.7,30.14,2020-05-01,157.33
