,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KGATRENT3,44.4,24.0,65,0.4,30.3,2020-03-01,210.32
1,2020-03-02,KGATRENT3,53.0,37.0,87,1.7,30.1,2020-03-02,119.58
2,2020-03-03,KGATRENT3,62.8,49.0,80,3.0,29.92,2020-03-03,124.13
3,2020-03-04,KGATRENT3,55.7,36.0,68,0.0,30.04,2020-03-04,115.64
4,2020-03-05,KGATRENT3,51.6,41.0,82,0.0,30.08,2020-03-05,139.38
5,2020-03-06,KGATRENT3,46.3,26.0,62,2.7,30.43,2020-03-06,217.42
6,2020-03-07,KGATRENT3,42.5,25.0,60,1.3,30.54,2020-03-07,219.36
7,2020-03-08,KGATRENT3,47.0,28.0,61,1.2,30.58,2020-03-08,180.14
8,2020-03-09,KGATRENT3,53.1,33.0,69,2.4,30.51,2020-03-09,143.37
9,2020-03-10,KGATRENT3,59.8,48.0,84,2.1,30.32,2020-03-10,143.26
10,2020-03-11,KGATRENT3,63.2,55.0,82,1.4,30.17,2020-03-11,146.09
11,2020-03-12,KGATRENT3,63.8,56.0,85,1.3,30.0,2020-03-12,147.42
12,2020-03-13,KGATRENT3,64.0,46.0,73,1.0,30.26,2020-03-13,278.81
13,2020-03-14,KGATRENT3,57.8,36.0,71,0.8,30.29,2020-03-14,216.42
14,2020-03-15,KGATRENT3,55.7,47.0,91,0.2,30.34,2020-03-15,186.47
15,2020-03-16,KGATRENT3,52.8,45.0,87,0.2,30.34,2020-03-16,142.37
16,2020-03-17,KGATRENT3,59.8,52.0,88,0.4,30.25,2020-03-17,122.24
17,2020-03-18,KGATRENT3,63.7,53.0,86,0.7,30.23,2020-03-18,126.79
18,2020-03-19,KGATRENT3,69.4,57.0,78,3.3,30.19,2020-03-19,135.27
19,2020-03-20,KGATRENT3,66.6,59.0,86,1.2,30.22,2020-03-20,156.52
20,2020-03-21,KGATRENT3,55.8,41.0,84,1.0,30.38,2020-03-21,163.78
21,2020-03-22,KGATRENT3,53.7,40.0,77,2.0,30.36,2020-03-22,98.67
22,2020-03-23,KGATRENT3,57.9,52.0,91,0.7,30.2,2020-03-23,92.18
23,2020-03-24,KGATRENT3,59.6,55.0,93,0.5,30.08,2020-03-24,85.97
24,2020-03-25,KGATRENT3,60.8,49.0,79,0.8,29.96,2020-03-25,103.0
25,2020-03-26,KGATRENT3,59.5,43.0,74,1.2,30.04,2020-03-26,101.28
26,2020-03-27,KGATRENT3,72.7,54.0,66,2.6,29.93,2020-03-27,107.65
27,2020-03-28,KGATRENT3,74.1,62.0,71,5.2,29.93,2020-03-28,123.52
28,2020-03-29,KGATRENT3,69.8,36.0,60,4.9,30.11,2020-03-29,91.74
29,2020-03-30,KGATRENT3,61.6,38.0,53,0.8,30.2,2020-03-30,79.65
30,2020-03-31,KGATRENT3,51.7,39.0,82,2.6,29.98,2020-03-31,62.84
31,2020-04-01,KGATRENT3,47.7,35.0,70,1.5,30.08,2020-04-01,74.43
32,2020-04-02,KGATRENT3,50.4,34.0,68,1.2,30.17,2020-04-02,105.27
33,2020-04-03,KGATRENT3,58.6,36.0,60,0.9,30.09,2020-04-03,80.98
34,2020-04-04,KGATRENT3,65.2,42.0,57,1.0,30.02,2020-04-04,74.27
35,2020-04-05,KGATRENT3,66.3,45.0,60,0.8,30.03,2020-04-05,59.35
36,2020-04-06,KGATRENT3,67.1,48.0,63,1.5,30.1,2020-04-06,61.12
37,2020-04-07,KGATRENT3,67.7,54.0,73,3.9,30.03,2020-04-07,63.62
38,2020-04-08,KGATRENT3,69.8,58.0,80,3.1,29.92,2020-04-08,67.0
39,2020-04-09,KGATRENT3,65.8,34.0,61,3.6,29.85,2020-04-09,75.1
40,2020-04-10,KGATRENT3,52.4,19.0,40,3.0,30.07,2020-04-10,86.25
41,2020-04-11,KGATRENT3,52.3,25.0,55,1.3,30.12,2020-04-11,94.56
42,2020-04-12,KGATRENT3,58.4,40.0,82,1.3,29.99,2020-04-12,47.86
43,2020-04-13,KGATRENT3,59.0,40.0,79,4.2,30.13,2020-04-13,74.82
44,2020-04-14,KGATRENT3,50.4,33.0,64,1.3,30.14,2020-04-14,87.58
45,2020-04-15,KGATRENT3,48.3,15.0,46,1.5,30.18,2020-04-15,97.28
46,2020-04-16,KGATRENT3,49.9,31.0,62,0.5,30.34,2020-04-16,85.8
47,2020-04-17,KGATRENT3,57.8,35.0,64,4.3,30.26,2020-04-17,108.49
48,2020-04-18,KGATRENT3,56.8,31.0,66,1.2,30.11,2020-04-18,115.25
49,2020-04-19,KGATRENT3,52.3,38.0,85,0.1,30.02,2020-04-19,77.87
50,2020-04-20,KGATRENT3,60.0,41.0,73,0.4,29.86,2020-04-20,85.97
