,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KGAWOODB21,48.6,26.9,65,0.7,30.35,2020-03-01,136.72
1,2020-03-02,KGAWOODB21,60.0,34.6,70,1.2,30.25,2020-03-02,120.59
2,2020-03-03,KGAWOODB21,70.3,51.8,67,2.4,30.03,2020-03-03,111.39
3,2020-03-04,KGAWOODB21,66.4,57.5,88,1.0,30.02,2020-03-04,115.48
4,2020-03-05,KGAWOODB21,60.2,53.9,93,1.4,30.0,2020-03-05,136.94
5,2020-03-06,KGAWOODB21,57.6,26.4,57,4.1,30.25,2020-03-06,179.7
6,2020-03-07,KGAWOODB21,46.8,27.9,62,1.4,30.47,2020-03-07,189.66
7,2020-03-08,KGAWOODB21,47.6,31.6,80,1.0,30.58,2020-03-08,151.42
8,2020-03-09,KGAWOODB21,56.7,41.8,83,0.6,30.57,2020-03-09,130.96
9,2020-03-10,KGAWOODB21,62.0,50.9,83,0.3,30.46,2020-03-10,120.17
10,2020-03-11,KGAWOODB21,62.8,50.3,80,0.7,30.26,2020-03-11,130.21
11,2020-03-12,KGAWOODB21,68.8,51.8,72,1.1,30.08,2020-03-12,143.41
12,2020-03-13,KGAWOODB21,71.4,54.2,67,1.5,30.23,2020-03-13,185.64
13,2020-03-14,KGAWOODB21,68.5,52.1,75,0.5,30.28,2020-03-14,187.3
14,2020-03-15,KGAWOODB21,70.8,55.4,73,1.0,30.26,2020-03-15,166.58
15,2020-03-16,KGAWOODB21,65.3,56.9,80,1.7,30.33,2020-03-16,132.51
16,2020-03-17,KGAWOODB21,67.8,58.0,84,0.5,30.28,2020-03-17,122.97
17,2020-03-18,KGAWOODB21,72.1,60.2,81,0.8,30.3,2020-03-18,152.38
18,2020-03-19,KGAWOODB21,72.4,57.7,77,1.0,30.32,2020-03-19,114.51
19,2020-03-20,KGAWOODB21,71.8,59.4,77,0.9,30.35,2020-03-20,124.13
20,2020-03-21,KGAWOODB21,72.2,58.1,74,1.3,30.27,2020-03-21,114.36
21,2020-03-22,KGAWOODB21,67.6,56.8,82,1.6,30.27,2020-03-22,87.3
22,2020-03-23,KGAWOODB21,70.4,59.8,80,0.9,30.27,2020-03-23,87.08
23,2020-03-24,KGAWOODB21,70.5,57.1,75,1.4,30.14,2020-03-24,82.33
24,2020-03-25,KGAWOODB21,75.5,60.7,72,2.3,29.94,2020-03-25,79.22
25,2020-03-26,KGAWOODB21,72.0,58.4,74,1.2,30.07,2020-03-26,78.69
26,2020-03-27,KGAWOODB21,70.8,58.3,80,1.1,30.03,2020-03-27,85.62
27,2020-03-28,KGAWOODB21,76.2,57.7,71,0.9,30.07,2020-03-28,86.2
28,2020-03-29,KGAWOODB21,72.4,57.7,78,1.2,30.18,2020-03-29,93.77
29,2020-03-30,KGAWOODB21,73.0,53.4,73,0.7,30.14,2020-03-30,81.14
30,2020-03-31,KGAWOODB21,67.6,57.7,87,1.1,29.96,2020-03-31,73.81
31,2020-04-01,KGAWOODB21,59.0,42.7,68,2.6,29.99,2020-04-01,69.18
32,2020-04-02,KGAWOODB21,57.4,41.0,75,0.8,30.06,2020-04-02,76.7
33,2020-04-03,KGAWOODB21,61.5,41.7,67,0.5,30.04,2020-04-03,73.09
34,2020-04-04,KGAWOODB21,67.8,45.6,67,0.8,29.98,2020-04-04,66.45
35,2020-04-05,KGAWOODB21,66.0,57.4,86,0.3,30.09,2020-04-05,52.77
36,2020-04-06,KGAWOODB21,65.9,50.2,78,0.6,30.16,2020-04-06,64.71
37,2020-04-07,KGAWOODB21,71.3,55.3,74,0.9,30.12,2020-04-07,65.79
38,2020-04-08,KGAWOODB21,71.7,55.5,79,1.6,29.96,2020-04-08,64.41
39,2020-04-09,KGAWOODB21,76.7,62.4,77,2.2,29.82,2020-04-09,67.64
40,2020-04-10,KGAWOODB21,65.7,33.7,61,2.1,29.98,2020-04-10,74.48
41,2020-04-11,KGAWOODB21,57.4,35.4,73,0.7,30.11,2020-04-11,69.71
42,2020-04-12,KGAWOODB21,71.1,51.5,83,2.1,30.06,2020-04-12,47.04
43,2020-04-13,KGAWOODB21,74.4,61.2,82,1.6,30.02,2020-04-13,66.45
44,2020-04-14,KGAWOODB21,71.1,63.7,93,0.3,30.07,2020-04-14,75.53
45,2020-04-15,KGAWOODB21,63.4,54.4,94,0.9,30.08,2020-04-15,69.98
46,2020-04-16,KGAWOODB21,61.5,46.5,75,1.4,30.27,2020-04-16,80.02
47,2020-04-17,KGAWOODB21,63.5,45.0,79,0.8,30.27,2020-04-17,89.17
48,2020-04-18,KGAWOODB21,72.6,60.1,82,1.5,30.06,2020-04-18,88.25
49,2020-04-19,KGAWOODB21,70.8,61.4,89,0.6,29.97,2020-04-19,66.32
50,2020-04-20,KGAWOODB21,70.7,60.5,83,2.2,29.85,2020-04-20,80.75
51,2020-04-21,KGAWOODB21,69.9,49.1,67,1.4,29.97,2020-04-21,88.16
52,2020-04-22,KGAWOODB21,63.7,45.8,71,0.9,30.11,2020-04-22,94.45
53,2020-04-23,KGAWOODB21,66.9,52.8,87,0.9,30.07,2020-04-23,88.19
54,2020-04-24,KGAWOODB21,71.2,63.4,87,1.4,29.9,2020-04-24,99.86
55,2020-04-25,KGAWOODB21,74.7,63.3,80,1.1,29.96,2020-04-25,105.0
56,2020-04-26,KGAWOODB21,71.7,43.4,67,2.3,30.04,2020-04-26,83.09
57,2020-04-27,KGAWOODB21,62.3,41.3,61,2.1,30.19,2020-04-27,93.94
58,2020-04-28,KGAWOODB21,62.7,45.1,77,0.7,30.24,2020-04-28,97.87
59,2020-04-29,KGAWOODB21,69.0,53.3,79,1.3,30.12,2020-04-29,92.97
60,2020-04-30,KGAWOODB21,67.8,51.4,77,2.3,29.95,2020-04-30,105.94
61,2020-05-01,KGAWOODB21,62.1,42.2,70,2.3,30.09,2020-05-01,122.91
62,2020-05-02,KGAWOODB21,66.7,44.6,66,0.7,30.19,2020-05-02,130.77
63,2020-05-03,KGAWOODB21,70.3,49.5,68,1.0,30.15,2020-05-03,105.6
64,2020-05-04,KGAWOODB21,74.7,52.1,65,1.5,30.04,2020-05-04,106.54
65,2020-05-05,KGAWOODB21,77.9,59.3,67,2.4,29.96,2020-05-05,104.78
66,2020-05-06,KGAWOODB21,75.0,41.3,58,2.9,29.95,2020-05-06,108.8
67,2020-05-07,KGAWOODB21,61.9,37.4,54,2.2,30.14,2020-05-07,126.65
68,2020-05-08,KGAWOODB21,64.3,41.0,61,1.4,30.13,2020-05-08,136.41
69,2020-05-09,KGAWOODB21,65.2,49.7,71,1.6,30.2,2020-05-09,141.2
70,2020-05-10,KGAWOODB21,62.9,49.8,80,0.6,30.21,2020-05-10,104.56
71,2020-05-11,KGAWOODB21,63.5,43.6,70,1.5,30.14,2020-05-11,104.56
72,2020-05-12,KGAWOODB21,58.4,41.3,76,0.9,30.25,2020-05-12,104.56
73,2020-05-13,KGAWOODB21,64.7,49.5,81,0.9,30.28,2020-05-13,123.89
74,2020-05-14,KGAWOODB21,67.8,52.0,79,1.1,30.27,2020-05-14,138.18
75,2020-05-15,KGAWOODB21,71.1,57.1,79,1.0,30.2,2020-05-15,172.16
76,2020-05-16,KGAWOODB21,73.7,58.8,80,1.5,30.05,2020-05-16,159.84
77,2020-05-17,KGAWOODB21,76.2,64.1,80,1.1,29.98,2020-05-17,136.98
78,2020-05-18,KGAWOODB21,76.5,62.4,77,1.3,29.94,2020-05-18,135.94
79,2020-05-19,KGAWOODB21,79.6,63.3,70,1.6,29.86,2020-05-19,129.04
80,2020-05-20,KGAWOODB21,73.3,60.5,85,0.6,29.95,2020-05-20,139.6
81,2020-05-21,KGAWOODB21,73.6,65.5,86,1.0,30.09,2020-05-21,149.24
82,2020-05-22,KGAWOODB21,74.6,62.7,83,0.8,30.14,2020-05-22,199.21
83,2020-05-23,KGAWOODB21,74.7,64.7,85,1.1,30.17,2020-05-23,181.59
84,2020-05-24,KGAWOODB21,75.7,63.0,85,0.6,30.09,2020-05-24,152.55
85,2020-05-25,KGAWOODB21,75.7,68.1,87,0.9,30.05,2020-05-25,149.73
86,2020-05-26,KGAWOODB21,74.8,67.2,91,0.9,30.0,2020-05-26,140.84
87,2020-05-27,KGAWOODB21,77.2,70.2,88,0.5,30.0,2020-05-27,144.57
88,2020-05-28,KGAWOODB21,76.8,69.0,89,0.5,30.08,2020-05-28,154.73
89,2020-05-29,KGAWOODB21,75.3,65.8,89,0.5,30.1,2020-05-29,181.36
