,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KIANORTH23,36.9,24.1,68,3.6,29.72,2020-03-01,129.76
1,2020-03-02,KIANORTH23,31.1,19.2,69,2.8,29.72,2020-03-02,98.44
2,2020-03-03,KIANORTH23,36.4,23.7,68,2.9,29.66,2020-03-03,107.31
3,2020-03-04,KIANORTH23,35.1,18.1,67,3.0,29.84,2020-03-04,110.35
4,2020-03-05,KIANORTH23,36.1,21.6,67,6.3,30.13,2020-03-05,115.31
5,2020-03-06,KIANORTH23,30.6,8.2,57,2.4,30.35,2020-03-06,160.46
6,2020-03-07,KIANORTH23,42.6,16.2,50,13.8,30.17,2020-03-07,143.88
7,2020-03-08,KIANORTH23,49.2,26.8,58,10.1,29.83,2020-03-08,124.66
8,2020-03-09,KIANORTH23,34.5,24.1,78,2.5,29.96,2020-03-09,103.08
9,2020-03-10,KIANORTH23,34.7,18.5,73,0.9,30.12,2020-03-10,101.99
10,2020-03-11,KIANORTH23,42.5,32.5,81,3.8,29.91,2020-03-11,113.5
11,2020-03-12,KIANORTH23,41.6,20.8,76,5.5,29.85,2020-03-12,107.35
12,2020-03-13,KIANORTH23,34.5,13.6,51,3.2,30.29,2020-03-13,155.21
13,2020-03-14,KIANORTH23,29.6,12.4,56,1.1,30.44,2020-03-14,122.09
14,2020-03-15,KIANORTH23,31.1,14.9,63,2.6,30.47,2020-03-15,104.96
15,2020-03-16,KIANORTH23,34.1,19.0,75,2.1,30.21,2020-03-16,94.13
16,2020-03-17,KIANORTH23,35.2,17.4,62,1.0,30.14,2020-03-17,95.4
17,2020-03-18,KIANORTH23,40.7,28.4,86,2.9,29.97,2020-03-18,93.92
18,2020-03-19,KIANORTH23,46.3,35.4,88,1.8,29.87,2020-03-19,89.97
19,2020-03-20,KIANORTH23,27.5,11.3,69,3.6,30.38,2020-03-20,90.7
20,2020-03-21,KIANORTH23,29.3,11.8,62,4.1,30.38,2020-03-21,78.93
21,2020-03-22,KIANORTH23,34.6,20.3,66,10.3,30.21,2020-03-22,66.33
22,2020-03-23,KIANORTH23,37.6,27.3,84,1.6,29.99,2020-03-23,74.08
23,2020-03-24,KIANORTH23,39.7,32.5,83,4.9,29.93,2020-03-24,68.28
24,2020-03-25,KIANORTH23,45.0,36.5,88,3.9,29.73,2020-03-25,72.09
25,2020-03-26,KIANORTH23,41.5,33.1,84,0.5,29.75,2020-03-26,79.58
26,2020-03-27,KIANORTH23,44.7,32.2,78,1.4,29.74,2020-03-27,77.3
27,2020-03-28,KIANORTH23,47.2,40.3,88,4.5,29.61,2020-03-28,51.45
28,2020-03-29,KIANORTH23,43.1,28.8,76,5.4,29.93,2020-03-29,50.83
29,2020-03-30,KIANORTH23,46.0,14.0,56,0.7,30.09,2020-03-30,67.81
30,2020-03-31,KIANORTH23,44.3,22.1,61,1.7,30.02,2020-03-31,67.92
31,2020-04-01,KIANORTH23,42.4,29.3,82,7.0,29.88,2020-04-01,64.95
32,2020-04-02,KIANORTH23,52.7,36.5,68,7.9,29.82,2020-04-02,70.82
33,2020-04-03,KIANORTH23,28.8,20.5,88,3.4,30.06,2020-04-03,55.65
34,2020-04-04,KIANORTH23,31.0,16.0,69,0.9,30.11,2020-04-04,62.35
35,2020-04-05,KIANORTH23,42.3,21.9,60,3.3,30.02,2020-04-05,56.73
36,2020-04-06,KIANORTH23,48.3,31.6,77,4.3,29.87,2020-04-06,71.61
37,2020-04-07,KIANORTH23,61.0,45.7,76,2.6,29.64,2020-04-07,66.98
38,2020-04-08,KIANORTH23,47.7,20.7,73,2.2,29.78,2020-04-08,69.62
