,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KILKNOXV2,49.5,27.0,71,3.4,29.95,2020-03-01,120.73
1,2020-03-02,KILKNOXV2,36.9,26.0,79,1.4,29.83,2020-03-02,121.15
2,2020-03-03,KILKNOXV2,40.4,26.0,70,3.1,29.82,2020-03-03,112.23
3,2020-03-04,KILKNOXV2,41.7,22.0,62,1.5,30.06,2020-03-04,119.62
4,2020-03-05,KILKNOXV2,42.6,26.0,63,5.9,30.11,2020-03-05,130.38
5,2020-03-06,KILKNOXV2,36.6,15.0,59,2.5,30.49,2020-03-06,156.72
6,2020-03-07,KILKNOXV2,41.9,19.0,58,4.8,30.5,2020-03-07,159.11
7,2020-03-08,KILKNOXV2,53.6,29.0,46,5.2,30.24,2020-03-08,125.48
8,2020-03-09,KILKNOXV2,50.7,32.0,86,3.9,30.1,2020-03-09,111.5
9,2020-03-10,KILKNOXV2,38.4,34.0,93,2.4,30.27,2020-03-10,122.17
10,2020-03-11,KILKNOXV2,42.1,36.0,91,0.8,30.14,2020-03-11,135.96
11,2020-03-12,KILKNOXV2,45.0,34.0,96,3.9,29.95,2020-03-12,123.22
12,2020-03-13,KILKNOXV2,43.7,23.0,54,3.1,30.43,2020-03-13,152.96
13,2020-03-14,KILKNOXV2,34.8,26.0,84,0.9,30.56,2020-03-14,118.95
14,2020-03-15,KILKNOXV2,34.0,26.0,84,0.8,30.64,2020-03-15,104.11
15,2020-03-16,KILKNOXV2,36.0,27.0,91,0.4,30.43,2020-03-16,106.66
16,2020-03-17,KILKNOXV2,41.2,26.0,72,1.1,30.35,2020-03-17,103.69
17,2020-03-18,KILKNOXV2,44.0,33.0,90,1.2,30.19,2020-03-18,96.24
18,2020-03-19,KILKNOXV2,52.4,43.0,99,2.9,30.08,2020-03-19,96.59
19,2020-03-20,KILKNOXV2,39.2,26.0,86,1.7,30.5,2020-03-20,105.64
20,2020-03-21,KILKNOXV2,33.1,23.0,73,0.7,30.57,2020-03-21,88.92
21,2020-03-22,KILKNOXV2,30.0,22.0,90,1.3,30.48,2020-03-22,60.19
22,2020-03-23,KILKNOXV2,33.5,25.0,92,0.4,30.22,2020-03-23,70.29
23,2020-03-24,KILKNOXV2,38.8,32.0,88,1.2,30.16,2020-03-24,72.64
24,2020-03-25,KILKNOXV2,45.5,36.0,89,3.0,29.97,2020-03-25,83.34
25,2020-03-26,KILKNOXV2,47.7,42.0,96,0.8,29.85,2020-03-26,76.43
26,2020-03-27,KILKNOXV2,47.4,38.0,95,2.3,29.85,2020-03-27,88.44
27,2020-03-28,KILKNOXV2,55.8,46.0,96,2.8,29.71,2020-03-28,83.47
28,2020-03-29,KILKNOXV2,49.7,35.0,72,7.7,30.07,2020-03-29,60.29
29,2020-03-30,KILKNOXV2,47.6,30.0,68,1.2,30.22,2020-03-30,76.34
30,2020-03-31,KILKNOXV2,40.1,28.0,83,0.7,30.08,2020-03-31,83.5
31,2020-04-01,KILKNOXV2,46.0,28.0,72,1.1,30.1,2020-04-01,86.08
32,2020-04-02,KILKNOXV2,52.8,36.0,67,3.4,30.12,2020-04-02,84.3
33,2020-04-03,KILKNOXV2,52.2,32.0,76,3.1,30.1,2020-04-03,97.87
34,2020-04-04,KILKNOXV2,40.1,28.0,77,1.5,30.19,2020-04-04,83.98
35,2020-04-05,KILKNOXV2,48.4,29.0,64,1.0,30.2,2020-04-05,74.01
36,2020-04-06,KILKNOXV2,53.8,28.0,72,2.0,30.1,2020-04-06,83.28
37,2020-04-07,KILKNOXV2,67.7,55.0,79,2.0,29.86,2020-04-07,86.53
38,2020-04-08,KILKNOXV2,60.3,37.0,78,2.1,29.85,2020-04-08,86.11
39,2020-04-09,KILKNOXV2,42.1,19.0,58,5.1,30.05,2020-04-09,91.43
40,2020-04-10,KILKNOXV2,41.0,22.0,58,2.3,30.14,2020-04-10,112.42
41,2020-04-11,KILKNOXV2,53.2,29.0,61,2.6,29.96,2020-04-11,89.11
42,2020-04-12,KILKNOXV2,54.8,35.0,86,4.0,29.68,2020-04-12,48.54
43,2020-04-13,KILKNOXV2,36.0,20.0,69,6.0,30.23,2020-04-13,85.45
44,2020-04-14,KILKNOXV2,33.7,17.0,60,3.0,30.25,2020-04-14,94.68
45,2020-04-15,KILKNOXV2,32.9,21.0,70,2.1,30.21,2020-04-15,93.6
46,2020-04-16,KILKNOXV2,34.1,15.0,65,0.5,30.37,2020-04-16,97.42
47,2020-04-17,KILKNOXV2,35.2,29.0,88,0.4,30.17,2020-04-17,97.42
48,2020-04-18,KILKNOXV2,45.3,27.0,69,2.6,30.06,2020-04-18,103.47
49,2020-04-19,KILKNOXV2,52.0,25.0,55,1.3,29.85,2020-04-19,81.97
50,2020-04-20,KILKNOXV2,51.0,25.0,58,2.7,29.84,2020-04-20,93.95
51,2020-04-21,KILKNOXV2,48.3,21.0,48,3.3,30.03,2020-04-21,96.94
52,2020-04-22,KILKNOXV2,57.6,29.0,56,1.5,29.97,2020-04-22,113.5
53,2020-04-23,KILKNOXV2,58.8,49.0,85,1.0,29.76,2020-04-23,105.22
54,2020-04-24,KILKNOXV2,50.6,45.0,94,1.2,29.89,2020-04-24,114.17
55,2020-04-25,KILKNOXV2,45.3,39.0,95,1.8,30.04,2020-04-25,102.13
56,2020-04-26,KILKNOXV2,54.1,37.0,67,0.2,30.16,2020-04-26,97.1
57,2020-04-27,KILKNOXV2,59.1,40.0,68,3.5,30.15,2020-04-27,107.23
58,2020-04-28,KILKNOXV2,63.6,48.0,79,2.8,29.91,2020-04-28,101.72
59,2020-04-29,KILKNOXV2,50.3,45.0,89,3.6,29.78,2020-04-29,110.54
60,2020-04-30,KILKNOXV2,55.8,36.0,61,3.4,29.93,2020-04-30,128.28
61,2020-05-01,KILKNOXV2,57.7,35.0,65,2.5,30.03,2020-05-01,136.24
62,2020-05-02,KILKNOXV2,66.7,48.0,64,1.5,29.95,2020-05-02,113.31
63,2020-05-03,KILKNOXV2,62.5,39.0,59,0.3,30.03,2020-05-03,100.03
64,2020-05-04,KILKNOXV2,51.3,35.0,69,1.8,30.11,2020-05-04,119.59
65,2020-05-05,KILKNOXV2,43.8,39.0,95,0.6,30.08,2020-05-05,104.84
66,2020-05-06,KILKNOXV2,51.2,36.0,76,2.0,30.16,2020-05-06,119.36
67,2020-05-07,KILKNOXV2,55.7,38.0,64,2.2,30.1,2020-05-07,135.64
68,2020-05-08,KILKNOXV2,48.1,20.0,58,2.0,30.18,2020-05-08,151.02
69,2020-05-09,KILKNOXV2,47.5,21.0,52,1.5,30.26,2020-05-09,153.09
70,2020-05-10,KILKNOXV2,46.1,37.0,81,4.1,30.21,2020-05-10,108.28
71,2020-05-11,KILKNOXV2,45.5,31.0,69,2.0,30.26,2020-05-11,108.28
72,2020-05-12,KILKNOXV2,50.1,29.0,59,0.9,30.24,2020-05-12,108.28
73,2020-05-13,KILKNOXV2,52.1,37.0,77,3.6,30.2,2020-05-13,131.02
74,2020-05-14,KILKNOXV2,66.0,51.0,87,3.4,30.0,2020-05-14,137.32
75,2020-05-15,KILKNOXV2,65.2,52.0,85,0.9,30.0,2020-05-15,166.15
76,2020-05-16,KILKNOXV2,64.5,51.0,85,1.5,30.04,2020-05-16,144.33
77,2020-05-17,KILKNOXV2,61.5,54.0,93,2.1,29.92,2020-05-17,114.46
78,2020-05-18,KILKNOXV2,56.0,53.0,96,0.4,29.87,2020-05-18,135.32
79,2020-05-19,KILKNOXV2,56.6,52.0,96,0.1,29.99,2020-05-19,152.64
80,2020-05-20,KILKNOXV2,59.2,53.0,90,1.5,30.09,2020-05-20,147.42
81,2020-05-21,KILKNOXV2,58.7,52.0,87,1.1,30.11,2020-05-21,153.63
82,2020-05-22,KILKNOXV2,64.7,54.0,82,1.2,30.03,2020-05-22,183.82
83,2020-05-23,KILKNOXV2,70.6,59.0,79,3.1,29.92,2020-05-23,156.37
84,2020-05-24,KILKNOXV2,74.8,57.0,76,0.9,29.93,2020-05-24,130.61
85,2020-05-25,KILKNOXV2,71.5,60.0,86,1.1,29.99,2020-05-25,133.69
86,2020-05-26,KILKNOXV2,73.8,65.0,86,2.9,29.95,2020-05-26,142.61
87,2020-05-27,KILKNOXV2,74.0,65.0,81,2.7,29.93,2020-05-27,142.01
88,2020-05-28,KILKNOXV2,69.5,61.0,90,1.0,29.94,2020-05-28,159.39
89,2020-05-29,KILKNOXV2,64.5,47.0,74,2.2,30.15,2020-05-29,192.61
90,2020-05-30,KILKNOXV2,62.5,47.0,69,0.6,30.23,2020-05-30,180.22
91,2020-05-31,KILKNOXV2,64.7,46.0,62,1.0,30.34,2020-05-31,144.84
92,2020-06-01,KILKNOXV2,70.0,50.0,64,3.6,30.22,2020-06-01,150.0
93,2020-06-02,KILKNOXV2,79.1,62.0,67,2.2,30.0,2020-06-02,175.0
94,2020-06-03,KILKNOXV2,74.7,62.0,82,0.7,29.99,2020-06-03,157.1
95,2020-06-04,KILKNOXV2,75.3,64.0,83,1.3,29.87,2020-06-04,167.83
96,2020-06-05,KILKNOXV2,75.7,63.0,80,0.7,29.97,2020-06-05,186.05
97,2020-06-06,KILKNOXV2,77.2,52.0,61,0.5,30.07,2020-06-06,198.76
98,2020-06-07,KILKNOXV2,76.6,51.0,53,2.4,30.05,2020-06-07,151.82
99,2020-06-08,KILKNOXV2,80.1,48.0,48,2.8,29.96,2020-06-08,163.06
100,2020-06-09,KILKNOXV2,74.0,57.0,83,3.3,29.77,2020-06-09,151.75
101,2020-06-10,KILKNOXV2,67.1,55.0,84,2.3,29.94,2020-06-10,171.15
102,2020-06-11,KILKNOXV2,71.6,52.0,61,2.7,30.21,2020-06-11,183.66
103,2020-06-12,KILKNOXV2,73.4,49.0,58,0.4,30.3,2020-06-12,209.3
104,2020-06-13,KILKNOXV2,66.9,45.0,58,0.9,30.28,2020-06-13,200.7
105,2020-06-14,KILKNOXV2,66.7,45.0,56,2.1,30.31,2020-06-14,176.11
106,2020-06-15,KILKNOXV2,68.2,44.0,50,1.8,30.36,2020-06-15,179.24
107,2020-06-16,KILKNOXV2,70.8,47.0,61,1.4,30.32,2020-06-16,168.63
108,2020-06-17,KILKNOXV2,73.7,55.0,64,1.5,30.2,2020-06-17,181.97
109,2020-06-18,KILKNOXV2,74.9,55.0,65,1.0,30.08,2020-06-18,185.35
110,2020-06-19,KILKNOXV2,73.6,59.0,78,0.9,30.04,2020-06-19,227.87
111,2020-06-20,KILKNOXV2,73.5,64.0,83,1.2,29.98,2020-06-20,219.62
112,2020-06-21,KILKNOXV2,73.7,64.0,85,0.8,29.92,2020-06-21,166.15
113,2020-06-22,KILKNOXV2,70.8,62.0,89,1.0,29.89,2020-06-22,163.22
114,2020-06-23,KILKNOXV2,66.5,55.0,81,1.6,29.89,2020-06-23,182.8
115,2020-06-24,KILKNOXV2,68.9,56.0,76,1.2,29.93,2020-06-24,186.78
116,2020-06-25,KILKNOXV2,73.9,56.0,68,0.8,30.01,2020-06-25,188.22
117,2020-06-26,KILKNOXV2,79.2,60.0,72,1.8,29.98,2020-06-26,241.11
118,2020-06-27,KILKNOXV2,74.0,68.0,91,0.6,29.89,2020-06-27,206.27
119,2020-06-28,KILKNOXV2,76.9,66.0,87,1.3,29.86,2020-06-28,183.28
120,2020-06-29,KILKNOXV2,81.6,71.0,80,1.9,29.89,2020-06-29,178.6
121,2020-06-30,KILKNOXV2,75.1,68.0,88,1.4,29.91,2020-06-30,176.24
122,2020-07-01,KILKNOXV2,74.2,68.0,90,1.1,29.94,2020-07-01,204.17
123,2020-07-02,KILKNOXV2,80.3,65.0,74,0.4,30.04,2020-07-02,213.82
124,2020-07-03,KILKNOXV2,79.8,65.0,71,0.4,30.07,2020-07-03,224.71
125,2020-07-04,KILKNOXV2,80.9,65.0,70,0.2,30.05,2020-07-04,188.69
126,2020-07-05,KILKNOXV2,81.0,65.0,73,0.1,30.02,2020-07-05,200.03
127,2020-07-06,KILKNOXV2,82.1,67.0,74,0.2,30.04,2020-07-06,194.08
128,2020-07-07,KILKNOXV2,81.8,68.0,77,0.4,30.02,2020-07-07,189.65
