,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KILMANHA17,43.6,23.4,76,4.1,29.7,2020-03-01,98.77
1,2020-03-02,KILMANHA17,40.7,29.5,80,1.1,29.42,2020-03-02,106.93
2,2020-03-03,KILMANHA17,38.6,27.0,76,2.8,29.45,2020-03-03,107.48
3,2020-03-04,KILMANHA17,39.2,23.4,69,1.5,29.73,2020-03-04,112.95
4,2020-03-05,KILMANHA17,40.8,23.4,67,4.5,29.71,2020-03-05,114.38
5,2020-03-06,KILMANHA17,33.7,19.0,72,3.5,30.15,2020-03-06,140.57
6,2020-03-07,KILMANHA17,35.7,16.5,69,3.2,30.18,2020-03-07,139.56
7,2020-03-08,KILMANHA17,50.2,26.1,49,6.4,29.94,2020-03-08,102.25
8,2020-03-09,KILMANHA17,52.3,35.1,80,6.3,29.79,2020-03-09,106.51
9,2020-03-10,KILMANHA17,42.5,31.8,86,1.8,29.88,2020-03-10,112.77
10,2020-03-11,KILMANHA17,39.4,32.2,92,1.3,29.83,2020-03-11,107.54
11,2020-03-12,KILMANHA17,45.5,34.9,91,2.6,29.61,2020-03-12,104.49
12,2020-03-13,KILMANHA17,42.7,25.0,60,3.3,30.04,2020-03-13,120.13
13,2020-03-14,KILMANHA17,35.3,24.1,78,2.2,30.17,2020-03-14,102.72
14,2020-03-15,KILMANHA17,36.0,26.8,76,2.4,30.27,2020-03-15,75.13
15,2020-03-16,KILMANHA17,35.4,27.7,92,1.3,30.09,2020-03-16,86.95
16,2020-03-17,KILMANHA17,40.9,22.5,68,1.2,29.95,2020-03-17,84.36
17,2020-03-18,KILMANHA17,40.7,25.7,87,1.3,29.89,2020-03-18,75.2
18,2020-03-19,KILMANHA17,49.1,40.3,98,3.4,29.75,2020-03-19,73.9
19,2020-03-20,KILMANHA17,42.4,21.6,82,4.2,30.13,2020-03-20,80.15
20,2020-03-21,KILMANHA17,29.6,19.4,71,3.0,30.22,2020-03-21,57.84
21,2020-03-22,KILMANHA17,29.2,19.8,87,0.9,30.14,2020-03-22,38.39
22,2020-03-23,KILMANHA17,35.0,29.3,90,0.5,29.85,2020-03-23,54.53
23,2020-03-24,KILMANHA17,37.0,27.9,88,0.8,29.83,2020-03-24,58.49
24,2020-03-25,KILMANHA17,41.6,28.9,90,2.3,29.63,2020-03-25,62.75
25,2020-03-26,KILMANHA17,44.5,37.9,93,2.3,29.53,2020-03-26,59.65
26,2020-03-27,KILMANHA17,45.1,36.9,94,2.3,29.54,2020-03-27,65.51
27,2020-03-28,KILMANHA17,55.1,46.0,96,2.5,29.38,2020-03-28,54.5
28,2020-03-29,KILMANHA17,48.8,37.4,77,6.9,29.59,2020-03-29,44.81
29,2020-03-30,KILMANHA17,45.1,34.0,74,2.5,29.79,2020-03-30,60.92
30,2020-03-31,KILMANHA17,39.0,31.5,83,4.0,29.76,2020-03-31,61.2
31,2020-04-01,KILMANHA17,43.8,34.0,79,1.4,29.76,2020-04-01,63.03
32,2020-04-02,KILMANHA17,47.7,29.7,70,0.9,29.84,2020-04-02,66.84
33,2020-04-03,KILMANHA17,57.5,35.8,65,1.6,29.73,2020-04-03,73.4
34,2020-04-04,KILMANHA17,41.7,30.7,89,1.6,29.78,2020-04-04,59.3
35,2020-04-05,KILMANHA17,42.4,20.3,65,2.2,29.84,2020-04-05,48.92
36,2020-04-06,KILMANHA17,51.6,30.4,78,1.9,29.78,2020-04-06,64.56
37,2020-04-07,KILMANHA17,67.1,52.5,79,2.5,29.54,2020-04-07,67.33
38,2020-04-08,KILMANHA17,59.1,41.9,76,2.2,29.43,2020-04-08,65.29
39,2020-04-09,KILMANHA17,42.6,21.0,61,4.3,29.58,2020-04-09,67.45
40,2020-04-10,KILMANHA17,41.2,23.7,61,2.1,29.71,2020-04-10,76.44
41,2020-04-11,KILMANHA17,52.0,29.1,57,2.7,29.61,2020-04-11,64.85
42,2020-04-12,KILMANHA17,54.7,43.3,85,2.8,29.39,2020-04-12,41.58
43,2020-04-13,KILMANHA17,39.4,16.5,71,4.5,29.82,2020-04-13,65.37
44,2020-04-14,KILMANHA17,34.4,17.1,60,3.2,29.85,2020-04-14,71.05
45,2020-04-15,KILMANHA17,32.1,18.1,71,1.8,29.82,2020-04-15,74.87
46,2020-04-16,KILMANHA17,36.0,16.7,56,1.2,29.99,2020-04-16,74.67
47,2020-04-17,KILMANHA17,35.0,24.8,89,1.6,29.86,2020-04-17,76.54
48,2020-04-18,KILMANHA17,44.7,27.9,69,4.6,29.68,2020-04-18,77.83
49,2020-04-19,KILMANHA17,50.3,30.9,62,2.8,29.47,2020-04-19,61.97
50,2020-04-20,KILMANHA17,49.4,28.4,64,3.5,29.47,2020-04-20,78.55
51,2020-04-21,KILMANHA17,44.9,16.7,45,3.2,29.65,2020-04-21,78.57
52,2020-04-22,KILMANHA17,50.1,23.4,60,2.0,29.65,2020-04-22,77.35
53,2020-04-23,KILMANHA17,52.3,39.0,85,1.7,29.44,2020-04-23,80.99
54,2020-04-24,KILMANHA17,45.9,37.8,87,3.0,29.57,2020-04-24,88.05
55,2020-04-25,KILMANHA17,43.3,38.5,95,5.7,29.62,2020-04-25,73.79
56,2020-04-26,KILMANHA17,50.4,32.5,63,3.8,29.81,2020-04-26,68.25
57,2020-04-27,KILMANHA17,53.7,31.1,68,3.4,29.82,2020-04-27,80.87
58,2020-04-28,KILMANHA17,62.9,51.6,83,2.8,29.57,2020-04-28,83.17
59,2020-04-29,KILMANHA17,51.3,40.8,97,3.3,29.31,2020-04-29,79.02
60,2020-04-30,KILMANHA17,47.1,36.1,84,3.2,29.59,2020-04-30,85.41
61,2020-05-01,KILMANHA17,53.1,33.4,70,1.3,29.71,2020-05-01,101.93
62,2020-05-02,KILMANHA17,65.9,47.8,65,2.5,29.59,2020-05-02,92.66
63,2020-05-03,KILMANHA17,63.0,34.5,54,1.8,29.65,2020-05-03,74.47
64,2020-05-04,KILMANHA17,45.9,33.1,71,5.0,29.81,2020-05-04,87.27
