,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KILPITTS11,51.5,22.5,65,4.9,30.21,2020-03-01,91.1
1,2020-03-02,KILPITTS11,54.9,47.5,89,2.9,29.95,2020-03-02,96.06
2,2020-03-03,KILPITTS11,50.9,27.7,69,2.6,30.03,2020-03-03,108.51
3,2020-03-04,KILPITTS11,46.7,30.2,67,1.7,30.18,2020-03-04,111.03
4,2020-03-05,KILPITTS11,47.8,21.6,58,2.4,30.24,2020-03-05,127.19
5,2020-03-06,KILPITTS11,42.2,22.8,56,3.8,30.58,2020-03-06,140.19
6,2020-03-07,KILPITTS11,39.8,18.5,61,0.8,30.66,2020-03-07,146.49
7,2020-03-08,KILPITTS11,51.9,23.7,43,4.0,30.49,2020-03-08,106.07
8,2020-03-09,KILPITTS11,57.7,32.2,68,5.7,30.36,2020-03-09,100.71
9,2020-03-10,KILPITTS11,47.5,38.1,90,2.9,30.38,2020-03-10,116.94
10,2020-03-11,KILPITTS11,49.0,37.8,86,1.0,30.31,2020-03-11,102.36
11,2020-03-12,KILPITTS11,52.7,38.5,94,1.2,30.06,2020-03-12,95.27
12,2020-03-13,KILPITTS11,46.9,29.8,65,2.3,30.47,2020-03-13,123.09
13,2020-03-14,KILPITTS11,41.5,32.0,84,1.9,30.49,2020-03-14,98.82
14,2020-03-15,KILPITTS11,38.7,32.4,84,1.5,30.63,2020-03-15,74.7
15,2020-03-16,KILPITTS11,39.9,29.7,90,0.6,30.49,2020-03-16,88.26
16,2020-03-17,KILPITTS11,46.8,38.5,82,1.1,30.41,2020-03-17,81.32
17,2020-03-18,KILPITTS11,52.0,38.3,91,2.0,30.31,2020-03-18,73.68
18,2020-03-19,KILPITTS11,63.0,49.6,94,3.5,30.17,2020-03-19,86.13
19,2020-03-20,KILPITTS11,55.1,36.0,85,4.7,30.5,2020-03-20,97.24
20,2020-03-21,KILPITTS11,39.4,27.1,75,1.9,30.61,2020-03-21,78.88
21,2020-03-22,KILPITTS11,39.2,26.8,81,0.9,30.52,2020-03-22,43.1
22,2020-03-23,KILPITTS11,47.2,38.3,81,1.3,30.29,2020-03-23,73.29
23,2020-03-24,KILPITTS11,43.5,36.3,93,1.3,30.23,2020-03-24,64.14
24,2020-03-25,KILPITTS11,49.8,40.3,86,1.1,30.14,2020-03-25,70.84
25,2020-03-26,KILPITTS11,64.3,44.8,78,3.8,30.0,2020-03-26,88.26
26,2020-03-27,KILPITTS11,69.5,56.1,81,2.8,29.89,2020-03-27,90.94
27,2020-03-28,KILPITTS11,70.9,62.4,83,5.3,29.86,2020-03-28,77.46
28,2020-03-29,KILPITTS11,59.9,29.7,54,5.9,30.2,2020-03-29,76.99
29,2020-03-30,KILPITTS11,54.9,32.5,57,0.7,30.33,2020-03-30,72.03
30,2020-03-31,KILPITTS11,51.3,34.7,64,1.1,30.13,2020-03-31,69.5
31,2020-04-01,KILPITTS11,46.7,31.8,72,0.8,30.19,2020-04-01,81.64
32,2020-04-02,KILPITTS11,54.5,35.2,64,0.9,30.26,2020-04-02,95.27
33,2020-04-03,KILPITTS11,60.9,42.3,62,1.3,30.17,2020-04-03,95.27
34,2020-04-04,KILPITTS11,47.4,41.0,88,1.9,30.23,2020-04-04,67.61
35,2020-04-05,KILPITTS11,49.8,42.6,88,0.6,30.24,2020-04-05,55.0
36,2020-04-06,KILPITTS11,59.5,39.6,76,1.2,30.22,2020-04-06,78.64
37,2020-04-07,KILPITTS11,68.9,53.1,79,4.3,30.06,2020-04-07,83.45
38,2020-04-08,KILPITTS11,73.0,52.0,75,3.1,29.88,2020-04-08,91.65
39,2020-04-09,KILPITTS11,54.5,20.7,48,3.7,30.14,2020-04-09,89.52
40,2020-04-10,KILPITTS11,43.8,17.2,50,1.7,30.29,2020-04-10,97.87
41,2020-04-11,KILPITTS11,50.2,29.7,63,1.6,30.14,2020-04-11,88.89
42,2020-04-12,KILPITTS11,56.7,38.3,84,1.6,29.89,2020-04-12,49.17
43,2020-04-13,KILPITTS11,45.0,24.6,67,3.3,30.35,2020-04-13,85.66
44,2020-04-14,KILPITTS11,41.9,14.4,56,1.1,30.4,2020-04-14,84.48
45,2020-04-15,KILPITTS11,43.0,22.1,59,2.6,30.33,2020-04-15,101.58
46,2020-04-16,KILPITTS11,47.8,21.0,51,1.1,30.43,2020-04-16,104.96
47,2020-04-17,KILPITTS11,47.8,33.3,78,2.1,30.2,2020-04-17,96.61
48,2020-04-18,KILPITTS11,45.2,28.0,67,1.6,30.27,2020-04-18,100.47
49,2020-04-19,KILPITTS11,51.1,36.0,80,0.7,30.01,2020-04-19,75.89
50,2020-04-20,KILPITTS11,57.1,27.3,60,1.3,29.96,2020-04-20,93.7
51,2020-04-21,KILPITTS11,56.9,24.1,54,2.1,30.15,2020-04-21,88.34
52,2020-04-22,KILPITTS11,54.4,31.5,64,2.2,30.15,2020-04-22,92.59
53,2020-04-23,KILPITTS11,55.0,51.3,95,0.8,29.93,2020-04-23,92.91
54,2020-04-24,KILPITTS11,60.1,43.9,77,0.6,29.98,2020-04-24,110.64
55,2020-04-25,KILPITTS11,56.4,44.8,90,2.3,29.98,2020-04-25,97.48
56,2020-04-26,KILPITTS11,52.6,34.7,72,2.9,30.29,2020-04-26,92.36
57,2020-04-27,KILPITTS11,54.9,34.7,69,2.0,30.33,2020-04-27,108.59
58,2020-04-28,KILPITTS11,67.0,49.3,68,4.2,30.13,2020-04-28,110.17
59,2020-04-29,KILPITTS11,55.6,46.0,87,3.0,29.9,2020-04-29,102.05
60,2020-04-30,KILPITTS11,56.3,38.7,70,2.8,30.05,2020-04-30,109.93
61,2020-05-01,KILPITTS11,60.9,40.3,62,1.4,30.17,2020-05-01,149.49
62,2020-05-02,KILPITTS11,71.5,46.8,63,3.0,30.11,2020-05-02,142.0
63,2020-05-03,KILPITTS11,68.0,48.6,73,1.6,30.1,2020-05-03,83.61
64,2020-05-04,KILPITTS11,59.5,44.4,75,0.9,30.13,2020-05-04,110.01
65,2020-05-05,KILPITTS11,56.9,48.2,88,1.8,30.07,2020-05-05,93.14
66,2020-05-06,KILPITTS11,51.8,36.3,74,1.8,30.26,2020-05-06,108.98
67,2020-05-07,KILPITTS11,56.4,37.8,66,1.9,30.25,2020-05-07,109.46
68,2020-05-08,KILPITTS11,52.6,31.3,76,1.9,30.28,2020-05-08,131.36
69,2020-05-09,KILPITTS11,49.4,28.6,66,0.9,30.38,2020-05-09,144.76
70,2020-05-10,KILPITTS11,53.8,34.9,66,2.7,30.31,2020-05-10,94.09
71,2020-05-11,KILPITTS11,49.5,32.4,66,1.2,30.4,2020-05-11,94.09
72,2020-05-12,KILPITTS11,50.7,37.9,80,0.7,30.38,2020-05-12,94.09
73,2020-05-13,KILPITTS11,53.7,47.5,96,0.9,30.3,2020-05-13,122.22
74,2020-05-14,KILPITTS11,70.8,57.6,76,3.1,30.16,2020-05-14,131.21
75,2020-05-15,KILPITTS11,67.6,61.0,90,2.0,30.07,2020-05-15,162.17
76,2020-05-16,KILPITTS11,70.5,62.1,90,0.8,30.09,2020-05-16,139.72
77,2020-05-17,KILPITTS11,69.2,60.3,90,1.6,29.98,2020-05-17,101.18
78,2020-05-18,KILPITTS11,60.6,54.3,88,1.4,29.92,2020-05-18,128.68
79,2020-05-19,KILPITTS11,58.4,54.0,94,0.9,29.98,2020-05-19,134.04
80,2020-05-20,KILPITTS11,60.5,55.2,93,0.5,30.09,2020-05-20,146.57
81,2020-05-21,KILPITTS11,62.2,54.3,87,0.3,30.13,2020-05-21,162.1
82,2020-05-22,KILPITTS11,68.4,56.8,84,0.5,30.09,2020-05-22,208.2
83,2020-05-23,KILPITTS11,73.2,60.8,79,1.8,30.04,2020-05-23,202.05
84,2020-05-24,KILPITTS11,76.3,62.6,78,2.0,30.1,2020-05-24,155.4
85,2020-05-25,KILPITTS11,74.5,61.5,82,0.7,30.09,2020-05-25,128.84
86,2020-05-26,KILPITTS11,72.2,64.2,85,1.0,30.07,2020-05-26,159.81
87,2020-05-27,KILPITTS11,70.3,64.9,91,0.8,30.04,2020-05-27,151.69
88,2020-05-28,KILPITTS11,72.1,60.6,82,1.5,30.04,2020-05-28,147.6
89,2020-05-29,KILPITTS11,68.2,52.0,77,0.9,30.2,2020-05-29,180.85
90,2020-05-30,KILPITTS11,64.7,49.8,72,0.8,30.29,2020-05-30,216.15
91,2020-05-31,KILPITTS11,66.1,50.5,72,0.5,30.36,2020-05-31,158.79
92,2020-06-01,KILPITTS11,67.4,41.5,62,0.7,30.37,2020-06-01,152.88
93,2020-06-02,KILPITTS11,73.5,50.9,61,1.8,30.21,2020-06-02,144.76
94,2020-06-03,KILPITTS11,76.7,58.6,72,1.5,30.09,2020-06-03,170.76
95,2020-06-04,KILPITTS11,72.8,65.1,88,1.2,29.96,2020-06-04,159.5
96,2020-06-05,KILPITTS11,76.1,61.3,82,0.9,30.05,2020-06-05,199.92
97,2020-06-06,KILPITTS11,80.4,65.7,76,0.3,30.12,2020-06-06,200.08
98,2020-06-07,KILPITTS11,80.0,58.5,64,0.9,30.09,2020-06-07,140.35
99,2020-06-08,KILPITTS11,77.4,57.9,70,1.6,30.0,2020-06-08,168.24
100,2020-06-09,KILPITTS11,74.2,72.0,93,1.0,29.82,2020-06-09,137.98
101,2020-06-10,KILPITTS11,74.6,55.2,69,5.1,30.14,2020-06-10,168.72
102,2020-06-11,KILPITTS11,70.5,48.9,67,0.7,30.33,2020-06-11,183.45
103,2020-06-12,KILPITTS11,73.7,51.1,67,0.5,30.39,2020-06-12,236.49
104,2020-06-13,KILPITTS11,75.6,57.2,67,0.6,30.24,2020-06-13,235.22
105,2020-06-14,KILPITTS11,68.9,57.7,78,0.9,30.36,2020-06-14,153.66
106,2020-06-15,KILPITTS11,67.4,48.4,69,0.5,30.39,2020-06-15,158.63
107,2020-06-16,KILPITTS11,68.8,51.6,73,0.6,30.37,2020-06-16,157.53
108,2020-06-17,KILPITTS11,71.0,54.5,72,0.5,30.28,2020-06-17,165.25
109,2020-06-18,KILPITTS11,73.4,57.7,72,0.5,30.18,2020-06-18,171.24
110,2020-06-19,KILPITTS11,75.5,60.6,73,0.9,30.17,2020-06-19,201.58
111,2020-06-20,KILPITTS11,77.0,63.7,74,1.6,30.14,2020-06-20,225.45
112,2020-06-21,KILPITTS11,73.2,64.8,85,0.7,30.07,2020-06-21,140.11
113,2020-06-22,KILPITTS11,73.4,65.8,89,1.3,30.04,2020-06-22,153.35
114,2020-06-23,KILPITTS11,72.1,59.2,79,1.3,29.99,2020-06-23,178.72
115,2020-06-24,KILPITTS11,72.4,55.9,72,0.6,30.04,2020-06-24,171.39
116,2020-06-25,KILPITTS11,74.0,57.9,73,1.4,30.14,2020-06-25,178.17
117,2020-06-26,KILPITTS11,76.6,62.6,81,2.4,30.18,2020-06-26,224.9
