,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KILTAYLO10,50.2,26.2,73,4.0,29.93,2020-03-01,103.76
1,2020-03-02,KILTAYLO10,46.3,33.6,85,2.6,29.69,2020-03-02,122.31
2,2020-03-03,KILTAYLO10,44.7,26.1,71,4.9,29.74,2020-03-03,142.17
3,2020-03-04,KILTAYLO10,44.0,25.9,63,3.0,29.97,2020-03-04,126.9
4,2020-03-05,KILTAYLO10,44.5,20.5,63,6.9,29.98,2020-03-05,137.97
5,2020-03-06,KILTAYLO10,38.4,19.8,61,5.9,30.36,2020-03-06,144.3
6,2020-03-07,KILTAYLO10,40.4,22.3,65,2.8,30.42,2020-03-07,158.27
7,2020-03-08,KILTAYLO10,51.5,26.6,50,4.8,30.2,2020-03-08,96.94
8,2020-03-09,KILTAYLO10,55.0,35.6,79,5.3,30.06,2020-03-09,107.42
9,2020-03-10,KILTAYLO10,41.7,36.3,95,4.5,30.15,2020-03-10,116.26
10,2020-03-11,KILTAYLO10,43.3,38.3,94,1.4,30.09,2020-03-11,114.4
11,2020-03-12,KILTAYLO10,48.4,39.4,98,2.6,29.84,2020-03-12,118.39
12,2020-03-13,KILTAYLO10,45.7,23.7,58,3.6,30.27,2020-03-13,127.66
13,2020-03-14,KILTAYLO10,37.3,25.9,87,2.2,30.36,2020-03-14,110.09
14,2020-03-15,KILTAYLO10,37.9,30.4,84,1.7,30.46,2020-03-15,67.54
15,2020-03-16,KILTAYLO10,39.0,31.6,95,1.1,30.27,2020-03-16,90.29
16,2020-03-17,KILTAYLO10,44.6,32.9,79,1.9,30.2,2020-03-17,86.58
17,2020-03-18,KILTAYLO10,47.0,37.2,97,1.9,30.1,2020-03-18,78.83
18,2020-03-19,KILTAYLO10,57.8,48.2,97,3.3,29.95,2020-03-19,83.14
19,2020-03-20,KILTAYLO10,48.0,31.6,88,5.5,30.33,2020-03-20,82.11
20,2020-03-21,KILTAYLO10,34.0,22.8,73,1.8,30.43,2020-03-21,64.32
21,2020-03-22,KILTAYLO10,32.2,25.5,95,1.5,30.33,2020-03-22,44.03
22,2020-03-23,KILTAYLO10,36.9,33.6,94,1.0,30.1,2020-03-23,62.63
23,2020-03-24,KILTAYLO10,41.3,35.4,95,1.7,30.05,2020-03-24,65.74
24,2020-03-25,KILTAYLO10,47.6,40.1,91,2.4,29.88,2020-03-25,74.8
25,2020-03-26,KILTAYLO10,54.7,43.5,92,2.1,29.72,2020-03-26,86.14
26,2020-03-27,KILTAYLO10,57.6,50.5,97,2.1,29.69,2020-03-27,81.83
27,2020-03-28,KILTAYLO10,67.6,47.5,95,3.6,29.6,2020-03-28,70.16
28,2020-03-29,KILTAYLO10,56.2,29.5,56,11.7,29.96,2020-03-29,62.14
29,2020-03-30,KILTAYLO10,50.6,28.4,63,2.5,30.1,2020-03-30,79.92
30,2020-03-31,KILTAYLO10,45.2,34.0,78,1.5,29.94,2020-03-31,81.56
31,2020-04-01,KILTAYLO10,44.9,29.7,78,1.1,29.97,2020-04-01,81.94
32,2020-04-02,KILTAYLO10,53.2,36.1,71,1.7,30.02,2020-04-02,85.05
33,2020-04-03,KILTAYLO10,58.1,39.6,74,2.3,29.93,2020-04-03,91.93
34,2020-04-04,KILTAYLO10,41.5,34.5,87,3.2,30.03,2020-04-04,67.59
35,2020-04-05,KILTAYLO10,48.2,34.9,76,1.1,30.04,2020-04-05,51.99
36,2020-04-06,KILTAYLO10,56.6,38.5,84,1.3,29.98,2020-04-06,89.53
37,2020-04-07,KILTAYLO10,70.0,56.1,76,3.2,29.78,2020-04-07,89.58
38,2020-04-08,KILTAYLO10,68.0,45.0,72,3.1,29.71,2020-04-08,106.0
39,2020-04-09,KILTAYLO10,47.7,17.2,49,7.7,29.91,2020-04-09,104.31
40,2020-04-10,KILTAYLO10,42.2,19.0,52,4.5,30.04,2020-04-10,109.0
41,2020-04-11,KILTAYLO10,52.8,29.5,60,3.2,29.87,2020-04-11,87.34
42,2020-04-12,KILTAYLO10,56.4,41.7,85,2.8,29.6,2020-04-12,44.95
43,2020-04-13,KILTAYLO10,39.9,20.7,69,8.9,30.11,2020-04-13,85.0
44,2020-04-14,KILTAYLO10,38.6,16.0,54,4.7,30.16,2020-04-14,86.31
45,2020-04-15,KILTAYLO10,38.3,16.2,59,4.2,30.09,2020-04-15,107.2
46,2020-04-16,KILTAYLO10,36.1,22.1,87,1.3,30.25,2020-04-16,104.86
47,2020-04-17,KILTAYLO10,39.3,31.5,95,3.0,29.99,2020-04-17,108.78
48,2020-04-18,KILTAYLO10,45.2,29.1,70,2.8,29.99,2020-04-18,92.36
49,2020-04-19,KILTAYLO10,55.8,29.8,56,2.3,29.74,2020-04-19,72.23
50,2020-04-20,KILTAYLO10,52.6,29.3,61,3.4,29.7,2020-04-20,110.47
51,2020-04-21,KILTAYLO10,52.5,19.2,48,5.0,29.91,2020-04-21,112.77
52,2020-04-22,KILTAYLO10,58.4,29.1,54,3.5,29.89,2020-04-22,115.22
53,2020-04-23,KILTAYLO10,55.2,47.3,94,1.1,29.68,2020-04-23,105.62
54,2020-04-24,KILTAYLO10,58.2,42.4,85,1.3,29.73,2020-04-24,115.6
55,2020-04-25,KILTAYLO10,49.2,44.1,99,3.0,29.81,2020-04-25,93.29
56,2020-04-26,KILTAYLO10,52.8,38.7,76,3.1,30.06,2020-04-26,82.92
57,2020-04-27,KILTAYLO10,57.5,38.5,73,2.6,30.07,2020-04-27,107.58
58,2020-04-28,KILTAYLO10,66.0,51.8,78,3.2,29.83,2020-04-28,102.51
59,2020-04-29,KILTAYLO10,52.6,47.7,94,6.0,29.63,2020-04-29,121.06
60,2020-04-30,KILTAYLO10,56.4,40.8,68,6.0,29.81,2020-04-30,115.11
