,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KINMONRO31,38.9,12.9,64,3.0,30.44,2020-03-01,85.3
1,2020-03-02,KINMONRO31,47.3,38.7,87,5.9,30.08,2020-03-02,106.93
2,2020-03-03,KINMONRO31,43.6,28.6,78,7.4,30.11,2020-03-03,110.12
3,2020-03-04,KINMONRO31,39.6,21.9,68,5.2,30.38,2020-03-04,121.74
4,2020-03-05,KINMONRO31,39.4,21.6,64,4.2,30.4,2020-03-05,120.51
5,2020-03-06,KINMONRO31,35.3,21.9,77,7.1,30.72,2020-03-06,128.68
6,2020-03-07,KINMONRO31,35.9,19.9,64,2.4,30.84,2020-03-07,139.8
7,2020-03-08,KINMONRO31,48.2,23.4,46,6.8,30.67,2020-03-08,85.13
8,2020-03-09,KINMONRO31,55.7,29.7,49,10.7,30.52,2020-03-09,97.82
9,2020-03-10,KINMONRO31,46.3,33.6,85,7.6,30.51,2020-03-10,105.14
10,2020-03-11,KINMONRO31,41.6,34.0,85,2.2,30.49,2020-03-11,106.37
11,2020-03-12,KINMONRO31,49.5,38.7,82,1.5,30.29,2020-03-12,98.83
12,2020-03-13,KINMONRO31,46.0,20.3,59,8.8,30.65,2020-03-13,111.51
13,2020-03-14,KINMONRO31,35.0,22.1,76,2.0,30.75,2020-03-14,102.24
14,2020-03-15,KINMONRO31,35.0,22.3,75,3.5,30.86,2020-03-15,71.32
15,2020-03-16,KINMONRO31,37.0,20.3,73,1.8,30.76,2020-03-16,91.22
16,2020-03-17,KINMONRO31,40.1,28.4,78,3.8,30.59,2020-03-17,87.7
17,2020-03-18,KINMONRO31,38.3,27.9,88,2.1,30.59,2020-03-18,84.68
18,2020-03-19,KINMONRO31,47.5,37.8,94,3.5,30.44,2020-03-19,84.96
19,2020-03-20,KINMONRO31,50.8,21.7,78,9.9,30.67,2020-03-20,91.62
20,2020-03-21,KINMONRO31,30.2,18.1,67,3.9,30.82,2020-03-21,75.52
21,2020-03-22,KINMONRO31,30.9,18.9,76,3.0,30.8,2020-03-22,49.19
22,2020-03-23,KINMONRO31,36.9,30.7,86,2.5,30.48,2020-03-23,77.19
23,2020-03-24,KINMONRO31,40.1,31.3,79,2.9,30.46,2020-03-24,76.36
24,2020-03-25,KINMONRO31,40.8,29.5,84,1.8,30.29,2020-03-25,67.13
25,2020-03-26,KINMONRO31,52.9,39.7,78,3.5,30.18,2020-03-26,67.58
26,2020-03-27,KINMONRO31,46.8,42.3,91,4.7,30.22,2020-03-27,73.23
27,2020-03-28,KINMONRO31,51.3,41.9,94,2.6,30.13,2020-03-28,56.23
28,2020-03-29,KINMONRO31,57.2,38.3,72,14.0,30.2,2020-03-29,45.78
29,2020-03-30,KINMONRO31,44.0,31.8,74,9.0,30.4,2020-03-30,70.15
30,2020-03-31,KINMONRO31,38.1,29.1,85,2.5,30.38,2020-03-31,68.81
31,2020-04-01,KINMONRO31,43.0,35.4,84,2.3,30.38,2020-04-01,80.27
32,2020-04-02,KINMONRO31,45.8,30.7,72,1.6,30.47,2020-04-02,73.5
33,2020-04-03,KINMONRO31,52.3,33.6,61,1.2,30.38,2020-04-03,87.14
34,2020-04-04,KINMONRO31,51.4,38.3,75,3.0,30.36,2020-04-04,64.23
35,2020-04-05,KINMONRO31,45.4,36.3,80,2.5,30.44,2020-04-05,57.13
36,2020-04-06,KINMONRO31,49.5,28.0,66,1.5,30.45,2020-04-06,82.62
37,2020-04-07,KINMONRO31,63.4,46.9,74,5.1,30.25,2020-04-07,75.35
38,2020-04-08,KINMONRO31,63.2,42.3,69,2.9,30.06,2020-04-08,84.52
39,2020-04-09,KINMONRO31,44.9,18.7,62,10.2,30.08,2020-04-09,80.77
40,2020-04-10,KINMONRO31,38.2,22.3,64,6.4,30.29,2020-04-10,84.35
41,2020-04-11,KINMONRO31,46.3,24.4,55,3.0,30.29,2020-04-11,68.59
42,2020-04-12,KINMONRO31,54.4,30.4,71,3.7,30.2,2020-04-12,40.92
43,2020-04-13,KINMONRO31,44.6,24.1,77,9.5,30.42,2020-04-13,76.41
44,2020-04-14,KINMONRO31,36.2,12.2,54,7.5,30.47,2020-04-14,84.91
45,2020-04-15,KINMONRO31,33.6,18.9,65,5.9,30.43,2020-04-15,75.18
46,2020-04-16,KINMONRO31,35.9,14.2,55,5.0,30.57,2020-04-16,92.01
47,2020-04-17,KINMONRO31,34.7,21.2,84,3.1,30.54,2020-04-17,85.75
48,2020-04-18,KINMONRO31,42.1,28.6,70,6.5,30.34,2020-04-18,82.34
49,2020-04-19,KINMONRO31,50.4,27.9,57,6.9,30.15,2020-04-19,75.35
50,2020-04-20,KINMONRO31,48.8,25.9,55,6.0,30.1,2020-04-20,96.93
51,2020-04-21,KINMONRO31,44.0,11.5,49,8.7,30.29,2020-04-21,96.31
52,2020-04-22,KINMONRO31,44.0,19.0,54,2.1,30.37,2020-04-22,98.1
53,2020-04-23,KINMONRO31,49.2,34.5,80,2.8,30.13,2020-04-23,97.82
54,2020-04-24,KINMONRO31,51.3,38.7,79,2.1,30.17,2020-04-24,108.66
55,2020-04-25,KINMONRO31,53.4,36.9,72,6.8,30.19,2020-04-25,97.99
56,2020-04-26,KINMONRO31,51.3,24.1,55,7.4,30.4,2020-04-26,73.34
57,2020-04-27,KINMONRO31,52.0,25.9,52,3.9,30.47,2020-04-27,101.51
58,2020-04-28,KINMONRO31,62.0,43.9,70,3.7,30.29,2020-04-28,108.89
59,2020-04-29,KINMONRO31,59.4,46.9,73,6.3,30.02,2020-04-29,100.11
60,2020-04-30,KINMONRO31,44.7,37.2,87,8.9,30.09,2020-04-30,98.71
61,2020-05-01,KINMONRO31,54.8,31.8,60,3.5,30.32,2020-05-01,135.61
62,2020-05-02,KINMONRO31,66.7,42.4,59,6.6,30.32,2020-05-02,120.91
