,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KKYBARDS21,47.6,17.4,50,4.9,30.23,2020-03-01,108.9
1,2020-03-02,KKYBARDS21,54.1,36.7,87,4.4,30.01,2020-03-02,108.8
2,2020-03-03,KKYBARDS21,54.0,29.2,73,4.8,29.94,2020-03-03,125.55
3,2020-03-04,KKYBARDS21,49.4,30.1,59,3.5,30.1,2020-03-04,122.12
4,2020-03-05,KKYBARDS21,49.5,26.1,52,2.8,30.14,2020-03-05,123.07
5,2020-03-06,KKYBARDS21,40.4,23.8,59,7.2,30.48,2020-03-06,156.99
6,2020-03-07,KKYBARDS21,38.2,22.2,61,1.6,30.59,2020-03-07,167.64
7,2020-03-08,KKYBARDS21,48.3,23.8,50,3.5,30.49,2020-03-08,111.67
8,2020-03-09,KKYBARDS21,54.1,28.6,45,6.2,30.4,2020-03-09,113.2
9,2020-03-10,KKYBARDS21,55.8,44.6,85,5.9,30.23,2020-03-10,125.21
10,2020-03-11,KKYBARDS21,49.9,43.4,84,1.9,30.23,2020-03-11,123.41
11,2020-03-12,KKYBARDS21,55.0,41.4,93,2.1,30.02,2020-03-12,114.9
12,2020-03-13,KKYBARDS21,53.4,16.5,53,4.1,30.39,2020-03-13,131.92
13,2020-03-14,KKYBARDS21,42.1,28.1,75,3.6,30.4,2020-03-14,123.05
14,2020-03-15,KKYBARDS21,38.8,33.7,87,4.7,30.51,2020-03-15,78.05
15,2020-03-16,KKYBARDS21,42.8,35.0,84,1.7,30.42,2020-03-16,88.38
16,2020-03-17,KKYBARDS21,46.6,40.0,89,1.6,30.31,2020-03-17,86.58
17,2020-03-18,KKYBARDS21,53.0,39.1,96,2.9,30.3,2020-03-18,83.56
18,2020-03-19,KKYBARDS21,65.8,61.2,93,4.6,30.14,2020-03-19,87.67
19,2020-03-20,KKYBARDS21,65.5,38.9,79,7.4,30.33,2020-03-20,93.99
20,2020-03-21,KKYBARDS21,38.9,28.6,75,4.6,30.48,2020-03-21,82.08
21,2020-03-22,KKYBARDS21,39.9,28.4,82,3.2,30.46,2020-03-22,53.63
22,2020-03-23,KKYBARDS21,49.4,43.7,89,1.8,30.16,2020-03-23,77.19
23,2020-03-24,KKYBARDS21,48.2,39.9,90,2.8,30.14,2020-03-24,72.5
24,2020-03-25,KKYBARDS21,51.1,41.0,81,2.9,30.04,2020-03-25,83.49
25,2020-03-26,KKYBARDS21,60.9,41.1,73,4.3,29.98,2020-03-26,77.63
26,2020-03-27,KKYBARDS21,69.3,54.5,75,2.3,29.88,2020-03-27,91.49
27,2020-03-28,KKYBARDS21,73.5,62.4,75,5.6,29.86,2020-03-28,71.6
28,2020-03-29,KKYBARDS21,65.1,39.0,63,7.5,30.1,2020-03-29,57.6
29,2020-03-30,KKYBARDS21,54.3,28.5,55,3.0,30.22,2020-03-30,77.95
30,2020-03-31,KKYBARDS21,47.1,33.8,72,3.2,30.05,2020-03-31,78.53
31,2020-04-01,KKYBARDS21,46.2,36.6,75,3.6,30.11,2020-04-01,76.93
32,2020-04-02,KKYBARDS21,48.9,33.1,71,1.2,30.21,2020-04-02,70.48
33,2020-04-03,KKYBARDS21,55.9,38.0,62,1.2,30.13,2020-04-03,83.61
34,2020-04-04,KKYBARDS21,60.2,39.0,62,1.4,30.08,2020-04-04,77.41
35,2020-04-05,KKYBARDS21,59.9,47.9,77,2.6,30.11,2020-04-05,60.93
36,2020-04-06,KKYBARDS21,62.1,48.4,76,1.4,30.14,2020-04-06,79.31
37,2020-04-07,KKYBARDS21,68.0,52.4,74,3.3,30.01,2020-04-07,84.03
38,2020-04-08,KKYBARDS21,72.8,56.7,76,5.4,29.81,2020-04-08,86.92
39,2020-04-09,KKYBARDS21,54.8,23.1,51,6.1,29.9,2020-04-09,86.34
40,2020-04-10,KKYBARDS21,43.7,21.0,50,4.3,30.14,2020-04-10,97.71
41,2020-04-11,KKYBARDS21,48.3,16.8,58,2.0,30.1,2020-04-11,92.03
42,2020-04-12,KKYBARDS21,56.4,34.0,73,3.3,29.92,2020-04-12,53.27
43,2020-04-13,KKYBARDS21,49.2,31.9,83,4.8,30.2,2020-04-13,80.87
44,2020-04-14,KKYBARDS21,41.8,17.1,54,2.1,30.27,2020-04-14,82.25
45,2020-04-15,KKYBARDS21,42.0,17.4,58,3.7,30.2,2020-04-15,89.57
46,2020-04-16,KKYBARDS21,44.4,20.4,54,1.4,30.38,2020-04-16,88.89
47,2020-04-17,KKYBARDS21,52.6,31.6,64,3.4,30.25,2020-04-17,99.05
48,2020-04-18,KKYBARDS21,45.5,29.3,70,3.2,30.17,2020-04-18,94.72
49,2020-04-19,KKYBARDS21,49.6,34.2,71,1.2,30.0,2020-04-19,69.37
50,2020-04-20,KKYBARDS21,56.0,32.9,61,2.2,29.81,2020-04-20,91.76
51,2020-04-21,KKYBARDS21,57.3,19.9,48,5.1,30.06,2020-04-21,95.79
52,2020-04-22,KKYBARDS21,55.3,26.4,51,2.2,30.12,2020-04-22,98.27
53,2020-04-23,KKYBARDS21,56.0,40.3,91,2.0,29.94,2020-04-23,95.55
54,2020-04-24,KKYBARDS21,58.0,49.1,85,2.4,29.89,2020-04-24,113.83
55,2020-04-25,KKYBARDS21,55.4,47.2,94,1.3,29.89,2020-04-25,88.79
56,2020-04-26,KKYBARDS21,49.6,43.5,96,3.3,30.14,2020-04-26,69.29
57,2020-04-27,KKYBARDS21,54.2,31.8,65,2.0,30.26,2020-04-27,97.54
58,2020-04-28,KKYBARDS21,63.6,40.7,57,4.1,30.1,2020-04-28,101.92
