,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KKYFERGU4,44.9,18.0,55,2.8,30.25,2020-03-01,99.93
1,2020-03-02,KKYFERGU4,51.7,34.0,84,3.6,30.04,2020-03-02,112.56
2,2020-03-03,KKYFERGU4,54.7,36.0,77,4.1,29.95,2020-03-03,115.88
3,2020-03-04,KKYFERGU4,49.3,30.0,63,2.0,30.07,2020-03-04,119.78
4,2020-03-05,KKYFERGU4,51.4,30.0,54,3.0,30.11,2020-03-05,131.82
5,2020-03-06,KKYFERGU4,41.6,25.0,57,7.4,30.44,2020-03-06,143.57
6,2020-03-07,KKYFERGU4,38.9,23.0,61,2.5,30.58,2020-03-07,149.65
7,2020-03-08,KKYFERGU4,47.7,22.0,53,2.2,30.52,2020-03-08,108.45
8,2020-03-09,KKYFERGU4,58.1,28.0,47,4.4,30.46,2020-03-09,123.12
9,2020-03-10,KKYFERGU4,58.2,46.0,79,3.8,30.25,2020-03-10,119.29
10,2020-03-11,KKYFERGU4,54.4,45.0,81,1.8,30.21,2020-03-11,116.73
11,2020-03-12,KKYFERGU4,57.9,42.0,86,2.2,30.01,2020-03-12,108.99
12,2020-03-13,KKYFERGU4,56.9,26.0,55,3.7,30.36,2020-03-13,129.63
13,2020-03-14,KKYFERGU4,44.9,25.0,67,4.4,30.39,2020-03-14,117.07
14,2020-03-15,KKYFERGU4,39.5,35.0,88,4.9,30.47,2020-03-15,80.4
15,2020-03-16,KKYFERGU4,44.6,34.0,87,1.4,30.41,2020-03-16,102.51
16,2020-03-17,KKYFERGU4,49.2,44.0,92,1.9,30.33,2020-03-17,92.33
17,2020-03-18,KKYFERGU4,57.3,44.0,90,2.1,30.3,2020-03-18,93.38
18,2020-03-19,KKYFERGU4,67.7,59.0,83,2.4,30.18,2020-03-19,86.75
19,2020-03-20,KKYFERGU4,67.0,48.0,84,3.8,30.27,2020-03-20,89.77
20,2020-03-21,KKYFERGU4,41.7,32.0,84,4.6,30.48,2020-03-21,87.98
21,2020-03-22,KKYFERGU4,45.5,32.0,81,3.5,30.44,2020-03-22,59.12
22,2020-03-23,KKYFERGU4,53.6,43.0,88,2.7,30.17,2020-03-23,73.07
23,2020-03-24,KKYFERGU4,49.7,39.0,92,2.2,30.14,2020-03-24,75.4
24,2020-03-25,KKYFERGU4,52.0,43.0,82,2.3,30.03,2020-03-25,80.8
25,2020-03-26,KKYFERGU4,60.3,39.0,67,3.0,30.0,2020-03-26,89.77
26,2020-03-27,KKYFERGU4,71.9,51.0,63,2.1,29.92,2020-03-27,98.5
27,2020-03-28,KKYFERGU4,73.2,58.0,68,3.0,29.91,2020-03-28,89.3
28,2020-03-29,KKYFERGU4,68.6,39.0,57,5.9,30.13,2020-03-29,66.43
29,2020-03-30,KKYFERGU4,56.1,31.0,55,2.5,30.21,2020-03-30,85.27
30,2020-03-31,KKYFERGU4,46.7,35.0,80,2.8,30.05,2020-03-31,71.07
31,2020-04-01,KKYFERGU4,45.0,36.0,77,3.4,30.09,2020-04-01,76.68
32,2020-04-02,KKYFERGU4,46.9,30.0,73,2.1,30.19,2020-04-02,79.77
33,2020-04-03,KKYFERGU4,53.5,35.0,63,1.9,30.14,2020-04-03,94.51
34,2020-04-04,KKYFERGU4,58.9,39.0,59,1.6,30.09,2020-04-04,82.57
35,2020-04-05,KKYFERGU4,62.8,45.0,67,1.9,30.09,2020-04-05,69.68
36,2020-04-06,KKYFERGU4,63.1,47.0,73,1.9,30.14,2020-04-06,83.16
37,2020-04-07,KKYFERGU4,67.2,50.0,72,1.9,30.03,2020-04-07,85.83
38,2020-04-08,KKYFERGU4,69.3,58.0,79,2.8,29.84,2020-04-08,90.85
39,2020-04-09,KKYFERGU4,57.3,24.0,57,6.3,29.88,2020-04-09,88.7
40,2020-04-10,KKYFERGU4,44.5,20.0,49,5.1,30.11,2020-04-10,95.69
41,2020-04-11,KKYFERGU4,49.2,20.0,52,1.3,30.12,2020-04-11,91.97
42,2020-04-12,KKYFERGU4,56.6,29.0,69,2.9,29.98,2020-04-12,43.57
43,2020-04-13,KKYFERGU4,51.7,34.0,82,6.1,30.19,2020-04-13,74.97
44,2020-04-14,KKYFERGU4,39.4,28.0,78,3.4,30.24,2020-04-14,82.35
45,2020-04-15,KKYFERGU4,41.4,22.0,67,1.9,30.18,2020-04-15,91.84
46,2020-04-16,KKYFERGU4,45.6,20.0,53,2.3,30.38,2020-04-16,91.77
47,2020-04-17,KKYFERGU4,55.1,32.0,57,2.6,30.27,2020-04-17,100.92
48,2020-04-18,KKYFERGU4,44.4,31.0,77,3.1,30.18,2020-04-18,99.33
49,2020-04-19,KKYFERGU4,47.9,30.0,73,1.3,30.01,2020-04-19,71.5
50,2020-04-20,KKYFERGU4,56.3,38.0,68,2.4,29.81,2020-04-20,100.43
51,2020-04-21,KKYFERGU4,57.7,26.0,53,5.6,30.05,2020-04-21,101.73
52,2020-04-22,KKYFERGU4,54.4,29.0,55,1.0,30.14,2020-04-22,101.05
53,2020-04-23,KKYFERGU4,57.8,40.0,82,2.3,29.97,2020-04-23,92.22
54,2020-04-24,KKYFERGU4,58.5,47.0,85,3.1,29.89,2020-04-24,116.71
55,2020-04-25,KKYFERGU4,54.4,43.0,91,1.4,29.89,2020-04-25,101.48
56,2020-04-26,KKYFERGU4,48.9,42.0,93,4.5,30.15,2020-04-26,70.91
57,2020-04-27,KKYFERGU4,50.6,35.0,75,0.9,30.27,2020-04-27,107.22
58,2020-04-28,KKYFERGU4,59.3,41.0,67,1.4,30.15,2020-04-28,108.99
59,2020-04-29,KKYFERGU4,60.9,47.0,72,3.5,29.91,2020-04-29,101.03
60,2020-04-30,KKYFERGU4,51.6,42.0,83,4.5,29.91,2020-04-30,114.6
61,2020-05-01,KKYFERGU4,56.1,36.0,62,3.1,30.12,2020-05-01,134.81
62,2020-05-02,KKYFERGU4,64.4,42.0,64,2.1,30.16,2020-05-02,136.4
63,2020-05-03,KKYFERGU4,70.2,53.0,71,2.7,30.04,2020-05-03,103.3
64,2020-05-04,KKYFERGU4,66.4,39.0,62,3.0,30.06,2020-05-04,123.64
65,2020-05-05,KKYFERGU4,59.4,46.0,86,4.1,29.96,2020-05-05,106.59
66,2020-05-06,KKYFERGU4,49.5,36.0,79,3.3,30.09,2020-05-06,111.46
67,2020-05-07,KKYFERGU4,51.5,33.0,70,2.3,30.14,2020-05-07,128.48
68,2020-05-08,KKYFERGU4,49.7,32.0,84,2.3,30.1,2020-05-08,127.2
69,2020-05-09,KKYFERGU4,45.0,22.0,56,2.6,30.28,2020-05-09,132.79
70,2020-05-10,KKYFERGU4,52.7,33.0,61,3.5,30.26,2020-05-10,97.51
71,2020-05-11,KKYFERGU4,46.6,33.0,67,3.2,30.25,2020-05-11,97.51
72,2020-05-12,KKYFERGU4,49.4,34.0,70,1.2,30.31,2020-05-12,97.51
73,2020-05-13,KKYFERGU4,53.5,45.0,89,1.3,30.31,2020-05-13,127.25
