,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KKYLEXIN183,43.5,17.8,59,1.7,30.19,2020-03-01,97.37
1,2020-03-02,KKYLEXIN183,52.5,34.0,83,2.4,29.96,2020-03-02,102.92
2,2020-03-03,KKYLEXIN183,51.4,29.7,81,2.6,29.89,2020-03-03,113.13
3,2020-03-04,KKYLEXIN183,45.8,28.6,65,1.6,30.08,2020-03-04,122.67
4,2020-03-05,KKYLEXIN183,46.4,24.1,60,1.5,30.1,2020-03-05,119.15
5,2020-03-06,KKYLEXIN183,38.4,26.6,71,4.2,30.39,2020-03-06,141.47
6,2020-03-07,KKYLEXIN183,37.2,22.1,68,1.1,30.53,2020-03-07,133.05
7,2020-03-08,KKYLEXIN183,45.2,22.3,59,0.0,30.45,2020-03-08,91.95
8,2020-03-09,KKYLEXIN183,57.0,28.9,48,0.0,30.37,2020-03-09,117.42
9,2020-03-10,KKYLEXIN183,55.9,45.7,83,0.0,30.17,2020-03-10,111.22
10,2020-03-11,KKYLEXIN183,49.5,41.0,87,0.0,30.17,2020-03-11,110.5
11,2020-03-12,KKYLEXIN183,54.9,36.1,88,0.0,29.98,2020-03-12,106.38
12,2020-03-13,KKYLEXIN183,53.7,23.0,59,0.0,30.36,2020-03-13,114.32
13,2020-03-14,KKYLEXIN183,40.2,23.4,75,0.0,30.38,2020-03-14,101.73
14,2020-03-15,KKYLEXIN183,38.2,32.9,87,0.0,30.46,2020-03-15,65.45
15,2020-03-16,KKYLEXIN183,42.2,34.7,85,0.0,30.39,2020-03-16,88.6
16,2020-03-17,KKYLEXIN183,45.2,36.3,89,0.0,30.29,2020-03-17,96.06
17,2020-03-18,KKYLEXIN183,51.1,34.7,95,0.0,30.27,2020-03-18,85.08
18,2020-03-19,KKYLEXIN183,64.9,58.3,91,0.0,30.12,2020-03-19,88.72
19,2020-03-20,KKYLEXIN183,67.8,61.3,84,0.0,30.02,2020-03-20,94.63
20,2020-03-21,KKYLEXIN183,37.4,30.7,84,0.0,30.44,2020-03-21,75.48
21,2020-03-22,KKYLEXIN183,40.4,26.8,77,0.0,30.42,2020-03-22,67.9
22,2020-03-23,KKYLEXIN183,48.3,38.7,90,0.0,30.13,2020-03-23,106.98
23,2020-03-24,KKYLEXIN183,46.6,37.2,88,0.0,30.12,2020-03-24,76.43
24,2020-03-25,KKYLEXIN183,49.6,39.6,84,0.0,29.98,2020-03-25,82.76
25,2020-03-26,KKYLEXIN183,56.8,37.2,75,0.0,29.95,2020-03-26,96.72
26,2020-03-27,KKYLEXIN183,65.9,48.2,77,0.0,29.86,2020-03-27,84.55
27,2020-03-28,KKYLEXIN183,71.6,59.4,76,0.0,29.84,2020-03-28,81.26
28,2020-03-29,KKYLEXIN183,64.1,39.9,68,0.0,30.04,2020-03-29,70.7
29,2020-03-30,KKYLEXIN183,52.7,32.4,60,0.0,30.14,2020-03-30,95.29
30,2020-03-31,KKYLEXIN183,44.4,36.3,81,0.0,30.02,2020-03-31,88.84
31,2020-04-01,KKYLEXIN183,45.8,37.0,78,0.0,30.05,2020-04-01,78.58
32,2020-04-02,KKYLEXIN183,47.1,30.0,77,0.0,30.15,2020-04-02,101.91
33,2020-04-03,KKYLEXIN183,50.1,32.7,75,0.0,30.1,2020-04-03,109.9
34,2020-04-04,KKYLEXIN183,55.6,36.5,73,0.2,30.04,2020-04-04,82.28
35,2020-04-05,KKYLEXIN183,59.4,48.4,80,0.2,30.07,2020-04-05,62.53
36,2020-04-06,KKYLEXIN183,56.9,45.7,84,0.0,30.11,2020-04-06,81.86
37,2020-04-07,KKYLEXIN183,64.4,47.8,79,0.0,29.98,2020-04-07,93.02
38,2020-04-08,KKYLEXIN183,69.2,53.4,80,0.0,29.76,2020-04-08,83.11
39,2020-04-09,KKYLEXIN183,52.9,23.5,69,0.0,29.81,2020-04-09,99.58
40,2020-04-10,KKYLEXIN183,40.2,23.9,69,0.0,30.06,2020-04-10,104.24
41,2020-04-11,KKYLEXIN183,46.4,21.4,66,0.6,30.06,2020-04-11,98.21
42,2020-04-12,KKYLEXIN183,55.7,29.8,72,0.2,29.89,2020-04-12,45.17
43,2020-04-13,KKYLEXIN183,50.2,33.3,84,0.2,30.15,2020-04-13,82.64
44,2020-04-14,KKYLEXIN183,38.9,18.9,74,0.2,30.21,2020-04-14,83.17
45,2020-04-15,KKYLEXIN183,39.0,19.4,70,1.3,30.14,2020-04-15,94.21
46,2020-04-16,KKYLEXIN183,38.5,20.7,69,0.1,30.33,2020-04-16,94.45
47,2020-04-17,KKYLEXIN183,48.4,31.1,74,0.0,30.24,2020-04-17,101.19
48,2020-04-18,KKYLEXIN183,43.3,30.7,77,0.0,30.12,2020-04-18,97.37
49,2020-04-19,KKYLEXIN183,47.3,31.5,77,0.0,29.96,2020-04-19,70.23
50,2020-04-20,KKYLEXIN183,52.2,33.3,71,0.0,29.76,2020-04-20,95.76
51,2020-04-21,KKYLEXIN183,53.3,28.8,63,0.0,30.0,2020-04-21,89.62
52,2020-04-22,KKYLEXIN183,49.0,26.1,69,0.0,30.08,2020-04-22,99.94
53,2020-04-23,KKYLEXIN183,53.8,41.0,90,0.4,29.9,2020-04-23,86.34
54,2020-04-24,KKYLEXIN183,55.6,43.5,89,0.8,29.86,2020-04-24,113.01
55,2020-04-25,KKYLEXIN183,53.4,40.6,91,1.3,29.86,2020-04-25,103.1
56,2020-04-26,KKYLEXIN183,49.2,37.0,95,1.5,30.09,2020-04-26,63.84
57,2020-04-27,KKYLEXIN183,48.5,30.4,75,0.4,30.22,2020-04-27,104.89
