,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KKYRINEY9,49.2,11.8,42,3.0,29.9,2020-03-01,111.99
1,2020-03-02,KKYRINEY9,54.4,35.6,83,2.7,29.68,2020-03-02,112.19
2,2020-03-03,KKYRINEY9,52.9,25.5,71,4.7,29.63,2020-03-03,114.46
3,2020-03-04,KKYRINEY9,49.0,28.2,58,3.1,29.77,2020-03-04,116.83
4,2020-03-05,KKYRINEY9,53.0,27.0,45,3.4,29.72,2020-03-05,130.06
5,2020-03-06,KKYRINEY9,39.4,20.5,58,9.2,30.16,2020-03-06,154.4
6,2020-03-07,KKYRINEY9,35.8,16.2,61,0.3,30.28,2020-03-07,144.58
7,2020-03-08,KKYRINEY9,48.6,20.7,45,1.7,30.16,2020-03-08,115.86
8,2020-03-09,KKYRINEY9,56.4,27.7,52,4.1,30.07,2020-03-09,116.02
9,2020-03-10,KKYRINEY9,54.5,43.5,88,4.6,29.93,2020-03-10,116.92
10,2020-03-11,KKYRINEY9,48.4,41.2,86,0.3,29.92,2020-03-11,116.8
11,2020-03-12,KKYRINEY9,54.0,37.6,94,1.3,29.7,2020-03-12,110.0
12,2020-03-13,KKYRINEY9,52.0,18.7,57,4.5,30.08,2020-03-13,138.33
13,2020-03-14,KKYRINEY9,42.0,26.2,76,0.9,30.08,2020-03-14,113.54
14,2020-03-15,KKYRINEY9,38.9,32.4,84,1.1,30.19,2020-03-15,93.42
15,2020-03-16,KKYRINEY9,42.6,33.3,80,0.3,30.12,2020-03-16,92.67
16,2020-03-17,KKYRINEY9,46.9,39.2,85,0.9,29.99,2020-03-17,87.76
17,2020-03-18,KKYRINEY9,53.8,38.7,94,1.2,29.98,2020-03-18,81.52
18,2020-03-19,KKYRINEY9,65.4,60.1,92,2.2,29.83,2020-03-19,86.69
19,2020-03-20,KKYRINEY9,65.3,39.4,76,5.1,30.04,2020-03-20,97.47
20,2020-03-21,KKYRINEY9,39.8,25.0,66,2.6,30.16,2020-03-21,87.03
21,2020-03-22,KKYRINEY9,39.4,26.8,77,0.5,30.13,2020-03-22,60.97
22,2020-03-23,KKYRINEY9,50.2,39.2,79,1.7,29.85,2020-03-23,71.82
23,2020-03-24,KKYRINEY9,47.4,38.1,86,1.2,29.84,2020-03-24,71.5
24,2020-03-25,KKYRINEY9,51.8,39.9,75,0.8,29.72,2020-03-25,71.33
25,2020-03-26,KKYRINEY9,61.5,42.3,69,2.1,29.67,2020-03-26,74.19
26,2020-03-27,KKYRINEY9,68.3,53.2,76,0.8,29.57,2020-03-27,82.06
27,2020-03-28,KKYRINEY9,72.5,60.8,75,2.5,29.54,2020-03-28,73.31
28,2020-03-29,KKYRINEY9,65.0,37.0,56,4.6,29.8,2020-03-29,56.79
29,2020-03-30,KKYRINEY9,55.1,28.9,51,2.8,29.91,2020-03-30,70.76
30,2020-03-31,KKYRINEY9,47.9,31.5,66,2.6,29.74,2020-03-31,68.78
31,2020-04-01,KKYRINEY9,46.3,33.8,69,1.9,29.8,2020-04-01,71.51
32,2020-04-02,KKYRINEY9,49.1,30.6,67,0.5,29.89,2020-04-02,72.68
33,2020-04-03,KKYRINEY9,55.3,36.9,66,0.3,29.81,2020-04-03,79.63
34,2020-04-04,KKYRINEY9,58.8,43.5,70,0.9,29.76,2020-04-04,71.41
