,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KLALAFAY84,61.3,39.9,57,5.9,30.26,2020-03-01,89.58
1,2020-03-02,KLALAFAY84,68.8,50.0,61,5.6,30.04,2020-03-02,113.95
2,2020-03-03,KLALAFAY84,72.2,50.4,56,3.7,29.95,2020-03-03,119.29
3,2020-03-04,KLALAFAY84,66.2,39.2,56,5.1,29.91,2020-03-04,114.42
4,2020-03-05,KLALAFAY84,58.2,38.3,57,4.2,30.31,2020-03-05,144.9
5,2020-03-06,KLALAFAY84,58.8,7.0,30,4.1,30.49,2020-03-06,155.16
6,2020-03-07,KLALAFAY84,55.0,19.6,37,2.5,30.53,2020-03-07,159.09
7,2020-03-08,KLALAFAY84,60.2,35.4,53,4.1,30.48,2020-03-08,107.31
8,2020-03-09,KLALAFAY84,65.8,47.1,62,5.5,30.39,2020-03-09,115.3
9,2020-03-10,KLALAFAY84,68.2,48.0,56,2.8,30.37,2020-03-10,117.41
10,2020-03-11,KLALAFAY84,69.3,48.2,55,3.5,30.27,2020-03-11,122.96
11,2020-03-12,KLALAFAY84,69.8,49.1,58,3.5,30.09,2020-03-12,119.65
12,2020-03-13,KLALAFAY84,72.8,51.3,55,4.3,30.19,2020-03-13,133.07
13,2020-03-14,KLALAFAY84,72.1,52.7,56,4.2,30.27,2020-03-14,117.04
14,2020-03-15,KLALAFAY84,73.2,51.6,54,2.1,30.33,2020-03-15,80.94
15,2020-03-16,KLALAFAY84,67.5,43.3,60,2.9,30.29,2020-03-16,94.6
16,2020-03-17,KLALAFAY84,69.7,50.7,58,1.6,30.24,2020-03-17,82.01
17,2020-03-18,KLALAFAY84,72.4,50.0,54,4.4,30.2,2020-03-18,81.0
18,2020-03-19,KLALAFAY84,75.3,54.9,53,6.6,30.19,2020-03-19,75.21
19,2020-03-20,KLALAFAY84,73.4,47.7,52,4.1,30.3,2020-03-20,85.1
20,2020-03-21,KLALAFAY84,63.7,43.7,55,3.3,30.37,2020-03-21,61.83
21,2020-03-22,KLALAFAY84,67.6,45.1,55,3.9,30.27,2020-03-22,45.3
22,2020-03-23,KLALAFAY84,74.2,45.3,53,4.0,30.2,2020-03-23,61.89
23,2020-03-24,KLALAFAY84,75.4,52.2,55,4.2,30.08,2020-03-24,55.0
24,2020-03-25,KLALAFAY84,76.3,48.9,53,3.0,30.01,2020-03-25,58.61
25,2020-03-26,KLALAFAY84,75.3,52.0,56,3.6,30.02,2020-03-26,60.19
26,2020-03-27,KLALAFAY84,76.6,54.7,57,5.3,29.94,2020-03-27,66.43
27,2020-03-28,KLALAFAY84,78.1,61.0,62,6.2,30.01,2020-03-28,53.36
28,2020-03-29,KLALAFAY84,72.9,34.5,41,2.9,30.19,2020-03-29,41.1
29,2020-03-30,KLALAFAY84,73.7,45.9,54,4.7,30.17,2020-03-30,59.62
30,2020-03-31,KLALAFAY84,70.5,43.9,57,6.1,30.07,2020-03-31,59.12
31,2020-04-01,KLALAFAY84,61.8,34.2,50,2.2,30.11,2020-04-01,61.83
32,2020-04-02,KLALAFAY84,65.4,45.5,56,2.4,30.12,2020-04-02,60.07
33,2020-04-03,KLALAFAY84,70.0,50.0,58,2.6,30.07,2020-04-03,67.01
34,2020-04-04,KLALAFAY84,68.8,44.6,56,2.3,30.03,2020-04-04,50.65
35,2020-04-05,KLALAFAY84,69.9,44.4,52,2.5,30.1,2020-04-05,41.44
36,2020-04-06,KLALAFAY84,72.8,52.5,59,3.3,30.12,2020-04-06,59.46
37,2020-04-07,KLALAFAY84,76.6,56.1,62,3.5,30.08,2020-04-07,62.62
38,2020-04-08,KLALAFAY84,77.4,57.6,59,3.1,30.01,2020-04-08,63.1
39,2020-04-09,KLALAFAY84,77.0,49.3,57,3.3,29.97,2020-04-09,69.96
40,2020-04-10,KLALAFAY84,65.8,40.3,49,3.0,30.11,2020-04-10,70.55
41,2020-04-11,KLALAFAY84,67.4,40.1,53,4.5,30.09,2020-04-11,55.23
42,2020-04-12,KLALAFAY84,76.5,56.8,63,6.7,29.84,2020-04-12,34.0
43,2020-04-13,KLALAFAY84,62.0,41.2,60,3.8,30.16,2020-04-13,64.55
44,2020-04-14,KLALAFAY84,57.7,35.4,56,5.0,30.18,2020-04-14,67.41
45,2020-04-15,KLALAFAY84,56.4,26.1,42,4.2,30.22,2020-04-15,74.07
46,2020-04-16,KLALAFAY84,61.6,24.6,41,3.2,30.29,2020-04-16,77.4
47,2020-04-17,KLALAFAY84,69.0,43.7,60,2.7,30.2,2020-04-17,82.25
48,2020-04-18,KLALAFAY84,70.5,52.0,59,2.4,30.09,2020-04-18,65.78
49,2020-04-19,KLALAFAY84,75.8,51.6,53,4.5,29.93,2020-04-19,50.29
50,2020-04-20,KLALAFAY84,70.5,39.9,50,2.4,29.99,2020-04-20,75.97
51,2020-04-21,KLALAFAY84,72.5,44.8,53,2.3,30.08,2020-04-21,80.19
52,2020-04-22,KLALAFAY84,74.0,49.8,59,6.8,30.02,2020-04-22,79.13
53,2020-04-23,KLALAFAY84,78.7,51.3,55,5.2,29.84,2020-04-23,81.3
54,2020-04-24,KLALAFAY84,72.8,44.2,53,3.3,29.92,2020-04-24,92.7
55,2020-04-25,KLALAFAY84,73.7,47.8,52,4.0,30.09,2020-04-25,76.21
56,2020-04-26,KLALAFAY84,71.7,32.7,42,2.7,30.23,2020-04-26,59.39
57,2020-04-27,KLALAFAY84,70.1,36.0,44,4.4,30.27,2020-04-27,82.95
58,2020-04-28,KLALAFAY84,69.1,47.5,61,4.5,30.15,2020-04-28,80.06
59,2020-04-29,KLALAFAY84,67.0,39.9,52,4.5,30.06,2020-04-29,82.36
60,2020-04-30,KLALAFAY84,67.0,33.6,46,2.5,30.14,2020-04-30,93.81
61,2020-05-01,KLALAFAY84,69.5,41.9,52,2.5,30.18,2020-05-01,103.33
62,2020-05-02,KLALAFAY84,71.6,45.0,56,3.0,30.18,2020-05-02,86.29
63,2020-05-03,KLALAFAY84,74.1,48.0,56,3.3,30.12,2020-05-03,66.47
64,2020-05-04,KLALAFAY84,75.4,52.0,56,3.0,30.04,2020-05-04,92.96
65,2020-05-05,KLALAFAY84,78.1,48.0,53,3.1,30.16,2020-05-05,101.09
66,2020-05-06,KLALAFAY84,73.7,35.4,40,2.9,30.19,2020-05-06,100.7
67,2020-05-07,KLALAFAY84,69.7,43.0,46,3.6,30.26,2020-05-07,103.72
68,2020-05-08,KLALAFAY84,71.8,48.2,59,4.5,30.13,2020-05-08,104.89
69,2020-05-09,KLALAFAY84,62.2,41.5,55,3.2,30.24,2020-05-09,98.2
70,2020-05-10,KLALAFAY84,68.0,40.1,45,2.5,30.26,2020-05-10,67.12
71,2020-05-11,KLALAFAY84,70.6,40.1,43,2.4,30.28,2020-05-11,67.12
72,2020-05-12,KLALAFAY84,71.7,47.7,54,3.8,30.19,2020-05-12,67.12
73,2020-05-13,KLALAFAY84,75.4,50.7,58,5.1,30.11,2020-05-13,110.59
74,2020-05-14,KLALAFAY84,72.6,50.5,60,3.9,30.08,2020-05-14,107.44
75,2020-05-15,KLALAFAY84,74.2,53.4,57,3.9,30.01,2020-05-15,128.69
76,2020-05-16,KLALAFAY84,75.1,54.1,56,5.3,29.93,2020-05-16,110.13
77,2020-05-17,KLALAFAY84,73.2,53.4,56,3.8,29.91,2020-05-17,84.72
78,2020-05-18,KLALAFAY84,74.6,46.6,50,3.7,29.94,2020-05-18,121.53
79,2020-05-19,KLALAFAY84,78.6,54.0,54,3.3,29.92,2020-05-19,136.4
80,2020-05-20,KLALAFAY84,77.0,57.4,57,2.7,29.95,2020-05-20,128.46
81,2020-05-21,KLALAFAY84,78.5,50.0,55,3.2,29.98,2020-05-21,136.82
82,2020-05-22,KLALAFAY84,81.5,55.6,57,4.6,30.0,2020-05-22,151.99
83,2020-05-23,KLALAFAY84,81.1,61.5,58,4.2,30.04,2020-05-23,131.64
84,2020-05-24,KLALAFAY84,78.9,53.2,60,3.3,30.0,2020-05-24,95.43
85,2020-05-25,KLALAFAY84,78.1,55.9,59,4.1,29.9,2020-05-25,97.43
86,2020-05-26,KLALAFAY84,75.8,51.4,58,1.8,29.96,2020-05-26,125.83
87,2020-05-27,KLALAFAY84,76.0,49.5,53,3.0,29.98,2020-05-27,139.08
88,2020-05-28,KLALAFAY84,74.6,54.3,59,1.6,30.03,2020-05-28,141.27
89,2020-05-29,KLALAFAY84,79.1,52.7,51,1.9,30.09,2020-05-29,156.05
90,2020-05-30,KLALAFAY84,79.4,59.7,58,1.7,30.11,2020-05-30,142.19
91,2020-05-31,KLALAFAY84,79.5,57.7,54,2.1,30.15,2020-05-31,104.66
92,2020-06-01,KLALAFAY84,78.8,56.1,53,1.8,30.16,2020-06-01,131.83
93,2020-06-02,KLALAFAY84,81.1,57.0,56,1.9,30.13,2020-06-02,134.9
94,2020-06-03,KLALAFAY84,78.1,54.9,57,1.5,30.09,2020-06-03,133.03
95,2020-06-04,KLALAFAY84,79.0,52.7,56,1.7,30.01,2020-06-04,144.18
96,2020-06-05,KLALAFAY84,82.8,56.7,52,2.2,30.02,2020-06-05,169.04
97,2020-06-06,KLALAFAY84,81.1,61.0,59,3.0,29.98,2020-06-06,160.43
98,2020-06-07,KLALAFAY84,77.8,59.7,63,5.4,29.79,2020-06-07,84.61
99,2020-06-08,KLALAFAY84,80.7,57.7,60,5.2,29.8,2020-06-08,115.68
100,2020-06-09,KLALAFAY84,83.2,62.2,60,4.8,29.92,2020-06-09,139.4
101,2020-06-10,KLALAFAY84,83.5,42.6,42,3.1,30.14,2020-06-10,150.47
