,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KMAIPSWI25,24.5,9.0,57,1.4,30.15,2020-03-01,93.72
1,2020-03-02,KMAIPSWI25,37.7,10.2,71,2.3,30.17,2020-03-02,98.28
2,2020-03-03,KMAIPSWI25,51.4,37.5,77,1.6,29.76,2020-03-03,109.22
3,2020-03-04,KMAIPSWI25,45.6,23.3,58,3.3,29.75,2020-03-04,103.01
4,2020-03-05,KMAIPSWI25,40.2,20.3,58,1.1,30.11,2020-03-05,108.39
5,2020-03-06,KMAIPSWI25,37.5,21.6,78,2.9,30.08,2020-03-06,118.65
6,2020-03-07,KMAIPSWI25,36.3,4.0,34,3.6,30.28,2020-03-07,118.3
7,2020-03-08,KMAIPSWI25,38.6,2.9,38,0.7,30.31,2020-03-08,93.36
8,2020-03-09,KMAIPSWI25,57.0,21.9,34,1.2,30.26,2020-03-09,104.15
9,2020-03-10,KMAIPSWI25,50.7,31.6,78,1.5,30.14,2020-03-10,101.07
10,2020-03-11,KMAIPSWI25,46.3,20.4,64,1.4,30.13,2020-03-11,100.75
11,2020-03-12,KMAIPSWI25,38.1,18.8,80,1.4,30.26,2020-03-12,96.2
12,2020-03-13,KMAIPSWI25,48.4,26.5,80,3.2,30.24,2020-03-13,97.83
13,2020-03-14,KMAIPSWI25,44.5,19.9,51,2.0,30.29,2020-03-14,89.69
14,2020-03-15,KMAIPSWI25,38.4,6.3,45,1.1,30.55,2020-03-15,66.74
15,2020-03-16,KMAIPSWI25,29.0,8.5,59,1.7,30.67,2020-03-16,70.78
16,2020-03-17,KMAIPSWI25,36.8,23.8,93,1.5,30.49,2020-03-17,61.45
17,2020-03-18,KMAIPSWI25,41.3,20.6,65,1.4,30.45,2020-03-18,66.26
18,2020-03-19,KMAIPSWI25,40.3,29.6,95,2.1,30.45,2020-03-19,57.12
19,2020-03-20,KMAIPSWI25,52.0,37.1,91,1.7,30.17,2020-03-20,67.84
20,2020-03-21,KMAIPSWI25,44.1,11.3,52,1.7,30.41,2020-03-21,62.73
21,2020-03-22,KMAIPSWI25,29.1,8.4,53,1.3,30.74,2020-03-22,47.46
22,2020-03-23,KMAIPSWI25,32.0,17.0,86,1.8,30.73,2020-03-23,50.39
23,2020-03-24,KMAIPSWI25,40.2,28.7,84,2.1,30.19,2020-03-24,47.54
24,2020-03-25,KMAIPSWI25,40.0,28.6,78,1.4,30.21,2020-03-25,45.95
25,2020-03-26,KMAIPSWI25,41.2,23.8,68,1.8,30.05,2020-03-26,51.46
26,2020-03-27,KMAIPSWI25,50.8,20.2,53,1.1,30.05,2020-03-27,60.51
27,2020-03-28,KMAIPSWI25,43.3,21.0,62,0.7,30.19,2020-03-28,55.7
28,2020-03-29,KMAIPSWI25,40.9,38.0,98,1.5,30.2,2020-03-29,35.46
29,2020-03-30,KMAIPSWI25,38.8,35.8,99,3.6,30.04,2020-03-30,44.66
30,2020-03-31,KMAIPSWI25,35.1,24.6,86,1.7,30.09,2020-03-31,49.86
31,2020-04-01,KMAIPSWI25,36.9,23.8,85,2.0,29.96,2020-04-01,48.78
32,2020-04-02,KMAIPSWI25,40.9,36.3,95,1.4,29.67,2020-04-02,45.04
33,2020-04-03,KMAIPSWI25,43.1,40.2,99,5.2,29.9,2020-04-03,50.02
34,2020-04-04,KMAIPSWI25,41.7,35.9,91,2.6,30.05,2020-04-04,53.54
35,2020-04-05,KMAIPSWI25,45.3,36.4,83,1.2,30.07,2020-04-05,43.65
36,2020-04-06,KMAIPSWI25,50.3,14.7,53,1.0,29.99,2020-04-06,52.65
37,2020-04-07,KMAIPSWI25,48.2,23.8,53,0.9,29.89,2020-04-07,53.71
38,2020-04-08,KMAIPSWI25,42.4,30.5,90,1.2,29.66,2020-04-08,48.88
39,2020-04-09,KMAIPSWI25,41.3,34.8,99,2.6,29.62,2020-04-09,48.22
40,2020-04-10,KMAIPSWI25,39.5,28.6,77,2.8,29.51,2020-04-10,60.32
41,2020-04-11,KMAIPSWI25,43.8,19.8,54,2.1,30.0,2020-04-11,60.57
42,2020-04-12,KMAIPSWI25,46.2,22.3,60,2.0,30.2,2020-04-12,39.15
43,2020-04-13,KMAIPSWI25,54.9,45.3,97,4.2,30.14,2020-04-13,42.77
44,2020-04-14,KMAIPSWI25,51.5,24.0,53,2.0,30.0,2020-04-14,56.27
45,2020-04-15,KMAIPSWI25,45.0,16.2,47,1.1,29.95,2020-04-15,56.17
46,2020-04-16,KMAIPSWI25,39.3,16.4,57,1.3,30.09,2020-04-16,56.23
47,2020-04-17,KMAIPSWI25,41.3,18.4,48,1.7,30.16,2020-04-17,65.17
48,2020-04-18,KMAIPSWI25,37.0,26.6,94,1.5,29.98,2020-04-18,51.54
49,2020-04-19,KMAIPSWI25,48.6,28.8,64,2.1,29.83,2020-04-19,60.45
50,2020-04-20,KMAIPSWI25,43.9,25.2,58,1.2,29.71,2020-04-20,55.43
51,2020-04-21,KMAIPSWI25,39.5,22.6,81,2.6,29.69,2020-04-21,53.86
52,2020-04-22,KMAIPSWI25,37.6,16.2,53,2.6,29.86,2020-04-22,59.25
53,2020-04-23,KMAIPSWI25,44.0,12.2,36,1.1,29.99,2020-04-23,66.84
54,2020-04-24,KMAIPSWI25,41.9,26.2,86,1.6,29.95,2020-04-24,63.04
55,2020-04-25,KMAIPSWI25,45.3,28.0,72,1.1,30.1,2020-04-25,74.41
56,2020-04-26,KMAIPSWI25,44.5,23.9,71,2.6,30.13,2020-04-26,47.99
57,2020-04-27,KMAIPSWI25,39.4,37.1,99,6.4,29.98,2020-04-27,51.19
58,2020-04-28,KMAIPSWI25,41.6,33.1,84,1.7,30.16,2020-04-28,62.03
59,2020-04-29,KMAIPSWI25,46.0,33.1,75,1.5,30.37,2020-04-29,67.83
60,2020-04-30,KMAIPSWI25,44.9,40.0,92,2.3,30.36,2020-04-30,61.55
61,2020-05-01,KMAIPSWI25,53.6,45.8,97,2.1,30.05,2020-05-01,69.6
62,2020-05-02,KMAIPSWI25,58.5,34.0,55,1.5,29.85,2020-05-02,81.9
63,2020-05-03,KMAIPSWI25,64.9,41.8,62,0.9,29.83,2020-05-03,74.0
64,2020-05-04,KMAIPSWI25,60.9,36.8,51,1.1,29.74,2020-05-04,68.5
65,2020-05-05,KMAIPSWI25,50.7,31.3,55,1.2,29.93,2020-05-05,74.04
66,2020-05-06,KMAIPSWI25,46.2,28.8,75,0.9,29.95,2020-05-06,72.66
67,2020-05-07,KMAIPSWI25,51.0,24.6,68,1.0,29.75,2020-05-07,74.35
68,2020-05-08,KMAIPSWI25,51.0,25.2,59,2.1,29.78,2020-05-08,83.96
69,2020-05-09,KMAIPSWI25,39.6,17.7,71,2.7,29.83,2020-05-09,76.86
70,2020-05-10,KMAIPSWI25,47.0,23.6,54,2.2,29.92,2020-05-10,68.89
71,2020-05-11,KMAIPSWI25,49.9,34.0,80,1.4,29.91,2020-05-11,68.89
72,2020-05-12,KMAIPSWI25,49.2,22.2,55,2.0,30.04,2020-05-12,68.89
73,2020-05-13,KMAIPSWI25,49.0,22.5,46,1.6,30.22,2020-05-13,84.26
74,2020-05-14,KMAIPSWI25,55.8,27.3,45,1.1,30.28,2020-05-14,92.15
75,2020-05-15,KMAIPSWI25,64.2,38.6,79,1.7,30.04,2020-05-15,93.49
76,2020-05-16,KMAIPSWI25,58.5,45.3,79,1.5,30.27,2020-05-16,99.4
77,2020-05-17,KMAIPSWI25,57.0,42.4,76,1.3,30.31,2020-05-17,78.97
78,2020-05-18,KMAIPSWI25,54.1,38.9,75,1.2,30.22,2020-05-18,82.46
79,2020-05-19,KMAIPSWI25,51.5,40.4,80,1.9,30.41,2020-05-19,91.32
80,2020-05-20,KMAIPSWI25,52.8,32.3,64,1.1,30.5,2020-05-20,97.79
81,2020-05-21,KMAIPSWI25,61.5,36.1,54,1.4,30.41,2020-05-21,104.96
82,2020-05-22,KMAIPSWI25,71.1,47.2,60,1.5,30.15,2020-05-22,121.23
83,2020-05-23,KMAIPSWI25,57.3,40.8,76,2.0,30.28,2020-05-23,99.56
84,2020-05-24,KMAIPSWI25,51.2,40.9,78,1.6,30.37,2020-05-24,89.37
85,2020-05-25,KMAIPSWI25,52.8,44.6,96,0.6,30.3,2020-05-25,80.92
86,2020-05-26,KMAIPSWI25,65.3,52.0,87,0.9,30.22,2020-05-26,102.38
87,2020-05-27,KMAIPSWI25,73.8,58.7,77,1.6,30.19,2020-05-27,115.11
88,2020-05-28,KMAIPSWI25,73.3,63.0,84,1.6,30.18,2020-05-28,107.39
89,2020-05-29,KMAIPSWI25,76.5,67.6,86,2.2,30.06,2020-05-29,118.56
90,2020-05-30,KMAIPSWI25,73.8,53.7,72,1.3,29.83,2020-05-30,118.01
91,2020-05-31,KMAIPSWI25,61.2,32.0,54,1.2,30.13,2020-05-31,98.23
92,2020-06-01,KMAIPSWI25,55.2,33.0,55,0.9,30.17,2020-06-01,96.27
93,2020-06-02,KMAIPSWI25,56.2,39.0,73,1.0,30.05,2020-06-02,100.59
94,2020-06-03,KMAIPSWI25,66.3,52.9,80,0.7,29.77,2020-06-03,103.52
95,2020-06-04,KMAIPSWI25,72.6,53.7,71,1.0,29.86,2020-06-04,118.1
96,2020-06-05,KMAIPSWI25,75.4,64.0,82,1.2,29.88,2020-06-05,122.83
97,2020-06-06,KMAIPSWI25,75.2,59.0,84,1.2,29.8,2020-06-06,114.61
