,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KMIROTHB2,36.5,14.7,77,4.8,29.87,2020-03-01,127.8
1,2020-03-02,KMIROTHB2,34.3,23.3,86,3.2,29.54,2020-03-02,115.15
2,2020-03-03,KMIROTHB2,32.5,22.4,93,3.6,29.52,2020-03-03,126.75
3,2020-03-04,KMIROTHB2,33.1,21.2,79,6.1,29.89,2020-03-04,134.61
4,2020-03-05,KMIROTHB2,33.1,20.3,83,4.2,29.9,2020-03-05,128.67
5,2020-03-06,KMIROTHB2,29.9,18.2,87,4.7,30.32,2020-03-06,166.44
6,2020-03-07,KMIROTHB2,30.9,12.6,73,4.3,30.32,2020-03-07,191.18
7,2020-03-08,KMIROTHB2,46.2,27.4,54,7.1,30.08,2020-03-08,135.09
8,2020-03-09,KMIROTHB2,48.3,32.0,80,6.5,29.89,2020-03-09,124.16
9,2020-03-10,KMIROTHB2,35.6,26.7,88,4.2,30.02,2020-03-10,140.08
10,2020-03-11,KMIROTHB2,34.7,29.5,97,1.2,30.0,2020-03-11,119.85
11,2020-03-12,KMIROTHB2,42.5,35.7,87,4.7,29.78,2020-03-12,112.75
12,2020-03-13,KMIROTHB2,37.7,21.9,68,11.3,30.17,2020-03-13,123.59
13,2020-03-14,KMIROTHB2,32.4,22.1,70,2.4,30.4,2020-03-14,128.57
14,2020-03-15,KMIROTHB2,32.6,19.0,69,2.1,30.47,2020-03-15,107.0
15,2020-03-16,KMIROTHB2,32.9,18.8,79,3.6,30.32,2020-03-16,94.82
16,2020-03-17,KMIROTHB2,35.1,20.8,77,6.7,30.12,2020-03-17,101.63
17,2020-03-18,KMIROTHB2,36.7,21.8,72,1.6,30.11,2020-03-18,101.25
18,2020-03-19,KMIROTHB2,42.8,30.4,85,3.5,29.95,2020-03-19,89.07
19,2020-03-20,KMIROTHB2,32.4,15.2,88,6.2,30.29,2020-03-20,91.95
20,2020-03-21,KMIROTHB2,26.0,11.8,66,3.1,30.39,2020-03-21,124.54
21,2020-03-22,KMIROTHB2,29.3,17.0,70,2.4,30.36,2020-03-22,93.77
22,2020-03-23,KMIROTHB2,32.8,28.1,93,1.7,30.04,2020-03-23,87.54
23,2020-03-24,KMIROTHB2,37.1,31.0,88,1.1,29.98,2020-03-24,69.22
24,2020-03-25,KMIROTHB2,38.7,25.7,88,2.4,29.78,2020-03-25,76.8
25,2020-03-26,KMIROTHB2,44.1,34.6,89,2.1,29.7,2020-03-26,74.69
26,2020-03-27,KMIROTHB2,43.5,32.5,81,2.6,29.77,2020-03-27,80.35
27,2020-03-28,KMIROTHB2,44.6,39.4,97,4.2,29.65,2020-03-28,72.96
28,2020-03-29,KMIROTHB2,44.7,38.7,94,6.8,29.54,2020-03-29,56.47
29,2020-03-30,KMIROTHB2,36.9,31.9,94,6.9,29.94,2020-03-30,67.31
30,2020-03-31,KMIROTHB2,38.0,32.1,89,2.1,29.93,2020-03-31,84.95
31,2020-04-01,KMIROTHB2,42.3,32.7,86,2.0,29.91,2020-04-01,80.63
