,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KMIZEELA34,40.8,20.4,74,5.5,30.16,2020-03-01,95.63
1,2020-03-02,KMIZEELA34,38.3,24.8,88,2.1,29.8,2020-03-02,105.07
2,2020-03-03,KMIZEELA34,34.3,23.3,95,3.4,29.8,2020-03-03,106.07
3,2020-03-04,KMIZEELA34,35.4,22.1,85,3.9,30.15,2020-03-04,112.13
4,2020-03-05,KMIZEELA34,36.3,20.1,83,4.6,30.17,2020-03-05,114.73
5,2020-03-06,KMIZEELA34,32.9,21.9,90,6.2,30.57,2020-03-06,134.47
6,2020-03-07,KMIZEELA34,34.0,13.1,71,3.5,30.61,2020-03-07,142.3
7,2020-03-08,KMIZEELA34,49.5,25.4,48,7.2,30.36,2020-03-08,103.7
8,2020-03-09,KMIZEELA34,53.2,34.2,76,8.1,30.19,2020-03-09,110.27
9,2020-03-10,KMIZEELA34,38.9,27.3,92,4.4,30.29,2020-03-10,121.79
10,2020-03-11,KMIZEELA34,36.7,27.7,98,1.7,30.29,2020-03-11,112.79
11,2020-03-12,KMIZEELA34,43.3,28.9,90,3.2,30.04,2020-03-12,113.85
12,2020-03-13,KMIZEELA34,39.2,28.0,77,5.3,30.44,2020-03-13,117.24
13,2020-03-14,KMIZEELA34,32.7,25.7,82,2.0,30.63,2020-03-14,102.33
14,2020-03-15,KMIZEELA34,35.8,23.2,74,3.0,30.73,2020-03-15,75.19
15,2020-03-16,KMIZEELA34,33.6,23.7,91,3.0,30.59,2020-03-16,80.03
16,2020-03-17,KMIZEELA34,36.4,22.1,84,3.8,30.4,2020-03-17,80.24
17,2020-03-18,KMIZEELA34,37.5,22.8,82,1.6,30.39,2020-03-18,74.18
18,2020-03-19,KMIZEELA34,42.6,32.8,99,3.3,30.22,2020-03-19,75.73
19,2020-03-20,KMIZEELA34,37.6,20.9,92,6.8,30.55,2020-03-20,81.42
20,2020-03-21,KMIZEELA34,26.8,15.8,77,3.2,30.68,2020-03-21,74.88
21,2020-03-22,KMIZEELA34,29.8,17.8,83,2.1,30.64,2020-03-22,55.32
22,2020-03-23,KMIZEELA34,34.0,26.0,94,0.9,30.32,2020-03-23,68.81
23,2020-03-24,KMIZEELA34,39.9,25.3,85,1.7,30.26,2020-03-24,47.18
24,2020-03-25,KMIZEELA34,42.2,27.3,87,1.7,30.06,2020-03-25,55.05
25,2020-03-26,KMIZEELA34,44.5,37.8,98,1.6,29.95,2020-03-26,50.82
26,2020-03-27,KMIZEELA34,43.9,36.6,94,2.6,30.05,2020-03-27,59.28
27,2020-03-28,KMIZEELA34,46.4,42.1,99,3.9,29.92,2020-03-28,45.0
28,2020-03-29,KMIZEELA34,46.8,39.6,96,7.5,29.86,2020-03-29,37.48
29,2020-03-30,KMIZEELA34,39.0,35.4,96,5.4,30.22,2020-03-30,50.7
30,2020-03-31,KMIZEELA34,38.9,34.6,97,2.5,30.2,2020-03-31,52.63
31,2020-04-01,KMIZEELA34,42.5,35.8,96,1.5,30.19,2020-04-01,52.39
32,2020-04-02,KMIZEELA34,42.2,26.6,84,1.2,30.27,2020-04-02,60.69
33,2020-04-03,KMIZEELA34,47.7,30.2,71,0.7,30.18,2020-04-03,70.43
34,2020-04-04,KMIZEELA34,44.4,37.6,88,2.5,30.2,2020-04-04,48.7
35,2020-04-05,KMIZEELA34,40.0,28.9,81,1.2,30.29,2020-04-05,50.43
36,2020-04-06,KMIZEELA34,46.0,25.9,77,1.3,30.23,2020-04-06,57.64
37,2020-04-07,KMIZEELA34,59.1,44.0,87,3.4,30.01,2020-04-07,56.08
38,2020-04-08,KMIZEELA34,51.0,45.0,95,1.6,29.85,2020-04-08,60.55
39,2020-04-09,KMIZEELA34,40.5,30.8,87,5.3,29.85,2020-04-09,59.84
40,2020-04-10,KMIZEELA34,36.7,27.4,81,4.5,30.06,2020-04-10,63.57
41,2020-04-11,KMIZEELA34,44.4,26.0,73,2.0,30.03,2020-04-11,62.59
42,2020-04-12,KMIZEELA34,52.3,45.7,91,2.4,29.88,2020-04-12,35.71
43,2020-04-13,KMIZEELA34,40.5,21.9,86,6.4,30.15,2020-04-13,57.21
44,2020-04-14,KMIZEELA34,33.9,20.0,72,5.4,30.21,2020-04-14,59.03
45,2020-04-15,KMIZEELA34,30.7,19.6,79,2.7,30.21,2020-04-15,61.33
46,2020-04-16,KMIZEELA34,33.7,20.2,73,3.4,30.34,2020-04-16,65.39
47,2020-04-17,KMIZEELA34,35.2,25.0,90,1.3,30.29,2020-04-17,67.5
48,2020-04-18,KMIZEELA34,43.3,28.2,78,6.1,30.04,2020-04-18,75.4
49,2020-04-19,KMIZEELA34,48.8,26.4,66,6.6,29.92,2020-04-19,61.43
50,2020-04-20,KMIZEELA34,44.5,25.4,68,4.7,29.89,2020-04-20,73.06
51,2020-04-21,KMIZEELA34,36.5,21.1,70,7.0,30.08,2020-04-21,66.76
52,2020-04-22,KMIZEELA34,35.7,21.7,86,2.8,30.14,2020-04-22,68.85
53,2020-04-23,KMIZEELA34,42.2,35.7,98,3.6,29.96,2020-04-23,68.89
54,2020-04-24,KMIZEELA34,44.6,36.2,92,1.9,30.02,2020-04-24,86.01
55,2020-04-25,KMIZEELA34,46.1,34.8,79,3.2,30.09,2020-04-25,78.84
56,2020-04-26,KMIZEELA34,51.9,27.4,53,4.3,30.21,2020-04-26,83.02
57,2020-04-27,KMIZEELA34,48.4,27.8,76,2.9,30.23,2020-04-27,79.96
58,2020-04-28,KMIZEELA34,56.9,41.4,90,1.7,30.0,2020-04-28,90.34
59,2020-04-29,KMIZEELA34,53.8,42.3,99,3.3,29.72,2020-04-29,77.42
60,2020-04-30,KMIZEELA34,46.1,42.2,96,4.1,29.95,2020-04-30,86.31
61,2020-05-01,KMIZEELA34,48.8,30.7,73,1.0,30.11,2020-05-01,115.38
62,2020-05-02,KMIZEELA34,60.6,41.8,74,3.3,30.07,2020-05-02,110.39
63,2020-05-03,KMIZEELA34,58.9,38.5,64,2.7,30.04,2020-05-03,93.3
64,2020-05-04,KMIZEELA34,46.6,33.5,78,3.1,30.24,2020-05-04,101.64
65,2020-05-05,KMIZEELA34,47.5,26.0,59,3.3,30.12,2020-05-05,97.59
66,2020-05-06,KMIZEELA34,46.5,26.1,62,2.5,30.14,2020-05-06,112.92
67,2020-05-07,KMIZEELA34,49.0,29.4,66,3.6,30.05,2020-05-07,121.19
68,2020-05-08,KMIZEELA34,37.8,17.8,61,5.9,30.21,2020-05-08,124.66
69,2020-05-09,KMIZEELA34,39.9,18.5,64,3.8,30.22,2020-05-09,127.93
70,2020-05-10,KMIZEELA34,47.3,28.6,78,5.6,30.13,2020-05-10,71.88
71,2020-05-11,KMIZEELA34,40.0,29.7,76,4.4,30.24,2020-05-11,71.88
