,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KMNLECEN5,37.1,27.5,78,3.7,29.11,2020-03-01,127.46
1,2020-03-02,KMNLECEN5,30.6,22.1,81,2.5,29.13,2020-03-02,121.78
2,2020-03-03,KMNLECEN5,35.1,23.7,80,3.4,29.07,2020-03-03,116.1
3,2020-03-04,KMNLECEN5,33.0,17.1,76,1.9,29.23,2020-03-04,110.71
4,2020-03-05,KMNLECEN5,35.3,23.5,78,5.0,29.6,2020-03-05,119.61
5,2020-03-06,KMNLECEN5,28.9,18.0,75,1.4,29.79,2020-03-06,148.95
6,2020-03-07,KMNLECEN5,42.1,21.7,61,3.9,29.54,2020-03-07,156.26
7,2020-03-08,KMNLECEN5,49.3,30.4,66,3.9,29.17,2020-03-08,115.46
8,2020-03-09,KMNLECEN5,32.3,25.5,85,2.8,29.42,2020-03-09,117.8
9,2020-03-10,KMNLECEN5,30.8,21.0,83,0.8,29.54,2020-03-10,116.63
10,2020-03-11,KMNLECEN5,35.7,30.7,92,1.2,29.35,2020-03-11,113.82
11,2020-03-12,KMNLECEN5,37.4,22.3,72,3.9,29.25,2020-03-12,116.8
12,2020-03-13,KMNLECEN5,31.9,18.7,68,3.4,29.74,2020-03-13,120.37
13,2020-03-14,KMNLECEN5,26.9,15.4,69,1.1,29.9,2020-03-14,135.25
14,2020-03-15,KMNLECEN5,30.4,16.9,74,1.1,29.92,2020-03-15,94.85
15,2020-03-16,KMNLECEN5,33.6,21.0,82,2.7,29.62,2020-03-16,101.93
16,2020-03-17,KMNLECEN5,35.5,21.0,68,2.0,29.55,2020-03-17,95.84
17,2020-03-18,KMNLECEN5,39.6,30.6,88,1.2,29.38,2020-03-18,85.07
18,2020-03-19,KMNLECEN5,37.2,28.6,97,1.7,29.29,2020-03-19,85.25
19,2020-03-20,KMNLECEN5,26.5,9.1,67,4.1,29.83,2020-03-20,99.47
20,2020-03-21,KMNLECEN5,22.3,13.8,78,0.9,29.83,2020-03-21,87.0
21,2020-03-22,KMNLECEN5,39.0,29.5,75,4.1,29.46,2020-03-22,70.55
22,2020-03-23,KMNLECEN5,35.9,31.3,91,1.2,29.41,2020-03-23,79.63
23,2020-03-24,KMNLECEN5,41.0,36.3,91,2.5,29.34,2020-03-24,86.94
24,2020-03-25,KMNLECEN5,41.1,35.6,96,1.8,29.16,2020-03-25,73.42
25,2020-03-26,KMNLECEN5,38.8,28.8,86,0.7,29.19,2020-03-26,88.41
26,2020-03-27,KMNLECEN5,50.4,39.2,71,0.9,29.1,2020-03-27,94.15
27,2020-03-28,KMNLECEN5,43.9,37.2,92,3.0,29.07,2020-03-28,58.2
28,2020-03-29,KMNLECEN5,40.4,29.1,83,4.6,29.35,2020-03-29,64.23
29,2020-03-30,KMNLECEN5,44.9,9.7,57,0.8,29.53,2020-03-30,73.54
30,2020-03-31,KMNLECEN5,44.3,25.0,59,1.1,29.45,2020-03-31,87.0
31,2020-04-01,KMNLECEN5,43.1,30.2,78,3.3,29.29,2020-04-01,82.32
32,2020-04-02,KMNLECEN5,49.5,31.8,74,3.1,29.25,2020-04-02,85.48
33,2020-04-03,KMNLECEN5,26.3,20.8,90,2.9,29.51,2020-04-03,74.3
34,2020-04-04,KMNLECEN5,30.5,16.3,72,0.8,29.56,2020-04-04,87.0
35,2020-04-05,KMNLECEN5,42.4,23.9,61,1.7,29.42,2020-04-05,69.73
36,2020-04-06,KMNLECEN5,49.8,30.9,76,2.1,29.28,2020-04-06,84.78
37,2020-04-07,KMNLECEN5,60.1,36.1,68,1.6,29.02,2020-04-07,98.54
38,2020-04-08,KMNLECEN5,48.7,18.8,53,2.8,29.19,2020-04-08,85.19
39,2020-04-09,KMNLECEN5,34.3,12.4,61,4.3,29.37,2020-04-09,88.64
40,2020-04-10,KMNLECEN5,36.9,15.7,60,1.6,29.39,2020-04-10,114.4
41,2020-04-11,KMNLECEN5,47.4,22.6,49,1.1,29.11,2020-04-11,107.14
42,2020-04-12,KMNLECEN5,31.3,20.5,89,3.7,29.19,2020-04-12,41.63
43,2020-04-13,KMNLECEN5,26.6,13.1,70,3.3,29.41,2020-04-13,76.7
44,2020-04-14,KMNLECEN5,24.0,11.7,70,2.9,29.41,2020-04-14,84.48
45,2020-04-15,KMNLECEN5,25.2,10.0,64,1.6,29.46,2020-04-15,89.64
46,2020-04-16,KMNLECEN5,34.0,14.7,60,2.4,29.56,2020-04-16,100.23
47,2020-04-17,KMNLECEN5,39.7,17.1,55,2.4,29.42,2020-04-17,122.01
48,2020-04-18,KMNLECEN5,49.0,23.2,54,4.0,29.15,2020-04-18,130.91
49,2020-04-19,KMNLECEN5,42.6,16.3,49,2.1,29.24,2020-04-19,106.21
50,2020-04-20,KMNLECEN5,47.5,19.4,51,4.8,29.1,2020-04-20,112.24
51,2020-04-21,KMNLECEN5,39.1,13.1,49,1.8,29.32,2020-04-21,103.69
52,2020-04-22,KMNLECEN5,56.3,25.2,48,2.1,29.12,2020-04-22,134.6
