,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KMNOAKPA4,38.0,28.0,74,2.3,28.89,2020-03-01,95.03
1,2020-03-02,KMNOAKPA4,32.6,23.0,73,2.6,28.9,2020-03-02,92.69
2,2020-03-03,KMNOAKPA4,34.6,23.0,76,2.8,28.85,2020-03-03,100.67
3,2020-03-04,KMNOAKPA4,32.3,18.0,68,1.7,29.06,2020-03-04,95.46
4,2020-03-05,KMNOAKPA4,35.8,21.0,80,3.2,29.4,2020-03-05,99.55
5,2020-03-06,KMNOAKPA4,28.7,16.0,64,1.1,29.6,2020-03-06,120.61
6,2020-03-07,KMNOAKPA4,40.4,21.0,60,2.3,29.39,2020-03-07,131.19
7,2020-03-08,KMNOAKPA4,48.7,31.0,62,2.7,29.03,2020-03-08,94.44
8,2020-03-09,KMNOAKPA4,36.3,24.0,77,2.1,29.21,2020-03-09,89.52
9,2020-03-10,KMNOAKPA4,31.7,16.0,69,0.8,29.35,2020-03-10,91.67
10,2020-03-11,KMNOAKPA4,36.4,31.0,86,1.0,29.18,2020-03-11,91.43
11,2020-03-12,KMNOAKPA4,38.0,23.0,87,2.4,29.0,2020-03-12,91.46
12,2020-03-13,KMNOAKPA4,31.6,16.0,56,3.4,29.56,2020-03-13,99.82
13,2020-03-14,KMNOAKPA4,25.9,14.0,65,1.0,29.72,2020-03-14,91.8
14,2020-03-15,KMNOAKPA4,29.2,16.0,71,0.9,29.76,2020-03-15,67.63
15,2020-03-16,KMNOAKPA4,33.4,18.0,82,2.4,29.46,2020-03-16,70.68
16,2020-03-17,KMNOAKPA4,34.7,18.0,61,2.1,29.36,2020-03-17,66.7
17,2020-03-18,KMNOAKPA4,38.9,29.0,85,0.5,29.24,2020-03-18,59.41
18,2020-03-19,KMNOAKPA4,37.4,31.0,96,1.2,29.15,2020-03-19,54.98
19,2020-03-20,KMNOAKPA4,27.3,11.0,64,2.8,29.63,2020-03-20,64.3
20,2020-03-21,KMNOAKPA4,26.4,11.0,63,1.1,29.65,2020-03-21,56.41
21,2020-03-22,KMNOAKPA4,34.8,26.0,76,2.6,29.48,2020-03-22,44.53
