,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KMOCAPEF9,60.9,45.1,76,3.0,30.0,2020-03-01,133.67
1,2020-03-02,KMOCAPEF9,57.0,43.9,79,2.1,29.83,2020-03-02,127.35
2,2020-03-03,KMOCAPEF9,51.3,20.5,50,1.2,30.0,2020-03-03,123.93
3,2020-03-04,KMOCAPEF9,44.2,28.2,71,0.8,30.11,2020-03-04,128.57
4,2020-03-05,KMOCAPEF9,47.0,18.9,59,2.3,30.36,2020-03-05,139.69
5,2020-03-06,KMOCAPEF9,42.1,18.1,57,1.4,30.55,2020-03-06,173.57
6,2020-03-07,KMOCAPEF9,46.0,25.0,60,2.0,30.48,2020-03-07,214.8
7,2020-03-08,KMOCAPEF9,52.8,20.1,46,3.9,30.31,2020-03-08,175.31
8,2020-03-09,KMOCAPEF9,56.9,31.8,84,4.5,30.18,2020-03-09,145.61
9,2020-03-10,KMOCAPEF9,47.1,37.6,84,1.9,30.35,2020-03-10,169.44
10,2020-03-11,KMOCAPEF9,56.5,43.9,83,1.2,30.12,2020-03-11,154.03
11,2020-03-12,KMOCAPEF9,61.6,45.9,80,2.2,30.04,2020-03-12,168.32
12,2020-03-13,KMOCAPEF9,49.0,20.3,51,1.8,30.35,2020-03-13,197.86
13,2020-03-14,KMOCAPEF9,42.0,33.1,91,1.4,30.39,2020-03-14,216.22
14,2020-03-15,KMOCAPEF9,41.0,37.2,92,1.0,30.5,2020-03-15,186.12
15,2020-03-16,KMOCAPEF9,42.2,36.1,97,1.1,30.38,2020-03-16,162.4
16,2020-03-17,KMOCAPEF9,49.4,44.8,92,1.1,30.3,2020-03-17,153.57
17,2020-03-18,KMOCAPEF9,59.4,47.3,87,2.0,30.16,2020-03-18,136.02
18,2020-03-19,KMOCAPEF9,62.3,58.5,97,2.3,29.99,2020-03-19,132.3
19,2020-03-20,KMOCAPEF9,50.7,30.2,83,2.7,30.47,2020-03-20,127.55
20,2020-03-21,KMOCAPEF9,41.3,26.8,70,1.2,30.5,2020-03-21,112.5
21,2020-03-22,KMOCAPEF9,43.7,38.8,94,1.5,30.33,2020-03-22,80.46
22,2020-03-23,KMOCAPEF9,53.1,44.1,84,1.2,30.17,2020-03-23,95.77
23,2020-03-24,KMOCAPEF9,53.7,47.8,90,1.3,30.02,2020-03-24,77.96
24,2020-03-25,KMOCAPEF9,59.3,45.1,74,1.9,29.99,2020-03-25,101.22
25,2020-03-26,KMOCAPEF9,68.5,50.4,71,1.7,29.84,2020-03-26,109.85
26,2020-03-27,KMOCAPEF9,71.9,58.6,75,2.0,29.77,2020-03-27,116.58
27,2020-03-28,KMOCAPEF9,68.3,27.1,62,3.5,29.87,2020-03-28,101.38
28,2020-03-29,KMOCAPEF9,55.5,32.0,56,3.6,30.19,2020-03-29,96.58
29,2020-03-30,KMOCAPEF9,52.3,37.0,80,0.6,30.24,2020-03-30,88.47
30,2020-03-31,KMOCAPEF9,52.3,39.2,86,1.3,30.07,2020-03-31,103.67
31,2020-04-01,KMOCAPEF9,59.5,41.4,65,1.9,30.05,2020-04-01,101.33
32,2020-04-02,KMOCAPEF9,64.6,41.7,54,3.7,30.02,2020-04-02,85.82
33,2020-04-03,KMOCAPEF9,49.2,36.9,91,2.2,30.15,2020-04-03,85.2
34,2020-04-04,KMOCAPEF9,39.3,35.2,98,1.4,30.17,2020-04-04,85.71
35,2020-04-05,KMOCAPEF9,51.6,43.5,93,0.6,30.14,2020-04-05,73.11
36,2020-04-06,KMOCAPEF9,59.8,45.0,85,1.3,30.08,2020-04-06,76.53
37,2020-04-07,KMOCAPEF9,69.1,57.4,80,1.6,29.96,2020-04-07,92.4
38,2020-04-08,KMOCAPEF9,76.1,44.4,62,2.3,29.92,2020-04-08,107.45
39,2020-04-09,KMOCAPEF9,56.0,26.8,51,1.4,30.11,2020-04-09,101.12
40,2020-04-10,KMOCAPEF9,50.6,18.7,38,2.0,30.24,2020-04-10,119.69
41,2020-04-11,KMOCAPEF9,58.7,36.3,67,3.5,30.01,2020-04-11,93.27
42,2020-04-12,KMOCAPEF9,55.9,34.9,93,2.8,29.86,2020-04-12,63.32
43,2020-04-13,KMOCAPEF9,39.5,20.1,60,3.1,30.3,2020-04-13,86.53
44,2020-04-14,KMOCAPEF9,42.0,20.7,65,0.9,30.34,2020-04-14,90.2
45,2020-04-15,KMOCAPEF9,44.3,28.2,72,1.2,30.22,2020-04-15,105.87
46,2020-04-16,KMOCAPEF9,56.1,30.0,55,3.5,30.22,2020-04-16,112.4
47,2020-04-17,KMOCAPEF9,46.0,33.6,83,2.3,30.19,2020-04-17,116.48
48,2020-04-18,KMOCAPEF9,49.9,28.4,60,1.6,30.18,2020-04-18,153.32
49,2020-04-19,KMOCAPEF9,54.6,38.8,88,0.9,29.9,2020-04-19,97.4
50,2020-04-20,KMOCAPEF9,58.7,43.7,78,1.0,29.94,2020-04-20,116.84
51,2020-04-21,KMOCAPEF9,59.9,35.6,65,0.8,30.09,2020-04-21,118.88
52,2020-04-22,KMOCAPEF9,55.5,39.4,88,1.7,30.05,2020-04-22,96.28
53,2020-04-23,KMOCAPEF9,58.5,51.3,89,1.2,29.81,2020-04-23,114.34
54,2020-04-24,KMOCAPEF9,60.6,50.0,88,1.2,29.87,2020-04-24,124.03
55,2020-04-25,KMOCAPEF9,57.8,43.3,79,2.2,30.12,2020-04-25,154.8
56,2020-04-26,KMOCAPEF9,58.1,38.7,70,0.7,30.22,2020-04-26,168.37
57,2020-04-27,KMOCAPEF9,59.1,48.0,83,1.5,30.17,2020-04-27,117.4
58,2020-04-28,KMOCAPEF9,65.9,53.6,85,1.4,30.02,2020-04-28,120.77
59,2020-04-29,KMOCAPEF9,57.3,43.5,76,1.6,30.0,2020-04-29,140.51
60,2020-04-30,KMOCAPEF9,59.0,38.7,69,0.9,30.09,2020-04-30,165.82
61,2020-05-01,KMOCAPEF9,65.0,46.0,68,1.9,30.06,2020-05-01,220.87
62,2020-05-02,KMOCAPEF9,72.3,54.3,69,1.2,30.01,2020-05-02,347.76
63,2020-05-03,KMOCAPEF9,65.2,57.2,94,0.3,30.04,2020-05-03,155.66
64,2020-05-04,KMOCAPEF9,63.3,55.2,93,1.4,30.01,2020-05-04,125.66
65,2020-05-05,KMOCAPEF9,62.6,39.7,70,1.7,30.14,2020-05-05,142.5
66,2020-05-06,KMOCAPEF9,55.4,41.2,73,1.0,30.27,2020-05-06,163.47
67,2020-05-07,KMOCAPEF9,54.2,43.3,87,0.7,30.23,2020-05-07,149.74
68,2020-05-08,KMOCAPEF9,55.6,33.6,76,1.8,30.26,2020-05-08,189.08
69,2020-05-09,KMOCAPEF9,52.1,32.2,71,0.7,30.33,2020-05-09,226.84
70,2020-05-10,KMOCAPEF9,53.6,34.9,68,1.1,30.32,2020-05-10,170.97
71,2020-05-11,KMOCAPEF9,43.8,36.7,94,0.2,30.4,2020-05-11,170.97
72,2020-05-12,KMOCAPEF9,46.1,41.9,99,0.6,30.25,2020-05-12,170.97
73,2020-05-13,KMOCAPEF9,59.5,49.5,94,1.1,30.11,2020-05-13,171.53
74,2020-05-14,KMOCAPEF9,71.6,58.5,83,2.2,29.97,2020-05-14,191.02
75,2020-05-15,KMOCAPEF9,62.4,58.3,96,1.2,30.06,2020-05-15,224.95
76,2020-05-16,KMOCAPEF9,66.9,57.9,95,0.5,29.97,2020-05-16,246.07
77,2020-05-17,KMOCAPEF9,66.0,54.9,86,1.0,29.91,2020-05-17,231.33
78,2020-05-18,KMOCAPEF9,57.5,49.1,86,0.7,29.95,2020-05-18,212.76
79,2020-05-19,KMOCAPEF9,59.1,50.0,85,0.5,29.97,2020-05-19,230.61
80,2020-05-20,KMOCAPEF9,60.3,48.2,88,0.4,30.01,2020-05-20,258.83
81,2020-05-21,KMOCAPEF9,63.2,52.0,89,1.0,30.01,2020-05-21,297.5
82,2020-05-22,KMOCAPEF9,65.5,61.0,95,1.0,30.03,2020-05-22,409.29
83,2020-05-23,KMOCAPEF9,72.7,60.8,78,0.7,29.95,2020-05-23,636.94
84,2020-05-24,KMOCAPEF9,71.0,61.3,88,1.0,29.96,2020-05-24,559.95
