,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KMOOZARK8,47.3,35.0,65,0.2,29.98,2020-03-01,107.01
1,2020-03-02,KMOOZARK8,53.5,40.0,85,0.3,29.82,2020-03-02,108.61
2,2020-03-03,KMOOZARK8,48.5,26.0,62,0.7,29.96,2020-03-03,114.9
3,2020-03-04,KMOOZARK8,45.0,31.0,67,0.2,30.09,2020-03-04,110.35
4,2020-03-05,KMOOZARK8,46.2,18.0,58,2.8,30.33,2020-03-05,120.64
5,2020-03-06,KMOOZARK8,43.1,19.0,50,0.8,30.54,2020-03-06,145.05
6,2020-03-07,KMOOZARK8,47.0,21.0,50,0.9,30.49,2020-03-07,151.61
7,2020-03-08,KMOOZARK8,55.8,20.0,38,0.9,30.3,2020-03-08,111.6
8,2020-03-09,KMOOZARK8,55.3,32.0,80,1.0,30.14,2020-03-09,105.25
9,2020-03-10,KMOOZARK8,46.4,37.0,85,0.6,30.33,2020-03-10,127.77
10,2020-03-11,KMOOZARK8,56.2,44.0,79,0.1,30.09,2020-03-11,116.62
11,2020-03-12,KMOOZARK8,59.3,44.0,83,2.2,29.98,2020-03-12,121.12
12,2020-03-13,KMOOZARK8,47.6,21.0,52,1.6,30.31,2020-03-13,142.82
13,2020-03-14,KMOOZARK8,41.2,29.0,87,0.4,30.39,2020-03-14,122.11
14,2020-03-15,KMOOZARK8,38.9,35.0,91,0.2,30.53,2020-03-15,98.54
15,2020-03-16,KMOOZARK8,40.9,34.0,95,0.0,30.38,2020-03-16,101.23
16,2020-03-17,KMOOZARK8,47.7,43.0,92,0.2,30.31,2020-03-17,95.75
17,2020-03-18,KMOOZARK8,60.1,45.0,84,0.7,30.11,2020-03-18,92.7
18,2020-03-19,KMOOZARK8,61.7,58.0,95,0.2,29.93,2020-03-19,82.79
19,2020-03-20,KMOOZARK8,45.8,29.0,85,1.0,30.46,2020-03-20,96.4
20,2020-03-21,KMOOZARK8,41.1,25.0,69,0.1,30.53,2020-03-21,83.03
21,2020-03-22,KMOOZARK8,42.2,35.0,90,0.2,30.35,2020-03-22,54.44
22,2020-03-23,KMOOZARK8,49.5,41.0,88,0.1,30.17,2020-03-23,77.69
23,2020-03-24,KMOOZARK8,50.5,45.0,90,0.2,30.01,2020-03-24,71.12
24,2020-03-25,KMOOZARK8,55.0,42.0,80,0.4,29.95,2020-03-25,92.0
25,2020-03-26,KMOOZARK8,64.5,49.0,76,0.4,29.8,2020-03-26,81.44
26,2020-03-27,KMOOZARK8,70.8,60.0,79,0.2,29.67,2020-03-27,89.98
27,2020-03-28,KMOOZARK8,67.7,32.0,60,3.5,29.75,2020-03-28,84.83
28,2020-03-29,KMOOZARK8,55.8,34.0,54,4.8,30.14,2020-03-29,80.83
29,2020-03-30,KMOOZARK8,52.0,38.0,75,0.1,30.21,2020-03-30,90.59
30,2020-03-31,KMOOZARK8,55.2,35.0,69,0.9,30.03,2020-03-31,86.7
31,2020-04-01,KMOOZARK8,53.4,36.0,70,0.2,30.01,2020-04-01,96.09
32,2020-04-02,KMOOZARK8,61.0,43.0,62,0.7,29.98,2020-04-02,95.54
33,2020-04-03,KMOOZARK8,49.6,35.0,87,0.7,30.11,2020-04-03,92.89
34,2020-04-04,KMOOZARK8,39.4,34.0,93,0.3,30.16,2020-04-04,81.05
35,2020-04-05,KMOOZARK8,50.7,41.0,91,0.0,30.13,2020-04-05,69.19
36,2020-04-06,KMOOZARK8,61.3,46.0,83,0.4,30.05,2020-04-06,89.47
37,2020-04-07,KMOOZARK8,70.0,58.0,77,0.4,29.89,2020-04-07,94.07
38,2020-04-08,KMOOZARK8,71.0,46.0,71,0.8,29.83,2020-04-08,105.56
39,2020-04-09,KMOOZARK8,55.1,23.0,49,1.0,30.06,2020-04-09,93.42
40,2020-04-10,KMOOZARK8,47.1,22.0,44,0.2,30.22,2020-04-10,113.46
41,2020-04-11,KMOOZARK8,52.4,27.0,67,0.3,29.96,2020-04-11,84.12
42,2020-04-12,KMOOZARK8,53.9,34.0,91,1.1,29.77,2020-04-12,59.98
43,2020-04-13,KMOOZARK8,38.1,21.0,64,2.6,30.29,2020-04-13,92.1
44,2020-04-14,KMOOZARK8,41.8,18.0,58,0.3,30.34,2020-04-14,92.19
45,2020-04-15,KMOOZARK8,43.4,27.0,69,1.5,30.2,2020-04-15,102.68
46,2020-04-16,KMOOZARK8,53.9,32.0,53,0.3,30.21,2020-04-16,104.61
47,2020-04-17,KMOOZARK8,46.5,33.0,80,0.9,30.17,2020-04-17,105.02
48,2020-04-18,KMOOZARK8,47.2,26.0,61,0.1,30.16,2020-04-18,107.31
49,2020-04-19,KMOOZARK8,55.0,37.0,82,0.1,29.86,2020-04-19,86.24
50,2020-04-20,KMOOZARK8,57.1,39.0,75,1.0,29.89,2020-04-20,106.12
51,2020-04-21,KMOOZARK8,59.7,38.0,59,0.4,30.04,2020-04-21,109.39
52,2020-04-22,KMOOZARK8,55.2,38.0,80,0.2,29.99,2020-04-22,92.41
53,2020-04-23,KMOOZARK8,58.0,49.0,87,0.4,29.75,2020-04-23,103.41
54,2020-04-24,KMOOZARK8,58.2,46.0,86,0.1,29.8,2020-04-24,115.05
55,2020-04-25,KMOOZARK8,56.6,44.0,78,1.1,30.06,2020-04-25,106.07
56,2020-04-26,KMOOZARK8,55.9,38.0,68,0.4,30.18,2020-04-26,99.19
57,2020-04-27,KMOOZARK8,59.2,44.0,74,0.3,30.14,2020-04-27,102.99
58,2020-04-28,KMOOZARK8,65.9,53.0,80,0.3,29.97,2020-04-28,108.2
59,2020-04-29,KMOOZARK8,56.4,44.0,75,1.6,29.93,2020-04-29,110.93
60,2020-04-30,KMOOZARK8,59.6,41.0,62,0.7,30.03,2020-04-30,126.9
61,2020-05-01,KMOOZARK8,63.9,43.0,66,0.2,30.01,2020-05-01,138.49
62,2020-05-02,KMOOZARK8,72.4,54.0,66,0.2,29.93,2020-05-02,131.85
63,2020-05-03,KMOOZARK8,67.4,56.0,82,0.1,29.98,2020-05-03,96.92
64,2020-05-04,KMOOZARK8,60.7,50.0,87,0.2,29.93,2020-05-04,115.25
65,2020-05-05,KMOOZARK8,61.6,39.0,65,1.7,30.07,2020-05-05,133.17
66,2020-05-06,KMOOZARK8,55.9,38.0,63,0.5,30.22,2020-05-06,130.44
67,2020-05-07,KMOOZARK8,53.4,39.0,81,0.1,30.19,2020-05-07,128.85
68,2020-05-08,KMOOZARK8,55.0,35.0,70,0.7,30.2,2020-05-08,147.84
69,2020-05-09,KMOOZARK8,50.7,32.0,65,0.1,30.3,2020-05-09,142.38
70,2020-05-10,KMOOZARK8,51.9,35.0,66,0.9,30.28,2020-05-10,103.29
71,2020-05-11,KMOOZARK8,43.8,34.0,84,0.0,30.37,2020-05-11,103.29
72,2020-05-12,KMOOZARK8,45.2,41.0,97,0.0,30.23,2020-05-12,103.29
73,2020-05-13,KMOOZARK8,57.1,48.0,95,0.1,30.09,2020-05-13,135.18
74,2020-05-14,KMOOZARK8,69.4,60.0,87,0.4,29.92,2020-05-14,145.56
75,2020-05-15,KMOOZARK8,62.4,58.0,95,0.1,29.99,2020-05-15,153.68
76,2020-05-16,KMOOZARK8,65.9,58.0,95,0.0,29.91,2020-05-16,148.58
77,2020-05-17,KMOOZARK8,65.4,55.0,85,0.7,29.82,2020-05-17,128.76
78,2020-05-18,KMOOZARK8,56.6,49.0,84,0.2,29.88,2020-05-18,145.05
79,2020-05-19,KMOOZARK8,60.2,51.0,79,0.1,29.91,2020-05-19,152.04
80,2020-05-20,KMOOZARK8,62.5,51.0,85,0.0,29.95,2020-05-20,164.38
81,2020-05-21,KMOOZARK8,65.8,55.0,82,0.1,29.95,2020-05-21,182.72
82,2020-05-22,KMOOZARK8,64.4,59.0,92,0.2,29.94,2020-05-22,192.27
83,2020-05-23,KMOOZARK8,72.4,62.0,77,0.1,29.88,2020-05-23,183.56
84,2020-05-24,KMOOZARK8,70.2,62.0,89,0.1,29.87,2020-05-24,142.82
85,2020-05-25,KMOOZARK8,68.8,64.0,95,0.0,29.86,2020-05-25,154.07
86,2020-05-26,KMOOZARK8,69.4,64.0,88,0.3,29.84,2020-05-26,161.8
87,2020-05-27,KMOOZARK8,66.6,59.0,89,0.0,29.84,2020-05-27,162.62
88,2020-05-28,KMOOZARK8,63.3,55.0,90,0.3,29.95,2020-05-28,170.46
89,2020-05-29,KMOOZARK8,67.8,49.0,73,0.4,30.13,2020-05-29,204.56
90,2020-05-30,KMOOZARK8,66.4,48.0,69,0.0,30.19,2020-05-30,191.35
91,2020-05-31,KMOOZARK8,69.3,54.0,71,0.0,30.23,2020-05-31,158.55
92,2020-06-01,KMOOZARK8,71.3,56.0,72,0.1,30.17,2020-06-01,169.26
93,2020-06-02,KMOOZARK8,72.0,56.0,76,0.1,30.07,2020-06-02,165.16
94,2020-06-03,KMOOZARK8,74.8,63.0,81,0.3,29.97,2020-06-03,169.69
95,2020-06-04,KMOOZARK8,74.1,61.0,84,0.1,29.85,2020-06-04,174.94
96,2020-06-05,KMOOZARK8,79.9,68.0,77,0.1,29.89,2020-06-05,214.84
97,2020-06-06,KMOOZARK8,80.6,67.0,75,0.1,29.95,2020-06-06,196.55
98,2020-06-07,KMOOZARK8,80.1,66.0,76,0.1,29.88,2020-06-07,162.87
99,2020-06-08,KMOOZARK8,76.3,65.0,81,0.0,29.77,2020-06-08,162.45
100,2020-06-09,KMOOZARK8,78.5,52.0,79,0.5,29.58,2020-06-09,172.0
101,2020-06-10,KMOOZARK8,65.9,48.0,68,1.3,30.09,2020-06-10,172.57
102,2020-06-11,KMOOZARK8,69.0,51.0,67,0.1,30.26,2020-06-11,190.9
103,2020-06-12,KMOOZARK8,72.6,56.0,71,0.1,30.28,2020-06-12,222.62
104,2020-06-13,KMOOZARK8,75.3,59.0,71,0.1,30.13,2020-06-13,218.25
105,2020-06-14,KMOOZARK8,76.1,60.0,73,0.0,30.11,2020-06-14,176.52
106,2020-06-15,KMOOZARK8,76.6,63.0,75,0.0,30.19,2020-06-15,177.16
107,2020-06-16,KMOOZARK8,74.5,60.0,72,0.0,30.17,2020-06-16,182.01
108,2020-06-17,KMOOZARK8,73.4,56.0,70,0.0,30.08,2020-06-17,183.71
109,2020-06-18,KMOOZARK8,74.5,58.0,71,0.0,29.98,2020-06-18,200.8
110,2020-06-19,KMOOZARK8,74.0,62.0,80,0.0,29.98,2020-06-19,227.07
111,2020-06-20,KMOOZARK8,75.1,66.0,81,0.1,29.94,2020-06-20,194.6
112,2020-06-21,KMOOZARK8,73.6,62.0,81,0.1,29.91,2020-06-21,154.98
113,2020-06-22,KMOOZARK8,74.3,64.0,80,0.2,29.85,2020-06-22,181.04
114,2020-06-23,KMOOZARK8,72.2,56.0,76,0.2,29.91,2020-06-23,183.41
115,2020-06-24,KMOOZARK8,71.9,52.0,67,0.1,29.94,2020-06-24,190.37
116,2020-06-25,KMOOZARK8,75.6,59.0,71,0.1,29.98,2020-06-25,210.52
117,2020-06-26,KMOOZARK8,77.6,63.0,78,0.2,29.99,2020-06-26,247.23
118,2020-06-27,KMOOZARK8,77.0,67.0,82,0.3,29.93,2020-06-27,228.89
119,2020-06-28,KMOOZARK8,80.8,70.0,75,0.1,29.8,2020-06-28,187.94
120,2020-06-29,KMOOZARK8,78.9,67.0,79,0.2,29.8,2020-06-29,187.42
121,2020-06-30,KMOOZARK8,77.7,70.0,87,0.1,29.82,2020-06-30,184.49
122,2020-07-01,KMOOZARK8,76.3,70.0,90,0.0,29.85,2020-07-01,188.82
123,2020-07-02,KMOOZARK8,78.7,69.0,85,0.0,29.92,2020-07-02,220.18
124,2020-07-03,KMOOZARK8,76.0,67.0,85,0.1,29.95,2020-07-03,227.57
125,2020-07-04,KMOOZARK8,74.0,66.0,87,0.1,29.93,2020-07-04,168.96
126,2020-07-05,KMOOZARK8,78.4,66.0,78,0.1,29.93,2020-07-05,189.24
127,2020-07-06,KMOOZARK8,79.8,66.0,75,0.0,29.93,2020-07-06,203.98
128,2020-07-07,KMOOZARK8,80.7,67.0,74,0.1,29.97,2020-07-07,182.99
129,2020-07-08,KMOOZARK8,80.7,67.0,75,0.1,29.89,2020-07-08,189.88
130,2020-07-09,KMOOZARK8,77.3,69.0,84,0.0,29.88,2020-07-09,208.15
131,2020-07-10,KMOOZARK8,79.2,65.0,74,0.0,30.0,2020-07-10,228.89
132,2020-07-11,KMOOZARK8,81.8,66.0,75,0.1,29.98,2020-07-11,221.07
133,2020-07-12,KMOOZARK8,80.3,60.0,65,0.6,29.87,2020-07-12,178.72
134,2020-07-13,KMOOZARK8,75.4,60.0,74,0.0,29.93,2020-07-13,185.08
135,2020-07-14,KMOOZARK8,80.5,66.0,77,0.3,29.9,2020-07-14,181.59
136,2020-07-15,KMOOZARK8,83.3,70.0,76,0.1,29.92,2020-07-15,189.44
137,2020-07-16,KMOOZARK8,80.4,67.0,77,0.0,30.03,2020-07-16,197.98
138,2020-07-17,KMOOZARK8,77.2,68.0,87,0.0,30.08,2020-07-17,222.44
139,2020-07-18,KMOOZARK8,80.6,72.0,81,0.1,30.02,2020-07-18,217.4
140,2020-07-19,KMOOZARK8,82.5,71.0,74,0.3,29.96,2020-07-19,174.16
141,2020-07-20,KMOOZARK8,80.5,69.0,78,0.2,29.96,2020-07-20,185.06
142,2020-07-21,KMOOZARK8,80.4,71.0,77,0.1,29.95,2020-07-21,186.77
143,2020-07-22,KMOOZARK8,80.7,70.0,78,0.0,29.96,2020-07-22,189.37
144,2020-07-23,KMOOZARK8,81.5,68.0,76,0.0,30.03,2020-07-23,196.78
145,2020-07-24,KMOOZARK8,82.3,70.0,74,0.0,30.05,2020-07-24,237.33
146,2020-07-25,KMOOZARK8,81.3,70.0,77,0.0,30.02,2020-07-25,219.25
147,2020-07-26,KMOOZARK8,80.4,70.0,79,0.0,30.03,2020-07-26,181.16
