,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KMOSCOTT4,52.8,28.0,70,4.4,30.51,2020-03-01,167.58
1,2020-03-02,KMOSCOTT4,58.0,47.8,86,2.5,30.28,2020-03-02,117.58
2,2020-03-03,KMOSCOTT4,52.4,28.4,71,2.3,30.34,2020-03-03,114.37
3,2020-03-04,KMOSCOTT4,48.4,33.8,68,1.8,30.47,2020-03-04,121.53
4,2020-03-05,KMOSCOTT4,50.3,21.2,57,2.7,30.58,2020-03-05,127.41
5,2020-03-06,KMOSCOTT4,44.1,20.1,52,4.4,30.89,2020-03-06,160.45
6,2020-03-07,KMOSCOTT4,40.5,23.5,69,1.2,30.97,2020-03-07,160.96
7,2020-03-08,KMOSCOTT4,51.5,26.8,52,3.1,30.8,2020-03-08,119.77
8,2020-03-09,KMOSCOTT4,57.0,37.4,77,5.1,30.68,2020-03-09,120.99
9,2020-03-10,KMOSCOTT4,49.7,39.6,88,3.2,30.69,2020-03-10,127.49
10,2020-03-11,KMOSCOTT4,48.7,39.4,92,1.2,30.61,2020-03-11,126.62
11,2020-03-12,KMOSCOTT4,56.2,41.7,95,1.9,30.36,2020-03-12,135.36
12,2020-03-13,KMOSCOTT4,49.1,26.1,59,3.8,30.78,2020-03-13,156.77
13,2020-03-14,KMOSCOTT4,42.8,32.0,83,2.6,30.79,2020-03-14,147.26
14,2020-03-15,KMOSCOTT4,40.0,33.8,84,3.0,30.93,2020-03-15,117.42
15,2020-03-16,KMOSCOTT4,42.0,34.9,89,0.9,30.8,2020-03-16,106.58
16,2020-03-17,KMOSCOTT4,49.7,39.7,79,2.4,30.72,2020-03-17,110.22
17,2020-03-18,KMOSCOTT4,53.4,41.9,90,1.2,30.61,2020-03-18,110.45
18,2020-03-19,KMOSCOTT4,65.2,51.8,94,3.3,30.46,2020-03-19,102.7
19,2020-03-20,KMOSCOTT4,56.1,35.1,83,4.9,30.82,2020-03-20,113.9
20,2020-03-21,KMOSCOTT4,41.8,28.9,72,3.2,30.9,2020-03-21,98.36
21,2020-03-22,KMOSCOTT4,41.8,28.8,79,1.5,30.82,2020-03-22,64.84
22,2020-03-23,KMOSCOTT4,49.5,41.2,80,2.1,30.6,2020-03-23,82.5
23,2020-03-24,KMOSCOTT4,47.0,40.3,90,2.4,30.49,2020-03-24,77.84
24,2020-03-25,KMOSCOTT4,55.0,45.3,82,2.1,30.43,2020-03-25,89.94
25,2020-03-26,KMOSCOTT4,63.5,45.3,82,2.2,30.32,2020-03-26,99.1
26,2020-03-27,KMOSCOTT4,69.9,59.2,86,2.3,30.19,2020-03-27,96.52
27,2020-03-28,KMOSCOTT4,70.0,61.3,88,3.5,30.19,2020-03-28,73.84
28,2020-03-29,KMOSCOTT4,61.6,30.4,51,4.4,30.52,2020-03-29,67.74
29,2020-03-30,KMOSCOTT4,55.2,35.6,70,0.5,30.65,2020-03-30,81.91
30,2020-03-31,KMOSCOTT4,53.2,36.3,73,2.0,30.43,2020-03-31,81.28
31,2020-04-01,KMOSCOTT4,49.5,31.8,72,1.2,30.49,2020-04-01,82.62
32,2020-04-02,KMOSCOTT4,55.0,39.0,70,1.5,30.56,2020-04-02,85.32
33,2020-04-03,KMOSCOTT4,60.0,46.4,74,0.9,30.47,2020-04-03,97.65
34,2020-04-04,KMOSCOTT4,50.2,41.9,84,3.5,30.53,2020-04-04,67.19
35,2020-04-05,KMOSCOTT4,52.8,42.4,82,1.6,30.55,2020-04-05,58.46
36,2020-04-06,KMOSCOTT4,61.8,44.2,78,1.1,30.51,2020-04-06,80.38
37,2020-04-07,KMOSCOTT4,68.7,55.4,83,1.9,30.37,2020-04-07,75.8
38,2020-04-08,KMOSCOTT4,72.6,37.2,79,2.2,30.21,2020-04-08,83.67
39,2020-04-09,KMOSCOTT4,57.5,25.0,45,4.9,30.45,2020-04-09,81.87
40,2020-04-10,KMOSCOTT4,46.2,16.5,46,2.6,30.6,2020-04-10,91.7
41,2020-04-11,KMOSCOTT4,53.8,28.9,56,2.1,30.45,2020-04-11,72.75
42,2020-04-12,KMOSCOTT4,57.6,42.4,88,1.6,30.2,2020-04-12,45.54
43,2020-04-13,KMOSCOTT4,46.8,20.1,60,5.1,30.66,2020-04-13,80.93
44,2020-04-14,KMOSCOTT4,44.5,11.8,48,2.1,30.71,2020-04-14,88.96
45,2020-04-15,KMOSCOTT4,46.4,26.1,60,2.2,30.63,2020-04-15,97.22
46,2020-04-16,KMOSCOTT4,50.5,22.6,51,1.2,30.73,2020-04-16,100.51
47,2020-04-17,KMOSCOTT4,52.0,34.3,70,2.9,30.5,2020-04-17,112.88
48,2020-04-18,KMOSCOTT4,47.1,27.9,64,1.6,30.58,2020-04-18,86.77
49,2020-04-19,KMOSCOTT4,52.8,37.4,83,0.7,30.32,2020-04-19,76.39
50,2020-04-20,KMOSCOTT4,58.1,33.4,66,1.3,30.27,2020-04-20,94.44
51,2020-04-21,KMOSCOTT4,59.8,31.5,62,2.0,30.45,2020-04-21,101.92
52,2020-04-22,KMOSCOTT4,53.3,37.4,76,1.2,30.46,2020-04-22,103.41
53,2020-04-23,KMOSCOTT4,56.3,52.3,95,1.5,30.2,2020-04-23,95.85
54,2020-04-24,KMOSCOTT4,60.1,45.0,83,0.7,30.29,2020-04-24,107.05
55,2020-04-25,KMOSCOTT4,57.1,46.2,88,3.7,30.34,2020-04-25,85.94
56,2020-04-26,KMOSCOTT4,56.2,35.6,64,3.9,30.59,2020-04-26,84.03
57,2020-04-27,KMOSCOTT4,55.4,40.1,76,0.9,30.64,2020-04-27,105.17
58,2020-04-28,KMOSCOTT4,65.8,50.5,78,2.4,30.46,2020-04-28,106.03
59,2020-04-29,KMOSCOTT4,58.8,46.0,80,4.2,30.24,2020-04-29,121.5
60,2020-04-30,KMOSCOTT4,59.4,39.0,64,3.2,30.37,2020-04-30,111.32
61,2020-05-01,KMOSCOTT4,61.8,41.9,67,1.0,30.48,2020-05-01,121.38
62,2020-05-02,KMOSCOTT4,72.0,52.3,65,1.6,30.43,2020-05-02,103.56
63,2020-05-03,KMOSCOTT4,69.3,52.7,76,1.4,30.4,2020-05-03,88.29
64,2020-05-04,KMOSCOTT4,61.5,48.2,77,0.6,30.41,2020-05-04,140.05
65,2020-05-05,KMOSCOTT4,62.7,40.8,72,3.1,30.36,2020-05-05,129.95
66,2020-05-06,KMOSCOTT4,54.3,34.5,64,3.2,30.6,2020-05-06,127.49
67,2020-05-07,KMOSCOTT4,56.4,37.9,68,1.1,30.59,2020-05-07,139.66
68,2020-05-08,KMOSCOTT4,55.1,33.4,75,2.1,30.59,2020-05-08,152.08
69,2020-05-09,KMOSCOTT4,52.3,30.0,65,1.2,30.68,2020-05-09,153.99
70,2020-05-10,KMOSCOTT4,57.4,34.7,59,2.6,30.63,2020-05-10,102.0
71,2020-05-11,KMOSCOTT4,52.1,30.0,60,1.9,30.71,2020-05-11,102.0
72,2020-05-12,KMOSCOTT4,50.7,37.2,87,0.2,30.68,2020-05-12,102.0
73,2020-05-13,KMOSCOTT4,55.8,49.1,98,0.4,30.58,2020-05-13,127.76
74,2020-05-14,KMOSCOTT4,71.4,59.4,79,1.6,30.45,2020-05-14,146.4
75,2020-05-15,KMOSCOTT4,69.6,61.7,89,1.6,30.39,2020-05-15,152.82
76,2020-05-16,KMOSCOTT4,71.9,63.3,88,0.6,30.37,2020-05-16,168.91
77,2020-05-17,KMOSCOTT4,70.9,62.8,89,1.3,30.25,2020-05-17,123.53
78,2020-05-18,KMOSCOTT4,61.8,52.7,83,2.1,30.23,2020-05-18,146.08
79,2020-05-19,KMOSCOTT4,61.9,54.9,85,2.0,30.29,2020-05-19,156.7
80,2020-05-20,KMOSCOTT4,64.2,57.6,88,0.7,30.38,2020-05-20,159.95
81,2020-05-21,KMOSCOTT4,64.6,55.9,84,0.5,30.42,2020-05-21,171.26
