,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KMSBAYSA4,56.4,39.1,88,3.6,30.31,2020-03-01,137.74
1,2020-03-02,KMSBAYSA4,66.8,60.9,94,5.7,30.13,2020-03-02,118.35
2,2020-03-03,KMSBAYSA4,69.4,63.2,97,3.2,29.99,2020-03-03,118.97
3,2020-03-04,KMSBAYSA4,66.1,55.1,99,5.3,29.95,2020-03-04,106.96
4,2020-03-05,KMSBAYSA4,58.3,48.8,94,5.1,30.26,2020-03-05,122.66
5,2020-03-06,KMSBAYSA4,56.6,30.2,59,5.1,30.46,2020-03-06,175.4
6,2020-03-07,KMSBAYSA4,51.3,29.9,70,2.4,30.55,2020-03-07,191.5
7,2020-03-08,KMSBAYSA4,58.8,42.6,83,4.0,30.54,2020-03-08,149.03
8,2020-03-09,KMSBAYSA4,65.0,58.5,94,4.3,30.47,2020-03-09,132.47
9,2020-03-10,KMSBAYSA4,65.3,61.4,99,1.7,30.4,2020-03-10,133.94
10,2020-03-11,KMSBAYSA4,68.6,63.2,94,3.2,30.29,2020-03-11,130.36
11,2020-03-12,KMSBAYSA4,69.2,63.7,95,4.0,30.12,2020-03-12,139.7
12,2020-03-13,KMSBAYSA4,71.3,63.0,95,3.7,30.25,2020-03-13,172.11
13,2020-03-14,KMSBAYSA4,70.9,66.3,95,3.1,30.31,2020-03-14,181.16
14,2020-03-15,KMSBAYSA4,71.3,61.0,89,1.9,30.36,2020-03-15,132.43
15,2020-03-16,KMSBAYSA4,67.8,57.1,91,2.3,30.31,2020-03-16,114.16
16,2020-03-17,KMSBAYSA4,72.0,67.0,94,2.0,30.26,2020-03-17,101.79
17,2020-03-18,KMSBAYSA4,72.6,64.5,97,3.9,30.27,2020-03-18,94.51
18,2020-03-19,KMSBAYSA4,74.8,71.7,97,6.4,30.26,2020-03-19,103.57
19,2020-03-20,KMSBAYSA4,75.0,67.5,97,5.0,30.31,2020-03-20,109.13
20,2020-03-21,KMSBAYSA4,68.8,62.3,94,4.8,30.36,2020-03-21,91.31
21,2020-03-22,KMSBAYSA4,66.8,59.1,95,3.9,30.33,2020-03-22,70.23
22,2020-03-23,KMSBAYSA4,75.5,68.4,91,3.6,30.23,2020-03-23,76.88
23,2020-03-24,KMSBAYSA4,76.2,69.4,88,6.2,30.12,2020-03-24,76.06
24,2020-03-25,KMSBAYSA4,75.6,66.6,88,2.2,30.01,2020-03-25,75.51
25,2020-03-26,KMSBAYSA4,73.1,63.9,94,2.7,30.07,2020-03-26,83.08
26,2020-03-27,KMSBAYSA4,76.3,69.5,93,5.8,30.01,2020-03-27,88.52
27,2020-03-28,KMSBAYSA4,77.5,74.2,97,6.8,30.04,2020-03-28,82.74
28,2020-03-29,KMSBAYSA4,76.2,56.2,73,3.4,30.2,2020-03-29,67.87
29,2020-03-30,KMSBAYSA4,73.4,55.5,75,4.0,30.21,2020-03-30,73.38
30,2020-03-31,KMSBAYSA4,72.1,52.6,84,7.4,30.04,2020-03-31,74.7
31,2020-04-01,KMSBAYSA4,59.4,44.8,81,2.4,30.11,2020-04-01,78.21
32,2020-04-02,KMSBAYSA4,63.0,50.6,80,2.1,30.15,2020-04-02,74.68
33,2020-04-03,KMSBAYSA4,67.5,52.5,80,2.1,30.1,2020-04-03,81.52
34,2020-04-04,KMSBAYSA4,66.9,57.8,86,1.3,30.08,2020-04-04,64.79
35,2020-04-05,KMSBAYSA4,68.7,59.5,85,2.5,30.12,2020-04-05,58.57
36,2020-04-06,KMSBAYSA4,69.7,58.2,91,2.4,30.17,2020-04-06,68.4
37,2020-04-07,KMSBAYSA4,74.6,68.4,98,3.0,30.13,2020-04-07,69.92
38,2020-04-08,KMSBAYSA4,78.9,73.1,92,2.6,30.01,2020-04-08,76.86
39,2020-04-09,KMSBAYSA4,78.5,67.2,91,3.0,30.01,2020-04-09,75.02
40,2020-04-10,KMSBAYSA4,66.1,47.7,74,4.7,30.11,2020-04-10,77.4
41,2020-04-11,KMSBAYSA4,65.2,46.0,76,4.6,30.12,2020-04-11,74.47
42,2020-04-12,KMSBAYSA4,75.8,70.8,99,8.7,29.94,2020-04-12,45.21
43,2020-04-13,KMSBAYSA4,72.8,57.8,81,3.5,30.13,2020-04-13,77.7
44,2020-04-14,KMSBAYSA4,62.7,51.2,83,6.3,30.14,2020-04-14,74.39
45,2020-04-15,KMSBAYSA4,59.1,41.2,62,6.6,30.22,2020-04-15,87.03
46,2020-04-16,KMSBAYSA4,59.1,39.5,66,2.9,30.3,2020-04-16,94.54
47,2020-04-17,KMSBAYSA4,66.4,51.9,94,2.8,30.22,2020-04-17,92.51
48,2020-04-18,KMSBAYSA4,72.5,68.4,97,2.0,30.09,2020-04-18,84.49
49,2020-04-19,KMSBAYSA4,75.5,65.7,96,6.4,30.01,2020-04-19,71.52
50,2020-04-20,KMSBAYSA4,68.4,60.5,88,2.6,29.99,2020-04-20,83.19
51,2020-04-21,KMSBAYSA4,69.6,54.2,83,1.7,30.08,2020-04-21,90.25
52,2020-04-22,KMSBAYSA4,72.1,61.9,88,4.8,30.1,2020-04-22,82.3
53,2020-04-23,KMSBAYSA4,74.5,65.5,95,5.5,29.89,2020-04-23,81.27
54,2020-04-24,KMSBAYSA4,70.3,57.6,83,1.9,29.94,2020-04-24,112.38
55,2020-04-25,KMSBAYSA4,75.3,59.2,76,3.3,30.07,2020-04-25,111.6
56,2020-04-26,KMSBAYSA4,69.9,50.0,68,3.4,30.26,2020-04-26,96.5
57,2020-04-27,KMSBAYSA4,64.6,45.9,69,2.9,30.32,2020-04-27,94.62
58,2020-04-28,KMSBAYSA4,68.0,52.6,87,3.6,30.2,2020-04-28,100.74
59,2020-04-29,KMSBAYSA4,67.6,58.2,95,3.5,30.04,2020-04-29,86.37
60,2020-04-30,KMSBAYSA4,65.2,50.6,74,2.8,30.09,2020-04-30,108.97
61,2020-05-01,KMSBAYSA4,65.5,49.0,75,1.6,30.21,2020-05-01,131.46
62,2020-05-02,KMSBAYSA4,68.7,53.1,80,2.4,30.24,2020-05-02,136.62
63,2020-05-03,KMSBAYSA4,72.0,60.1,86,3.1,30.18,2020-05-03,117.28
64,2020-05-04,KMSBAYSA4,73.0,61.2,87,2.7,30.09,2020-05-04,111.73
65,2020-05-05,KMSBAYSA4,76.9,63.0,82,1.7,30.03,2020-05-05,116.39
66,2020-05-06,KMSBAYSA4,75.2,48.5,59,4.8,30.18,2020-05-06,122.41
67,2020-05-07,KMSBAYSA4,64.6,46.2,68,3.3,30.3,2020-05-07,128.92
68,2020-05-08,KMSBAYSA4,68.1,58.3,90,3.9,30.14,2020-05-08,137.93
69,2020-05-09,KMSBAYSA4,62.2,49.6,80,6.2,30.24,2020-05-09,147.57
70,2020-05-10,KMSBAYSA4,67.8,50.0,65,3.3,30.25,2020-05-10,128.65
