,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KMSCORIN4,54.3,31.4,58,3.5,30.21,2020-03-01,103.92
1,2020-03-02,KMSCORIN4,59.3,46.4,89,2.7,30.01,2020-03-02,117.25
2,2020-03-03,KMSCORIN4,62.0,44.6,75,3.3,29.98,2020-03-03,108.93
3,2020-03-04,KMSCORIN4,54.9,44.2,74,1.4,30.09,2020-03-04,113.97
4,2020-03-05,KMSCORIN4,54.4,32.7,60,2.8,30.2,2020-03-05,125.97
5,2020-03-06,KMSCORIN4,48.7,24.6,47,6.6,30.51,2020-03-06,165.47
6,2020-03-07,KMSCORIN4,44.8,20.8,54,2.1,30.61,2020-03-07,177.88
7,2020-03-08,KMSCORIN4,52.8,30.6,53,2.8,30.53,2020-03-08,106.75
8,2020-03-09,KMSCORIN4,58.8,34.7,70,4.0,30.44,2020-03-09,130.71
9,2020-03-10,KMSCORIN4,62.2,48.1,85,3.1,30.24,2020-03-10,119.12
10,2020-03-11,KMSCORIN4,54.4,39.6,92,1.5,30.22,2020-03-11,119.36
11,2020-03-12,KMSCORIN4,67.7,58.8,84,3.4,29.98,2020-03-12,112.34
12,2020-03-13,KMSCORIN4,58.4,35.3,67,4.9,30.31,2020-03-13,144.58
13,2020-03-14,KMSCORIN4,56.3,39.3,83,2.9,30.34,2020-03-14,136.33
14,2020-03-15,KMSCORIN4,45.5,40.5,92,5.0,30.45,2020-03-15,92.54
15,2020-03-16,KMSCORIN4,47.5,39.9,91,1.7,30.41,2020-03-16,112.85
16,2020-03-17,KMSCORIN4,55.4,50.6,91,2.5,30.3,2020-03-17,97.65
17,2020-03-18,KMSCORIN4,64.3,53.0,88,2.2,30.23,2020-03-18,97.61
18,2020-03-19,KMSCORIN4,71.5,63.2,82,3.6,30.16,2020-03-19,93.56
19,2020-03-20,KMSCORIN4,65.3,48.4,92,3.5,30.34,2020-03-20,103.34
20,2020-03-21,KMSCORIN4,47.6,39.7,83,4.6,30.47,2020-03-21,87.53
21,2020-03-22,KMSCORIN4,49.6,38.4,87,1.9,30.4,2020-03-22,55.52
22,2020-03-23,KMSCORIN4,57.4,51.4,90,1.9,30.18,2020-03-23,77.57
23,2020-03-24,KMSCORIN4,61.8,53.0,93,2.3,30.09,2020-03-24,75.9
24,2020-03-25,KMSCORIN4,55.9,48.6,88,2.2,30.05,2020-03-25,84.59
25,2020-03-26,KMSCORIN4,65.9,45.1,75,2.1,29.99,2020-03-26,89.16
26,2020-03-27,KMSCORIN4,75.3,59.3,71,3.5,29.89,2020-03-27,94.34
27,2020-03-28,KMSCORIN4,75.5,65.0,76,3.4,29.9,2020-03-28,79.31
28,2020-03-29,KMSCORIN4,65.5,36.3,63,3.2,30.2,2020-03-29,57.74
29,2020-03-30,KMSCORIN4,56.4,45.5,82,0.5,30.27,2020-03-30,77.54
30,2020-03-31,KMSCORIN4,51.2,42.3,87,4.4,30.06,2020-03-31,69.53
31,2020-04-01,KMSCORIN4,52.5,37.3,70,1.9,30.1,2020-04-01,77.95
32,2020-04-02,KMSCORIN4,56.0,40.0,66,1.4,30.2,2020-04-02,84.32
33,2020-04-03,KMSCORIN4,62.6,43.7,61,1.5,30.1,2020-04-03,91.0
34,2020-04-04,KMSCORIN4,65.3,47.9,62,1.5,30.08,2020-04-04,65.68
35,2020-04-05,KMSCORIN4,66.9,49.9,66,2.0,30.1,2020-04-05,60.4
36,2020-04-06,KMSCORIN4,69.2,51.1,68,1.2,30.11,2020-04-06,73.31
37,2020-04-07,KMSCORIN4,67.5,59.1,87,1.6,30.04,2020-04-07,68.51
38,2020-04-08,KMSCORIN4,72.0,62.1,87,2.0,29.91,2020-04-08,82.69
39,2020-04-09,KMSCORIN4,63.1,35.1,62,3.4,29.99,2020-04-09,98.77
40,2020-04-10,KMSCORIN4,51.0,22.7,46,4.2,30.21,2020-04-10,93.25
41,2020-04-11,KMSCORIN4,55.9,32.5,58,1.0,30.12,2020-04-11,74.64
42,2020-04-12,KMSCORIN4,56.4,46.8,94,2.5,29.93,2020-04-12,45.36
43,2020-04-13,KMSCORIN4,50.3,37.3,81,4.8,30.21,2020-04-13,88.85
44,2020-04-14,KMSCORIN4,45.1,32.7,70,3.7,30.29,2020-04-14,87.63
45,2020-04-15,KMSCORIN4,47.4,25.5,60,1.3,30.25,2020-04-15,92.47
46,2020-04-16,KMSCORIN4,53.7,34.7,62,1.2,30.35,2020-04-16,95.23
47,2020-04-17,KMSCORIN4,62.2,39.0,60,3.1,30.2,2020-04-17,113.77
48,2020-04-18,KMSCORIN4,51.4,37.2,74,3.0,30.21,2020-04-18,97.03
49,2020-04-19,KMSCORIN4,55.4,43.4,90,0.9,30.0,2020-04-19,65.0
50,2020-04-20,KMSCORIN4,60.7,48.0,75,1.8,29.91,2020-04-20,100.27
51,2020-04-21,KMSCORIN4,64.9,40.7,61,2.6,30.05,2020-04-21,100.0
52,2020-04-22,KMSCORIN4,60.5,45.7,65,0.7,30.05,2020-04-22,96.42
53,2020-04-23,KMSCORIN4,61.2,52.3,88,3.3,29.86,2020-04-23,106.44
54,2020-04-24,KMSCORIN4,63.8,52.0,77,1.2,29.91,2020-04-24,125.73
55,2020-04-25,KMSCORIN4,61.6,46.3,80,3.2,30.02,2020-04-25,99.15
56,2020-04-26,KMSCORIN4,56.1,41.9,69,3.3,30.23,2020-04-26,93.39
57,2020-04-27,KMSCORIN4,58.8,40.1,68,0.7,30.3,2020-04-27,108.52
58,2020-04-28,KMSCORIN4,65.9,46.1,63,1.9,30.14,2020-04-28,106.51
59,2020-04-29,KMSCORIN4,64.1,47.0,74,3.8,29.89,2020-04-29,117.55
60,2020-04-30,KMSCORIN4,61.7,40.8,61,3.4,29.97,2020-04-30,121.95
61,2020-05-01,KMSCORIN4,60.2,47.6,63,0.0,29.97,2020-05-01,148.13
62,2020-05-02,KMSCORIN4,70.1,47.6,60,1.0,30.15,2020-05-02,127.33
63,2020-05-03,KMSCORIN4,70.6,56.5,76,1.6,30.06,2020-05-03,97.92
64,2020-05-04,KMSCORIN4,73.2,62.3,80,1.5,29.98,2020-05-04,117.89
65,2020-05-05,KMSCORIN4,68.4,53.4,80,2.5,30.01,2020-05-05,110.5
