,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KMSNESBI11,57.9,31.1,52,2.6,30.16,2020-03-01,106.63
1,2020-03-02,KMSNESBI11,64.2,48.9,80,2.8,29.93,2020-03-02,109.19
2,2020-03-03,KMSNESBI11,60.0,40.5,74,1.1,29.97,2020-03-03,110.02
3,2020-03-04,KMSNESBI11,55.5,38.5,70,0.2,30.06,2020-03-04,109.1
4,2020-03-05,KMSNESBI11,56.2,21.4,51,1.1,30.25,2020-03-05,117.34
5,2020-03-06,KMSNESBI11,48.8,19.4,45,1.8,30.5,2020-03-06,147.92
6,2020-03-07,KMSNESBI11,45.6,11.7,55,0.5,30.58,2020-03-07,159.02
7,2020-03-08,KMSNESBI11,53.7,25.9,48,1.3,30.48,2020-03-08,105.06
8,2020-03-09,KMSNESBI11,60.3,36.0,75,2.8,30.36,2020-03-09,113.02
9,2020-03-10,KMSNESBI11,59.3,45.0,86,1.4,30.28,2020-03-10,115.53
10,2020-03-11,KMSNESBI11,54.2,41.7,96,0.6,30.23,2020-03-11,107.8
11,2020-03-12,KMSNESBI11,65.0,54.5,89,1.9,29.96,2020-03-12,110.05
12,2020-03-13,KMSNESBI11,55.2,37.9,67,1.8,30.29,2020-03-13,124.47
13,2020-03-14,KMSNESBI11,53.5,38.7,85,1.3,30.33,2020-03-14,119.83
14,2020-03-15,KMSNESBI11,45.8,40.5,91,1.9,30.45,2020-03-15,81.17
15,2020-03-16,KMSNESBI11,46.5,40.1,95,0.3,30.4,2020-03-16,92.63
16,2020-03-17,KMSNESBI11,54.9,48.7,88,0.7,30.3,2020-03-17,91.12
17,2020-03-18,KMSNESBI11,63.4,51.6,92,1.0,30.19,2020-03-18,84.61
18,2020-03-19,KMSNESBI11,70.8,63.7,86,1.8,30.13,2020-03-19,84.96
19,2020-03-20,KMSNESBI11,66.3,43.0,86,1.9,30.38,2020-03-20,90.08
20,2020-03-21,KMSNESBI11,47.7,38.1,77,1.2,30.49,2020-03-21,81.62
21,2020-03-22,KMSNESBI11,46.8,39.0,91,0.6,30.38,2020-03-22,50.44
22,2020-03-23,KMSNESBI11,57.2,49.3,84,0.6,30.19,2020-03-23,72.15
23,2020-03-24,KMSNESBI11,61.8,52.0,95,0.8,30.05,2020-03-24,66.9
24,2020-03-25,KMSNESBI11,53.8,49.1,92,0.4,30.04,2020-03-25,71.57
25,2020-03-26,KMSNESBI11,68.9,47.8,71,1.8,29.94,2020-03-26,80.06
26,2020-03-27,KMSNESBI11,75.1,61.3,71,1.9,29.89,2020-03-27,87.75
27,2020-03-28,KMSNESBI11,74.4,63.7,77,2.4,29.88,2020-03-28,72.41
28,2020-03-29,KMSNESBI11,61.2,34.0,67,0.7,30.2,2020-03-29,59.86
29,2020-03-30,KMSNESBI11,54.9,47.5,90,0.1,30.29,2020-03-30,72.57
30,2020-03-31,KMSNESBI11,52.8,42.1,84,1.6,30.01,2020-03-31,72.07
31,2020-04-01,KMSNESBI11,54.9,38.3,71,0.6,30.08,2020-04-01,76.87
32,2020-04-02,KMSNESBI11,59.7,37.2,59,0.6,30.17,2020-04-02,83.07
33,2020-04-03,KMSNESBI11,61.9,46.0,70,0.4,30.08,2020-04-03,86.11
34,2020-04-04,KMSNESBI11,60.7,50.7,81,0.4,30.08,2020-04-04,70.11
35,2020-04-05,KMSNESBI11,62.7,47.8,73,0.5,30.14,2020-04-05,55.3
36,2020-04-06,KMSNESBI11,67.5,53.1,73,0.5,30.11,2020-04-06,72.75
37,2020-04-07,KMSNESBI11,67.6,59.0,90,0.8,30.04,2020-04-07,70.69
38,2020-04-08,KMSNESBI11,74.3,66.0,87,1.2,29.89,2020-04-08,78.41
39,2020-04-09,KMSNESBI11,65.5,31.8,52,1.5,30.01,2020-04-09,82.87
40,2020-04-10,KMSNESBI11,52.1,16.7,43,1.3,30.23,2020-04-10,90.97
41,2020-04-11,KMSNESBI11,55.6,31.8,61,0.6,30.1,2020-04-11,78.85
42,2020-04-12,KMSNESBI11,58.4,53.8,97,0.9,29.96,2020-04-12,43.48
43,2020-04-13,KMSNESBI11,48.9,33.8,75,1.5,30.22,2020-04-13,79.01
44,2020-04-14,KMSNESBI11,45.0,29.7,70,0.9,30.31,2020-04-14,80.22
45,2020-04-15,KMSNESBI11,47.5,25.9,67,0.4,30.25,2020-04-15,89.23
46,2020-04-16,KMSNESBI11,55.2,32.0,61,0.6,30.32,2020-04-16,91.17
47,2020-04-17,KMSNESBI11,61.7,37.4,62,1.3,30.16,2020-04-17,101.74
48,2020-04-18,KMSNESBI11,52.4,35.4,70,0.8,30.21,2020-04-18,94.29
49,2020-04-19,KMSNESBI11,55.2,44.4,93,0.3,29.94,2020-04-19,60.38
50,2020-04-20,KMSNESBI11,61.5,45.5,75,0.5,29.93,2020-04-20,93.87
