,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KMTMISSO124,33.2,19.0,74,4.5,29.94,2020-03-01,126.75
1,2020-03-02,KMTMISSO124,36.0,19.0,64,5.8,29.85,2020-03-02,113.43
2,2020-03-03,KMTMISSO124,42.2,25.0,67,2.9,29.85,2020-03-03,109.9
3,2020-03-04,KMTMISSO124,40.8,13.0,56,7.0,30.06,2020-03-04,121.01
4,2020-03-05,KMTMISSO124,38.2,17.0,57,2.3,30.07,2020-03-05,135.34
5,2020-03-06,KMTMISSO124,44.1,25.0,60,1.5,29.81,2020-03-06,160.99
6,2020-03-07,KMTMISSO124,42.8,27.0,66,2.8,29.63,2020-03-07,145.5
7,2020-03-08,KMTMISSO124,38.1,17.0,57,1.8,29.81,2020-03-08,109.4
8,2020-03-09,KMTMISSO124,37.3,17.0,59,1.4,30.01,2020-03-09,116.99
9,2020-03-10,KMTMISSO124,37.7,16.0,57,3.0,30.07,2020-03-10,121.13
10,2020-03-11,KMTMISSO124,44.3,21.0,56,4.6,29.89,2020-03-11,127.08
11,2020-03-12,KMTMISSO124,31.8,13.0,72,1.5,30.01,2020-03-12,132.78
12,2020-03-13,KMTMISSO124,29.6,14.0,67,13.3,29.92,2020-03-13,141.95
13,2020-03-14,KMTMISSO124,19.9,1.0,63,16.9,30.04,2020-03-14,106.48
14,2020-03-15,KMTMISSO124,20.2,0.0,60,9.4,30.07,2020-03-15,79.01
15,2020-03-16,KMTMISSO124,29.0,12.0,70,1.7,30.15,2020-03-16,96.77
16,2020-03-17,KMTMISSO124,35.4,16.0,64,4.9,29.9,2020-03-17,95.2
17,2020-03-18,KMTMISSO124,38.2,15.0,57,6.6,29.72,2020-03-18,89.83
18,2020-03-19,KMTMISSO124,35.9,17.0,64,10.4,30.07,2020-03-19,89.93
19,2020-03-20,KMTMISSO124,36.5,16.0,57,4.8,30.11,2020-03-20,107.93
20,2020-03-21,KMTMISSO124,40.0,23.0,64,1.9,30.01,2020-03-21,87.07
21,2020-03-22,KMTMISSO124,42.4,8.0,55,2.3,29.92,2020-03-22,74.7
22,2020-03-23,KMTMISSO124,39.9,19.0,62,3.7,29.75,2020-03-23,78.08
23,2020-03-24,KMTMISSO124,36.1,24.0,75,1.9,29.77,2020-03-24,82.77
24,2020-03-25,KMTMISSO124,33.2,24.0,86,1.0,29.71,2020-03-25,79.13
25,2020-03-26,KMTMISSO124,35.6,20.0,67,2.8,29.76,2020-03-26,84.64
26,2020-03-27,KMTMISSO124,38.5,24.0,65,2.5,29.82,2020-03-27,93.19
27,2020-03-28,KMTMISSO124,42.6,29.0,68,1.7,29.9,2020-03-28,70.87
28,2020-03-29,KMTMISSO124,42.6,30.0,73,1.8,29.82,2020-03-29,55.71
29,2020-03-30,KMTMISSO124,41.4,27.0,79,3.4,29.81,2020-03-30,65.03
30,2020-03-31,KMTMISSO124,34.3,27.0,93,1.3,29.82,2020-03-31,73.28
31,2020-04-01,KMTMISSO124,30.1,19.0,89,2.3,29.9,2020-04-01,67.53
32,2020-04-02,KMTMISSO124,28.7,12.0,73,6.0,30.03,2020-04-02,67.49
33,2020-04-03,KMTMISSO124,32.4,21.0,82,1.7,29.99,2020-04-03,82.34
34,2020-04-04,KMTMISSO124,37.7,21.0,67,1.3,29.79,2020-04-04,73.88
35,2020-04-05,KMTMISSO124,44.9,24.0,65,1.9,29.58,2020-04-05,61.29
36,2020-04-06,KMTMISSO124,45.7,30.0,72,2.1,29.82,2020-04-06,69.13
37,2020-04-07,KMTMISSO124,50.4,24.0,51,3.5,30.04,2020-04-07,75.66
38,2020-04-08,KMTMISSO124,46.7,23.0,59,1.7,30.22,2020-04-08,79.85
39,2020-04-09,KMTMISSO124,47.7,27.0,59,1.3,30.18,2020-04-09,88.12
40,2020-04-10,KMTMISSO124,49.9,29.0,60,3.1,29.93,2020-04-10,95.78
41,2020-04-11,KMTMISSO124,36.2,13.0,84,7.1,30.16,2020-04-11,67.03
42,2020-04-12,KMTMISSO124,29.4,1.0,55,5.3,30.28,2020-04-12,51.34
43,2020-04-13,KMTMISSO124,31.8,9.0,58,3.8,30.29,2020-04-13,84.48
44,2020-04-14,KMTMISSO124,37.8,20.0,65,2.7,30.21,2020-04-14,76.57
45,2020-04-15,KMTMISSO124,37.2,19.0,77,3.1,30.25,2020-04-15,84.06
46,2020-04-16,KMTMISSO124,35.9,14.0,60,2.1,30.32,2020-04-16,95.41
47,2020-04-17,KMTMISSO124,42.7,14.0,58,1.5,30.1,2020-04-17,109.19
48,2020-04-18,KMTMISSO124,44.4,26.0,63,2.1,29.86,2020-04-18,92.94
49,2020-04-19,KMTMISSO124,48.4,32.0,71,1.3,29.94,2020-04-19,78.22
50,2020-04-20,KMTMISSO124,50.3,31.0,62,2.5,30.03,2020-04-20,96.98
51,2020-04-21,KMTMISSO124,51.9,26.0,58,2.5,30.04,2020-04-21,99.0
52,2020-04-22,KMTMISSO124,50.8,29.0,56,3.3,30.09,2020-04-22,98.58
53,2020-04-23,KMTMISSO124,46.7,36.0,84,3.9,30.1,2020-04-23,99.35
54,2020-04-24,KMTMISSO124,49.0,31.0,70,1.8,30.16,2020-04-24,114.38
55,2020-04-25,KMTMISSO124,52.4,35.0,64,3.3,30.14,2020-04-25,101.22
56,2020-04-26,KMTMISSO124,56.6,25.0,43,4.5,30.0,2020-04-26,87.48
57,2020-04-27,KMTMISSO124,50.9,28.0,61,2.9,29.98,2020-04-27,97.81
58,2020-04-28,KMTMISSO124,57.2,25.0,40,3.0,30.21,2020-04-28,106.66
59,2020-04-29,KMTMISSO124,57.3,31.0,61,2.5,30.19,2020-04-29,109.28
60,2020-04-30,KMTMISSO124,53.0,33.0,84,3.0,29.98,2020-04-30,122.21
61,2020-05-01,KMTMISSO124,50.3,29.0,63,2.0,30.05,2020-05-01,144.05
62,2020-05-02,KMTMISSO124,53.7,28.0,58,2.7,30.06,2020-05-02,119.97
63,2020-05-03,KMTMISSO124,46.9,28.0,72,4.5,30.13,2020-05-03,99.97
64,2020-05-04,KMTMISSO124,45.4,23.0,62,2.5,30.2,2020-05-04,121.05
65,2020-05-05,KMTMISSO124,52.1,28.0,57,1.8,30.23,2020-05-05,129.48
66,2020-05-06,KMTMISSO124,50.6,30.0,56,5.6,30.19,2020-05-06,129.15
67,2020-05-07,KMTMISSO124,47.5,29.0,62,2.6,30.32,2020-05-07,134.97
68,2020-05-08,KMTMISSO124,50.0,31.0,69,2.2,30.23,2020-05-08,156.2
69,2020-05-09,KMTMISSO124,57.7,29.0,45,7.8,30.24,2020-05-09,148.28
70,2020-05-10,KMTMISSO124,55.2,29.0,43,11.9,30.14,2020-05-10,116.67
71,2020-05-11,KMTMISSO124,48.6,31.0,57,11.2,29.98,2020-05-11,116.67
72,2020-05-12,KMTMISSO124,45.5,36.0,87,4.7,29.71,2020-05-12,116.67
73,2020-05-13,KMTMISSO124,49.8,39.0,80,2.4,29.78,2020-05-13,145.71
74,2020-05-14,KMTMISSO124,54.8,32.0,63,1.9,29.85,2020-05-14,157.67
75,2020-05-15,KMTMISSO124,45.5,38.0,90,1.6,30.04,2020-05-15,170.14
76,2020-05-16,KMTMISSO124,53.3,37.0,73,3.1,30.04,2020-05-16,163.49
77,2020-05-17,KMTMISSO124,57.8,40.0,70,2.5,29.71,2020-05-17,136.69
78,2020-05-18,KMTMISSO124,53.5,46.0,93,1.5,29.74,2020-05-18,155.39
79,2020-05-19,KMTMISSO124,53.4,42.0,88,1.1,29.78,2020-05-19,153.88
80,2020-05-20,KMTMISSO124,54.1,43.0,81,2.6,29.72,2020-05-20,158.64
81,2020-05-21,KMTMISSO124,51.1,32.0,64,4.9,29.73,2020-05-21,175.7
82,2020-05-22,KMTMISSO124,48.7,30.0,62,2.8,29.89,2020-05-22,200.98
83,2020-05-23,KMTMISSO124,44.5,32.0,84,0.8,30.03,2020-05-23,171.27
84,2020-05-24,KMTMISSO124,52.8,38.0,73,1.7,30.1,2020-05-24,147.89
85,2020-05-25,KMTMISSO124,54.8,37.0,74,1.5,30.06,2020-05-25,152.89
86,2020-05-26,KMTMISSO124,60.7,44.0,73,2.1,29.95,2020-05-26,178.45
87,2020-05-27,KMTMISSO124,60.8,32.0,62,1.8,30.09,2020-05-27,182.44
88,2020-05-28,KMTMISSO124,62.6,40.0,61,2.0,30.13,2020-05-28,198.01
89,2020-05-29,KMTMISSO124,65.9,47.0,68,1.3,30.0,2020-05-29,211.88
90,2020-05-30,KMTMISSO124,73.6,53.0,63,5.4,29.88,2020-05-30,185.7
91,2020-05-31,KMTMISSO124,63.6,44.0,70,3.9,29.92,2020-05-31,164.7
92,2020-06-01,KMTMISSO124,52.1,42.0,86,1.0,30.09,2020-06-01,192.61
93,2020-06-02,KMTMISSO124,59.8,35.0,66,1.2,30.16,2020-06-02,195.76
94,2020-06-03,KMTMISSO124,64.2,31.0,48,2.1,29.98,2020-06-03,192.01
95,2020-06-04,KMTMISSO124,60.2,37.0,53,2.0,29.85,2020-06-04,199.71
96,2020-06-05,KMTMISSO124,65.6,38.0,54,3.8,29.86,2020-06-05,233.67
97,2020-06-06,KMTMISSO124,56.3,45.0,84,2.7,29.61,2020-06-06,206.92
98,2020-06-07,KMTMISSO124,50.8,39.0,80,1.8,29.71,2020-06-07,178.57
99,2020-06-08,KMTMISSO124,49.3,34.0,76,3.8,30.09,2020-06-08,199.98
100,2020-06-09,KMTMISSO124,46.6,33.0,77,1.4,30.14,2020-06-09,200.24
101,2020-06-10,KMTMISSO124,67.1,46.0,58,1.8,30.15,2020-06-10,205.4
102,2020-06-11,KMTMISSO124,65.2,42.0,66,2.8,30.13,2020-06-11,227.58
103,2020-06-12,KMTMISSO124,73.9,48.0,51,3.6,29.98,2020-06-12,245.94
104,2020-06-13,KMTMISSO124,60.7,36.0,70,2.9,29.85,2020-06-13,219.23
105,2020-06-14,KMTMISSO124,50.3,32.0,69,2.9,29.99,2020-06-14,201.85
106,2020-06-15,KMTMISSO124,49.5,34.0,78,1.3,30.0,2020-06-15,225.07
107,2020-06-16,KMTMISSO124,55.8,43.0,75,2.2,29.91,2020-06-16,216.32
108,2020-06-17,KMTMISSO124,55.2,43.0,75,3.9,30.17,2020-06-17,221.2
109,2020-06-18,KMTMISSO124,59.1,46.0,71,2.0,30.21,2020-06-18,240.04
110,2020-06-19,KMTMISSO124,58.5,44.0,80,1.2,30.09,2020-06-19,278.55
111,2020-06-20,KMTMISSO124,58.4,44.0,82,0.8,30.01,2020-06-20,240.24
112,2020-06-21,KMTMISSO124,64.9,44.0,70,1.7,30.06,2020-06-21,210.1
113,2020-06-22,KMTMISSO124,65.5,44.0,63,1.4,30.18,2020-06-22,250.36
114,2020-06-23,KMTMISSO124,70.3,48.0,63,1.3,30.14,2020-06-23,244.87
115,2020-06-24,KMTMISSO124,70.1,50.0,67,1.6,29.92,2020-06-24,255.61
116,2020-06-25,KMTMISSO124,71.3,48.0,62,1.5,30.0,2020-06-25,276.54
117,2020-06-26,KMTMISSO124,72.2,46.0,59,1.8,30.02,2020-06-26,298.23
118,2020-06-27,KMTMISSO124,69.3,40.0,55,2.6,29.81,2020-06-27,270.14
119,2020-06-28,KMTMISSO124,55.9,40.0,73,1.9,29.68,2020-06-28,235.6
120,2020-06-29,KMTMISSO124,51.0,47.0,98,0.2,29.86,2020-06-29,260.21
121,2020-06-30,KMTMISSO124,50.8,46.0,96,0.2,29.85,2020-06-30,253.5
122,2020-07-01,KMTMISSO124,55.0,36.0,71,2.3,29.86,2020-07-01,268.97
123,2020-07-02,KMTMISSO124,59.7,41.0,65,1.3,29.98,2020-07-02,298.33
124,2020-07-03,KMTMISSO124,64.7,43.0,67,1.8,30.07,2020-07-03,289.45
125,2020-07-04,KMTMISSO124,66.5,38.0,62,1.9,30.06,2020-07-04,191.95
126,2020-07-05,KMTMISSO124,65.3,40.0,56,1.5,30.14,2020-07-05,242.32
127,2020-07-06,KMTMISSO124,67.4,42.0,59,1.2,30.03,2020-07-06,285.84
128,2020-07-07,KMTMISSO124,63.4,41.0,62,3.1,29.95,2020-07-07,284.18
129,2020-07-08,KMTMISSO124,61.7,41.0,60,2.1,30.01,2020-07-08,269.99
130,2020-07-09,KMTMISSO124,63.6,42.0,62,1.6,30.03,2020-07-09,292.76
131,2020-07-10,KMTMISSO124,64.8,45.0,65,2.6,30.17,2020-07-10,323.03
132,2020-07-11,KMTMISSO124,67.9,45.0,64,1.5,30.21,2020-07-11,282.15
133,2020-07-12,KMTMISSO124,67.5,39.0,51,2.8,29.99,2020-07-12,256.36
134,2020-07-13,KMTMISSO124,63.7,35.0,52,2.2,30.0,2020-07-13,274.1
135,2020-07-14,KMTMISSO124,62.5,37.0,53,2.0,30.12,2020-07-14,264.23
136,2020-07-15,KMTMISSO124,67.6,43.0,54,1.3,30.1,2020-07-15,287.56
137,2020-07-16,KMTMISSO124,70.2,45.0,56,1.3,30.02,2020-07-16,291.96
138,2020-07-17,KMTMISSO124,66.9,47.0,64,1.5,29.96,2020-07-17,309.24
139,2020-07-18,KMTMISSO124,68.5,44.0,58,1.6,30.07,2020-07-18,280.62
140,2020-07-19,KMTMISSO124,68.8,46.0,57,1.4,30.07,2020-07-19,256.28
141,2020-07-20,KMTMISSO124,71.5,49.0,59,1.4,30.07,2020-07-20,277.9
142,2020-07-21,KMTMISSO124,72.4,41.0,57,1.3,29.96,2020-07-21,261.52
143,2020-07-22,KMTMISSO124,70.3,49.0,64,1.2,29.86,2020-07-22,271.98
144,2020-07-23,KMTMISSO124,70.9,53.0,69,1.4,29.85,2020-07-23,288.04
145,2020-07-24,KMTMISSO124,70.6,34.0,56,2.9,29.9,2020-07-24,315.78
146,2020-07-25,KMTMISSO124,69.0,35.0,40,1.9,30.06,2020-07-25,286.43
147,2020-07-26,KMTMISSO124,67.9,30.0,53,1.2,30.2,2020-07-26,263.87
148,2020-07-27,KMTMISSO124,74.1,43.0,48,2.1,30.09,2020-07-27,281.92
149,2020-07-28,KMTMISSO124,73.2,45.0,56,1.0,29.92,2020-07-28,276.42
150,2020-07-29,KMTMISSO124,70.8,50.0,62,1.1,30.06,2020-07-29,288.49
151,2020-07-30,KMTMISSO124,74.1,47.0,58,1.0,30.16,2020-07-30,295.67
152,2020-07-31,KMTMISSO124,82.2,47.0,41,4.1,30.07,2020-07-31,319.22
153,2020-08-01,KMTMISSO124,79.7,51.0,47,2.5,30.01,2020-08-01,290.4
154,2020-08-02,KMTMISSO124,79.1,49.0,54,1.1,30.01,2020-08-02,266.61
155,2020-08-03,KMTMISSO124,74.7,45.0,49,2.1,30.04,2020-08-03,302.64
156,2020-08-04,KMTMISSO124,71.3,37.0,50,1.3,30.12,2020-08-04,279.36
157,2020-08-05,KMTMISSO124,72.1,41.0,50,1.5,29.96,2020-08-05,289.59
158,2020-08-06,KMTMISSO124,71.9,46.0,52,2.6,29.84,2020-08-06,310.71
159,2020-08-07,KMTMISSO124,64.4,38.0,52,3.3,30.04,2020-08-07,341.13
160,2020-08-08,KMTMISSO124,62.4,40.0,57,1.8,30.08,2020-08-08,313.72
161,2020-08-09,KMTMISSO124,67.1,44.0,53,2.1,30.07,2020-08-09,277.51
162,2020-08-10,KMTMISSO124,67.7,43.0,53,1.3,30.08,2020-08-10,300.35
163,2020-08-11,KMTMISSO124,70.6,38.0,50,2.2,29.88,2020-08-11,297.06
164,2020-08-12,KMTMISSO124,63.2,36.0,52,2.8,29.98,2020-08-12,310.43
165,2020-08-13,KMTMISSO124,58.9,36.0,60,1.5,30.02,2020-08-13,325.82
166,2020-08-14,KMTMISSO124,61.5,35.0,54,1.3,30.17,2020-08-14,363.26
167,2020-08-15,KMTMISSO124,67.0,38.0,49,1.2,30.16,2020-08-15,333.66
168,2020-08-16,KMTMISSO124,70.4,40.0,50,1.2,30.16,2020-08-16,303.03
