,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KNCHENDE151,38.3,10.9,52,0.2,29.82,2020-03-01,134.09
1,2020-03-02,KNCHENDE151,51.6,23.7,58,0.8,29.7,2020-03-02,123.46
2,2020-03-03,KNCHENDE151,57.0,47.2,89,0.7,29.44,2020-03-03,119.91
3,2020-03-04,KNCHENDE151,52.7,26.6,60,0.1,29.52,2020-03-04,126.38
4,2020-03-05,KNCHENDE151,49.8,34.5,66,0.2,29.68,2020-03-05,132.24
5,2020-03-06,KNCHENDE151,46.6,25.0,68,0.9,29.58,2020-03-06,166.82
6,2020-03-07,KNCHENDE151,43.4,19.8,52,0.6,30.0,2020-03-07,154.55
7,2020-03-08,KNCHENDE151,44.0,17.7,55,0.3,30.12,2020-03-08,125.26
8,2020-03-09,KNCHENDE151,52.7,27.0,54,0.8,30.07,2020-03-09,126.33
9,2020-03-10,KNCHENDE151,60.9,45.9,76,0.9,29.92,2020-03-10,129.62
10,2020-03-11,KNCHENDE151,61.9,48.4,75,0.2,29.65,2020-03-11,122.15
11,2020-03-12,KNCHENDE151,58.3,48.7,87,0.1,29.57,2020-03-12,117.82
12,2020-03-13,KNCHENDE151,66.4,44.1,77,0.3,29.69,2020-03-13,159.22
13,2020-03-14,KNCHENDE151,55.4,23.2,43,0.3,29.9,2020-03-14,131.84
14,2020-03-15,KNCHENDE151,50.6,33.9,67,0.3,29.95,2020-03-15,105.49
15,2020-03-16,KNCHENDE151,49.8,29.6,68,0.2,29.95,2020-03-16,111.68
16,2020-03-17,KNCHENDE151,54.1,42.8,83,0.3,29.8,2020-03-17,110.58
17,2020-03-18,KNCHENDE151,54.6,44.2,84,0.2,29.95,2020-03-18,105.38
18,2020-03-19,KNCHENDE151,66.4,53.2,83,0.5,29.78,2020-03-19,111.49
19,2020-03-20,KNCHENDE151,74.2,57.9,67,1.5,29.7,2020-03-20,126.38
20,2020-03-21,KNCHENDE151,59.6,45.1,84,0.4,29.87,2020-03-21,105.36
21,2020-03-22,KNCHENDE151,50.3,36.7,70,0.7,29.99,2020-03-22,78.45
22,2020-03-23,KNCHENDE151,45.6,39.7,97,0.1,29.89,2020-03-23,86.65
23,2020-03-24,KNCHENDE151,51.4,47.7,93,0.2,29.68,2020-03-24,84.4
24,2020-03-25,KNCHENDE151,47.9,44.8,96,0.3,29.55,2020-03-25,86.62
25,2020-03-26,KNCHENDE151,50.3,41.0,84,0.1,29.65,2020-03-26,95.92
26,2020-03-27,KNCHENDE151,63.2,47.8,82,0.3,29.47,2020-03-27,103.63
27,2020-03-28,KNCHENDE151,69.7,56.0,77,0.2,29.48,2020-03-28,107.78
