,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KNCRALEI123,44.1,7.5,40,0.7,30.37,2020-03-01,99.3
1,2020-03-02,KNCRALEI123,56.1,27.5,50,1.4,30.26,2020-03-02,111.95
2,2020-03-03,KNCRALEI123,58.6,49.8,89,1.2,29.98,2020-03-03,117.43
3,2020-03-04,KNCRALEI123,55.0,28.9,62,0.6,30.08,2020-03-04,116.55
4,2020-03-05,KNCRALEI123,50.4,36.0,72,0.4,30.23,2020-03-05,119.94
5,2020-03-06,KNCRALEI123,48.3,22.3,65,2.0,30.14,2020-03-06,141.58
6,2020-03-07,KNCRALEI123,45.5,21.4,45,2.0,30.54,2020-03-07,136.01
7,2020-03-08,KNCRALEI123,47.7,18.6,48,0.5,30.68,2020-03-08,94.9
8,2020-03-09,KNCRALEI123,55.3,26.7,53,1.1,30.63,2020-03-09,114.09
9,2020-03-10,KNCRALEI123,62.0,49.1,76,1.0,30.48,2020-03-10,113.34
10,2020-03-11,KNCRALEI123,65.5,52.7,72,0.4,30.21,2020-03-11,113.05
11,2020-03-12,KNCRALEI123,62.6,51.7,82,0.3,30.09,2020-03-12,112.01
12,2020-03-13,KNCRALEI123,68.2,40.8,74,1.2,30.22,2020-03-13,116.2
13,2020-03-14,KNCRALEI123,62.3,24.6,31,0.6,30.43,2020-03-14,104.44
14,2020-03-15,KNCRALEI123,55.2,34.9,58,0.8,30.48,2020-03-15,68.95
15,2020-03-16,KNCRALEI123,51.6,33.8,63,0.4,30.5,2020-03-16,82.87
16,2020-03-17,KNCRALEI123,55.1,42.4,81,0.4,30.35,2020-03-17,77.48
17,2020-03-18,KNCRALEI123,57.7,48.2,81,0.4,30.47,2020-03-18,73.87
18,2020-03-19,KNCRALEI123,69.5,56.1,79,0.8,30.34,2020-03-19,74.18
19,2020-03-20,KNCRALEI123,76.2,55.7,64,1.9,30.26,2020-03-20,81.1
20,2020-03-21,KNCRALEI123,64.2,48.9,79,0.6,30.38,2020-03-21,63.38
21,2020-03-22,KNCRALEI123,51.6,36.3,73,0.9,30.51,2020-03-22,47.81
22,2020-03-23,KNCRALEI123,47.5,43.1,96,0.4,30.42,2020-03-23,57.07
23,2020-03-24,KNCRALEI123,52.1,49.5,95,0.3,30.21,2020-03-24,60.43
24,2020-03-25,KNCRALEI123,50.0,46.0,93,0.9,30.09,2020-03-25,60.77
25,2020-03-26,KNCRALEI123,53.0,42.2,78,0.4,30.2,2020-03-26,61.98
26,2020-03-27,KNCRALEI123,65.8,49.4,78,0.5,29.99,2020-03-27,65.16
27,2020-03-28,KNCRALEI123,75.3,59.7,71,0.5,29.99,2020-03-28,53.48
28,2020-03-29,KNCRALEI123,78.6,56.0,63,1.1,30.02,2020-03-29,43.91
29,2020-03-30,KNCRALEI123,71.5,29.9,31,1.2,30.11,2020-03-30,56.4
30,2020-03-31,KNCRALEI123,55.0,28.0,62,0.6,30.03,2020-03-31,54.26
31,2020-04-01,KNCRALEI123,49.1,35.8,76,0.9,29.98,2020-04-01,56.3
32,2020-04-02,KNCRALEI123,54.7,28.9,51,1.0,30.06,2020-04-02,58.81
33,2020-04-03,KNCRALEI123,59.2,15.3,34,1.4,29.99,2020-04-03,66.7
34,2020-04-04,KNCRALEI123,61.3,27.6,43,0.6,30.09,2020-04-04,57.73
35,2020-04-05,KNCRALEI123,59.5,44.1,67,0.3,30.18,2020-04-05,46.58
36,2020-04-06,KNCRALEI123,66.0,49.1,66,0.4,30.11,2020-04-06,59.21
37,2020-04-07,KNCRALEI123,68.4,50.8,67,0.5,30.05,2020-04-07,60.96
38,2020-04-08,KNCRALEI123,71.7,50.9,65,0.9,29.83,2020-04-08,62.2
39,2020-04-09,KNCRALEI123,63.4,23.9,82,0.9,29.7,2020-04-09,64.86
40,2020-04-10,KNCRALEI123,54.4,17.9,33,1.6,30.01,2020-04-10,68.84
41,2020-04-11,KNCRALEI123,50.0,23.0,50,0.6,30.19,2020-04-11,61.28
42,2020-04-12,KNCRALEI123,62.0,36.0,70,0.6,30.23,2020-04-12,38.46
43,2020-04-13,KNCRALEI123,72.6,54.0,71,1.9,30.01,2020-04-13,56.86
44,2020-04-14,KNCRALEI123,64.2,39.6,58,0.4,30.14,2020-04-14,65.63
45,2020-04-15,KNCRALEI123,48.9,28.0,68,0.6,30.16,2020-04-15,65.96
46,2020-04-16,KNCRALEI123,52.4,21.2,55,0.7,30.31,2020-04-16,70.85
47,2020-04-17,KNCRALEI123,58.3,27.5,54,1.0,30.35,2020-04-17,80.33
