,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KNCSANDY6,42.7,16.2,52,1.9,29.78,2020-03-01,145.82
1,2020-03-02,KNCSANDY6,47.9,29.7,65,2.1,29.65,2020-03-02,127.49
2,2020-03-03,KNCSANDY6,53.3,38.3,77,2.7,29.46,2020-03-03,122.55
3,2020-03-04,KNCSANDY6,52.1,29.1,53,1.0,29.57,2020-03-04,126.77
4,2020-03-05,KNCSANDY6,48.8,31.5,57,2.1,29.62,2020-03-05,114.58
5,2020-03-06,KNCSANDY6,39.2,23.7,67,2.8,29.81,2020-03-06,174.66
6,2020-03-07,KNCSANDY6,42.0,21.4,55,2.1,29.98,2020-03-07,188.84
7,2020-03-08,KNCSANDY6,45.8,19.0,48,2.7,30.07,2020-03-08,165.66
8,2020-03-09,KNCSANDY6,51.1,23.0,51,2.8,30.06,2020-03-09,139.44
9,2020-03-10,KNCSANDY6,57.7,40.6,67,2.8,29.9,2020-03-10,125.42
10,2020-03-11,KNCSANDY6,58.5,44.6,74,1.2,29.72,2020-03-11,115.14
11,2020-03-12,KNCSANDY6,55.5,37.4,73,2.4,29.57,2020-03-12,112.99
12,2020-03-13,KNCSANDY6,61.4,39.4,72,1.7,29.82,2020-03-13,147.33
13,2020-03-14,KNCSANDY6,55.1,39.2,59,2.4,29.84,2020-03-14,140.72
14,2020-03-15,KNCSANDY6,53.8,41.7,76,1.6,29.85,2020-03-15,142.79
15,2020-03-16,KNCSANDY6,50.3,39.0,74,4.9,29.87,2020-03-16,107.73
16,2020-03-17,KNCSANDY6,53.8,41.7,82,1.5,29.81,2020-03-17,106.14
17,2020-03-18,KNCSANDY6,56.7,48.6,84,3.3,29.85,2020-03-18,99.92
18,2020-03-19,KNCSANDY6,65.6,53.2,75,1.6,29.79,2020-03-19,98.01
19,2020-03-20,KNCSANDY6,65.8,52.9,73,1.1,29.78,2020-03-20,89.8
20,2020-03-21,KNCSANDY6,54.8,42.4,84,1.1,29.89,2020-03-21,93.78
21,2020-03-22,KNCSANDY6,49.3,38.3,77,4.3,29.88,2020-03-22,70.36
22,2020-03-23,KNCSANDY6,48.4,41.4,88,3.5,29.81,2020-03-23,57.53
23,2020-03-24,KNCSANDY6,52.4,48.0,90,3.4,29.64,2020-03-24,64.62
24,2020-03-25,KNCSANDY6,56.5,44.4,80,2.1,29.54,2020-03-25,73.86
25,2020-03-26,KNCSANDY6,58.0,38.8,70,3.5,29.6,2020-03-26,78.57
26,2020-03-27,KNCSANDY6,69.4,45.3,63,1.6,29.53,2020-03-27,75.7
27,2020-03-28,KNCSANDY6,72.1,50.7,62,1.6,29.53,2020-03-28,82.79
28,2020-03-29,KNCSANDY6,69.1,38.1,56,2.6,29.63,2020-03-29,66.93
29,2020-03-30,KNCSANDY6,61.8,31.3,39,2.4,29.72,2020-03-30,81.51
30,2020-03-31,KNCSANDY6,50.2,31.6,62,1.7,29.54,2020-03-31,58.57
31,2020-04-01,KNCSANDY6,42.6,34.7,78,2.2,29.56,2020-04-01,53.15
32,2020-04-02,KNCSANDY6,51.1,33.8,62,2.1,29.65,2020-04-02,61.43
33,2020-04-03,KNCSANDY6,55.6,30.4,50,2.0,29.62,2020-04-03,64.3
34,2020-04-04,KNCSANDY6,60.3,31.5,46,1.5,29.61,2020-04-04,67.89
35,2020-04-05,KNCSANDY6,64.2,38.8,49,1.8,29.62,2020-04-05,53.47
36,2020-04-06,KNCSANDY6,66.5,39.9,50,1.9,29.68,2020-04-06,61.59
37,2020-04-07,KNCSANDY6,65.2,44.1,61,1.4,29.61,2020-04-07,61.27
38,2020-04-08,KNCSANDY6,68.0,51.3,68,1.4,29.45,2020-04-08,67.25
39,2020-04-09,KNCSANDY6,61.7,27.0,63,4.3,29.31,2020-04-09,65.74
40,2020-04-10,KNCSANDY6,48.3,19.8,40,4.9,29.53,2020-04-10,80.24
41,2020-04-11,KNCSANDY6,51.6,19.8,42,2.5,29.65,2020-04-11,70.04
42,2020-04-12,KNCSANDY6,53.4,29.7,71,4.3,29.62,2020-04-12,38.96
43,2020-04-13,KNCSANDY6,57.8,44.8,91,3.2,29.63,2020-04-13,68.76
44,2020-04-14,KNCSANDY6,52.2,32.0,69,2.6,29.64,2020-04-14,69.56
45,2020-04-15,KNCSANDY6,46.3,19.2,51,3.2,29.67,2020-04-15,71.24
46,2020-04-16,KNCSANDY6,47.8,22.1,51,2.7,29.81,2020-04-16,74.58
47,2020-04-17,KNCSANDY6,55.4,28.2,51,4.0,29.8,2020-04-17,83.51
48,2020-04-18,KNCSANDY6,53.2,35.8,73,3.5,29.59,2020-04-18,80.16
49,2020-04-19,KNCSANDY6,49.5,31.5,70,2.2,29.56,2020-04-19,65.42
50,2020-04-20,KNCSANDY6,54.3,42.1,84,2.2,29.38,2020-04-20,72.35
51,2020-04-21,KNCSANDY6,56.3,29.1,63,4.4,29.51,2020-04-21,77.93
52,2020-04-22,KNCSANDY6,58.3,24.3,39,1.7,29.66,2020-04-22,84.78
53,2020-04-23,KNCSANDY6,55.0,38.1,83,5.7,29.59,2020-04-23,69.88
54,2020-04-24,KNCSANDY6,56.8,51.3,96,1.3,29.43,2020-04-24,88.21
55,2020-04-25,KNCSANDY6,55.0,47.3,90,3.1,29.48,2020-04-25,86.61
56,2020-04-26,KNCSANDY6,51.2,40.5,84,4.3,29.55,2020-04-26,80.16
57,2020-04-27,KNCSANDY6,53.3,34.9,70,3.4,29.75,2020-04-27,74.98
58,2020-04-28,KNCSANDY6,55.5,33.8,65,1.9,29.76,2020-04-28,85.5
59,2020-04-29,KNCSANDY6,61.6,45.1,68,5.3,29.56,2020-04-29,80.4
60,2020-04-30,KNCSANDY6,49.4,45.0,97,1.8,29.42,2020-04-30,84.3
61,2020-05-01,KNCSANDY6,53.6,41.0,77,3.7,29.64,2020-05-01,96.65
62,2020-05-02,KNCSANDY6,61.8,37.4,60,1.5,29.72,2020-05-02,106.85
63,2020-05-03,KNCSANDY6,69.1,44.8,60,1.9,29.65,2020-05-03,111.47
64,2020-05-04,KNCSANDY6,69.7,47.3,60,2.3,29.57,2020-05-04,97.77
65,2020-05-05,KNCSANDY6,65.2,48.4,71,2.6,29.51,2020-05-05,87.57
66,2020-05-06,KNCSANDY6,50.4,37.6,78,1.8,29.57,2020-05-06,88.05
67,2020-05-07,KNCSANDY6,49.1,33.6,72,2.1,29.64,2020-05-07,104.62
68,2020-05-08,KNCSANDY6,45.5,35.2,86,0.9,29.59,2020-05-08,113.94
69,2020-05-09,KNCSANDY6,44.4,28.8,76,3.6,29.76,2020-05-09,125.74
70,2020-05-10,KNCSANDY6,51.6,27.7,56,1.9,29.78,2020-05-10,99.6
71,2020-05-11,KNCSANDY6,49.2,31.6,68,2.9,29.71,2020-05-11,99.6
72,2020-05-12,KNCSANDY6,49.2,29.3,60,1.2,29.81,2020-05-12,99.6
73,2020-05-13,KNCSANDY6,54.7,37.8,77,1.0,29.84,2020-05-13,113.15
74,2020-05-14,KNCSANDY6,64.8,47.3,69,2.6,29.84,2020-05-14,130.68
75,2020-05-15,KNCSANDY6,69.3,49.1,61,2.0,29.73,2020-05-15,150.92
76,2020-05-16,KNCSANDY6,69.7,49.5,63,1.3,29.66,2020-05-16,157.93
77,2020-05-17,KNCSANDY6,70.4,51.1,63,2.6,29.62,2020-05-17,138.09
