,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KNCWILSO12,41.4,10.9,41,0.1,30.42,2020-03-01,123.61
1,2020-03-02,KNCWILSO12,55.2,27.5,50,0.5,30.32,2020-03-02,122.03
2,2020-03-03,KNCWILSO12,60.1,47.5,86,0.4,30.03,2020-03-03,122.61
3,2020-03-04,KNCWILSO12,56.7,28.6,70,0.1,30.12,2020-03-04,122.24
4,2020-03-05,KNCWILSO12,49.6,36.9,76,0.3,30.26,2020-03-05,138.39
5,2020-03-06,KNCWILSO12,49.3,24.6,68,0.9,30.14,2020-03-06,167.33
6,2020-03-07,KNCWILSO12,45.5,20.7,47,0.8,30.57,2020-03-07,165.91
7,2020-03-08,KNCWILSO12,45.6,16.9,51,0.2,30.71,2020-03-08,116.36
8,2020-03-09,KNCWILSO12,54.1,28.4,57,0.4,30.67,2020-03-09,126.78
9,2020-03-10,KNCWILSO12,61.6,47.7,77,0.4,30.52,2020-03-10,125.98
10,2020-03-11,KNCWILSO12,63.7,53.2,82,0.1,30.24,2020-03-11,127.73
11,2020-03-12,KNCWILSO12,64.5,56.5,89,0.1,30.12,2020-03-12,131.41
12,2020-03-13,KNCWILSO12,69.2,56.1,78,0.1,30.24,2020-03-13,149.78
13,2020-03-14,KNCWILSO12,61.2,20.7,39,0.4,30.47,2020-03-14,144.27
14,2020-03-15,KNCWILSO12,53.1,36.1,62,0.8,30.51,2020-03-15,100.13
15,2020-03-16,KNCWILSO12,52.5,34.2,61,0.5,30.52,2020-03-16,112.72
16,2020-03-17,KNCWILSO12,54.7,44.4,85,0.1,30.38,2020-03-17,107.68
17,2020-03-18,KNCWILSO12,59.8,47.8,78,0.4,30.51,2020-03-18,109.81
18,2020-03-19,KNCWILSO12,68.6,54.5,81,0.2,30.38,2020-03-19,112.21
19,2020-03-20,KNCWILSO12,75.4,58.5,68,0.7,30.3,2020-03-20,124.95
20,2020-03-21,KNCWILSO12,62.7,48.9,86,0.5,30.42,2020-03-21,101.51
21,2020-03-22,KNCWILSO12,51.2,35.6,75,1.0,30.55,2020-03-22,73.17
