,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KNDGRAND45,30.1,19.2,88,9.4,29.92,2020-03-01,102.29
1,2020-03-02,KNDGRAND45,25.3,8.8,87,8.2,29.91,2020-03-02,101.13
2,2020-03-03,KNDGRAND45,26.2,12.4,87,5.3,29.84,2020-03-03,99.97
3,2020-03-04,KNDGRAND45,26.3,9.0,93,4.9,29.88,2020-03-04,109.17
4,2020-03-05,KNDGRAND45,27.6,13.8,90,10.4,30.47,2020-03-05,128.98
5,2020-03-06,KNDGRAND45,25.3,9.7,87,7.1,30.48,2020-03-06,167.29
6,2020-03-07,KNDGRAND45,33.4,24.4,85,4.1,30.02,2020-03-07,172.26
7,2020-03-08,KNDGRAND45,23.9,12.0,92,7.7,30.11,2020-03-08,103.58
8,2020-03-09,KNDGRAND45,11.4,2.3,84,5.0,30.32,2020-03-09,108.12
9,2020-03-10,KNDGRAND45,22.3,9.3,86,2.1,30.3,2020-03-10,114.16
10,2020-03-11,KNDGRAND45,32.0,21.6,90,3.7,30.07,2020-03-11,110.67
11,2020-03-12,KNDGRAND45,31.9,19.6,85,9.3,30.04,2020-03-12,115.66
12,2020-03-13,KNDGRAND45,18.8,7.2,81,6.1,30.63,2020-03-13,118.99
13,2020-03-14,KNDGRAND45,13.4,3.6,84,3.4,30.78,2020-03-14,105.67
14,2020-03-15,KNDGRAND45,20.8,6.1,88,1.4,30.76,2020-03-15,64.92
15,2020-03-16,KNDGRAND45,23.9,12.6,85,8.4,30.29,2020-03-16,73.07
16,2020-03-17,KNDGRAND45,23.6,9.5,79,6.1,30.25,2020-03-17,69.76
17,2020-03-18,KNDGRAND45,23.5,16.2,91,5.6,30.17,2020-03-18,66.29
18,2020-03-19,KNDGRAND45,13.6,3.2,93,11.7,30.5,2020-03-19,64.71
19,2020-03-20,KNDGRAND45,8.5,9.9,74,3.4,30.73,2020-03-20,74.01
20,2020-03-21,KNDGRAND45,13.9,10.3,85,1.5,30.61,2020-03-21,58.85
21,2020-03-22,KNDGRAND45,29.0,10.6,95,2.4,30.28,2020-03-22,47.0
22,2020-03-23,KNDGRAND45,26.9,10.2,93,1.0,30.15,2020-03-23,68.24
23,2020-03-24,KNDGRAND45,34.9,27.5,98,4.2,29.99,2020-03-24,61.77
24,2020-03-25,KNDGRAND45,27.1,17.8,93,6.3,30.02,2020-03-25,66.63
25,2020-03-26,KNDGRAND45,24.7,13.6,95,1.0,30.01,2020-03-26,66.52
26,2020-03-27,KNDGRAND45,33.7,23.2,93,1.1,29.94,2020-03-27,75.28
27,2020-03-28,KNDGRAND45,30.9,21.6,94,1.2,29.98,2020-03-28,63.72
28,2020-03-29,KNDGRAND45,34.8,26.1,92,3.3,30.19,2020-03-29,46.72
29,2020-03-30,KNDGRAND45,35.6,24.6,89,0.6,30.28,2020-03-30,62.54
30,2020-03-31,KNDGRAND45,41.4,27.0,72,1.6,30.18,2020-03-31,62.42
31,2020-04-01,KNDGRAND45,45.3,30.4,78,2.8,29.99,2020-04-01,58.51
32,2020-04-02,KNDGRAND45,21.4,16.3,99,8.4,30.17,2020-04-02,45.59
33,2020-04-03,KNDGRAND45,16.5,6.6,91,10.1,30.32,2020-04-03,58.28
34,2020-04-04,KNDGRAND45,24.3,1.8,79,1.6,30.33,2020-04-04,64.97
35,2020-04-05,KNDGRAND45,34.1,18.5,86,1.7,30.12,2020-04-05,43.11
36,2020-04-06,KNDGRAND45,42.4,33.3,86,2.6,30.0,2020-04-06,61.48
37,2020-04-07,KNDGRAND45,38.3,32.7,89,3.6,29.82,2020-04-07,66.58
38,2020-04-08,KNDGRAND45,36.3,25.7,83,11.8,29.97,2020-04-08,65.48
39,2020-04-09,KNDGRAND45,30.7,21.6,84,7.1,30.19,2020-04-09,64.98
40,2020-04-10,KNDGRAND45,37.4,25.2,74,3.0,30.15,2020-04-10,84.03
41,2020-04-11,KNDGRAND45,34.7,23.7,79,6.2,30.05,2020-04-11,65.43
42,2020-04-12,KNDGRAND45,28.4,15.8,74,4.6,30.14,2020-04-12,41.98
43,2020-04-13,KNDGRAND45,21.4,10.6,82,6.8,30.17,2020-04-13,61.09
44,2020-04-14,KNDGRAND45,18.5,5.9,78,3.0,30.17,2020-04-14,74.62
45,2020-04-15,KNDGRAND45,27.2,14.7,74,3.2,30.23,2020-04-15,75.49
46,2020-04-16,KNDGRAND45,31.9,11.5,67,2.0,30.28,2020-04-16,69.81
47,2020-04-17,KNDGRAND45,39.2,23.0,68,5.0,30.17,2020-04-17,80.14
48,2020-04-18,KNDGRAND45,43.8,27.1,72,9.0,29.94,2020-04-18,72.96
49,2020-04-19,KNDGRAND45,38.6,16.9,62,5.6,30.05,2020-04-19,54.7
50,2020-04-20,KNDGRAND45,38.6,23.0,72,6.2,29.98,2020-04-20,72.52
51,2020-04-21,KNDGRAND45,32.1,15.6,79,1.3,30.1,2020-04-21,72.49
52,2020-04-22,KNDGRAND45,46.9,27.3,66,2.1,29.83,2020-04-22,74.67
53,2020-04-23,KNDGRAND45,49.8,37.8,81,1.7,29.85,2020-04-23,82.43
54,2020-04-24,KNDGRAND45,49.9,31.5,71,2.0,30.05,2020-04-24,89.07
55,2020-04-25,KNDGRAND45,49.8,38.7,80,2.6,30.14,2020-04-25,74.33
56,2020-04-26,KNDGRAND45,54.3,37.4,69,3.6,30.12,2020-04-26,64.27
57,2020-04-27,KNDGRAND45,56.0,33.8,61,4.5,29.93,2020-04-27,80.72
58,2020-04-28,KNDGRAND45,55.4,40.3,74,2.4,30.0,2020-04-28,81.63
59,2020-04-29,KNDGRAND45,51.9,38.3,74,5.6,30.2,2020-04-29,87.08
60,2020-04-30,KNDGRAND45,55.9,34.5,63,2.5,30.11,2020-04-30,94.53
61,2020-05-01,KNDGRAND45,56.0,40.5,74,1.8,29.82,2020-05-01,112.03
62,2020-05-02,KNDGRAND45,53.2,34.2,69,10.2,30.07,2020-05-02,88.71
63,2020-05-03,KNDGRAND45,39.7,26.1,72,5.9,30.23,2020-05-03,71.78
64,2020-05-04,KNDGRAND45,42.3,30.4,84,2.1,30.24,2020-05-04,84.79
65,2020-05-05,KNDGRAND45,45.8,36.0,90,3.4,30.24,2020-05-05,95.92
66,2020-05-06,KNDGRAND45,48.5,29.7,71,3.3,30.31,2020-05-06,99.68
67,2020-05-07,KNDGRAND45,40.5,17.4,58,5.5,30.34,2020-05-07,106.23
68,2020-05-08,KNDGRAND45,39.4,22.8,63,3.3,30.41,2020-05-08,114.06
69,2020-05-09,KNDGRAND45,39.3,24.4,75,5.1,30.29,2020-05-09,86.79
70,2020-05-10,KNDGRAND45,40.5,18.0,58,8.2,30.42,2020-05-10,70.92
