,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KNMCLOVI57,52.3,15.1,31,4.4,29.71,2020-03-01,115.2
1,2020-03-02,KNMCLOVI57,48.5,21.0,47,2.3,29.76,2020-03-02,127.16
2,2020-03-03,KNMCLOVI57,47.2,20.8,50,1.8,29.79,2020-03-03,112.42
3,2020-03-04,KNMCLOVI57,46.4,21.2,52,2.9,29.98,2020-03-04,109.34
4,2020-03-05,KNMCLOVI57,46.4,20.8,53,2.7,30.26,2020-03-05,110.11
5,2020-03-06,KNMCLOVI57,46.9,21.7,53,1.7,30.28,2020-03-06,156.25
6,2020-03-07,KNMCLOVI57,52.9,31.8,56,1.8,30.08,2020-03-07,142.9
7,2020-03-08,KNMCLOVI57,50.6,38.3,85,1.4,29.88,2020-03-08,119.37
8,2020-03-09,KNMCLOVI57,53.2,21.2,65,3.0,30.01,2020-03-09,99.54
9,2020-03-10,KNMCLOVI57,57.4,35.6,57,2.5,30.03,2020-03-10,106.25
10,2020-03-11,KNMCLOVI57,60.6,38.3,54,3.2,29.97,2020-03-11,103.86
11,2020-03-12,KNMCLOVI57,60.5,37.8,58,3.5,29.8,2020-03-12,112.27
12,2020-03-13,KNMCLOVI57,45.1,41.9,98,2.5,29.88,2020-03-13,116.67
13,2020-03-14,KNMCLOVI57,52.9,30.0,69,2.4,30.02,2020-03-14,118.44
14,2020-03-15,KNMCLOVI57,44.2,41.5,98,1.9,30.09,2020-03-15,99.77
15,2020-03-16,KNMCLOVI57,53.9,37.8,80,1.2,29.98,2020-03-16,113.81
16,2020-03-17,KNMCLOVI57,55.6,44.2,90,1.7,29.9,2020-03-17,96.3
17,2020-03-18,KNMCLOVI57,53.6,38.8,77,1.8,29.81,2020-03-18,98.92
18,2020-03-19,KNMCLOVI57,52.1,24.4,59,6.1,29.99,2020-03-19,104.09
19,2020-03-20,KNMCLOVI57,38.2,25.3,74,3.7,30.22,2020-03-20,108.41
20,2020-03-21,KNMCLOVI57,39.3,30.7,87,1.6,30.12,2020-03-21,101.47
21,2020-03-22,KNMCLOVI57,52.2,25.2,61,3.5,29.93,2020-03-22,69.6
22,2020-03-23,KNMCLOVI57,57.9,22.3,46,1.7,29.88,2020-03-23,78.94
23,2020-03-24,KNMCLOVI57,56.5,16.5,37,3.4,29.85,2020-03-24,66.9
24,2020-03-25,KNMCLOVI57,61.8,16.2,32,3.5,29.79,2020-03-25,70.6
25,2020-03-26,KNMCLOVI57,66.9,31.6,34,3.5,29.73,2020-03-26,74.07
26,2020-03-27,KNMCLOVI57,58.5,11.5,44,4.6,29.66,2020-03-27,80.71
27,2020-03-28,KNMCLOVI57,47.7,8.2,33,6.7,29.88,2020-03-28,71.3
28,2020-03-29,KNMCLOVI57,49.8,14.7,39,1.5,29.98,2020-03-29,58.87
29,2020-03-30,KNMCLOVI57,54.3,13.6,40,3.9,29.9,2020-03-30,69.29
30,2020-03-31,KNMCLOVI57,56.2,21.4,37,1.8,29.95,2020-03-31,73.38
31,2020-04-01,KNMCLOVI57,64.4,21.9,26,3.1,29.75,2020-04-01,70.22
32,2020-04-02,KNMCLOVI57,61.3,16.7,33,3.8,29.79,2020-04-02,80.71
33,2020-04-03,KNMCLOVI57,40.7,17.4,58,4.8,29.97,2020-04-03,86.81
34,2020-04-04,KNMCLOVI57,47.1,26.2,61,1.6,29.9,2020-04-04,77.24
35,2020-04-05,KNMCLOVI57,54.3,25.5,66,1.5,29.81,2020-04-05,62.81
36,2020-04-06,KNMCLOVI57,61.1,30.7,59,1.7,29.82,2020-04-06,70.14
37,2020-04-07,KNMCLOVI57,63.6,16.9,29,3.3,29.86,2020-04-07,69.14
38,2020-04-08,KNMCLOVI57,65.9,21.4,28,1.8,29.88,2020-04-08,78.94
39,2020-04-09,KNMCLOVI57,60.5,30.0,48,1.6,29.9,2020-04-09,71.6
40,2020-04-10,KNMCLOVI57,50.0,31.5,69,2.0,29.97,2020-04-10,89.35
41,2020-04-11,KNMCLOVI57,61.9,12.6,51,3.2,29.75,2020-04-11,71.76
42,2020-04-12,KNMCLOVI57,47.4,16.9,45,5.4,29.9,2020-04-12,49.54
43,2020-04-13,KNMCLOVI57,31.6,16.3,71,1.9,29.97,2020-04-13,70.45
44,2020-04-14,KNMCLOVI57,33.3,23.9,82,0.6,30.07,2020-04-14,75.31
45,2020-04-15,KNMCLOVI57,47.5,15.4,54,3.1,29.96,2020-04-15,86.34
46,2020-04-16,KNMCLOVI57,57.3,20.7,44,3.7,29.86,2020-04-16,90.66
47,2020-04-17,KNMCLOVI57,43.2,21.0,59,4.5,29.99,2020-04-17,94.52
48,2020-04-18,KNMCLOVI57,56.1,26.1,52,2.6,29.91,2020-04-18,82.25
49,2020-04-19,KNMCLOVI57,60.3,25.5,35,3.4,29.74,2020-04-19,84.03
50,2020-04-20,KNMCLOVI57,60.2,29.7,45,1.6,29.81,2020-04-20,81.94
51,2020-04-21,KNMCLOVI57,63.5,30.0,56,2.0,29.84,2020-04-21,84.49
52,2020-04-22,KNMCLOVI57,61.0,32.5,51,3.6,29.81,2020-04-22,91.82
53,2020-04-23,KNMCLOVI57,63.5,22.3,42,3.3,29.81,2020-04-23,77.24
54,2020-04-24,KNMCLOVI57,62.1,27.0,37,3.2,29.93,2020-04-24,102.01
55,2020-04-25,KNMCLOVI57,58.2,30.6,46,1.4,30.05,2020-04-25,96.6
56,2020-04-26,KNMCLOVI57,64.8,32.2,41,2.6,29.99,2020-04-26,73.23
57,2020-04-27,KNMCLOVI57,70.2,33.8,35,1.8,29.89,2020-04-27,94.83
58,2020-04-28,KNMCLOVI57,72.2,28.0,32,2.9,29.91,2020-04-28,99.85
59,2020-04-29,KNMCLOVI57,62.8,23.2,36,2.5,30.15,2020-04-29,90.66
60,2020-04-30,KNMCLOVI57,69.2,30.7,33,2.4,30.03,2020-04-30,85.8
61,2020-05-01,KNMCLOVI57,75.5,26.1,27,2.4,29.84,2020-05-01,115.12
62,2020-05-02,KNMCLOVI57,75.1,24.3,20,4.3,29.89,2020-05-02,100.46
63,2020-05-03,KNMCLOVI57,72.2,29.7,42,2.6,29.93,2020-05-03,74.38
64,2020-05-04,KNMCLOVI57,73.9,23.2,24,4.5,29.91,2020-05-04,99.69
65,2020-05-05,KNMCLOVI57,63.6,28.4,38,3.2,30.11,2020-05-05,103.63
66,2020-05-06,KNMCLOVI57,66.0,30.7,38,2.0,30.08,2020-05-06,108.8
67,2020-05-07,KNMCLOVI57,74.3,14.7,30,5.2,29.93,2020-05-07,115.97
68,2020-05-08,KNMCLOVI57,54.1,19.6,40,6.0,30.15,2020-05-08,116.9
69,2020-05-09,KNMCLOVI57,59.7,32.5,46,1.9,30.03,2020-05-09,103.32
70,2020-05-10,KNMCLOVI57,62.4,28.6,44,2.6,30.07,2020-05-10,84.41
71,2020-05-11,KNMCLOVI57,60.8,40.6,63,2.7,30.05,2020-05-11,84.41
72,2020-05-12,KNMCLOVI57,62.2,46.0,73,2.2,29.87,2020-05-12,84.41
73,2020-05-13,KNMCLOVI57,70.8,28.9,48,2.6,29.77,2020-05-13,109.26
74,2020-05-14,KNMCLOVI57,70.2,21.6,25,3.0,29.77,2020-05-14,113.97
75,2020-05-15,KNMCLOVI57,68.3,25.5,44,2.0,29.79,2020-05-15,121.6
76,2020-05-16,KNMCLOVI57,68.8,45.7,56,2.1,29.85,2020-05-16,105.56
77,2020-05-17,KNMCLOVI57,72.7,46.2,53,1.6,29.96,2020-05-17,102.62
78,2020-05-18,KNMCLOVI57,78.8,26.8,35,2.0,29.85,2020-05-18,120.99
79,2020-05-19,KNMCLOVI57,79.5,28.0,30,2.1,29.8,2020-05-19,125.54
80,2020-05-20,KNMCLOVI57,77.2,29.3,49,2.9,29.79,2020-05-20,122.45
81,2020-05-21,KNMCLOVI57,72.4,11.1,30,3.4,29.75,2020-05-21,127.08
82,2020-05-22,KNMCLOVI57,71.8,11.7,28,2.4,29.79,2020-05-22,158.8
83,2020-05-23,KNMCLOVI57,74.1,17.6,24,2.7,29.75,2020-05-23,164.43
84,2020-05-24,KNMCLOVI57,73.4,23.0,39,2.2,29.73,2020-05-24,103.24
85,2020-05-25,KNMCLOVI57,57.4,42.6,69,3.8,29.92,2020-05-25,106.4
86,2020-05-26,KNMCLOVI57,65.7,35.4,50,2.1,29.91,2020-05-26,115.05
87,2020-05-27,KNMCLOVI57,72.4,33.6,36,1.6,29.88,2020-05-27,109.57
88,2020-05-28,KNMCLOVI57,71.3,37.9,37,1.9,30.09,2020-05-28,127.39
