,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KNYAUBUR21,28.5,11.7,68,3.8,30.18,2020-03-01,99.39
1,2020-03-02,KNYAUBUR21,43.1,22.5,70,7.1,29.95,2020-03-02,101.73
2,2020-03-03,KNYAUBUR21,42.3,33.3,93,4.0,29.72,2020-03-03,104.77
3,2020-03-04,KNYAUBUR21,38.8,25.9,75,5.1,29.98,2020-03-04,111.4
4,2020-03-05,KNYAUBUR21,36.0,22.3,69,2.4,30.17,2020-03-05,108.34
5,2020-03-06,KNYAUBUR21,36.5,25.2,75,4.2,30.13,2020-03-06,125.44
6,2020-03-07,KNYAUBUR21,28.1,15.3,71,3.8,30.45,2020-03-07,136.38
7,2020-03-08,KNYAUBUR21,41.8,19.0,57,4.3,30.43,2020-03-08,109.98
8,2020-03-09,KNYAUBUR21,53.0,25.7,47,4.8,30.23,2020-03-09,111.17
9,2020-03-10,KNYAUBUR21,49.5,28.4,75,6.6,30.15,2020-03-10,104.2
10,2020-03-11,KNYAUBUR21,33.9,19.6,72,1.6,30.25,2020-03-11,110.77
11,2020-03-12,KNYAUBUR21,43.2,25.3,73,5.5,30.08,2020-03-12,116.15
12,2020-03-13,KNYAUBUR21,44.6,24.3,61,10.5,30.12,2020-03-13,117.64
13,2020-03-14,KNYAUBUR21,36.0,22.8,68,4.6,30.43,2020-03-14,113.68
14,2020-03-15,KNYAUBUR21,31.6,3.2,53,2.9,30.62,2020-03-15,88.92
15,2020-03-16,KNYAUBUR21,34.3,8.1,52,5.7,30.64,2020-03-16,95.75
16,2020-03-17,KNYAUBUR21,40.8,27.0,78,7.5,30.31,2020-03-17,76.05
17,2020-03-18,KNYAUBUR21,38.5,24.4,70,1.7,30.5,2020-03-18,83.95
18,2020-03-19,KNYAUBUR21,45.3,37.2,88,5.1,30.22,2020-03-19,85.29
19,2020-03-20,KNYAUBUR21,54.2,28.8,80,10.0,30.15,2020-03-20,84.2
20,2020-03-21,KNYAUBUR21,28.6,8.2,62,4.9,30.58,2020-03-21,70.01
21,2020-03-22,KNYAUBUR21,28.9,5.9,52,1.6,30.75,2020-03-22,55.89
22,2020-03-23,KNYAUBUR21,34.0,20.5,90,7.5,30.43,2020-03-23,49.43
23,2020-03-24,KNYAUBUR21,34.4,28.8,90,1.7,30.24,2020-03-24,61.01
24,2020-03-25,KNYAUBUR21,38.6,28.2,83,5.5,30.15,2020-03-25,63.77
25,2020-03-26,KNYAUBUR21,48.6,34.2,73,7.6,30.0,2020-03-26,69.09
26,2020-03-27,KNYAUBUR21,41.1,30.7,78,2.5,30.05,2020-03-27,76.79
27,2020-03-28,KNYAUBUR21,41.3,28.6,85,5.0,30.06,2020-03-28,62.74
28,2020-03-29,KNYAUBUR21,49.4,40.6,87,9.9,29.93,2020-03-29,56.52
29,2020-03-30,KNYAUBUR21,45.3,38.7,88,2.9,29.95,2020-03-30,67.38
30,2020-03-31,KNYAUBUR21,42.9,38.5,89,1.5,30.02,2020-03-31,67.43
31,2020-04-01,KNYAUBUR21,40.8,25.9,71,3.4,29.91,2020-04-01,76.79
32,2020-04-02,KNYAUBUR21,39.9,25.2,67,4.3,29.97,2020-04-02,76.07
33,2020-04-03,KNYAUBUR21,40.7,30.4,90,4.9,29.95,2020-04-03,72.24
34,2020-04-04,KNYAUBUR21,47.2,41.0,89,1.5,30.04,2020-04-04,78.42
35,2020-04-05,KNYAUBUR21,48.2,35.8,84,2.5,30.05,2020-04-05,59.2
36,2020-04-06,KNYAUBUR21,44.9,26.4,66,2.1,30.16,2020-04-06,74.21
37,2020-04-07,KNYAUBUR21,50.7,25.7,57,2.0,29.98,2020-04-07,79.33
38,2020-04-08,KNYAUBUR21,47.7,40.8,85,2.2,29.6,2020-04-08,72.96
39,2020-04-09,KNYAUBUR21,43.1,21.9,75,6.9,29.56,2020-04-09,69.35
40,2020-04-10,KNYAUBUR21,35.8,22.8,79,7.5,29.73,2020-04-10,74.23
41,2020-04-11,KNYAUBUR21,37.6,19.4,60,4.5,29.99,2020-04-11,75.48
42,2020-04-12,KNYAUBUR21,48.4,27.5,57,7.8,30.05,2020-04-12,46.56
43,2020-04-13,KNYAUBUR21,54.3,29.7,83,12.6,29.91,2020-04-13,64.69
44,2020-04-14,KNYAUBUR21,41.3,12.9,45,4.6,30.12,2020-04-14,78.24
45,2020-04-15,KNYAUBUR21,36.0,16.0,64,3.8,30.03,2020-04-15,80.43
46,2020-04-16,KNYAUBUR21,31.6,20.8,81,3.5,30.16,2020-04-16,72.26
47,2020-04-17,KNYAUBUR21,34.7,15.4,73,3.2,30.26,2020-04-17,84.83
48,2020-04-18,KNYAUBUR21,39.2,19.6,68,3.3,29.91,2020-04-18,85.18
49,2020-04-19,KNYAUBUR21,46.1,25.9,69,6.0,29.83,2020-04-19,72.24
50,2020-04-20,KNYAUBUR21,39.4,18.7,57,2.5,29.83,2020-04-20,84.96
51,2020-04-21,KNYAUBUR21,39.7,17.4,62,8.5,29.73,2020-04-21,80.52
52,2020-04-22,KNYAUBUR21,34.2,14.7,59,6.1,30.02,2020-04-22,79.95
53,2020-04-23,KNYAUBUR21,36.1,15.4,69,2.6,30.08,2020-04-23,89.05
54,2020-04-24,KNYAUBUR21,46.1,23.2,71,1.5,29.87,2020-04-24,95.43
55,2020-04-25,KNYAUBUR21,50.0,26.2,52,2.0,30.07,2020-04-25,120.23
56,2020-04-26,KNYAUBUR21,45.8,25.9,77,2.4,29.93,2020-04-26,67.27
57,2020-04-27,KNYAUBUR21,41.0,32.7,88,2.8,30.11,2020-04-27,83.49
58,2020-04-28,KNYAUBUR21,47.5,27.9,66,3.0,30.15,2020-04-28,99.67
59,2020-04-29,KNYAUBUR21,54.2,31.8,63,9.5,30.04,2020-04-29,90.02
60,2020-04-30,KNYAUBUR21,56.3,44.4,84,10.9,29.88,2020-04-30,91.83
61,2020-05-01,KNYAUBUR21,50.6,41.5,92,2.2,29.91,2020-05-01,107.09
62,2020-05-02,KNYAUBUR21,52.2,36.5,74,2.2,30.03,2020-05-02,119.27
63,2020-05-03,KNYAUBUR21,61.9,33.6,55,4.4,29.74,2020-05-03,105.41
64,2020-05-04,KNYAUBUR21,45.5,28.4,74,3.8,29.93,2020-05-04,88.46
65,2020-05-05,KNYAUBUR21,40.5,6.6,52,3.2,30.02,2020-05-05,101.8
66,2020-05-06,KNYAUBUR21,42.4,26.8,66,1.5,29.93,2020-05-06,100.96
67,2020-05-07,KNYAUBUR21,44.1,23.9,71,3.2,29.83,2020-05-07,106.98
68,2020-05-08,KNYAUBUR21,37.7,16.2,65,3.6,29.85,2020-05-08,113.31
69,2020-05-09,KNYAUBUR21,33.0,17.2,71,5.6,29.98,2020-05-09,101.29
70,2020-05-10,KNYAUBUR21,43.4,28.9,71,2.3,30.01,2020-05-10,84.08
71,2020-05-11,KNYAUBUR21,42.2,31.6,85,3.0,29.96,2020-05-11,84.08
72,2020-05-12,KNYAUBUR21,38.1,16.0,67,4.4,30.19,2020-05-12,84.08
73,2020-05-13,KNYAUBUR21,41.4,19.0,64,1.8,30.34,2020-05-13,122.13
74,2020-05-14,KNYAUBUR21,51.2,28.4,60,4.9,30.29,2020-05-14,116.59
75,2020-05-15,KNYAUBUR21,61.5,51.1,87,5.1,29.89,2020-05-15,130.58
76,2020-05-16,KNYAUBUR21,55.4,44.2,82,2.5,30.17,2020-05-16,155.58
77,2020-05-17,KNYAUBUR21,57.4,42.3,79,1.1,30.22,2020-05-17,116.15
78,2020-05-18,KNYAUBUR21,58.7,52.3,88,1.4,30.07,2020-05-18,121.93
79,2020-05-19,KNYAUBUR21,62.6,36.7,53,2.3,30.22,2020-05-19,132.23
80,2020-05-20,KNYAUBUR21,60.8,31.1,45,4.7,30.36,2020-05-20,141.88
81,2020-05-21,KNYAUBUR21,62.1,25.2,43,5.4,30.31,2020-05-21,150.11
82,2020-05-22,KNYAUBUR21,66.8,49.5,70,3.6,30.11,2020-05-22,176.51
83,2020-05-23,KNYAUBUR21,69.9,51.8,76,1.5,30.0,2020-05-23,166.22
84,2020-05-24,KNYAUBUR21,67.3,41.2,65,8.8,30.11,2020-05-24,149.43
85,2020-05-25,KNYAUBUR21,68.7,55.6,78,8.0,30.06,2020-05-25,144.39
86,2020-05-26,KNYAUBUR21,75.6,57.7,71,3.8,30.08,2020-05-26,160.57
87,2020-05-27,KNYAUBUR21,74.4,59.2,71,6.6,30.06,2020-05-27,161.41
88,2020-05-28,KNYAUBUR21,71.5,61.3,82,7.7,30.02,2020-05-28,150.48
89,2020-05-29,KNYAUBUR21,72.9,58.6,82,5.2,29.84,2020-05-29,162.56
90,2020-05-30,KNYAUBUR21,60.0,43.7,80,3.2,30.01,2020-05-30,166.33
91,2020-05-31,KNYAUBUR21,50.8,31.8,66,3.1,30.16,2020-05-31,130.82
92,2020-06-01,KNYAUBUR21,56.7,35.8,59,2.1,30.19,2020-06-01,142.43
93,2020-06-02,KNYAUBUR21,60.5,40.1,69,4.5,30.0,2020-06-02,146.23
94,2020-06-03,KNYAUBUR21,67.0,56.1,85,2.8,29.66,2020-06-03,146.59
95,2020-06-04,KNYAUBUR21,70.4,49.3,73,3.6,29.76,2020-06-04,161.73
96,2020-06-05,KNYAUBUR21,74.3,60.1,74,3.0,29.79,2020-06-05,191.16
97,2020-06-06,KNYAUBUR21,70.2,45.9,66,3.4,29.86,2020-06-06,187.61
98,2020-06-07,KNYAUBUR21,60.2,38.5,66,2.3,29.98,2020-06-07,152.34
99,2020-06-08,KNYAUBUR21,62.1,43.2,64,2.0,30.05,2020-06-08,153.07
100,2020-06-09,KNYAUBUR21,71.7,44.6,61,3.5,29.92,2020-06-09,168.87
101,2020-06-10,KNYAUBUR21,77.3,62.2,76,10.0,29.79,2020-06-10,173.66
102,2020-06-11,KNYAUBUR21,73.9,47.3,61,4.8,30.0,2020-06-11,165.45
103,2020-06-12,KNYAUBUR21,62.9,42.3,60,3.6,30.13,2020-06-12,197.31
104,2020-06-13,KNYAUBUR21,52.0,34.3,66,2.1,30.3,2020-06-13,189.87
105,2020-06-14,KNYAUBUR21,54.1,36.5,69,0.9,30.4,2020-06-14,168.17
106,2020-06-15,KNYAUBUR21,59.3,43.0,67,1.1,30.41,2020-06-15,166.51
107,2020-06-16,KNYAUBUR21,64.4,44.8,64,1.4,30.37,2020-06-16,179.2
108,2020-06-17,KNYAUBUR21,70.5,49.3,62,2.6,30.21,2020-06-17,175.96
109,2020-06-18,KNYAUBUR21,72.2,56.1,71,5.4,30.1,2020-06-18,185.38
110,2020-06-19,KNYAUBUR21,72.8,59.4,75,6.3,30.02,2020-06-19,215.74
111,2020-06-20,KNYAUBUR21,74.9,61.9,72,3.8,29.98,2020-06-20,219.0
112,2020-06-21,KNYAUBUR21,77.2,59.4,68,6.0,29.91,2020-06-21,176.73
113,2020-06-22,KNYAUBUR21,78.3,63.0,69,4.0,29.86,2020-06-22,184.54
114,2020-06-23,KNYAUBUR21,76.7,63.1,74,6.5,29.74,2020-06-23,185.05
115,2020-06-24,KNYAUBUR21,69.7,45.1,61,3.4,29.76,2020-06-24,190.48
116,2020-06-25,KNYAUBUR21,68.1,48.9,64,3.6,29.87,2020-06-25,192.32
117,2020-06-26,KNYAUBUR21,72.0,49.1,61,3.0,29.89,2020-06-26,236.08
118,2020-06-27,KNYAUBUR21,69.9,56.5,82,4.1,29.78,2020-06-27,214.64
119,2020-06-28,KNYAUBUR21,72.6,62.6,81,2.7,29.74,2020-06-28,197.7
120,2020-06-29,KNYAUBUR21,72.4,59.9,75,1.9,29.86,2020-06-29,195.56
121,2020-06-30,KNYAUBUR21,70.0,62.4,81,2.1,29.89,2020-06-30,201.31
122,2020-07-01,KNYAUBUR21,71.1,61.2,79,1.7,29.88,2020-07-01,213.0
123,2020-07-02,KNYAUBUR21,77.8,59.7,66,2.0,29.83,2020-07-02,232.18
124,2020-07-03,KNYAUBUR21,77.5,62.1,69,2.0,29.84,2020-07-03,251.69
125,2020-07-04,KNYAUBUR21,75.7,52.2,70,1.5,29.89,2020-07-04,225.66
126,2020-07-05,KNYAUBUR21,75.5,52.9,60,2.4,29.92,2020-07-05,211.38
127,2020-07-06,KNYAUBUR21,78.8,57.4,59,2.4,29.97,2020-07-06,199.45
128,2020-07-07,KNYAUBUR21,78.0,64.8,73,9.3,29.94,2020-07-07,197.51
129,2020-07-08,KNYAUBUR21,79.0,66.0,73,5.4,29.89,2020-07-08,203.13
130,2020-07-09,KNYAUBUR21,81.8,62.6,68,5.1,29.9,2020-07-09,226.38
131,2020-07-10,KNYAUBUR21,80.3,60.1,73,6.4,29.85,2020-07-10,252.43
132,2020-07-11,KNYAUBUR21,74.5,67.3,88,2.3,29.63,2020-07-11,219.26
133,2020-07-12,KNYAUBUR21,74.7,57.9,74,2.3,29.68,2020-07-12,209.81
134,2020-07-13,KNYAUBUR21,70.3,59.4,80,1.6,29.85,2020-07-13,191.83
135,2020-07-14,KNYAUBUR21,69.8,58.6,79,1.3,30.02,2020-07-14,199.01
136,2020-07-15,KNYAUBUR21,74.0,57.9,70,1.7,30.09,2020-07-15,214.08
137,2020-07-16,KNYAUBUR21,72.6,63.9,80,10.4,30.06,2020-07-16,188.92
138,2020-07-17,KNYAUBUR21,75.9,57.2,73,4.5,30.0,2020-07-17,240.7
139,2020-07-18,KNYAUBUR21,77.1,62.1,71,3.5,30.02,2020-07-18,242.71
140,2020-07-19,KNYAUBUR21,78.7,65.5,74,5.1,29.86,2020-07-19,215.3
141,2020-07-20,KNYAUBUR21,78.6,60.1,66,2.3,29.89,2020-07-20,191.16
142,2020-07-21,KNYAUBUR21,72.3,59.9,74,1.2,29.99,2020-07-21,196.78
143,2020-07-22,KNYAUBUR21,73.4,63.1,84,1.3,29.95,2020-07-22,196.02
144,2020-07-23,KNYAUBUR21,74.3,64.9,87,1.2,29.98,2020-07-23,206.85
145,2020-07-24,KNYAUBUR21,72.6,62.1,81,0.9,30.04,2020-07-24,250.11
146,2020-07-25,KNYAUBUR21,74.2,58.1,72,1.0,30.05,2020-07-25,280.71
147,2020-07-26,KNYAUBUR21,77.4,61.9,69,2.1,29.98,2020-07-26,233.38
148,2020-07-27,KNYAUBUR21,80.5,64.9,74,3.1,29.81,2020-07-27,199.69
149,2020-07-28,KNYAUBUR21,75.9,58.8,74,1.6,29.8,2020-07-28,195.88
150,2020-07-29,KNYAUBUR21,71.8,60.1,79,3.6,29.83,2020-07-29,195.16
151,2020-07-30,KNYAUBUR21,72.8,59.9,76,1.4,29.81,2020-07-30,210.64
152,2020-07-31,KNYAUBUR21,71.0,57.7,75,1.2,29.85,2020-07-31,253.37
153,2020-08-01,KNYAUBUR21,73.9,58.6,73,1.3,29.9,2020-08-01,256.89
154,2020-08-02,KNYAUBUR21,79.5,60.6,65,7.1,29.83,2020-08-02,199.59
155,2020-08-03,KNYAUBUR21,74.4,61.2,69,2.2,29.94,2020-08-03,203.42
156,2020-08-04,KNYAUBUR21,70.8,63.3,87,4.2,29.87,2020-08-04,187.98
157,2020-08-05,KNYAUBUR21,69.9,52.2,68,2.5,30.01,2020-08-05,199.8
158,2020-08-06,KNYAUBUR21,66.3,50.2,67,0.9,30.1,2020-08-06,216.4
159,2020-08-07,KNYAUBUR21,69.1,54.0,78,1.1,30.08,2020-08-07,249.47
160,2020-08-08,KNYAUBUR21,73.1,63.0,80,2.1,30.08,2020-08-08,270.25
161,2020-08-09,KNYAUBUR21,74.9,56.8,72,1.7,30.04,2020-08-09,229.12
162,2020-08-10,KNYAUBUR21,79.9,65.7,71,3.1,29.94,2020-08-10,212.46
163,2020-08-11,KNYAUBUR21,79.4,65.3,69,5.4,29.87,2020-08-11,203.33
164,2020-08-12,KNYAUBUR21,73.2,50.7,68,0.9,30.03,2020-08-12,212.79
165,2020-08-13,KNYAUBUR21,73.7,57.2,68,1.0,30.08,2020-08-13,216.05
166,2020-08-14,KNYAUBUR21,73.5,56.8,72,1.2,30.02,2020-08-14,260.66
167,2020-08-15,KNYAUBUR21,73.6,60.6,73,2.2,29.93,2020-08-15,287.89
168,2020-08-16,KNYAUBUR21,74.7,55.4,66,4.4,29.92,2020-08-16,230.12
169,2020-08-17,KNYAUBUR21,70.0,56.5,78,2.4,29.83,2020-08-17,197.83
170,2020-08-18,KNYAUBUR21,68.2,53.2,72,1.9,29.85,2020-08-18,208.51
171,2020-08-19,KNYAUBUR21,63.9,47.8,75,1.4,29.98,2020-08-19,211.4
172,2020-08-20,KNYAUBUR21,67.2,50.2,65,2.9,30.03,2020-08-20,220.43
173,2020-08-21,KNYAUBUR21,73.2,52.0,64,2.5,29.87,2020-08-21,260.14
174,2020-08-22,KNYAUBUR21,74.5,60.6,74,1.6,29.89,2020-08-22,265.37
175,2020-08-23,KNYAUBUR21,76.8,60.3,70,3.1,29.94,2020-08-23,223.82
