,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KNYNEWAR16,27.0,10.6,74,2.0,29.94,2020-03-01,122.96
1,2020-03-02,KNYNEWAR16,41.6,22.3,72,2.6,29.8,2020-03-02,94.29
2,2020-03-03,KNYNEWAR16,44.2,33.6,88,2.9,29.54,2020-03-03,106.99
3,2020-03-04,KNYNEWAR16,39.7,24.1,69,4.1,29.78,2020-03-04,107.07
4,2020-03-05,KNYNEWAR16,35.7,20.7,67,2.6,29.96,2020-03-05,109.47
5,2020-03-06,KNYNEWAR16,32.9,19.8,82,2.9,29.86,2020-03-06,130.67
6,2020-03-07,KNYNEWAR16,27.2,16.5,75,7.2,30.21,2020-03-07,131.38
7,2020-03-08,KNYNEWAR16,35.7,14.2,66,2.0,30.23,2020-03-08,110.41
8,2020-03-09,KNYNEWAR16,43.0,23.5,65,2.1,29.94,2020-03-09,106.16
9,2020-03-10,KNYNEWAR16,43.1,30.9,80,1.0,29.83,2020-03-10,103.72
10,2020-03-11,KNYNEWAR16,38.6,24.4,67,0.6,29.94,2020-03-11,101.77
11,2020-03-12,KNYNEWAR16,44.0,28.6,72,3.1,29.96,2020-03-12,114.81
12,2020-03-13,KNYNEWAR16,48.7,19.8,59,6.5,30.02,2020-03-13,116.2
13,2020-03-14,KNYNEWAR16,36.8,21.2,65,4.8,30.29,2020-03-14,110.07
14,2020-03-15,KNYNEWAR16,33.8,10.4,60,5.1,30.45,2020-03-15,85.91
15,2020-03-16,KNYNEWAR16,33.1,10.6,60,3.9,30.45,2020-03-16,88.43
16,2020-03-17,KNYNEWAR16,40.1,26.8,77,4.3,30.17,2020-03-17,79.29
17,2020-03-18,KNYNEWAR16,39.7,20.3,67,2.3,30.33,2020-03-18,85.04
18,2020-03-19,KNYNEWAR16,45.3,37.2,89,1.9,30.11,2020-03-19,75.42
19,2020-03-20,KNYNEWAR16,55.7,33.4,83,5.5,30.0,2020-03-20,76.74
20,2020-03-21,KNYNEWAR16,30.6,13.1,66,8.0,30.38,2020-03-21,69.67
21,2020-03-22,KNYNEWAR16,29.6,7.7,57,2.5,30.5,2020-03-22,57.35
22,2020-03-23,KNYNEWAR16,33.2,23.0,86,3.6,30.33,2020-03-23,58.36
23,2020-03-24,KNYNEWAR16,34.5,29.5,89,3.2,30.08,2020-03-24,58.47
24,2020-03-25,KNYNEWAR16,37.3,28.4,83,1.5,30.0,2020-03-25,66.55
25,2020-03-26,KNYNEWAR16,43.3,24.4,78,2.8,29.91,2020-03-26,67.08
26,2020-03-27,KNYNEWAR16,43.0,27.5,76,4.6,29.97,2020-03-27,69.15
27,2020-03-28,KNYNEWAR16,37.3,26.1,93,0.9,29.96,2020-03-28,52.61
28,2020-03-29,KNYNEWAR16,47.9,40.6,92,2.6,29.85,2020-03-29,50.21
29,2020-03-30,KNYNEWAR16,43.8,35.6,89,1.9,29.85,2020-03-30,58.17
30,2020-03-31,KNYNEWAR16,42.2,37.6,91,1.3,29.89,2020-03-31,57.84
31,2020-04-01,KNYNEWAR16,40.2,24.4,75,4.4,29.78,2020-04-01,66.07
32,2020-04-02,KNYNEWAR16,37.6,21.2,71,6.5,29.78,2020-04-02,65.84
33,2020-04-03,KNYNEWAR16,40.4,26.8,84,6.8,29.84,2020-04-03,69.56
34,2020-04-04,KNYNEWAR16,47.7,39.4,83,1.4,29.92,2020-04-04,62.12
35,2020-04-05,KNYNEWAR16,49.3,32.0,81,2.4,29.96,2020-04-05,58.55
36,2020-04-06,KNYNEWAR16,42.2,17.4,68,3.0,30.01,2020-04-06,73.13
37,2020-04-07,KNYNEWAR16,51.1,29.7,62,2.4,29.9,2020-04-07,67.12
38,2020-04-08,KNYNEWAR16,48.5,34.7,84,3.7,29.55,2020-04-08,65.01
39,2020-04-09,KNYNEWAR16,40.0,26.6,83,4.5,29.96,2020-04-09,63.81
40,2020-04-10,KNYNEWAR16,35.8,25.5,74,6.7,30.33,2020-04-10,66.74
41,2020-04-11,KNYNEWAR16,35.9,18.0,59,4.0,30.58,2020-04-11,71.21
42,2020-04-12,KNYNEWAR16,45.2,20.5,63,3.5,30.65,2020-04-12,45.21
43,2020-04-13,KNYNEWAR16,56.3,31.3,80,6.8,30.51,2020-04-13,68.06
44,2020-04-14,KNYNEWAR16,42.4,13.5,49,3.7,30.67,2020-04-14,71.4
45,2020-04-15,KNYNEWAR16,36.3,15.6,61,3.9,30.58,2020-04-15,70.16
46,2020-04-16,KNYNEWAR16,31.5,14.2,69,3.7,30.75,2020-04-16,69.75
47,2020-04-17,KNYNEWAR16,31.6,17.6,78,2.0,30.8,2020-04-17,78.35
48,2020-04-18,KNYNEWAR16,34.8,24.1,84,2.9,30.46,2020-04-18,70.61
49,2020-04-19,KNYNEWAR16,43.5,22.8,72,4.6,30.46,2020-04-19,69.97
50,2020-04-20,KNYNEWAR16,39.4,19.4,66,2.5,30.34,2020-04-20,81.1
51,2020-04-21,KNYNEWAR16,34.5,18.9,74,3.5,30.32,2020-04-21,74.52
52,2020-04-22,KNYNEWAR16,33.0,16.7,57,4.6,30.57,2020-04-22,80.16
53,2020-04-23,KNYNEWAR16,33.4,17.2,80,0.8,30.62,2020-04-23,69.64
54,2020-04-24,KNYNEWAR16,45.5,34.0,85,2.0,30.46,2020-04-24,88.01
55,2020-04-25,KNYNEWAR16,49.1,28.9,66,1.1,30.63,2020-04-25,90.38
56,2020-04-26,KNYNEWAR16,42.0,32.2,88,1.8,30.53,2020-04-26,68.66
57,2020-04-27,KNYNEWAR16,38.8,28.8,91,3.3,30.69,2020-04-27,83.73
58,2020-04-28,KNYNEWAR16,42.4,28.0,75,0.8,30.72,2020-04-28,88.31
59,2020-04-29,KNYNEWAR16,48.3,28.8,77,3.8,30.66,2020-04-29,87.6
60,2020-04-30,KNYNEWAR16,55.7,44.4,86,5.1,30.56,2020-04-30,81.77
61,2020-05-01,KNYNEWAR16,52.6,44.4,88,3.3,30.51,2020-05-01,106.54
62,2020-05-02,KNYNEWAR16,52.9,36.1,72,2.1,30.61,2020-05-02,106.31
63,2020-05-03,KNYNEWAR16,61.9,32.9,59,3.2,30.36,2020-05-03,91.69
64,2020-05-04,KNYNEWAR16,43.3,30.0,79,3.6,30.53,2020-05-04,94.78
65,2020-05-05,KNYNEWAR16,40.8,16.2,57,4.2,30.57,2020-05-05,103.87
66,2020-05-06,KNYNEWAR16,38.6,22.5,76,1.7,30.48,2020-05-06,96.28
67,2020-05-07,KNYNEWAR16,42.6,23.4,69,3.0,30.41,2020-05-07,101.2
68,2020-05-08,KNYNEWAR16,36.3,18.3,78,2.9,30.42,2020-05-08,112.06
69,2020-05-09,KNYNEWAR16,32.5,18.1,69,5.3,30.57,2020-05-09,100.71
70,2020-05-10,KNYNEWAR16,45.7,26.4,60,2.9,30.57,2020-05-10,93.12
71,2020-05-11,KNYNEWAR16,40.7,31.8,84,3.2,30.44,2020-05-11,93.12
72,2020-05-12,KNYNEWAR16,39.6,15.8,62,4.8,30.33,2020-05-12,93.12
73,2020-05-13,KNYNEWAR16,39.0,24.6,70,2.8,30.46,2020-05-13,111.2
74,2020-05-14,KNYNEWAR16,48.2,24.3,69,2.2,30.46,2020-05-14,106.69
75,2020-05-15,KNYNEWAR16,62.8,50.5,87,2.7,30.12,2020-05-15,144.38
76,2020-05-16,KNYNEWAR16,57.6,43.5,79,3.8,30.29,2020-05-16,127.06
77,2020-05-17,KNYNEWAR16,55.1,37.6,84,1.7,30.32,2020-05-17,101.92
78,2020-05-18,KNYNEWAR16,57.2,48.0,82,2.7,30.22,2020-05-18,115.03
79,2020-05-19,KNYNEWAR16,61.8,32.9,52,4.1,30.39,2020-05-19,125.14
80,2020-05-20,KNYNEWAR16,55.5,28.0,52,3.2,30.49,2020-05-20,129.39
81,2020-05-21,KNYNEWAR16,55.3,29.3,61,2.7,30.01,2020-05-21,138.03
82,2020-05-22,KNYNEWAR16,59.7,43.7,91,1.0,29.93,2020-05-22,144.68
83,2020-05-23,KNYNEWAR16,67.0,56.8,85,1.7,30.02,2020-05-23,131.45
84,2020-05-24,KNYNEWAR16,63.9,44.6,73,3.8,30.12,2020-05-24,121.61
85,2020-05-25,KNYNEWAR16,67.2,53.4,78,3.5,30.0,2020-05-25,119.84
86,2020-05-26,KNYNEWAR16,72.6,55.0,76,1.4,30.01,2020-05-26,129.73
87,2020-05-27,KNYNEWAR16,71.0,56.8,77,2.6,30.0,2020-05-27,129.39
88,2020-05-28,KNYNEWAR16,69.6,58.5,86,4.7,29.96,2020-05-28,134.87
89,2020-05-29,KNYNEWAR16,72.1,59.2,84,3.7,29.8,2020-05-29,141.98
90,2020-05-30,KNYNEWAR16,62.8,42.6,72,3.2,29.89,2020-05-30,140.36
91,2020-05-31,KNYNEWAR16,49.8,34.9,69,4.2,30.04,2020-05-31,113.83
92,2020-06-01,KNYNEWAR16,51.2,32.2,68,2.6,30.09,2020-06-01,128.15
93,2020-06-02,KNYNEWAR16,55.6,41.9,78,1.8,29.91,2020-06-02,124.88
94,2020-06-03,KNYNEWAR16,63.6,52.3,90,1.1,29.58,2020-06-03,127.92
95,2020-06-04,KNYNEWAR16,68.2,49.8,78,2.2,29.71,2020-06-04,147.58
96,2020-06-05,KNYNEWAR16,72.2,62.2,80,2.0,29.72,2020-06-05,171.82
97,2020-06-06,KNYNEWAR16,67.6,47.1,74,3.6,29.74,2020-06-06,154.19
98,2020-06-07,KNYNEWAR16,57.8,42.6,73,4.0,29.88,2020-06-07,132.69
99,2020-06-08,KNYNEWAR16,57.9,37.6,71,2.3,29.94,2020-06-08,139.08
100,2020-06-09,KNYNEWAR16,67.5,44.2,70,1.6,29.85,2020-06-09,146.19
101,2020-06-10,KNYNEWAR16,73.8,55.9,81,3.7,29.73,2020-06-10,142.47
102,2020-06-11,KNYNEWAR16,72.0,53.8,75,2.7,29.93,2020-06-11,144.46
103,2020-06-12,KNYNEWAR16,60.5,43.9,73,2.7,30.01,2020-06-12,175.8
104,2020-06-13,KNYNEWAR16,51.1,35.4,70,3.2,30.17,2020-06-13,170.76
