,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KOHCUYAH30,35.9,16.0,56,1.4,30.23,2020-03-01,91.59
1,2020-03-02,KOHCUYAH30,47.9,26.0,79,1.7,29.9,2020-03-02,108.12
2,2020-03-03,KOHCUYAH30,48.2,36.0,89,2.0,29.77,2020-03-03,112.97
3,2020-03-04,KOHCUYAH30,40.0,29.0,79,0.7,30.09,2020-03-04,113.55
4,2020-03-05,KOHCUYAH30,39.8,24.0,64,0.4,30.17,2020-03-05,121.41
5,2020-03-06,KOHCUYAH30,36.0,28.0,89,1.5,30.36,2020-03-06,133.64
6,2020-03-07,KOHCUYAH30,34.3,23.0,73,0.8,30.58,2020-03-07,134.5
7,2020-03-08,KOHCUYAH30,46.7,25.0,50,0.9,30.49,2020-03-08,99.58
8,2020-03-09,KOHCUYAH30,57.9,26.0,45,1.4,30.3,2020-03-09,110.03
9,2020-03-10,KOHCUYAH30,48.3,32.0,85,1.6,30.24,2020-03-10,108.78
10,2020-03-11,KOHCUYAH30,38.7,28.0,89,0.1,30.23,2020-03-11,109.74
11,2020-03-12,KOHCUYAH30,49.3,37.0,81,0.2,30.03,2020-03-12,103.03
12,2020-03-13,KOHCUYAH30,49.6,25.0,59,2.8,30.34,2020-03-13,111.14
13,2020-03-14,KOHCUYAH30,37.4,23.0,66,0.1,30.49,2020-03-14,97.45
14,2020-03-15,KOHCUYAH30,38.5,17.0,68,0.8,30.57,2020-03-15,71.11
15,2020-03-16,KOHCUYAH30,39.1,22.0,74,0.2,30.53,2020-03-16,81.54
16,2020-03-17,KOHCUYAH30,42.6,32.0,82,0.4,30.37,2020-03-17,75.47
17,2020-03-18,KOHCUYAH30,42.8,31.0,83,0.4,30.38,2020-03-18,72.78
18,2020-03-19,KOHCUYAH30,50.0,40.0,93,0.5,30.21,2020-03-19,72.67
19,2020-03-20,KOHCUYAH30,57.4,29.0,82,3.9,30.31,2020-03-20,78.87
20,2020-03-21,KOHCUYAH30,31.2,21.0,76,0.7,30.59,2020-03-21,64.12
21,2020-03-22,KOHCUYAH30,34.4,19.0,73,0.5,30.61,2020-03-22,53.94
22,2020-03-23,KOHCUYAH30,41.4,36.0,90,0.3,30.28,2020-03-23,60.59
23,2020-03-24,KOHCUYAH30,39.8,33.0,84,0.3,30.24,2020-03-24,53.01
24,2020-03-25,KOHCUYAH30,48.0,36.0,80,0.2,29.98,2020-03-25,60.61
25,2020-03-26,KOHCUYAH30,54.3,39.0,75,0.8,29.96,2020-03-26,65.62
26,2020-03-27,KOHCUYAH30,49.9,41.0,86,0.3,29.98,2020-03-27,71.94
27,2020-03-28,KOHCUYAH30,56.7,47.0,96,0.5,29.96,2020-03-28,54.9
28,2020-03-29,KOHCUYAH30,62.9,42.0,73,4.0,29.87,2020-03-29,54.18
29,2020-03-30,KOHCUYAH30,46.4,36.0,77,2.2,30.07,2020-03-30,59.25
30,2020-03-31,KOHCUYAH30,42.9,36.0,85,0.1,30.05,2020-03-31,61.25
31,2020-04-01,KOHCUYAH30,44.4,26.0,76,0.8,30.05,2020-04-01,64.54
32,2020-04-02,KOHCUYAH30,46.2,27.0,62,1.0,30.11,2020-04-02,67.85
33,2020-04-03,KOHCUYAH30,45.2,24.0,59,0.9,30.07,2020-04-03,76.85
34,2020-04-04,KOHCUYAH30,50.7,31.0,63,0.3,30.07,2020-04-04,74.94
35,2020-04-05,KOHCUYAH30,46.3,33.0,76,0.7,30.16,2020-04-05,51.1
36,2020-04-06,KOHCUYAH30,48.2,24.0,61,0.1,30.2,2020-04-06,70.03
37,2020-04-07,KOHCUYAH30,59.0,34.0,74,0.5,29.99,2020-04-07,65.26
38,2020-04-08,KOHCUYAH30,60.1,41.0,70,0.6,29.71,2020-04-08,75.76
39,2020-04-09,KOHCUYAH30,45.7,23.0,73,2.6,29.66,2020-04-09,69.27
40,2020-04-10,KOHCUYAH30,38.6,24.0,68,2.7,29.97,2020-04-10,75.22
41,2020-04-11,KOHCUYAH30,44.6,27.0,57,0.5,30.05,2020-04-11,75.81
42,2020-04-12,KOHCUYAH30,53.9,30.0,61,0.9,29.94,2020-04-12,42.85
43,2020-04-13,KOHCUYAH30,50.9,30.0,84,3.0,30.08,2020-04-13,64.18
44,2020-04-14,KOHCUYAH30,39.9,17.0,53,1.3,30.18,2020-04-14,71.59
45,2020-04-15,KOHCUYAH30,36.3,19.0,69,0.9,30.12,2020-04-15,75.33
46,2020-04-16,KOHCUYAH30,35.2,18.0,67,1.0,30.31,2020-04-16,78.19
47,2020-04-17,KOHCUYAH30,34.4,23.0,83,0.0,30.31,2020-04-17,78.88
48,2020-04-18,KOHCUYAH30,42.0,29.0,74,1.3,30.06,2020-04-18,84.46
49,2020-04-19,KOHCUYAH30,48.7,33.0,66,1.5,29.91,2020-04-19,66.61
50,2020-04-20,KOHCUYAH30,47.4,17.0,48,0.5,29.81,2020-04-20,84.63
51,2020-04-21,KOHCUYAH30,44.4,18.0,56,3.4,29.97,2020-04-21,77.7
52,2020-04-22,KOHCUYAH30,37.4,18.0,59,0.4,30.12,2020-04-22,80.49
