,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KOHGALLI2,42.4,1.6,30,2.5,29.8,2020-03-01,111.22
1,2020-03-02,KOHGALLI2,50.5,12.2,53,1.9,29.53,2020-03-02,113.88
2,2020-03-03,KOHGALLI2,55.2,14.5,53,2.4,29.46,2020-03-03,115.21
3,2020-03-04,KOHGALLI2,50.1,12.0,31,1.8,29.65,2020-03-04,114.13
4,2020-03-05,KOHGALLI2,45.2,12.0,38,0.8,29.72,2020-03-05,140.23
5,2020-03-06,KOHGALLI2,39.0,11.8,47,3.0,29.91,2020-03-06,146.8
6,2020-03-07,KOHGALLI2,37.5,6.4,36,2.0,30.13,2020-03-07,133.33
7,2020-03-08,KOHGALLI2,46.5,6.1,33,1.4,30.08,2020-03-08,118.2
8,2020-03-09,KOHGALLI2,54.5,10.6,28,1.7,29.99,2020-03-09,110.56
9,2020-03-10,KOHGALLI2,58.2,18.9,44,3.8,29.76,2020-03-10,125.1
10,2020-03-11,KOHGALLI2,51.9,32.7,54,0.7,29.75,2020-03-11,137.82
11,2020-03-12,KOHGALLI2,57.5,18.3,55,1.7,29.58,2020-03-12,124.52
12,2020-03-13,KOHGALLI2,56.9,7.3,36,2.9,29.93,2020-03-13,122.44
13,2020-03-14,KOHGALLI2,39.9,6.4,46,2.0,29.98,2020-03-14,116.29
14,2020-03-15,KOHGALLI2,39.4,20.1,54,2.3,30.06,2020-03-15,94.26
15,2020-03-16,KOHGALLI2,45.2,26.6,56,0.4,29.99,2020-03-16,112.05
16,2020-03-17,KOHGALLI2,46.9,30.9,69,0.7,29.92,2020-03-17,110.47
17,2020-03-18,KOHGALLI2,52.0,27.1,61,1.2,29.91,2020-03-18,92.44
18,2020-03-19,KOHGALLI2,64.3,43.2,66,1.5,29.75,2020-03-19,108.48
19,2020-03-20,KOHGALLI2,68.6,18.7,42,4.6,29.81,2020-03-20,98.5
20,2020-03-21,KOHGALLI2,41.7,13.6,42,2.8,30.05,2020-03-21,77.64
21,2020-03-22,KOHGALLI2,44.0,9.0,30,1.9,30.05,2020-03-22,55.86
22,2020-03-23,KOHGALLI2,52.0,18.1,49,2.1,29.75,2020-03-23,108.06
23,2020-03-24,KOHGALLI2,49.4,23.0,47,1.8,29.74,2020-03-24,70.16
24,2020-03-25,KOHGALLI2,52.0,19.8,57,1.4,29.57,2020-03-25,69.91
25,2020-03-26,KOHGALLI2,58.4,15.4,41,1.4,29.58,2020-03-26,72.82
26,2020-03-27,KOHGALLI2,59.0,35.6,53,1.9,29.95,2020-03-27,75.23
27,2020-03-28,KOHGALLI2,72.0,22.3,41,2.0,29.93,2020-03-28,84.7
28,2020-03-29,KOHGALLI2,69.5,14.5,34,4.4,30.04,2020-03-29,58.77
29,2020-03-30,KOHGALLI2,57.9,13.8,24,3.0,30.15,2020-03-30,76.81
30,2020-03-31,KOHGALLI2,44.0,20.3,54,0.6,30.12,2020-03-31,77.31
31,2020-04-01,KOHGALLI2,46.2,26.1,63,0.9,30.09,2020-04-01,85.7
32,2020-04-02,KOHGALLI2,51.4,11.8,38,1.8,30.19,2020-04-02,74.73
33,2020-04-03,KOHGALLI2,54.0,14.0,35,1.6,30.14,2020-04-03,84.29
34,2020-04-04,KOHGALLI2,56.5,11.3,31,0.9,30.12,2020-04-04,76.56
35,2020-04-05,KOHGALLI2,60.1,25.9,41,1.3,30.14,2020-04-05,67.08
36,2020-04-06,KOHGALLI2,58.8,19.4,40,0.7,30.19,2020-04-06,72.24
37,2020-04-07,KOHGALLI2,67.4,27.9,36,0.9,30.06,2020-04-07,70.07
38,2020-04-08,KOHGALLI2,69.3,16.2,41,2.0,29.78,2020-04-08,86.53
39,2020-04-09,KOHGALLI2,54.6,9.9,42,4.1,29.86,2020-04-09,80.05
40,2020-04-10,KOHGALLI2,42.1,6.8,36,2.2,30.06,2020-04-10,76.72
41,2020-04-11,KOHGALLI2,47.4,11.5,35,0.6,30.13,2020-04-11,81.13
42,2020-04-12,KOHGALLI2,58.2,13.5,39,2.8,30.01,2020-04-12,49.46
43,2020-04-13,KOHGALLI2,55.6,19.9,54,3.3,30.22,2020-04-13,74.98
44,2020-04-14,KOHGALLI2,41.4,5.7,41,1.0,30.26,2020-04-14,87.45
