,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KOHKENTO9,35.4,10.0,63,7.7,30.27,2020-03-01,86.98
1,2020-03-02,KOHKENTO9,48.8,34.0,76,8.0,29.88,2020-03-02,84.0
2,2020-03-03,KOHKENTO9,45.4,28.0,82,8.9,29.86,2020-03-03,114.53
3,2020-03-04,KOHKENTO9,39.9,24.0,73,8.1,30.16,2020-03-04,111.16
4,2020-03-05,KOHKENTO9,38.1,19.0,63,4.8,30.21,2020-03-05,96.02
5,2020-03-06,KOHKENTO9,34.5,20.0,72,10.8,30.49,2020-03-06,112.11
6,2020-03-07,KOHKENTO9,33.6,15.0,58,4.2,30.64,2020-03-07,134.34
7,2020-03-08,KOHKENTO9,45.2,18.0,44,7.3,30.5,2020-03-08,101.08
8,2020-03-09,KOHKENTO9,56.1,23.0,39,12.6,30.3,2020-03-09,90.79
9,2020-03-10,KOHKENTO9,48.3,31.0,73,11.3,30.26,2020-03-10,94.12
10,2020-03-11,KOHKENTO9,42.1,29.0,85,2.4,30.25,2020-03-11,92.82
11,2020-03-12,KOHKENTO9,49.5,38.0,82,4.5,30.05,2020-03-12,107.44
12,2020-03-13,KOHKENTO9,45.5,20.0,65,10.7,30.43,2020-03-13,113.49
13,2020-03-14,KOHKENTO9,34.7,20.0,66,3.6,30.54,2020-03-14,104.15
14,2020-03-15,KOHKENTO9,34.2,20.0,71,7.9,30.65,2020-03-15,71.76
15,2020-03-16,KOHKENTO9,37.3,19.0,68,2.6,30.57,2020-03-16,81.44
16,2020-03-17,KOHKENTO9,39.8,23.0,77,5.7,30.4,2020-03-17,84.95
17,2020-03-18,KOHKENTO9,38.1,25.0,84,5.0,30.41,2020-03-18,85.08
18,2020-03-19,KOHKENTO9,47.7,36.0,90,7.5,30.24,2020-03-19,75.35
19,2020-03-20,KOHKENTO9,53.9,26.0,82,14.3,30.39,2020-03-20,87.2
20,2020-03-21,KOHKENTO9,29.6,20.0,78,8.2,30.64,2020-03-21,65.44
21,2020-03-22,KOHKENTO9,31.4,19.0,79,6.0,30.63,2020-03-22,47.19
22,2020-03-23,KOHKENTO9,37.4,30.0,87,4.2,30.28,2020-03-23,65.31
23,2020-03-24,KOHKENTO9,40.1,33.0,83,5.1,30.25,2020-03-24,58.17
24,2020-03-25,KOHKENTO9,41.8,30.0,82,3.7,30.05,2020-03-25,59.78
25,2020-03-26,KOHKENTO9,53.0,34.0,76,6.2,29.97,2020-03-26,61.76
26,2020-03-27,KOHKENTO9,46.6,41.0,89,7.1,29.99,2020-03-27,66.96
27,2020-03-28,KOHKENTO9,54.8,42.0,90,4.8,29.91,2020-03-28,46.28
28,2020-03-29,KOHKENTO9,59.3,37.0,72,15.3,29.91,2020-03-29,38.67
29,2020-03-30,KOHKENTO9,44.3,32.0,72,12.3,30.14,2020-03-30,51.86
30,2020-03-31,KOHKENTO9,39.0,29.0,82,3.8,30.12,2020-03-31,59.43
31,2020-04-01,KOHKENTO9,42.7,33.0,80,6.1,30.13,2020-04-01,58.35
32,2020-04-02,KOHKENTO9,46.2,29.0,67,5.4,30.22,2020-04-02,69.55
33,2020-04-03,KOHKENTO9,49.4,23.0,52,3.2,30.14,2020-04-03,73.92
34,2020-04-04,KOHKENTO9,52.2,27.0,54,4.2,30.1,2020-04-04,64.27
35,2020-04-05,KOHKENTO9,44.5,28.0,81,6.0,30.22,2020-04-05,44.9
36,2020-04-06,KOHKENTO9,46.4,20.0,61,2.6,30.24,2020-04-06,62.11
37,2020-04-07,KOHKENTO9,60.3,38.0,77,6.5,30.02,2020-04-07,59.21
38,2020-04-08,KOHKENTO9,61.6,39.0,68,5.0,29.79,2020-04-08,68.38
39,2020-04-09,KOHKENTO9,46.0,12.0,51,14.2,29.78,2020-04-09,62.33
40,2020-04-10,KOHKENTO9,37.5,18.0,54,11.4,30.06,2020-04-10,72.06
41,2020-04-11,KOHKENTO9,42.4,19.0,54,4.9,30.09,2020-04-11,68.04
42,2020-04-12,KOHKENTO9,53.4,29.0,60,8.9,29.96,2020-04-12,40.14
43,2020-04-13,KOHKENTO9,45.5,28.0,80,11.3,30.17,2020-04-13,66.22
44,2020-04-14,KOHKENTO9,36.1,9.0,55,7.6,30.25,2020-04-14,65.79
45,2020-04-15,KOHKENTO9,34.1,14.0,58,9.0,30.23,2020-04-15,67.6
46,2020-04-16,KOHKENTO9,35.1,12.0,50,6.9,30.36,2020-04-16,73.44
47,2020-04-17,KOHKENTO9,35.3,18.0,79,4.9,30.35,2020-04-17,74.74
48,2020-04-18,KOHKENTO9,41.6,25.0,66,8.6,30.12,2020-04-18,73.14
49,2020-04-19,KOHKENTO9,49.0,27.0,53,9.0,29.92,2020-04-19,59.08
50,2020-04-20,KOHKENTO9,47.7,20.0,46,6.6,29.84,2020-04-20,81.7
51,2020-04-21,KOHKENTO9,43.5,8.0,43,13.3,30.06,2020-04-21,72.15
52,2020-04-22,KOHKENTO9,38.2,12.0,51,3.9,30.17,2020-04-22,82.18
53,2020-04-23,KOHKENTO9,49.8,26.0,67,6.5,29.94,2020-04-23,74.7
54,2020-04-24,KOHKENTO9,49.5,37.0,82,5.5,29.94,2020-04-24,90.79
55,2020-04-25,KOHKENTO9,53.4,33.0,68,8.6,29.98,2020-04-25,79.37
56,2020-04-26,KOHKENTO9,45.1,32.0,77,11.1,30.16,2020-04-26,51.99
57,2020-04-27,KOHKENTO9,48.7,28.0,61,4.4,30.26,2020-04-27,94.9
58,2020-04-28,KOHKENTO9,59.4,40.0,64,6.4,30.1,2020-04-28,82.22
59,2020-04-29,KOHKENTO9,59.9,43.0,64,12.1,29.79,2020-04-29,72.66
60,2020-04-30,KOHKENTO9,47.2,34.0,74,10.5,29.79,2020-04-30,89.53
61,2020-05-01,KOHKENTO9,51.9,36.0,68,6.3,30.09,2020-05-01,98.53
62,2020-05-02,KOHKENTO9,64.5,40.0,56,8.7,30.08,2020-05-02,97.32
63,2020-05-03,KOHKENTO9,65.7,25.0,47,6.6,29.91,2020-05-03,69.98
