,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KOHLUCAS2,42.3,1.6,32,1.0,29.44,2020-03-01,109.02
1,2020-03-02,KOHLUCAS2,52.5,12.9,56,1.2,29.16,2020-03-02,117.69
2,2020-03-03,KOHLUCAS2,54.6,13.8,54,2.6,29.11,2020-03-03,114.53
3,2020-03-04,KOHLUCAS2,50.0,12.4,31,1.8,29.31,2020-03-04,130.84
4,2020-03-05,KOHLUCAS2,44.6,7.2,34,0.6,29.36,2020-03-05,123.78
5,2020-03-06,KOHLUCAS2,39.7,8.8,44,4.0,29.6,2020-03-06,157.55
6,2020-03-07,KOHLUCAS2,38.3,4.5,33,0.9,29.78,2020-03-07,148.42
7,2020-03-08,KOHLUCAS2,47.8,6.3,33,1.1,29.72,2020-03-08,104.65
8,2020-03-09,KOHLUCAS2,58.5,10.4,21,1.7,29.62,2020-03-09,121.6
9,2020-03-10,KOHLUCAS2,57.0,19.0,49,2.5,29.41,2020-03-10,120.16
10,2020-03-11,KOHLUCAS2,51.1,29.1,57,0.5,29.41,2020-03-11,109.71
11,2020-03-12,KOHLUCAS2,56.1,28.2,63,1.0,29.22,2020-03-12,104.31
12,2020-03-13,KOHLUCAS2,54.3,9.9,40,2.8,29.59,2020-03-13,113.15
13,2020-03-14,KOHLUCAS2,39.5,7.0,48,0.3,29.64,2020-03-14,105.97
14,2020-03-15,KOHLUCAS2,39.0,19.4,54,0.3,29.72,2020-03-15,76.97
15,2020-03-16,KOHLUCAS2,44.7,24.3,55,0.3,29.64,2020-03-16,87.54
16,2020-03-17,KOHLUCAS2,45.4,26.4,68,1.0,29.57,2020-03-17,96.73
17,2020-03-18,KOHLUCAS2,50.4,27.5,71,0.9,29.55,2020-03-18,85.18
18,2020-03-19,KOHLUCAS2,62.9,41.9,77,0.9,29.39,2020-03-19,84.72
19,2020-03-20,KOHLUCAS2,66.4,28.6,47,3.6,29.49,2020-03-20,94.26
20,2020-03-21,KOHLUCAS2,39.3,15.4,51,1.0,29.72,2020-03-21,80.07
21,2020-03-22,KOHLUCAS2,41.5,13.1,41,1.0,29.7,2020-03-22,61.69
22,2020-03-23,KOHLUCAS2,48.1,26.1,63,1.1,29.41,2020-03-23,85.81
23,2020-03-24,KOHLUCAS2,46.6,25.5,58,0.8,29.39,2020-03-24,63.47
24,2020-03-25,KOHLUCAS2,52.1,18.1,50,0.9,29.2,2020-03-25,61.63
25,2020-03-26,KOHLUCAS2,58.2,16.7,45,0.8,29.2,2020-03-26,78.06
26,2020-03-27,KOHLUCAS2,60.4,36.5,55,0.7,29.14,2020-03-27,71.51
27,2020-03-28,KOHLUCAS2,70.2,37.8,54,1.5,29.1,2020-03-28,67.66
28,2020-03-29,KOHLUCAS2,68.7,17.1,33,4.5,29.22,2020-03-29,57.27
29,2020-03-30,KOHLUCAS2,56.5,13.3,24,3.9,29.31,2020-03-30,83.86
