,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KOHMARIO23,36.9,14.9,64,5.7,30.18,2020-03-01,99.92
1,2020-03-02,KOHMARIO23,47.6,35.2,88,3.8,29.88,2020-03-02,106.59
2,2020-03-03,KOHMARIO23,46.7,31.8,88,6.7,29.82,2020-03-03,113.51
3,2020-03-04,KOHMARIO23,40.1,26.4,76,5.5,30.1,2020-03-04,116.41
4,2020-03-05,KOHMARIO23,39.4,23.2,68,2.9,30.15,2020-03-05,128.35
5,2020-03-06,KOHMARIO23,34.8,25.0,86,6.2,30.4,2020-03-06,155.59
6,2020-03-07,KOHMARIO23,35.0,20.5,66,2.9,30.56,2020-03-07,150.26
7,2020-03-08,KOHMARIO23,46.4,24.1,53,4.6,30.44,2020-03-08,105.64
8,2020-03-09,KOHMARIO23,55.6,32.0,52,5.8,30.31,2020-03-09,109.05
9,2020-03-10,KOHMARIO23,49.3,38.3,88,7.1,30.23,2020-03-10,105.69
10,2020-03-11,KOHMARIO23,42.4,35.1,90,1.7,30.23,2020-03-11,112.92
11,2020-03-12,KOHMARIO23,50.8,40.8,83,3.6,30.01,2020-03-12,111.65
12,2020-03-13,KOHMARIO23,46.9,27.7,71,8.0,30.37,2020-03-13,118.04
13,2020-03-14,KOHMARIO23,35.0,24.3,80,2.6,30.47,2020-03-14,97.3
14,2020-03-15,KOHMARIO23,35.8,22.8,80,5.7,30.55,2020-03-15,77.21
15,2020-03-16,KOHMARIO23,37.9,21.4,76,2.1,30.47,2020-03-16,93.48
16,2020-03-17,KOHMARIO23,40.7,30.2,84,3.8,30.35,2020-03-17,84.67
17,2020-03-18,KOHMARIO23,40.5,28.2,94,2.9,30.35,2020-03-18,79.41
18,2020-03-19,KOHMARIO23,49.8,39.2,98,4.5,30.2,2020-03-19,83.04
19,2020-03-20,KOHMARIO23,55.4,29.3,86,9.2,30.33,2020-03-20,89.09
20,2020-03-21,KOHMARIO23,29.7,21.6,81,5.7,30.54,2020-03-21,68.81
21,2020-03-22,KOHMARIO23,32.5,20.7,78,3.6,30.53,2020-03-22,56.68
22,2020-03-23,KOHMARIO23,39.6,34.2,94,2.8,30.2,2020-03-23,67.89
23,2020-03-24,KOHMARIO23,41.3,33.6,83,2.5,30.2,2020-03-24,58.06
24,2020-03-25,KOHMARIO23,44.2,33.4,86,2.5,29.99,2020-03-25,63.14
25,2020-03-26,KOHMARIO23,53.3,40.3,81,4.0,29.96,2020-03-26,78.99
26,2020-03-27,KOHMARIO23,50.8,45.5,92,3.4,29.97,2020-03-27,79.53
27,2020-03-28,KOHMARIO23,58.2,50.5,95,4.2,29.9,2020-03-28,61.03
28,2020-03-29,KOHMARIO23,61.3,41.9,74,10.9,29.93,2020-03-29,53.08
29,2020-03-30,KOHMARIO23,45.3,35.2,75,9.5,30.1,2020-03-30,71.9
30,2020-03-31,KOHMARIO23,39.2,33.6,90,2.2,30.07,2020-03-31,72.42
31,2020-04-01,KOHMARIO23,42.2,36.3,88,4.0,30.08,2020-04-01,72.78
32,2020-04-02,KOHMARIO23,46.8,35.1,75,3.3,30.16,2020-04-02,83.04
33,2020-04-03,KOHMARIO23,50.4,25.0,57,2.4,30.1,2020-04-03,91.95
