,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KOHMOUNT31,33.8,12.0,60,1.3,30.2,2020-03-01,103.39
1,2020-03-02,KOHMOUNT31,46.9,27.0,85,1.2,29.92,2020-03-02,102.5
2,2020-03-03,KOHMOUNT31,47.7,31.1,87,2.6,29.84,2020-03-03,106.74
3,2020-03-04,KOHMOUNT31,40.4,24.8,71,1.7,30.11,2020-03-04,109.72
4,2020-03-05,KOHMOUNT31,37.7,20.9,66,0.9,30.16,2020-03-05,128.39
5,2020-03-06,KOHMOUNT31,35.0,23.0,85,2.4,30.38,2020-03-06,141.55
6,2020-03-07,KOHMOUNT31,33.2,20.5,68,1.3,30.56,2020-03-07,150.73
7,2020-03-08,KOHMOUNT31,43.4,21.2,55,1.2,30.48,2020-03-08,106.02
8,2020-03-09,KOHMOUNT31,55.6,25.9,44,2.6,30.36,2020-03-09,112.2
9,2020-03-10,KOHMOUNT31,50.1,36.5,87,2.7,30.25,2020-03-10,112.47
10,2020-03-11,KOHMOUNT31,42.0,33.3,90,0.6,30.25,2020-03-11,106.72
11,2020-03-12,KOHMOUNT31,51.7,41.0,79,0.9,30.03,2020-03-12,100.77
12,2020-03-13,KOHMOUNT31,48.7,21.2,59,3.4,30.37,2020-03-13,119.3
13,2020-03-14,KOHMOUNT31,34.2,21.6,80,0.6,30.48,2020-03-14,102.69
14,2020-03-15,KOHMOUNT31,36.3,19.0,75,2.1,30.54,2020-03-15,72.25
15,2020-03-16,KOHMOUNT31,36.5,18.5,78,0.6,30.48,2020-03-16,89.01
16,2020-03-17,KOHMOUNT31,40.4,28.8,86,0.9,30.37,2020-03-17,92.86
17,2020-03-18,KOHMOUNT31,38.2,24.6,94,0.7,30.38,2020-03-18,83.47
18,2020-03-19,KOHMOUNT31,50.9,42.6,96,1.3,30.21,2020-03-19,88.16
19,2020-03-20,KOHMOUNT31,57.5,31.3,84,4.4,30.32,2020-03-20,93.82
20,2020-03-21,KOHMOUNT31,31.2,20.8,73,2.7,30.54,2020-03-21,78.08
21,2020-03-22,KOHMOUNT31,34.0,18.0,71,1.5,30.54,2020-03-22,61.87
22,2020-03-23,KOHMOUNT31,41.2,35.2,91,0.7,30.22,2020-03-23,67.49
23,2020-03-24,KOHMOUNT31,41.4,33.8,81,1.3,30.21,2020-03-24,65.95
24,2020-03-25,KOHMOUNT31,47.9,35.1,75,0.8,30.0,2020-03-25,70.67
25,2020-03-26,KOHMOUNT31,52.9,36.2,79,1.5,29.99,2020-03-26,73.86
26,2020-03-27,KOHMOUNT31,51.9,46.2,90,1.2,29.98,2020-03-27,72.73
27,2020-03-28,KOHMOUNT31,60.2,49.6,93,1.4,29.92,2020-03-28,68.69
28,2020-03-29,KOHMOUNT31,63.1,37.0,67,6.0,29.95,2020-03-29,60.51
29,2020-03-30,KOHMOUNT31,44.7,30.7,72,3.2,30.11,2020-03-30,67.32
30,2020-03-31,KOHMOUNT31,39.8,32.3,84,0.9,30.09,2020-03-31,74.5
31,2020-04-01,KOHMOUNT31,42.7,30.7,81,1.3,30.09,2020-04-01,75.94
32,2020-04-02,KOHMOUNT31,45.5,27.9,69,1.1,30.16,2020-04-02,83.43
33,2020-04-03,KOHMOUNT31,47.5,10.6,55,1.1,30.1,2020-04-03,90.32
34,2020-04-04,KOHMOUNT31,51.0,27.8,60,0.5,30.09,2020-04-04,91.84
35,2020-04-05,KOHMOUNT31,47.4,34.0,82,1.5,30.17,2020-04-05,57.58
