,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KOHSANDU12,36.0,14.0,63,11.8,30.46,2020-03-01,136.14
1,2020-03-02,KOHSANDU12,48.5,35.0,85,9.6,30.06,2020-03-02,111.5
2,2020-03-03,KOHSANDU12,45.5,35.0,87,6.2,30.0,2020-03-03,122.08
3,2020-03-04,KOHSANDU12,39.7,25.0,74,7.1,30.34,2020-03-04,127.53
4,2020-03-05,KOHSANDU12,37.7,21.0,72,5.3,30.39,2020-03-05,130.81
5,2020-03-06,KOHSANDU12,35.9,25.0,86,9.1,30.67,2020-03-06,161.79
6,2020-03-07,KOHSANDU12,35.5,21.0,67,5.4,30.83,2020-03-07,192.44
7,2020-03-08,KOHSANDU12,48.2,27.0,52,12.9,30.68,2020-03-08,148.64
8,2020-03-09,KOHSANDU12,57.5,33.0,50,12.7,30.46,2020-03-09,130.26
9,2020-03-10,KOHSANDU12,49.8,31.0,84,11.0,30.47,2020-03-10,122.99
10,2020-03-11,KOHSANDU12,36.8,27.0,90,2.5,30.46,2020-03-11,124.73
11,2020-03-12,KOHSANDU12,46.8,35.0,84,4.3,30.27,2020-03-12,120.72
12,2020-03-13,KOHSANDU12,48.3,23.0,57,10.9,30.59,2020-03-13,131.31
13,2020-03-14,KOHSANDU12,36.4,22.0,68,4.5,30.76,2020-03-14,116.62
14,2020-03-15,KOHSANDU12,34.8,24.0,80,6.7,30.86,2020-03-15,90.31
15,2020-03-16,KOHSANDU12,36.7,23.0,74,3.5,30.79,2020-03-16,89.9
16,2020-03-17,KOHSANDU12,41.4,32.0,82,5.4,30.58,2020-03-17,85.21
17,2020-03-18,KOHSANDU12,38.7,30.0,87,4.7,30.6,2020-03-18,81.99
18,2020-03-19,KOHSANDU12,46.6,37.0,93,6.7,30.46,2020-03-19,81.5
19,2020-03-20,KOHSANDU12,55.7,27.0,79,14.2,30.6,2020-03-20,88.45
20,2020-03-21,KOHSANDU12,30.1,20.0,76,5.9,30.84,2020-03-21,73.58
21,2020-03-22,KOHSANDU12,31.7,19.0,79,5.3,30.86,2020-03-22,57.55
22,2020-03-23,KOHSANDU12,39.7,33.0,91,4.3,30.52,2020-03-23,64.08
23,2020-03-24,KOHSANDU12,39.0,34.0,87,5.2,30.47,2020-03-24,55.18
24,2020-03-25,KOHSANDU12,42.0,35.0,88,3.4,30.23,2020-03-25,61.26
25,2020-03-26,KOHSANDU12,51.5,39.0,80,7.3,30.17,2020-03-26,62.14
26,2020-03-27,KOHSANDU12,40.6,37.0,93,6.0,30.23,2020-03-27,68.41
27,2020-03-28,KOHSANDU12,44.4,40.0,96,4.4,30.17,2020-03-28,57.65
28,2020-03-29,KOHSANDU12,58.1,42.0,75,12.7,30.06,2020-03-29,54.27
29,2020-03-30,KOHSANDU12,46.0,36.0,76,10.6,30.32,2020-03-30,58.71
30,2020-03-31,KOHSANDU12,40.4,36.0,90,3.8,30.3,2020-03-31,59.95
31,2020-04-01,KOHSANDU12,43.9,33.0,81,5.1,30.3,2020-04-01,64.49
32,2020-04-02,KOHSANDU12,46.7,30.0,68,4.7,30.37,2020-04-02,65.93
33,2020-04-03,KOHSANDU12,46.0,25.0,59,3.5,30.34,2020-04-03,76.13
34,2020-04-04,KOHSANDU12,47.1,30.0,70,2.9,30.31,2020-04-04,77.17
35,2020-04-05,KOHSANDU12,41.5,32.0,86,4.4,30.42,2020-04-05,50.9
36,2020-04-06,KOHSANDU12,41.8,26.0,78,3.0,30.44,2020-04-06,68.83
37,2020-04-07,KOHSANDU12,59.4,38.0,80,5.5,30.24,2020-04-07,67.33
38,2020-04-08,KOHSANDU12,58.8,47.0,78,5.0,29.96,2020-04-08,72.23
39,2020-04-09,KOHSANDU12,45.9,22.0,69,12.4,29.93,2020-04-09,69.96
40,2020-04-10,KOHSANDU12,40.1,24.0,60,14.6,30.22,2020-04-10,79.64
41,2020-04-11,KOHSANDU12,44.9,26.0,59,6.5,30.27,2020-04-11,76.56
42,2020-04-12,KOHSANDU12,55.8,34.0,64,11.4,30.13,2020-04-12,44.36
43,2020-04-13,KOHSANDU12,49.2,29.0,80,11.4,30.33,2020-04-13,68.8
44,2020-04-14,KOHSANDU12,38.9,15.0,53,8.4,30.42,2020-04-14,69.28
45,2020-04-15,KOHSANDU12,35.2,22.0,75,6.9,30.37,2020-04-15,75.33
46,2020-04-16,KOHSANDU12,36.0,20.0,58,7.5,30.55,2020-04-16,79.67
47,2020-04-17,KOHSANDU12,34.1,21.0,84,4.2,30.55,2020-04-17,77.77
48,2020-04-18,KOHSANDU12,42.9,31.0,73,8.0,30.31,2020-04-18,86.37
49,2020-04-19,KOHSANDU12,48.3,33.0,67,11.5,30.09,2020-04-19,71.15
50,2020-04-20,KOHSANDU12,48.1,22.0,53,7.1,30.06,2020-04-20,86.61
51,2020-04-21,KOHSANDU12,44.3,18.0,56,14.6,30.23,2020-04-21,76.13
