,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KOHSOUTH38,38.5,15.4,63,1.3,29.98,2020-03-01,113.31
1,2020-03-02,KOHSOUTH38,47.5,31.3,87,0.9,29.71,2020-03-02,113.55
2,2020-03-03,KOHSOUTH38,53.6,32.0,79,2.0,29.65,2020-03-03,109.13
3,2020-03-04,KOHSOUTH38,47.3,23.9,63,1.7,29.83,2020-03-04,110.9
4,2020-03-05,KOHSOUTH38,42.3,22.3,68,0.6,29.89,2020-03-05,123.97
5,2020-03-06,KOHSOUTH38,38.4,28.0,80,1.8,30.1,2020-03-06,139.83
6,2020-03-07,KOHSOUTH38,36.8,22.6,65,1.1,30.32,2020-03-07,141.73
7,2020-03-08,KOHSOUTH38,42.4,20.3,62,1.0,30.26,2020-03-08,99.15
8,2020-03-09,KOHSOUTH38,52.0,27.0,56,2.1,30.17,2020-03-09,111.0
9,2020-03-10,KOHSOUTH38,58.1,39.9,79,2.9,29.95,2020-03-10,118.1
10,2020-03-11,KOHSOUTH38,53.0,43.0,82,0.7,29.91,2020-03-11,110.93
11,2020-03-12,KOHSOUTH38,56.1,40.8,80,1.0,29.74,2020-03-12,103.33
12,2020-03-13,KOHSOUTH38,55.8,21.2,57,2.0,30.1,2020-03-13,116.64
13,2020-03-14,KOHSOUTH38,39.9,17.8,74,1.3,30.17,2020-03-14,100.88
14,2020-03-15,KOHSOUTH38,38.8,33.1,87,2.0,30.23,2020-03-15,69.71
15,2020-03-16,KOHSOUTH38,44.1,36.9,89,0.5,30.17,2020-03-16,91.48
16,2020-03-17,KOHSOUTH38,46.9,42.1,92,0.5,30.09,2020-03-17,89.64
17,2020-03-18,KOHSOUTH38,53.0,41.9,90,0.8,30.08,2020-03-18,89.88
18,2020-03-19,KOHSOUTH38,64.7,58.1,91,1.1,29.91,2020-03-19,91.41
19,2020-03-20,KOHSOUTH38,68.2,41.5,73,3.4,29.98,2020-03-20,100.44
20,2020-03-21,KOHSOUTH38,41.9,30.0,76,2.1,30.23,2020-03-21,73.11
21,2020-03-22,KOHSOUTH38,43.8,27.3,65,1.1,30.22,2020-03-22,60.03
22,2020-03-23,KOHSOUTH38,51.8,39.0,83,1.2,29.92,2020-03-23,71.17
23,2020-03-24,KOHSOUTH38,47.7,32.9,79,1.0,29.9,2020-03-24,65.64
24,2020-03-25,KOHSOUTH38,50.3,40.5,84,1.1,29.74,2020-03-25,69.85
25,2020-03-26,KOHSOUTH38,54.1,32.5,76,1.2,29.75,2020-03-26,76.57
26,2020-03-27,KOHSOUTH38,62.1,50.9,82,1.1,29.66,2020-03-27,78.3
27,2020-03-28,KOHSOUTH38,70.4,55.2,74,1.8,29.64,2020-03-28,77.01
28,2020-03-29,KOHSOUTH38,68.9,37.8,60,3.8,29.75,2020-03-29,67.33
29,2020-03-30,KOHSOUTH38,57.9,30.7,47,2.7,29.83,2020-03-30,78.3
30,2020-03-31,KOHSOUTH38,43.5,36.5,86,0.5,29.8,2020-03-31,78.23
31,2020-04-01,KOHSOUTH38,45.2,40.1,88,0.7,29.8,2020-04-01,76.26
32,2020-04-02,KOHSOUTH38,49.0,32.0,69,1.2,29.9,2020-04-02,87.13
33,2020-04-03,KOHSOUTH38,49.8,27.5,65,0.9,29.84,2020-04-03,92.8
34,2020-04-04,KOHSOUTH38,53.9,30.7,65,0.7,29.81,2020-04-04,74.87
35,2020-04-05,KOHSOUTH38,58.8,44.1,73,1.1,29.83,2020-04-05,61.49
36,2020-04-06,KOHSOUTH38,56.7,47.7,82,0.7,29.88,2020-04-06,83.7
37,2020-04-07,KOHSOUTH38,60.8,47.3,80,0.8,29.75,2020-04-07,87.4
38,2020-04-08,KOHSOUTH38,69.5,54.5,76,2.1,29.46,2020-04-08,82.61
39,2020-04-09,KOHSOUTH38,55.3,18.3,53,3.2,29.56,2020-04-09,87.67
40,2020-04-10,KOHSOUTH38,42.1,24.1,64,1.8,29.76,2020-04-10,89.95
41,2020-04-11,KOHSOUTH38,46.3,20.1,61,0.9,29.83,2020-04-11,83.36
42,2020-04-12,KOHSOUTH38,56.2,35.8,73,1.4,29.69,2020-04-12,59.8
43,2020-04-13,KOHSOUTH38,54.2,36.5,86,2.4,29.91,2020-04-13,88.05
44,2020-04-14,KOHSOUTH38,40.2,25.0,78,1.1,29.94,2020-04-14,89.64
45,2020-04-15,KOHSOUTH38,41.8,20.1,68,2.1,29.91,2020-04-15,89.2
46,2020-04-16,KOHSOUTH38,42.0,19.4,62,1.5,30.08,2020-04-16,102.82
47,2020-04-17,KOHSOUTH38,49.9,31.6,70,1.4,30.03,2020-04-17,107.23
48,2020-04-18,KOHSOUTH38,43.5,31.5,79,1.5,29.88,2020-04-18,99.86
49,2020-04-19,KOHSOUTH38,47.4,27.9,70,0.6,29.75,2020-04-19,85.4
50,2020-04-20,KOHSOUTH38,53.7,27.1,65,1.2,29.48,2020-04-20,102.24
51,2020-04-21,KOHSOUTH38,54.0,15.1,51,2.5,29.76,2020-04-21,112.09
52,2020-04-22,KOHSOUTH38,47.5,20.5,60,0.8,29.88,2020-04-22,107.27
53,2020-04-23,KOHSOUTH38,52.5,41.2,91,0.4,29.68,2020-04-23,100.95
54,2020-04-24,KOHSOUTH38,56.6,47.8,91,0.6,29.62,2020-04-24,126.04
55,2020-04-25,KOHSOUTH38,56.0,44.1,87,1.0,29.67,2020-04-25,108.12
56,2020-04-26,KOHSOUTH38,52.4,43.7,93,2.1,29.78,2020-04-26,84.07
57,2020-04-27,KOHSOUTH38,49.3,30.2,72,1.0,29.96,2020-04-27,113.01
58,2020-04-28,KOHSOUTH38,59.0,41.5,71,1.7,29.85,2020-04-28,123.06
59,2020-04-29,KOHSOUTH38,61.5,45.3,76,2.1,29.63,2020-04-29,110.15
