,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KOKBARTL43,62.2,34.2,62,0.8,29.97,2020-03-01,112.41
1,2020-03-02,KOKBARTL43,47.4,33.3,70,2.7,29.99,2020-03-02,116.88
2,2020-03-03,KOKBARTL43,50.9,21.2,53,0.2,30.08,2020-03-03,112.38
3,2020-03-04,KOKBARTL43,50.9,26.1,51,0.5,30.2,2020-03-04,115.63
4,2020-03-05,KOKBARTL43,50.7,14.0,45,3.0,30.54,2020-03-05,130.37
5,2020-03-06,KOKBARTL43,47.2,17.1,39,0.4,30.68,2020-03-06,155.71
6,2020-03-07,KOKBARTL43,53.8,21.0,37,0.7,30.51,2020-03-07,168.53
7,2020-03-08,KOKBARTL43,55.2,29.5,61,1.3,30.32,2020-03-08,98.05
8,2020-03-09,KOKBARTL43,54.1,38.3,85,1.9,30.34,2020-03-09,121.56
9,2020-03-10,KOKBARTL43,49.4,36.7,76,0.3,30.43,2020-03-10,123.77
10,2020-03-11,KOKBARTL43,62.8,32.2,62,0.9,30.14,2020-03-11,109.97
11,2020-03-12,KOKBARTL43,64.3,42.8,66,2.6,30.17,2020-03-12,113.72
12,2020-03-13,KOKBARTL43,48.8,23.5,50,2.3,30.4,2020-03-13,142.23
13,2020-03-14,KOKBARTL43,41.9,33.6,93,0.9,30.49,2020-03-14,130.11
14,2020-03-15,KOKBARTL43,40.8,37.4,94,0.5,30.6,2020-03-15,95.55
15,2020-03-16,KOKBARTL43,46.1,40.3,98,0.0,30.38,2020-03-16,102.24
16,2020-03-17,KOKBARTL43,49.4,43.3,93,0.3,30.38,2020-03-17,82.13
17,2020-03-18,KOKBARTL43,63.3,52.0,88,0.2,30.12,2020-03-18,88.17
18,2020-03-19,KOKBARTL43,68.0,40.1,76,0.5,29.99,2020-03-19,78.09
19,2020-03-20,KOKBARTL43,44.5,21.2,63,5.6,30.59,2020-03-20,90.44
20,2020-03-21,KOKBARTL43,40.6,23.0,62,0.2,30.62,2020-03-21,89.51
21,2020-03-22,KOKBARTL43,47.3,37.6,94,0.1,30.38,2020-03-22,62.19
22,2020-03-23,KOKBARTL43,54.0,49.8,92,0.0,30.25,2020-03-23,78.81
23,2020-03-24,KOKBARTL43,58.3,49.3,84,1.3,30.06,2020-03-24,82.53
24,2020-03-25,KOKBARTL43,64.4,45.0,70,0.3,30.05,2020-03-25,85.67
25,2020-03-26,KOKBARTL43,74.7,48.2,59,0.1,29.83,2020-03-26,87.47
26,2020-03-27,KOKBARTL43,73.4,64.6,81,0.4,29.79,2020-03-27,88.06
27,2020-03-28,KOKBARTL43,65.4,32.7,62,3.0,30.05,2020-03-28,91.25
28,2020-03-29,KOKBARTL43,58.0,31.3,51,0.3,30.26,2020-03-29,85.06
29,2020-03-30,KOKBARTL43,55.7,34.5,67,0.2,30.26,2020-03-30,64.92
30,2020-03-31,KOKBARTL43,56.3,40.6,76,0.3,30.21,2020-03-31,81.87
