,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KOKSAPUL15,63.5,38.5,71,5.4,29.91,2020-03-01,110.15
1,2020-03-02,KOKSAPUL15,49.7,36.7,81,1.4,29.9,2020-03-02,107.99
2,2020-03-03,KOKSAPUL15,49.0,34.9,73,0.7,29.99,2020-03-03,119.68
3,2020-03-04,KOKSAPUL15,47.8,35.2,72,1.3,30.13,2020-03-04,119.53
4,2020-03-05,KOKSAPUL15,48.5,22.6,61,2.7,30.46,2020-03-05,126.86
5,2020-03-06,KOKSAPUL15,44.1,22.1,60,1.1,30.6,2020-03-06,162.65
6,2020-03-07,KOKSAPUL15,50.0,24.3,54,3.8,30.43,2020-03-07,164.55
7,2020-03-08,KOKSAPUL15,54.5,32.2,71,4.9,30.26,2020-03-08,102.65
8,2020-03-09,KOKSAPUL15,57.6,42.8,87,6.0,30.25,2020-03-09,107.12
9,2020-03-10,KOKSAPUL15,53.0,40.8,78,2.3,30.34,2020-03-10,118.96
10,2020-03-11,KOKSAPUL15,65.4,46.2,79,2.8,30.07,2020-03-11,119.72
11,2020-03-12,KOKSAPUL15,68.3,46.0,67,4.6,30.05,2020-03-12,134.01
12,2020-03-13,KOKSAPUL15,48.8,36.3,78,6.7,30.27,2020-03-13,142.71
13,2020-03-14,KOKSAPUL15,45.5,41.7,96,2.5,30.38,2020-03-14,117.53
14,2020-03-15,KOKSAPUL15,44.7,41.2,96,2.2,30.49,2020-03-15,95.53
15,2020-03-16,KOKSAPUL15,47.7,44.4,99,1.6,30.28,2020-03-16,99.82
16,2020-03-17,KOKSAPUL15,52.5,47.3,96,2.8,30.27,2020-03-17,96.15
17,2020-03-18,KOKSAPUL15,63.0,52.5,95,3.4,30.01,2020-03-18,96.46
18,2020-03-19,KOKSAPUL15,67.1,48.2,88,4.2,29.93,2020-03-19,88.87
19,2020-03-20,KOKSAPUL15,47.3,29.1,75,5.9,30.49,2020-03-20,98.32
20,2020-03-21,KOKSAPUL15,45.1,27.1,69,1.8,30.54,2020-03-21,82.42
21,2020-03-22,KOKSAPUL15,49.0,43.2,98,2.1,30.27,2020-03-22,63.44
22,2020-03-23,KOKSAPUL15,54.9,51.3,98,3.0,30.16,2020-03-23,75.54
23,2020-03-24,KOKSAPUL15,60.3,50.4,87,3.1,29.96,2020-03-24,80.31
24,2020-03-25,KOKSAPUL15,65.5,42.6,73,3.6,29.96,2020-03-25,81.94
25,2020-03-26,KOKSAPUL15,76.7,56.3,67,3.7,29.76,2020-03-26,81.02
26,2020-03-27,KOKSAPUL15,73.5,68.0,89,3.9,29.74,2020-03-27,87.02
27,2020-03-28,KOKSAPUL15,68.3,34.7,64,6.6,29.99,2020-03-28,74.49
28,2020-03-29,KOKSAPUL15,57.6,37.6,63,2.1,30.22,2020-03-29,62.31
29,2020-03-30,KOKSAPUL15,54.2,42.4,87,2.4,30.17,2020-03-30,71.31
30,2020-03-31,KOKSAPUL15,56.7,46.6,83,1.3,30.15,2020-03-31,79.74
31,2020-04-01,KOKSAPUL15,58.8,41.5,74,3.1,30.03,2020-04-01,79.57
32,2020-04-02,KOKSAPUL15,65.3,51.4,76,4.8,29.93,2020-04-02,76.76
33,2020-04-03,KOKSAPUL15,40.3,34.7,98,3.6,30.2,2020-04-03,76.2
