,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KORGRESH97,39.6,32.5,85,0.2,30.44,2020-03-01,100.18
1,2020-03-02,KORGRESH97,43.2,35.8,87,0.9,30.42,2020-03-02,99.72
2,2020-03-03,KORGRESH97,52.0,39.7,76,2.0,30.28,2020-03-03,104.09
3,2020-03-04,KORGRESH97,46.8,34.3,77,0.5,30.33,2020-03-04,114.11
4,2020-03-05,KORGRESH97,47.3,32.2,76,0.7,30.09,2020-03-05,115.56
5,2020-03-06,KORGRESH97,43.4,39.0,92,0.4,30.02,2020-03-06,136.38
6,2020-03-07,KORGRESH97,40.4,34.9,93,0.3,30.02,2020-03-07,128.83
7,2020-03-08,KORGRESH97,39.4,30.4,84,0.3,30.12,2020-03-08,98.9
8,2020-03-09,KORGRESH97,38.6,25.3,81,0.3,30.28,2020-03-09,103.87
9,2020-03-10,KORGRESH97,43.2,27.7,73,0.3,30.29,2020-03-10,110.62
10,2020-03-11,KORGRESH97,44.9,30.2,71,0.7,30.35,2020-03-11,108.58
11,2020-03-12,KORGRESH97,41.6,26.4,73,0.5,30.38,2020-03-12,102.98
12,2020-03-13,KORGRESH97,36.8,30.4,92,0.1,30.11,2020-03-13,98.88
13,2020-03-14,KORGRESH97,35.3,24.1,84,2.0,30.02,2020-03-14,74.85
14,2020-03-15,KORGRESH97,36.7,21.9,59,3.7,30.1,2020-03-15,67.63
15,2020-03-16,KORGRESH97,46.7,23.9,48,2.0,30.16,2020-03-16,74.56
16,2020-03-17,KORGRESH97,48.4,27.5,55,0.9,29.99,2020-03-17,67.44
17,2020-03-18,KORGRESH97,46.2,33.1,73,0.4,29.93,2020-03-18,63.04
18,2020-03-19,KORGRESH97,45.8,29.7,74,0.4,30.13,2020-03-19,64.26
19,2020-03-20,KORGRESH97,49.7,31.6,69,0.7,30.29,2020-03-20,67.08
20,2020-03-21,KORGRESH97,45.6,32.2,75,0.5,30.3,2020-03-21,54.05
21,2020-03-22,KORGRESH97,46.6,25.9,72,0.5,30.19,2020-03-22,43.79
22,2020-03-23,KORGRESH97,44.8,38.3,85,2.1,29.99,2020-03-23,46.5
23,2020-03-24,KORGRESH97,41.7,36.3,91,0.9,30.0,2020-03-24,43.51
24,2020-03-25,KORGRESH97,42.0,33.4,83,0.5,30.1,2020-03-25,43.86
25,2020-03-26,KORGRESH97,43.0,32.9,81,0.7,30.14,2020-03-26,44.13
26,2020-03-27,KORGRESH97,44.1,36.0,90,0.3,30.11,2020-03-27,46.88
27,2020-03-28,KORGRESH97,48.0,43.2,91,0.9,30.11,2020-03-28,37.82
28,2020-03-29,KORGRESH97,51.3,40.8,81,2.5,29.96,2020-03-29,32.96
29,2020-03-30,KORGRESH97,45.8,38.8,88,2.5,29.99,2020-03-30,42.68
30,2020-03-31,KORGRESH97,43.3,34.3,87,1.3,30.11,2020-03-31,44.69
31,2020-04-01,KORGRESH97,42.4,35.8,86,1.4,30.15,2020-04-01,45.02
32,2020-04-02,KORGRESH97,42.8,32.4,87,0.7,30.23,2020-04-02,45.09
33,2020-04-03,KORGRESH97,41.4,35.6,89,0.4,30.22,2020-04-03,50.77
34,2020-04-04,KORGRESH97,44.5,34.2,82,0.8,29.98,2020-04-04,42.05
35,2020-04-05,KORGRESH97,50.4,36.0,67,1.4,29.69,2020-04-05,37.94
36,2020-04-06,KORGRESH97,49.3,33.8,74,0.4,30.09,2020-04-06,45.05
37,2020-04-07,KORGRESH97,49.2,34.0,69,0.8,30.25,2020-04-07,47.69
38,2020-04-08,KORGRESH97,53.4,30.6,65,0.7,30.25,2020-04-08,49.99
39,2020-04-09,KORGRESH97,57.4,35.2,57,1.0,30.13,2020-04-09,52.95
40,2020-04-10,KORGRESH97,54.2,37.0,72,1.0,30.14,2020-04-10,56.63
41,2020-04-11,KORGRESH97,50.6,34.3,67,0.8,30.19,2020-04-11,47.58
42,2020-04-12,KORGRESH97,50.5,13.8,50,1.1,30.25,2020-04-12,36.4
43,2020-04-13,KORGRESH97,50.7,18.9,45,1.0,30.41,2020-04-13,49.34
44,2020-04-14,KORGRESH97,53.7,23.5,50,0.8,30.4,2020-04-14,51.52
45,2020-04-15,KORGRESH97,53.4,41.9,75,0.6,30.32,2020-04-15,54.05
46,2020-04-16,KORGRESH97,54.0,22.6,52,1.3,30.25,2020-04-16,56.42
47,2020-04-17,KORGRESH97,59.0,12.0,34,0.9,30.09,2020-04-17,63.53
48,2020-04-18,KORGRESH97,50.0,35.6,80,0.8,30.07,2020-04-18,49.94
49,2020-04-19,KORGRESH97,53.2,41.5,72,0.7,30.15,2020-04-19,45.67
50,2020-04-20,KORGRESH97,53.4,36.3,70,0.9,30.18,2020-04-20,57.28
51,2020-04-21,KORGRESH97,52.3,43.5,79,0.5,30.34,2020-04-21,53.98
52,2020-04-22,KORGRESH97,52.0,43.2,93,1.0,30.29,2020-04-22,52.5
53,2020-04-23,KORGRESH97,53.2,45.0,85,0.8,30.36,2020-04-23,56.77
54,2020-04-24,KORGRESH97,52.7,45.7,92,0.1,30.24,2020-04-24,61.05
