,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KORLAGRA29,33.3,9.9,60,4.9,29.81,2020-03-01,139.04
1,2020-03-02,KORLAGRA29,41.5,14.9,58,3.1,29.77,2020-03-02,109.27
2,2020-03-03,KORLAGRA29,48.3,18.3,52,3.9,29.75,2020-03-03,122.16
3,2020-03-04,KORLAGRA29,44.9,19.8,47,4.3,29.77,2020-03-04,123.89
4,2020-03-05,KORLAGRA29,38.7,19.4,55,1.9,29.75,2020-03-05,158.25
5,2020-03-06,KORLAGRA29,50.7,24.8,44,4.2,29.51,2020-03-06,184.1
6,2020-03-07,KORLAGRA29,37.5,21.2,75,4.5,29.51,2020-03-07,155.99
7,2020-03-08,KORLAGRA29,36.5,20.5,66,1.2,29.59,2020-03-08,134.59
8,2020-03-09,KORLAGRA29,39.7,10.9,59,1.9,29.81,2020-03-09,127.13
9,2020-03-10,KORLAGRA29,40.2,14.5,55,1.6,29.84,2020-03-10,131.8
10,2020-03-11,KORLAGRA29,44.4,11.1,49,4.2,29.74,2020-03-11,127.51
11,2020-03-12,KORLAGRA29,38.7,7.9,44,4.1,29.82,2020-03-12,133.84
12,2020-03-13,KORLAGRA29,40.9,12.4,45,6.4,29.61,2020-03-13,159.46
13,2020-03-14,KORLAGRA29,31.9,14.9,77,6.8,29.54,2020-03-14,147.55
14,2020-03-15,KORLAGRA29,30.2,15.1,73,3.9,29.65,2020-03-15,142.5
15,2020-03-16,KORLAGRA29,36.2,25.2,74,4.5,29.72,2020-03-16,129.69
16,2020-03-17,KORLAGRA29,40.3,22.3,68,3.0,29.53,2020-03-17,138.96
17,2020-03-18,KORLAGRA29,42.7,22.3,68,2.9,29.45,2020-03-18,132.78
18,2020-03-19,KORLAGRA29,43.7,23.7,61,2.6,29.67,2020-03-19,139.64
19,2020-03-20,KORLAGRA29,44.7,20.1,54,2.4,29.78,2020-03-20,141.37
20,2020-03-21,KORLAGRA29,39.1,13.3,57,1.4,29.76,2020-03-21,124.27
21,2020-03-22,KORLAGRA29,44.6,14.4,45,1.5,29.7,2020-03-22,107.16
22,2020-03-23,KORLAGRA29,43.8,18.3,53,3.7,29.52,2020-03-23,95.1
23,2020-03-24,KORLAGRA29,38.5,11.8,63,1.6,29.52,2020-03-24,96.16
24,2020-03-25,KORLAGRA29,35.8,18.5,74,2.7,29.55,2020-03-25,93.82
25,2020-03-26,KORLAGRA29,38.0,13.8,57,3.3,29.57,2020-03-26,87.34
26,2020-03-27,KORLAGRA29,39.9,20.7,57,2.9,29.62,2020-03-27,95.86
27,2020-03-28,KORLAGRA29,44.4,32.4,75,1.3,29.66,2020-03-28,87.26
28,2020-03-29,KORLAGRA29,45.1,32.0,72,1.6,29.53,2020-03-29,83.27
29,2020-03-30,KORLAGRA29,42.2,26.8,79,2.8,29.55,2020-03-30,85.68
30,2020-03-31,KORLAGRA29,37.4,19.6,78,3.2,29.57,2020-03-31,84.48
31,2020-04-01,KORLAGRA29,34.4,18.9,68,3.1,29.59,2020-04-01,91.41
32,2020-04-02,KORLAGRA29,34.4,18.3,74,1.8,29.7,2020-04-02,84.85
33,2020-04-03,KORLAGRA29,37.4,14.4,55,2.4,29.67,2020-04-03,101.13
34,2020-04-04,KORLAGRA29,40.6,15.3,54,1.8,29.51,2020-04-04,82.89
35,2020-04-05,KORLAGRA29,45.7,28.9,68,2.0,29.26,2020-04-05,69.86
36,2020-04-06,KORLAGRA29,47.6,28.2,62,2.5,29.57,2020-04-06,82.44
37,2020-04-07,KORLAGRA29,49.1,21.9,50,2.9,29.7,2020-04-07,98.19
