,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KPAMEADV16,28.5,4.9,64,3.3,30.25,2020-03-01,106.4
1,2020-03-02,KPAMEADV16,44.4,22.7,82,4.8,29.96,2020-03-02,113.17
2,2020-03-03,KPAMEADV16,44.4,34.7,96,3.2,29.74,2020-03-03,115.07
3,2020-03-04,KPAMEADV16,34.2,29.0,91,2.8,30.09,2020-03-04,113.84
4,2020-03-05,KPAMEADV16,33.9,21.3,81,1.4,30.2,2020-03-05,120.17
5,2020-03-06,KPAMEADV16,33.7,25.3,89,3.4,30.3,2020-03-06,143.2
6,2020-03-07,KPAMEADV16,30.2,21.5,79,3.1,30.56,2020-03-07,139.47
7,2020-03-08,KPAMEADV16,44.2,22.5,52,4.2,30.52,2020-03-08,105.95
8,2020-03-09,KPAMEADV16,55.4,22.7,43,5.7,30.31,2020-03-09,113.84
9,2020-03-10,KPAMEADV16,44.4,30.2,89,5.4,30.24,2020-03-10,113.13
10,2020-03-11,KPAMEADV16,36.0,29.1,92,1.0,30.24,2020-03-11,122.74
11,2020-03-12,KPAMEADV16,45.2,35.9,86,1.2,30.05,2020-03-12,110.38
12,2020-03-13,KPAMEADV16,45.3,25.1,62,5.3,30.3,2020-03-13,128.35
13,2020-03-14,KPAMEADV16,33.4,24.0,75,2.0,30.51,2020-03-14,111.92
14,2020-03-15,KPAMEADV16,34.5,17.8,74,3.7,30.58,2020-03-15,84.64
15,2020-03-16,KPAMEADV16,37.5,13.1,62,2.7,30.55,2020-03-16,93.43
16,2020-03-17,KPAMEADV16,38.4,26.1,88,2.3,30.37,2020-03-17,84.44
17,2020-03-18,KPAMEADV16,38.7,24.7,83,1.4,30.43,2020-03-18,88.64
18,2020-03-19,KPAMEADV16,48.0,42.3,96,1.7,30.21,2020-03-19,77.5
19,2020-03-20,KPAMEADV16,53.3,25.2,91,6.9,30.29,2020-03-20,78.04
20,2020-03-21,KPAMEADV16,27.6,18.2,81,4.3,30.59,2020-03-21,66.93
21,2020-03-22,KPAMEADV16,32.4,15.0,64,1.4,30.65,2020-03-22,55.88
22,2020-03-23,KPAMEADV16,37.7,32.7,98,2.4,30.38,2020-03-23,53.58
23,2020-03-24,KPAMEADV16,36.3,32.1,94,0.6,30.26,2020-03-24,67.08
24,2020-03-25,KPAMEADV16,44.1,33.5,84,1.3,30.01,2020-03-25,64.56
25,2020-03-26,KPAMEADV16,49.3,34.4,80,3.3,30.0,2020-03-26,69.88
26,2020-03-27,KPAMEADV16,46.4,38.8,89,0.9,30.03,2020-03-27,71.71
27,2020-03-28,KPAMEADV16,52.4,41.1,96,0.6,29.98,2020-03-28,56.69
28,2020-03-29,KPAMEADV16,61.8,42.0,76,6.6,29.84,2020-03-29,55.39
29,2020-03-30,KPAMEADV16,43.3,36.2,85,4.0,30.04,2020-03-30,59.37
30,2020-03-31,KPAMEADV16,39.5,33.5,90,1.0,30.04,2020-03-31,66.48
31,2020-04-01,KPAMEADV16,41.9,22.5,73,3.1,30.02,2020-04-01,64.85
32,2020-04-02,KPAMEADV16,41.3,23.0,63,3.4,30.08,2020-04-02,66.5
33,2020-04-03,KPAMEADV16,41.4,22.7,69,2.8,30.06,2020-04-03,75.29
34,2020-04-04,KPAMEADV16,48.6,35.9,77,0.9,30.08,2020-04-04,72.34
35,2020-04-05,KPAMEADV16,45.1,32.0,84,1.9,30.16,2020-04-05,50.83
36,2020-04-06,KPAMEADV16,44.2,18.8,63,0.8,30.21,2020-04-06,72.74
37,2020-04-07,KPAMEADV16,51.6,26.6,71,1.8,30.03,2020-04-07,66.79
38,2020-04-08,KPAMEADV16,51.7,39.8,84,2.1,29.7,2020-04-08,65.54
39,2020-04-09,KPAMEADV16,41.7,27.3,78,4.6,29.59,2020-04-09,72.43
40,2020-04-10,KPAMEADV16,33.7,23.3,75,5.4,29.94,2020-04-10,66.14
41,2020-04-11,KPAMEADV16,40.0,25.4,65,2.7,30.05,2020-04-11,75.16
42,2020-04-12,KPAMEADV16,50.4,29.9,63,3.0,30.02,2020-04-12,46.44
43,2020-04-13,KPAMEADV16,49.3,28.4,89,5.3,30.05,2020-04-13,62.95
44,2020-04-14,KPAMEADV16,36.3,17.0,64,3.3,30.17,2020-04-14,83.83
45,2020-04-15,KPAMEADV16,32.6,20.3,81,3.1,30.13,2020-04-15,71.8
46,2020-04-16,KPAMEADV16,31.4,17.2,77,2.4,30.31,2020-04-16,74.64
47,2020-04-17,KPAMEADV16,30.7,22.3,88,0.5,30.32,2020-04-17,79.41
