,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KPANAZAR4,33.0,13.4,57,2.0,30.18,2020-03-01,100.01
1,2020-03-02,KPANAZAR4,45.5,21.0,59,1.6,30.13,2020-03-02,103.11
2,2020-03-03,KPANAZAR4,49.9,38.6,90,1.2,29.77,2020-03-03,111.67
3,2020-03-04,KPANAZAR4,47.0,29.0,63,5.3,29.9,2020-03-04,114.51
4,2020-03-05,KPANAZAR4,42.7,25.0,55,1.7,30.15,2020-03-05,120.65
5,2020-03-06,KPANAZAR4,37.3,26.2,82,1.8,30.02,2020-03-06,136.78
6,2020-03-07,KPANAZAR4,37.5,15.4,57,5.2,30.42,2020-03-07,133.67
7,2020-03-08,KPANAZAR4,42.7,17.1,50,1.8,30.49,2020-03-08,100.71
8,2020-03-09,KPANAZAR4,52.2,23.1,45,1.6,30.37,2020-03-09,105.9
9,2020-03-10,KPANAZAR4,54.9,32.3,67,1.6,30.23,2020-03-10,107.8
10,2020-03-11,KPANAZAR4,47.2,27.4,59,1.5,30.13,2020-03-11,107.19
11,2020-03-12,KPANAZAR4,43.7,27.6,73,1.2,30.14,2020-03-12,101.47
12,2020-03-13,KPANAZAR4,56.2,22.0,58,4.7,30.14,2020-03-13,112.89
13,2020-03-14,KPANAZAR4,46.1,23.9,47,3.1,30.38,2020-03-14,99.74
14,2020-03-15,KPANAZAR4,44.5,12.4,48,3.1,30.5,2020-03-15,75.09
15,2020-03-16,KPANAZAR4,38.1,13.5,56,3.3,30.57,2020-03-16,83.69
16,2020-03-17,KPANAZAR4,43.0,32.2,85,1.0,30.36,2020-03-17,69.87
17,2020-03-18,KPANAZAR4,46.2,28.2,59,1.7,30.47,2020-03-18,76.32
18,2020-03-19,KPANAZAR4,43.2,36.4,93,1.8,30.32,2020-03-19,66.05
19,2020-03-20,KPANAZAR4,56.4,44.6,86,1.3,30.14,2020-03-20,70.85
20,2020-03-21,KPANAZAR4,44.8,13.4,53,5.1,30.43,2020-03-21,58.75
