,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KPANEWCA30,32.3,12.2,57,4.3,30.38,2020-03-01,105.26
1,2020-03-02,KPANEWCA30,46.6,19.2,70,5.1,30.12,2020-03-02,107.87
2,2020-03-03,KPANEWCA30,47.0,32.9,88,5.6,29.96,2020-03-03,115.54
3,2020-03-04,KPANEWCA30,39.1,27.9,76,5.6,30.25,2020-03-04,113.85
4,2020-03-05,KPANEWCA30,38.0,22.8,67,2.6,30.35,2020-03-05,114.28
5,2020-03-06,KPANEWCA30,35.5,22.6,79,4.7,30.43,2020-03-06,135.09
6,2020-03-07,KPANEWCA30,34.3,21.2,68,4.2,30.69,2020-03-07,131.28
7,2020-03-08,KPANEWCA30,44.0,20.1,48,4.5,30.67,2020-03-08,99.76
8,2020-03-09,KPANEWCA30,56.0,21.4,38,5.6,30.54,2020-03-09,115.8
9,2020-03-10,KPANEWCA30,49.2,32.0,76,6.7,30.43,2020-03-10,111.18
10,2020-03-11,KPANEWCA30,41.3,28.0,79,2.2,30.41,2020-03-11,113.4
11,2020-03-12,KPANEWCA30,52.2,38.3,73,3.5,30.22,2020-03-12,109.62
12,2020-03-13,KPANEWCA30,50.1,22.5,54,10.1,30.49,2020-03-13,117.83
13,2020-03-14,KPANEWCA30,37.1,19.4,60,2.3,30.62,2020-03-14,97.48
14,2020-03-15,KPANEWCA30,38.6,21.2,66,3.5,30.69,2020-03-15,79.76
15,2020-03-16,KPANEWCA30,39.6,17.4,60,4.2,30.65,2020-03-16,91.84
16,2020-03-17,KPANEWCA30,42.0,28.0,79,3.5,30.54,2020-03-17,82.67
17,2020-03-18,KPANEWCA30,43.0,25.9,73,4.6,30.57,2020-03-18,81.26
18,2020-03-19,KPANEWCA30,52.1,44.4,90,3.7,30.38,2020-03-19,77.85
19,2020-03-20,KPANEWCA30,57.8,30.2,84,8.2,30.46,2020-03-20,77.69
20,2020-03-21,KPANEWCA30,31.8,19.8,71,4.1,30.69,2020-03-21,62.23
21,2020-03-22,KPANEWCA30,35.6,17.4,64,5.1,30.73,2020-03-22,57.01
22,2020-03-23,KPANEWCA30,41.2,31.5,84,5.3,30.48,2020-03-23,62.6
23,2020-03-24,KPANEWCA30,39.5,31.8,83,2.6,30.41,2020-03-24,60.84
24,2020-03-25,KPANEWCA30,48.4,35.4,76,3.6,30.19,2020-03-25,64.08
25,2020-03-26,KPANEWCA30,52.8,37.0,69,4.1,30.19,2020-03-26,70.38
26,2020-03-27,KPANEWCA30,52.1,44.1,80,2.2,30.2,2020-03-27,73.29
27,2020-03-28,KPANEWCA30,56.8,45.0,93,2.9,30.16,2020-03-28,55.22
28,2020-03-29,KPANEWCA30,64.9,41.0,69,8.7,30.1,2020-03-29,55.16
29,2020-03-30,KPANEWCA30,47.1,33.3,68,7.5,30.25,2020-03-30,66.1
30,2020-03-31,KPANEWCA30,42.8,35.4,80,2.4,30.24,2020-03-31,63.5
31,2020-04-01,KPANEWCA30,45.0,21.2,70,3.1,30.21,2020-04-01,64.28
32,2020-04-02,KPANEWCA30,43.8,23.9,53,5.3,30.26,2020-04-02,72.29
33,2020-04-03,KPANEWCA30,44.8,18.3,50,4.6,30.23,2020-04-03,74.84
34,2020-04-04,KPANEWCA30,49.2,28.2,63,1.8,30.27,2020-04-04,78.24
35,2020-04-05,KPANEWCA30,50.9,32.4,67,2.7,30.33,2020-04-05,54.74
