,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KRIMIDDL21,26.3,3.7,44,5.5,30.29,2020-03-01,138.13
1,2020-03-02,KRIMIDDL21,40.7,10.2,62,3.0,30.29,2020-03-02,110.64
2,2020-03-03,KRIMIDDL21,48.4,36.7,78,2.2,29.94,2020-03-03,117.55
3,2020-03-04,KRIMIDDL21,46.7,17.6,61,5.8,29.95,2020-03-04,116.45
4,2020-03-05,KRIMIDDL21,41.4,17.6,52,3.9,30.26,2020-03-05,130.7
5,2020-03-06,KRIMIDDL21,40.0,16.5,63,4.5,30.22,2020-03-06,149.33
6,2020-03-07,KRIMIDDL21,35.3,1.9,40,6.8,30.44,2020-03-07,157.98
7,2020-03-08,KRIMIDDL21,39.6,3.8,38,3.4,30.51,2020-03-08,125.92
8,2020-03-09,KRIMIDDL21,47.8,23.9,51,2.2,30.45,2020-03-09,122.55
9,2020-03-10,KRIMIDDL21,48.6,34.3,69,3.5,30.35,2020-03-10,117.18
10,2020-03-11,KRIMIDDL21,47.8,25.5,61,3.6,30.26,2020-03-11,117.56
11,2020-03-12,KRIMIDDL21,40.7,31.8,84,2.1,30.37,2020-03-12,111.42
12,2020-03-13,KRIMIDDL21,48.1,26.4,85,4.8,30.32,2020-03-13,121.54
13,2020-03-14,KRIMIDDL21,44.8,20.5,43,6.4,30.44,2020-03-14,157.43
14,2020-03-15,KRIMIDDL21,40.5,0.2,43,3.2,30.65,2020-03-15,114.68
15,2020-03-16,KRIMIDDL21,32.6,1.3,47,3.0,30.77,2020-03-16,87.93
16,2020-03-17,KRIMIDDL21,40.1,23.2,87,3.0,30.6,2020-03-17,69.88
17,2020-03-18,KRIMIDDL21,40.5,13.1,64,2.2,30.61,2020-03-18,81.96
18,2020-03-19,KRIMIDDL21,42.8,31.6,91,3.5,30.58,2020-03-19,62.81
19,2020-03-20,KRIMIDDL21,45.9,39.2,96,1.7,30.32,2020-03-20,76.13
20,2020-03-21,KRIMIDDL21,44.7,3.9,51,5.5,30.56,2020-03-21,80.44
21,2020-03-22,KRIMIDDL21,31.1,2.7,42,3.3,30.86,2020-03-22,63.95
