,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KSCBLACK7,46.4,23.0,58,2.0,30.34,2020-03-01,83.79
1,2020-03-02,KSCBLACK7,54.6,34.0,77,4.1,30.24,2020-03-02,97.62
2,2020-03-03,KSCBLACK7,62.4,55.0,93,6.9,30.0,2020-03-03,105.13
3,2020-03-04,KSCBLACK7,57.7,53.0,96,1.7,30.11,2020-03-04,98.51
4,2020-03-05,KSCBLACK7,51.0,47.0,96,3.9,30.15,2020-03-05,115.54
5,2020-03-06,KSCBLACK7,51.5,30.0,68,10.3,30.28,2020-03-06,139.26
6,2020-03-07,KSCBLACK7,45.6,28.0,59,3.9,30.5,2020-03-07,119.18
7,2020-03-08,KSCBLACK7,47.3,30.0,65,1.9,30.64,2020-03-08,78.51
8,2020-03-09,KSCBLACK7,55.3,37.0,73,2.5,30.62,2020-03-09,105.5
9,2020-03-10,KSCBLACK7,62.6,51.0,81,3.3,30.48,2020-03-10,104.24
10,2020-03-11,KSCBLACK7,65.3,51.0,78,3.6,30.26,2020-03-11,111.9
11,2020-03-12,KSCBLACK7,66.4,53.0,82,2.6,30.07,2020-03-12,117.62
12,2020-03-13,KSCBLACK7,72.5,61.0,76,4.1,30.22,2020-03-13,125.2
13,2020-03-14,KSCBLACK7,68.3,47.0,67,3.0,30.33,2020-03-14,106.39
14,2020-03-15,KSCBLACK7,62.5,50.0,83,3.3,30.36,2020-03-15,69.29
15,2020-03-16,KSCBLACK7,56.0,46.0,79,3.1,30.41,2020-03-16,92.57
16,2020-03-17,KSCBLACK7,61.5,50.0,84,1.7,30.32,2020-03-17,86.91
17,2020-03-18,KSCBLACK7,64.1,56.0,91,2.8,30.37,2020-03-18,93.53
18,2020-03-19,KSCBLACK7,72.2,61.0,80,4.4,30.32,2020-03-19,93.75
19,2020-03-20,KSCBLACK7,73.5,62.0,75,6.3,30.33,2020-03-20,106.32
20,2020-03-21,KSCBLACK7,72.2,58.0,73,4.0,30.25,2020-03-21,94.87
