,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KSCCHARL1069,48.5,26.0,59,3.5,30.37,2020-03-01,103.24
1,2020-03-02,KSCCHARL1069,59.5,40.0,71,4.0,30.26,2020-03-02,113.96
2,2020-03-03,KSCCHARL1069,65.6,56.0,83,4.6,30.03,2020-03-03,114.23
3,2020-03-04,KSCCHARL1069,60.9,53.0,93,3.3,30.07,2020-03-04,111.55
4,2020-03-05,KSCCHARL1069,53.1,49.0,96,5.8,30.15,2020-03-05,114.18
5,2020-03-06,KSCCHARL1069,54.0,26.0,65,8.7,30.23,2020-03-06,151.29
6,2020-03-07,KSCCHARL1069,48.4,26.0,49,5.9,30.5,2020-03-07,146.54
7,2020-03-08,KSCCHARL1069,51.5,33.0,61,3.8,30.65,2020-03-08,104.24
8,2020-03-09,KSCCHARL1069,59.0,46.0,76,4.2,30.65,2020-03-09,123.74
9,2020-03-10,KSCCHARL1069,64.9,54.0,76,3.0,30.5,2020-03-10,129.28
10,2020-03-11,KSCCHARL1069,67.6,55.0,73,4.2,30.27,2020-03-11,134.13
11,2020-03-12,KSCCHARL1069,67.3,58.0,80,4.3,30.08,2020-03-12,130.39
12,2020-03-13,KSCCHARL1069,71.3,57.0,71,4.8,30.21,2020-03-13,152.42
13,2020-03-14,KSCCHARL1069,65.9,40.0,70,4.2,30.34,2020-03-14,125.91
14,2020-03-15,KSCCHARL1069,63.1,51.0,82,5.3,30.36,2020-03-15,85.98
15,2020-03-16,KSCCHARL1069,57.6,46.0,76,5.0,30.42,2020-03-16,93.44
16,2020-03-17,KSCCHARL1069,63.1,53.0,85,3.3,30.32,2020-03-17,82.97
17,2020-03-18,KSCCHARL1069,63.5,57.0,90,4.6,30.39,2020-03-18,78.09
18,2020-03-19,KSCCHARL1069,70.9,60.0,83,4.2,30.34,2020-03-19,76.4
19,2020-03-20,KSCCHARL1069,72.5,62.0,80,6.3,30.34,2020-03-20,80.48
20,2020-03-21,KSCCHARL1069,74.7,59.0,73,4.7,30.25,2020-03-21,63.28
21,2020-03-22,KSCCHARL1069,60.5,50.0,88,6.3,30.37,2020-03-22,40.91
22,2020-03-23,KSCCHARL1069,58.4,50.0,90,3.7,30.33,2020-03-23,54.22
23,2020-03-24,KSCCHARL1069,65.3,61.0,96,4.3,30.16,2020-03-24,52.76
24,2020-03-25,KSCCHARL1069,71.6,55.0,74,6.0,29.99,2020-03-25,53.91
25,2020-03-26,KSCCHARL1069,59.7,50.0,79,5.0,30.16,2020-03-26,52.64
26,2020-03-27,KSCCHARL1069,70.8,57.0,83,4.6,30.05,2020-03-27,57.91
27,2020-03-28,KSCCHARL1069,73.8,60.0,78,4.8,30.06,2020-03-28,51.14
28,2020-03-29,KSCCHARL1069,74.9,65.0,78,5.1,30.13,2020-03-29,40.17
29,2020-03-30,KSCCHARL1069,75.2,43.0,54,3.5,30.13,2020-03-30,52.44
30,2020-03-31,KSCCHARL1069,65.5,49.0,70,4.8,29.97,2020-03-31,51.15
31,2020-04-01,KSCCHARL1069,56.1,42.0,72,7.7,30.01,2020-04-01,51.79
32,2020-04-02,KSCCHARL1069,58.4,38.0,56,4.7,30.09,2020-04-02,52.25
33,2020-04-03,KSCCHARL1069,63.1,33.0,52,4.0,30.05,2020-04-03,57.39
34,2020-04-04,KSCCHARL1069,65.3,35.0,53,3.8,30.03,2020-04-04,46.94
35,2020-04-05,KSCCHARL1069,65.6,53.0,73,4.6,30.12,2020-04-05,36.07
36,2020-04-06,KSCCHARL1069,68.9,54.0,72,3.6,30.16,2020-04-06,52.22
37,2020-04-07,KSCCHARL1069,73.6,60.0,71,4.6,30.1,2020-04-07,50.7
38,2020-04-08,KSCCHARL1069,75.8,59.0,66,4.4,29.94,2020-04-08,50.49
39,2020-04-09,KSCCHARL1069,77.3,50.0,60,5.2,29.73,2020-04-09,53.31
40,2020-04-10,KSCCHARL1069,66.0,23.0,34,6.8,30.0,2020-04-10,57.05
41,2020-04-11,KSCCHARL1069,60.5,33.0,51,4.6,30.17,2020-04-11,48.41
42,2020-04-12,KSCCHARL1069,69.3,53.0,80,8.7,30.16,2020-04-12,28.89
43,2020-04-13,KSCCHARL1069,73.0,60.0,78,9.0,30.03,2020-04-13,47.43
44,2020-04-14,KSCCHARL1069,71.6,57.0,73,4.4,30.06,2020-04-14,56.44
45,2020-04-15,KSCCHARL1069,63.4,47.0,90,5.3,30.12,2020-04-15,53.76
46,2020-04-16,KSCCHARL1069,61.4,32.0,49,4.0,30.31,2020-04-16,60.22
47,2020-04-17,KSCCHARL1069,66.0,46.0,63,5.3,30.32,2020-04-17,68.13
48,2020-04-18,KSCCHARL1069,72.6,50.0,70,4.7,30.08,2020-04-18,60.1
49,2020-04-19,KSCCHARL1069,67.0,52.0,78,3.7,30.01,2020-04-19,39.46
50,2020-04-20,KSCCHARL1069,65.7,52.0,81,6.4,29.88,2020-04-20,58.48
51,2020-04-21,KSCCHARL1069,69.0,44.0,59,4.4,29.92,2020-04-21,65.85
52,2020-04-22,KSCCHARL1069,65.4,35.0,49,5.1,30.14,2020-04-22,65.43
53,2020-04-23,KSCCHARL1069,67.9,55.0,81,6.0,30.12,2020-04-23,61.37
54,2020-04-24,KSCCHARL1069,70.3,61.0,84,4.6,29.85,2020-04-24,73.88
55,2020-04-25,KSCCHARL1069,74.0,56.0,70,5.5,29.95,2020-04-25,67.37
56,2020-04-26,KSCCHARL1069,72.8,42.0,57,5.5,29.99,2020-04-26,53.57
57,2020-04-27,KSCCHARL1069,63.5,38.0,49,7.9,30.16,2020-04-27,69.03
58,2020-04-28,KSCCHARL1069,72.1,43.0,51,5.9,30.25,2020-04-28,71.31
59,2020-04-29,KSCCHARL1069,73.2,59.0,70,10.5,30.14,2020-04-29,74.03
60,2020-04-30,KSCCHARL1069,69.4,50.0,74,7.0,29.91,2020-04-30,72.73
61,2020-05-01,KSCCHARL1069,64.5,43.0,57,5.2,30.07,2020-05-01,86.08
62,2020-05-02,KSCCHARL1069,66.1,47.0,64,3.8,30.22,2020-05-02,78.46
63,2020-05-03,KSCCHARL1069,73.5,50.0,66,4.5,30.15,2020-05-03,62.46
64,2020-05-04,KSCCHARL1069,78.4,57.0,59,5.0,29.96,2020-05-04,80.59
65,2020-05-05,KSCCHARL1069,78.0,59.0,69,4.4,29.93,2020-05-05,84.39
66,2020-05-06,KSCCHARL1069,73.1,43.0,61,5.9,29.95,2020-05-06,85.33
67,2020-05-07,KSCCHARL1069,61.4,29.0,44,6.3,30.12,2020-05-07,89.18
68,2020-05-08,KSCCHARL1069,64.9,40.0,58,5.0,30.11,2020-05-08,97.9
69,2020-05-09,KSCCHARL1069,63.3,35.0,51,6.6,30.24,2020-05-09,93.97
70,2020-05-10,KSCCHARL1069,64.0,43.0,63,4.0,30.29,2020-05-10,68.21
71,2020-05-11,KSCCHARL1069,68.6,33.0,54,5.2,30.15,2020-05-11,68.21
72,2020-05-12,KSCCHARL1069,61.2,35.0,48,4.7,30.32,2020-05-12,68.21
73,2020-05-13,KSCCHARL1069,66.7,49.0,64,4.8,30.34,2020-05-13,99.29
74,2020-05-14,KSCCHARL1069,71.3,54.0,69,4.7,30.35,2020-05-14,105.06
75,2020-05-15,KSCCHARL1069,72.4,57.0,75,4.2,30.27,2020-05-15,122.79
76,2020-05-16,KSCCHARL1069,74.3,60.0,75,5.4,30.11,2020-05-16,131.57
77,2020-05-17,KSCCHARL1069,75.1,67.0,82,5.7,30.03,2020-05-17,99.9
78,2020-05-18,KSCCHARL1069,76.0,67.0,81,4.9,29.94,2020-05-18,110.07
79,2020-05-19,KSCCHARL1069,76.0,66.0,79,5.7,29.89,2020-05-19,111.98
80,2020-05-20,KSCCHARL1069,72.7,66.0,91,3.8,29.97,2020-05-20,116.23
81,2020-05-21,KSCCHARL1069,76.1,68.0,84,4.2,30.09,2020-05-21,120.18
82,2020-05-22,KSCCHARL1069,74.9,69.0,87,4.4,30.14,2020-05-22,150.34
83,2020-05-23,KSCCHARL1069,77.5,65.0,78,4.2,30.15,2020-05-23,157.54
84,2020-05-24,KSCCHARL1069,80.2,67.0,77,2.8,30.11,2020-05-24,127.68
85,2020-05-25,KSCCHARL1069,75.3,68.0,87,6.0,30.14,2020-05-25,112.36
86,2020-05-26,KSCCHARL1069,72.3,67.0,90,5.4,30.11,2020-05-26,118.86
