,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KSCGAFFN39,43.2,16.2,47,1.0,29.5,2020-03-01,132.89
1,2020-03-02,KSCGAFFN39,50.9,30.1,62,1.5,29.36,2020-03-02,112.31
2,2020-03-03,KSCGAFFN39,55.3,49.9,96,1.0,29.14,2020-03-03,124.89
3,2020-03-04,KSCGAFFN39,53.4,35.7,74,0.7,29.25,2020-03-04,113.99
4,2020-03-05,KSCGAFFN39,49.3,43.1,94,0.5,29.32,2020-03-05,121.75
5,2020-03-06,KSCGAFFN39,44.6,23.9,76,2.7,29.43,2020-03-06,164.05
6,2020-03-07,KSCGAFFN39,44.8,17.5,46,2.3,29.68,2020-03-07,157.8
7,2020-03-08,KSCGAFFN39,48.2,23.6,48,1.3,29.8,2020-03-08,135.21
8,2020-03-09,KSCGAFFN39,53.4,30.2,62,1.4,29.77,2020-03-09,117.89
9,2020-03-10,KSCGAFFN39,59.1,45.1,78,1.6,29.6,2020-03-10,122.95
10,2020-03-11,KSCGAFFN39,62.7,46.0,73,1.4,29.38,2020-03-11,122.9
11,2020-03-12,KSCGAFFN39,60.8,46.8,78,0.7,29.22,2020-03-12,123.21
12,2020-03-13,KSCGAFFN39,69.1,43.3,69,1.9,29.39,2020-03-13,164.47
13,2020-03-14,KSCGAFFN39,62.1,29.3,42,0.8,29.54,2020-03-14,128.91
14,2020-03-15,KSCGAFFN39,56.6,41.3,68,1.7,29.56,2020-03-15,107.35
15,2020-03-16,KSCGAFFN39,50.9,40.9,74,1.4,29.6,2020-03-16,117.17
16,2020-03-17,KSCGAFFN39,55.6,45.6,88,0.8,29.49,2020-03-17,99.55
17,2020-03-18,KSCGAFFN39,59.1,50.3,88,0.8,29.57,2020-03-18,94.12
18,2020-03-19,KSCGAFFN39,67.3,56.7,83,1.2,29.47,2020-03-19,122.95
19,2020-03-20,KSCGAFFN39,73.1,56.5,68,2.1,29.42,2020-03-20,110.16
20,2020-03-21,KSCGAFFN39,70.5,45.5,63,1.4,29.43,2020-03-21,94.77
21,2020-03-22,KSCGAFFN39,56.6,43.2,69,2.1,29.59,2020-03-22,65.05
22,2020-03-23,KSCGAFFN39,50.3,46.5,95,0.8,29.53,2020-03-23,117.99
23,2020-03-24,KSCGAFFN39,54.0,50.9,98,1.0,29.34,2020-03-24,82.96
24,2020-03-25,KSCGAFFN39,63.3,46.5,69,1.6,29.17,2020-03-25,88.32
25,2020-03-26,KSCGAFFN39,56.0,46.7,80,0.9,29.32,2020-03-26,91.73
26,2020-03-27,KSCGAFFN39,69.5,51.2,73,1.4,29.16,2020-03-27,103.41
