,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KSCORANG20,45.5,16.1,57,1.2,30.35,2020-03-01,130.81
1,2020-03-02,KSCORANG20,55.3,31.2,74,1.9,30.25,2020-03-02,125.45
2,2020-03-03,KSCORANG20,62.9,56.0,91,2.7,30.01,2020-03-03,110.96
3,2020-03-04,KSCORANG20,57.6,49.5,96,0.8,30.09,2020-03-04,117.42
4,2020-03-05,KSCORANG20,51.1,47.6,97,2.9,30.15,2020-03-05,129.93
5,2020-03-06,KSCORANG20,52.4,23.5,62,4.5,30.27,2020-03-06,188.78
6,2020-03-07,KSCORANG20,45.3,22.5,55,2.8,30.5,2020-03-07,176.64
7,2020-03-08,KSCORANG20,47.2,21.9,62,1.2,30.64,2020-03-08,144.78
8,2020-03-09,KSCORANG20,55.7,37.6,69,1.9,30.62,2020-03-09,132.16
9,2020-03-10,KSCORANG20,62.8,51.8,78,1.4,30.48,2020-03-10,118.2
10,2020-03-11,KSCORANG20,64.9,51.5,76,1.4,30.24,2020-03-11,125.03
11,2020-03-12,KSCORANG20,67.0,53.1,76,1.4,30.05,2020-03-12,142.46
12,2020-03-13,KSCORANG20,73.3,59.3,69,2.0,30.21,2020-03-13,190.46
13,2020-03-14,KSCORANG20,67.1,40.6,60,2.4,30.33,2020-03-14,166.22
14,2020-03-15,KSCORANG20,61.9,47.9,76,2.6,30.37,2020-03-15,144.12
15,2020-03-16,KSCORANG20,55.5,44.1,73,2.3,30.42,2020-03-16,122.52
16,2020-03-17,KSCORANG20,60.8,47.8,81,0.8,30.32,2020-03-17,111.66
17,2020-03-18,KSCORANG20,63.4,57.4,91,1.7,30.36,2020-03-18,112.23
18,2020-03-19,KSCORANG20,73.0,61.2,72,3.1,30.32,2020-03-19,116.87
19,2020-03-20,KSCORANG20,74.2,60.5,73,2.9,30.32,2020-03-20,125.9
20,2020-03-21,KSCORANG20,72.6,55.7,72,1.8,30.24,2020-03-21,115.06
21,2020-03-22,KSCORANG20,57.5,49.2,85,3.2,30.38,2020-03-22,77.25
22,2020-03-23,KSCORANG20,53.8,48.9,97,1.5,30.33,2020-03-23,78.16
23,2020-03-24,KSCORANG20,61.7,58.7,99,1.8,30.13,2020-03-24,75.8
24,2020-03-25,KSCORANG20,67.8,53.4,77,3.4,29.96,2020-03-25,79.36
25,2020-03-26,KSCORANG20,59.8,46.7,76,2.4,30.16,2020-03-26,83.54
26,2020-03-27,KSCORANG20,68.7,55.7,82,1.7,30.03,2020-03-27,94.26
27,2020-03-28,KSCORANG20,73.5,61.2,78,2.1,30.02,2020-03-28,89.73
28,2020-03-29,KSCORANG20,74.9,62.8,77,2.2,30.1,2020-03-29,63.23
29,2020-03-30,KSCORANG20,71.7,42.4,57,0.8,30.07,2020-03-30,73.91
30,2020-03-31,KSCORANG20,59.6,36.8,75,2.7,29.96,2020-03-31,70.92
31,2020-04-01,KSCORANG20,54.4,39.1,74,2.8,30.01,2020-04-01,69.58
32,2020-04-02,KSCORANG20,54.4,35.1,65,2.0,30.1,2020-04-02,76.6
33,2020-04-03,KSCORANG20,63.0,28.7,58,1.6,30.06,2020-04-03,80.6
34,2020-04-04,KSCORANG20,62.9,34.2,61,1.4,30.02,2020-04-04,74.48
35,2020-04-05,KSCORANG20,64.7,41.5,67,1.6,30.1,2020-04-05,52.58
36,2020-04-06,KSCORANG20,67.3,49.9,73,1.6,30.15,2020-04-06,70.88
37,2020-04-07,KSCORANG20,70.6,57.4,73,1.7,30.07,2020-04-07,66.61
38,2020-04-08,KSCORANG20,71.3,58.2,76,1.9,29.93,2020-04-08,67.96
39,2020-04-09,KSCORANG20,75.3,40.0,61,3.6,29.71,2020-04-09,70.52
40,2020-04-10,KSCORANG20,63.4,12.5,34,4.0,29.99,2020-04-10,75.24
41,2020-04-11,KSCORANG20,61.8,29.0,41,2.8,30.17,2020-04-11,68.09
42,2020-04-12,KSCORANG20,71.2,56.8,83,6.4,30.12,2020-04-12,44.9
43,2020-04-13,KSCORANG20,76.4,50.7,65,5.0,30.02,2020-04-13,81.65
44,2020-04-14,KSCORANG20,74.8,54.7,63,1.8,30.07,2020-04-14,82.92
45,2020-04-15,KSCORANG20,60.4,39.0,69,4.1,30.11,2020-04-15,77.84
46,2020-04-16,KSCORANG20,64.0,28.8,38,3.1,30.29,2020-04-16,80.64
47,2020-04-17,KSCORANG20,66.5,39.2,59,3.8,30.32,2020-04-17,100.49
48,2020-04-18,KSCORANG20,68.5,40.3,71,3.4,30.05,2020-04-18,86.85
49,2020-04-19,KSCORANG20,60.3,46.7,83,1.0,30.04,2020-04-19,54.68
50,2020-04-20,KSCORANG20,62.0,49.6,80,3.0,29.86,2020-04-20,85.43
51,2020-04-21,KSCORANG20,69.9,45.0,54,3.4,29.91,2020-04-21,86.35
52,2020-04-22,KSCORANG20,62.1,34.0,57,1.5,30.13,2020-04-22,84.95
53,2020-04-23,KSCORANG20,61.7,50.8,89,2.2,30.12,2020-04-23,81.91
54,2020-04-24,KSCORANG20,70.6,55.6,74,2.2,29.85,2020-04-24,107.82
55,2020-04-25,KSCORANG20,70.7,54.0,71,2.6,29.94,2020-04-25,96.56
56,2020-04-26,KSCORANG20,67.5,40.9,62,3.8,29.99,2020-04-26,75.96
57,2020-04-27,KSCORANG20,59.7,30.8,57,3.0,30.18,2020-04-27,94.42
58,2020-04-28,KSCORANG20,69.5,42.5,52,2.6,30.23,2020-04-28,96.98
59,2020-04-29,KSCORANG20,70.3,52.9,70,5.8,30.11,2020-04-29,96.81
60,2020-04-30,KSCORANG20,63.8,49.3,79,3.5,29.87,2020-04-30,100.13
