,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KSDPIEDM19,32.0,16.5,66,11.0,29.97,2020-03-01,139.93
1,2020-03-02,KSDPIEDM19,34.2,12.6,59,7.8,29.91,2020-03-02,124.12
2,2020-03-03,KSDPIEDM19,37.3,21.6,67,7.9,29.9,2020-03-03,122.65
3,2020-03-04,KSDPIEDM19,42.7,16.0,55,9.9,30.06,2020-03-04,132.43
4,2020-03-05,KSDPIEDM19,37.3,9.9,44,12.0,30.3,2020-03-05,142.35
5,2020-03-06,KSDPIEDM19,47.0,14.0,44,4.4,30.17,2020-03-06,178.46
6,2020-03-07,KSDPIEDM19,57.3,15.3,31,3.4,29.85,2020-03-07,166.69
7,2020-03-08,KSDPIEDM19,40.3,24.8,67,13.6,30.04,2020-03-08,122.13
8,2020-03-09,KSDPIEDM19,35.0,22.6,75,3.3,30.04,2020-03-09,122.87
9,2020-03-10,KSDPIEDM19,38.1,23.9,74,3.4,30.09,2020-03-10,117.06
10,2020-03-11,KSDPIEDM19,47.7,18.7,48,4.9,29.9,2020-03-11,142.72
11,2020-03-12,KSDPIEDM19,33.1,14.0,69,15.5,30.09,2020-03-12,145.22
12,2020-03-13,KSDPIEDM19,30.3,13.3,74,5.5,30.18,2020-03-13,172.5
13,2020-03-14,KSDPIEDM19,28.5,24.1,93,13.4,30.2,2020-03-14,118.31
14,2020-03-15,KSDPIEDM19,33.8,25.9,83,11.4,30.19,2020-03-15,143.68
15,2020-03-16,KSDPIEDM19,25.6,20.1,88,9.6,30.21,2020-03-16,119.19
16,2020-03-17,KSDPIEDM19,35.7,20.8,77,6.6,30.16,2020-03-17,113.38
17,2020-03-18,KSDPIEDM19,36.1,22.1,80,7.5,29.94,2020-03-18,118.16
18,2020-03-19,KSDPIEDM19,26.3,11.7,92,12.0,30.39,2020-03-19,104.63
19,2020-03-20,KSDPIEDM19,18.4,1.5,74,11.6,30.45,2020-03-20,108.53
20,2020-03-21,KSDPIEDM19,33.8,11.8,63,1.5,30.13,2020-03-21,110.88
21,2020-03-22,KSDPIEDM19,34.3,19.8,75,3.7,29.99,2020-03-22,83.97
22,2020-03-23,KSDPIEDM19,43.0,14.0,61,4.3,29.98,2020-03-23,101.91
23,2020-03-24,KSDPIEDM19,48.8,18.5,46,8.9,29.8,2020-03-24,91.76
