,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KTNCOLUM55,49.9,24.6,62,2.9,30.23,2020-03-01,97.93
1,2020-03-02,KTNCOLUM55,55.2,47.6,99,4.1,30.06,2020-03-02,109.36
2,2020-03-03,KTNCOLUM55,61.5,41.5,77,1.8,30.0,2020-03-03,124.11
3,2020-03-04,KTNCOLUM55,53.2,36.8,71,0.6,30.11,2020-03-04,114.29
4,2020-03-05,KTNCOLUM55,54.2,33.4,59,0.6,30.14,2020-03-05,117.2
5,2020-03-06,KTNCOLUM55,47.2,22.5,49,1.9,30.51,2020-03-06,140.57
6,2020-03-07,KTNCOLUM55,39.6,24.0,66,0.5,30.6,2020-03-07,132.8
7,2020-03-08,KTNCOLUM55,46.2,27.5,61,2.3,30.54,2020-03-08,96.25
8,2020-03-09,KTNCOLUM55,59.0,31.8,58,5.0,30.47,2020-03-09,117.55
9,2020-03-10,KTNCOLUM55,61.1,48.6,87,3.0,30.25,2020-03-10,120.88
10,2020-03-11,KTNCOLUM55,53.5,44.1,96,0.3,30.24,2020-03-11,113.98
11,2020-03-12,KTNCOLUM55,63.6,56.0,92,2.5,30.01,2020-03-12,104.96
12,2020-03-13,KTNCOLUM55,56.9,33.7,61,1.5,30.36,2020-03-13,130.48
13,2020-03-14,KTNCOLUM55,57.0,33.4,76,1.4,30.37,2020-03-14,121.62
14,2020-03-15,KTNCOLUM55,43.7,40.4,97,1.0,30.47,2020-03-15,79.79
15,2020-03-16,KTNCOLUM55,44.9,40.3,97,0.2,30.42,2020-03-16,94.68
16,2020-03-17,KTNCOLUM55,53.0,50.8,99,0.3,30.31,2020-03-17,89.1
17,2020-03-18,KTNCOLUM55,58.0,49.9,94,1.7,30.27,2020-03-18,86.62
18,2020-03-19,KTNCOLUM55,70.7,56.5,86,4.1,30.19,2020-03-19,89.94
19,2020-03-20,KTNCOLUM55,65.4,49.5,94,4.0,30.35,2020-03-20,94.87
20,2020-03-21,KTNCOLUM55,45.8,37.3,93,0.8,30.47,2020-03-21,86.4
21,2020-03-22,KTNCOLUM55,45.3,37.5,93,0.6,30.4,2020-03-22,57.79
22,2020-03-23,KTNCOLUM55,55.9,51.7,97,0.6,30.18,2020-03-23,69.22
23,2020-03-24,KTNCOLUM55,56.9,49.3,99,1.0,30.13,2020-03-24,64.66
24,2020-03-25,KTNCOLUM55,54.0,48.6,91,0.5,30.06,2020-03-25,73.41
25,2020-03-26,KTNCOLUM55,62.7,42.0,76,2.9,30.01,2020-03-26,85.18
26,2020-03-27,KTNCOLUM55,75.5,59.6,69,3.6,29.92,2020-03-27,88.97
27,2020-03-28,KTNCOLUM55,77.5,64.3,70,5.0,29.95,2020-03-28,79.63
28,2020-03-29,KTNCOLUM55,66.3,36.3,65,2.2,30.21,2020-03-29,68.58
29,2020-03-30,KTNCOLUM55,56.6,39.6,68,0.1,30.27,2020-03-30,74.06
30,2020-03-31,KTNCOLUM55,49.2,40.3,92,1.0,30.07,2020-03-31,64.4
31,2020-04-01,KTNCOLUM55,46.4,34.4,79,0.6,30.13,2020-04-01,74.65
32,2020-04-02,KTNCOLUM55,53.3,35.5,69,0.6,30.22,2020-04-02,75.46
33,2020-04-03,KTNCOLUM55,60.4,41.3,61,0.5,30.13,2020-04-03,76.17
34,2020-04-04,KTNCOLUM55,65.9,45.2,59,0.4,30.09,2020-04-04,69.39
35,2020-04-05,KTNCOLUM55,64.0,49.2,73,0.4,30.13,2020-04-05,58.0
36,2020-04-06,KTNCOLUM55,67.2,50.6,71,0.7,30.16,2020-04-06,72.44
37,2020-04-07,KTNCOLUM55,68.7,57.7,82,2.3,30.06,2020-04-07,68.48
38,2020-04-08,KTNCOLUM55,71.8,60.9,84,2.1,29.94,2020-04-08,70.88
39,2020-04-09,KTNCOLUM55,62.4,31.7,60,1.4,29.99,2020-04-09,79.98
40,2020-04-10,KTNCOLUM55,48.9,21.1,46,1.5,30.2,2020-04-10,83.11
41,2020-04-11,KTNCOLUM55,53.5,30.1,57,1.5,30.14,2020-04-11,76.08
42,2020-04-12,KTNCOLUM55,56.4,37.9,92,2.2,30.0,2020-04-12,39.86
43,2020-04-13,KTNCOLUM55,51.3,38.3,88,2.2,30.22,2020-04-13,74.36
44,2020-04-14,KTNCOLUM55,42.2,30.5,79,1.0,30.27,2020-04-14,77.29
45,2020-04-15,KTNCOLUM55,45.0,23.6,63,0.7,30.23,2020-04-15,82.9
46,2020-04-16,KTNCOLUM55,52.6,30.3,57,0.9,30.38,2020-04-16,86.76
47,2020-04-17,KTNCOLUM55,69.5,37.2,42,5.5,30.23,2020-04-17,97.92
48,2020-04-18,KTNCOLUM55,49.6,36.0,77,1.3,30.22,2020-04-18,90.21
49,2020-04-19,KTNCOLUM55,54.3,39.0,91,0.4,30.02,2020-04-19,67.51
50,2020-04-20,KTNCOLUM55,60.2,45.2,72,0.8,29.9,2020-04-20,89.15
