,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KTNDECHE3,50.8,25.0,54,0.9,30.27,2020-03-01,110.86
1,2020-03-02,KTNDECHE3,54.8,39.0,88,1.1,30.08,2020-03-02,100.07
2,2020-03-03,KTNDECHE3,62.3,43.0,74,2.8,29.95,2020-03-03,110.14
3,2020-03-04,KTNDECHE3,55.1,37.0,68,0.1,30.06,2020-03-04,112.34
4,2020-03-05,KTNDECHE3,53.2,39.0,70,0.5,30.1,2020-03-05,110.58
5,2020-03-06,KTNDECHE3,46.1,25.0,54,5.2,30.48,2020-03-06,134.93
6,2020-03-07,KTNDECHE3,40.6,24.0,64,1.0,30.58,2020-03-07,152.41
7,2020-03-08,KTNDECHE3,50.3,28.0,53,0.7,30.57,2020-03-08,112.19
8,2020-03-09,KTNDECHE3,58.6,30.0,57,1.1,30.48,2020-03-09,118.67
9,2020-03-10,KTNDECHE3,59.7,48.0,86,0.9,30.28,2020-03-10,111.22
10,2020-03-11,KTNDECHE3,59.7,51.0,88,0.7,30.19,2020-03-11,118.88
11,2020-03-12,KTNDECHE3,64.9,55.0,84,1.0,29.99,2020-03-12,104.75
12,2020-03-13,KTNDECHE3,58.8,38.0,66,2.6,30.3,2020-03-13,125.4
13,2020-03-14,KTNDECHE3,57.6,38.0,76,0.5,30.31,2020-03-14,117.84
14,2020-03-15,KTNDECHE3,47.6,41.0,93,2.3,30.41,2020-03-15,80.86
15,2020-03-16,KTNDECHE3,50.6,41.0,94,0.2,30.38,2020-03-16,89.35
16,2020-03-17,KTNDECHE3,56.9,52.0,94,0.6,30.26,2020-03-17,90.97
17,2020-03-18,KTNDECHE3,63.6,49.0,84,0.9,30.24,2020-03-18,96.01
18,2020-03-19,KTNDECHE3,71.1,61.0,76,0.9,30.18,2020-03-19,98.42
19,2020-03-20,KTNDECHE3,66.5,56.0,86,1.2,30.22,2020-03-20,91.62
20,2020-03-21,KTNDECHE3,48.0,38.0,89,3.1,30.43,2020-03-21,96.98
21,2020-03-22,KTNDECHE3,52.5,38.0,80,0.5,30.38,2020-03-22,67.66
22,2020-03-23,KTNDECHE3,57.4,53.0,94,1.1,30.16,2020-03-23,69.17
23,2020-03-24,KTNDECHE3,60.1,53.0,95,0.9,30.09,2020-03-24,70.97
24,2020-03-25,KTNDECHE3,55.7,47.0,84,1.2,30.0,2020-03-25,81.98
25,2020-03-26,KTNDECHE3,63.2,43.0,68,0.7,30.03,2020-03-26,91.26
26,2020-03-27,KTNDECHE3,74.0,55.0,67,1.8,29.91,2020-03-27,109.17
27,2020-03-28,KTNDECHE3,73.9,61.0,70,0.8,29.93,2020-03-28,104.68
28,2020-03-29,KTNDECHE3,67.6,40.0,64,3.0,30.17,2020-03-29,78.99
29,2020-03-30,KTNDECHE3,58.2,37.0,61,0.4,30.22,2020-03-30,78.85
30,2020-03-31,KTNDECHE3,50.1,38.0,82,2.6,30.01,2020-03-31,68.35
31,2020-04-01,KTNDECHE3,47.5,36.0,70,1.3,30.11,2020-04-01,77.55
32,2020-04-02,KTNDECHE3,50.5,34.0,69,0.2,30.19,2020-04-02,93.99
33,2020-04-03,KTNDECHE3,57.8,36.0,63,0.3,30.12,2020-04-03,88.45
34,2020-04-04,KTNDECHE3,64.5,45.0,59,0.2,30.05,2020-04-04,77.41
