,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KTNNORRI2,41.9,13.6,59,0.5,30.3,2020-03-01,99.33
1,2020-03-02,KTNNORRI2,50.1,25.5,48,0.3,30.09,2020-03-02,109.91
2,2020-03-03,KTNNORRI2,57.1,28.9,51,1.1,29.92,2020-03-03,124.52
3,2020-03-04,KTNNORRI2,50.4,22.3,55,0.4,30.04,2020-03-04,123.01
4,2020-03-05,KTNNORRI2,50.1,32.7,68,0.7,30.08,2020-03-05,126.44
5,2020-03-06,KTNNORRI2,42.4,26.2,61,1.6,30.41,2020-03-06,146.18
6,2020-03-07,KTNNORRI2,40.1,26.4,63,0.8,30.56,2020-03-07,140.18
7,2020-03-08,KTNNORRI2,46.0,16.5,53,1.0,30.58,2020-03-08,104.54
8,2020-03-09,KTNNORRI2,54.8,30.0,58,1.7,30.51,2020-03-09,131.06
9,2020-03-10,KTNNORRI2,56.8,30.2,48,0.7,30.3,2020-03-10,117.79
10,2020-03-11,KTNNORRI2,58.9,29.7,55,0.6,30.16,2020-03-11,121.57
11,2020-03-12,KTNNORRI2,56.5,27.5,57,0.5,29.98,2020-03-12,124.05
12,2020-03-13,KTNNORRI2,61.1,29.7,52,0.7,30.29,2020-03-13,134.39
13,2020-03-14,KTNNORRI2,50.6,28.4,54,0.1,30.3,2020-03-14,112.84
14,2020-03-15,KTNNORRI2,44.9,26.6,64,0.1,30.39,2020-03-15,85.87
15,2020-03-16,KTNNORRI2,47.7,23.2,54,0.0,30.37,2020-03-16,98.22
16,2020-03-17,KTNNORRI2,55.4,27.3,40,0.1,30.27,2020-03-17,90.95
17,2020-03-18,KTNNORRI2,59.7,26.4,43,0.1,30.27,2020-03-18,98.13
18,2020-03-19,KTNNORRI2,68.6,28.6,49,1.0,30.18,2020-03-19,99.03
19,2020-03-20,KTNNORRI2,65.5,27.3,44,0.3,30.17,2020-03-20,101.61
20,2020-03-21,KTNNORRI2,49.8,27.5,61,0.8,30.41,2020-03-21,85.84
21,2020-03-22,KTNNORRI2,48.4,25.7,68,0.1,30.39,2020-03-22,64.29
22,2020-03-23,KTNNORRI2,55.3,24.8,41,0.2,30.23,2020-03-23,69.97
23,2020-03-24,KTNNORRI2,54.5,24.1,34,0.0,30.1,2020-03-24,66.09
24,2020-03-25,KTNNORRI2,56.2,26.1,58,0.4,29.96,2020-03-25,73.21
25,2020-03-26,KTNNORRI2,60.8,21.0,52,1.6,30.01,2020-03-26,84.91
26,2020-03-27,KTNNORRI2,70.7,52.5,67,2.3,29.89,2020-03-27,98.5
27,2020-03-28,KTNNORRI2,72.2,50.0,68,1.6,29.89,2020-03-28,84.19
28,2020-03-29,KTNNORRI2,69.1,34.2,49,1.5,30.04,2020-03-29,64.12
29,2020-03-30,KTNNORRI2,60.6,35.6,49,0.4,30.16,2020-03-30,80.01
30,2020-03-31,KTNNORRI2,48.8,28.9,63,0.3,29.97,2020-03-31,64.75
31,2020-04-01,KTNNORRI2,44.9,30.2,75,0.0,30.07,2020-04-01,75.41
32,2020-04-02,KTNNORRI2,47.3,20.5,58,0.2,30.17,2020-04-02,78.33
33,2020-04-03,KTNNORRI2,54.7,24.4,54,0.2,30.11,2020-04-03,84.02
34,2020-04-04,KTNNORRI2,60.6,39.4,57,0.2,30.04,2020-04-04,75.63
35,2020-04-05,KTNNORRI2,63.2,35.8,60,0.2,30.02,2020-04-05,57.83
36,2020-04-06,KTNNORRI2,64.4,32.2,59,0.2,30.08,2020-04-06,72.51
37,2020-04-07,KTNNORRI2,67.4,31.8,56,1.0,30.0,2020-04-07,74.43
38,2020-04-08,KTNNORRI2,68.3,44.6,68,1.0,29.83,2020-04-08,75.77
39,2020-04-09,KTNNORRI2,62.7,30.4,50,0.4,29.77,2020-04-09,78.32
40,2020-04-10,KTNNORRI2,47.3,21.9,49,0.4,30.05,2020-04-10,88.19
41,2020-04-11,KTNNORRI2,50.6,13.8,50,0.2,30.14,2020-04-11,83.11
42,2020-04-12,KTNNORRI2,53.3,33.4,57,0.1,29.99,2020-04-12,39.71
