,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KTXBIGSP19,63.2,31.1,42,8.1,29.81,2020-03-01,88.53
1,2020-03-02,KTXBIGSP19,63.3,32.9,37,4.8,29.81,2020-03-02,109.09
2,2020-03-03,KTXBIGSP19,57.7,39.7,67,4.3,29.83,2020-03-03,113.09
3,2020-03-04,KTXBIGSP19,47.2,38.6,90,7.1,30.2,2020-03-04,101.82
4,2020-03-05,KTXBIGSP19,52.0,35.2,68,4.6,30.44,2020-03-05,114.67
5,2020-03-06,KTXBIGSP19,54.2,27.7,51,6.5,30.51,2020-03-06,138.54
6,2020-03-07,KTXBIGSP19,59.4,30.4,43,9.4,30.32,2020-03-07,115.61
7,2020-03-08,KTXBIGSP19,57.2,39.2,76,11.8,30.05,2020-03-08,92.28
8,2020-03-09,KTXBIGSP19,64.0,36.1,59,6.7,30.13,2020-03-09,110.53
9,2020-03-10,KTXBIGSP19,66.7,38.1,68,5.5,30.17,2020-03-10,122.43
10,2020-03-11,KTXBIGSP19,68.9,48.3,68,5.0,30.04,2020-03-11,118.98
11,2020-03-12,KTXBIGSP19,69.7,52.1,63,3.2,29.82,2020-03-12,122.86
12,2020-03-13,KTXBIGSP19,53.5,48.2,91,5.8,30.03,2020-03-13,119.23
13,2020-03-14,KTXBIGSP19,54.1,47.3,89,5.0,30.2,2020-03-14,103.56
14,2020-03-15,KTXBIGSP19,49.3,44.9,95,8.0,30.26,2020-03-15,82.13
15,2020-03-16,KTXBIGSP19,53.6,43.7,92,3.6,30.17,2020-03-16,95.42
16,2020-03-17,KTXBIGSP19,64.4,50.5,83,4.9,30.03,2020-03-17,96.19
17,2020-03-18,KTXBIGSP19,66.2,52.1,76,4.9,29.92,2020-03-18,93.12
18,2020-03-19,KTXBIGSP19,64.7,30.6,59,5.8,30.0,2020-03-19,91.06
19,2020-03-20,KTXBIGSP19,50.1,30.6,59,5.7,30.38,2020-03-20,89.12
20,2020-03-21,KTXBIGSP19,40.7,34.1,88,5.4,30.39,2020-03-21,64.17
21,2020-03-22,KTXBIGSP19,53.4,42.6,82,3.0,30.21,2020-03-22,55.53
22,2020-03-23,KTXBIGSP19,66.5,50.7,68,5.1,30.02,2020-03-23,76.19
23,2020-03-24,KTXBIGSP19,66.9,20.0,46,5.6,29.93,2020-03-24,84.73
24,2020-03-25,KTXBIGSP19,73.2,24.7,27,4.9,29.85,2020-03-25,79.19
25,2020-03-26,KTXBIGSP19,77.6,35.4,46,4.2,29.73,2020-03-26,75.12
26,2020-03-27,KTXBIGSP19,74.5,41.7,55,3.6,29.63,2020-03-27,77.21
27,2020-03-28,KTXBIGSP19,62.1,14.9,27,7.6,29.98,2020-03-28,57.4
28,2020-03-29,KTXBIGSP19,57.6,20.3,37,5.0,30.16,2020-03-29,52.55
29,2020-03-30,KTXBIGSP19,67.2,12.1,39,5.8,29.98,2020-03-30,71.02
30,2020-03-31,KTXBIGSP19,61.7,23.4,42,4.0,30.06,2020-03-31,76.95
31,2020-04-01,KTXBIGSP19,65.6,42.2,54,8.0,29.89,2020-04-01,75.8
32,2020-04-02,KTXBIGSP19,73.6,29.7,42,7.3,29.73,2020-04-02,72.45
33,2020-04-03,KTXBIGSP19,51.0,33.6,70,5.7,30.05,2020-04-03,74.14
34,2020-04-04,KTXBIGSP19,42.5,32.9,81,3.8,30.13,2020-04-04,48.95
35,2020-04-05,KTXBIGSP19,53.8,42.6,89,5.3,30.05,2020-04-05,46.03
36,2020-04-06,KTXBIGSP19,65.2,56.4,81,4.8,29.94,2020-04-06,66.07
37,2020-04-07,KTXBIGSP19,73.3,36.6,51,5.1,29.92,2020-04-07,74.65
38,2020-04-08,KTXBIGSP19,76.1,36.8,36,3.9,29.87,2020-04-08,75.38
39,2020-04-09,KTXBIGSP19,66.5,39.5,52,2.8,29.94,2020-04-09,69.62
40,2020-04-10,KTXBIGSP19,60.9,39.9,65,6.8,30.05,2020-04-10,65.95
41,2020-04-11,KTXBIGSP19,70.9,37.9,61,5.2,29.85,2020-04-11,54.33
42,2020-04-12,KTXBIGSP19,61.4,31.1,52,5.7,29.97,2020-04-12,39.57
43,2020-04-13,KTXBIGSP19,44.4,23.4,54,5.4,30.21,2020-04-13,68.75
44,2020-04-14,KTXBIGSP19,42.0,25.0,63,4.7,30.33,2020-04-14,70.99
45,2020-04-15,KTXBIGSP19,54.0,32.9,58,4.9,30.26,2020-04-15,75.13
46,2020-04-16,KTXBIGSP19,65.1,40.2,54,9.6,29.96,2020-04-16,73.56
47,2020-04-17,KTXBIGSP19,52.8,31.9,66,4.5,30.11,2020-04-17,72.76
48,2020-04-18,KTXBIGSP19,56.3,38.4,74,3.6,30.09,2020-04-18,61.08
49,2020-04-19,KTXBIGSP19,70.8,24.8,44,5.5,29.77,2020-04-19,52.02
50,2020-04-20,KTXBIGSP19,70.1,28.3,34,2.6,29.81,2020-04-20,71.04
51,2020-04-21,KTXBIGSP19,73.2,29.0,53,4.1,29.85,2020-04-21,69.33
52,2020-04-22,KTXBIGSP19,75.7,32.3,43,6.5,29.73,2020-04-22,73.56
53,2020-04-23,KTXBIGSP19,72.3,27.5,35,2.9,29.82,2020-04-23,75.01
54,2020-04-24,KTXBIGSP19,74.3,28.6,25,4.1,29.85,2020-04-24,80.1
55,2020-04-25,KTXBIGSP19,64.8,35.4,43,3.4,30.1,2020-04-25,57.42
56,2020-04-26,KTXBIGSP19,72.4,39.5,38,7.2,30.13,2020-04-26,54.17
57,2020-04-27,KTXBIGSP19,78.5,44.4,44,8.4,29.87,2020-04-27,70.38
58,2020-04-28,KTXBIGSP19,83.0,25.0,37,6.1,29.73,2020-04-28,79.29
59,2020-04-29,KTXBIGSP19,71.9,29.3,36,3.2,30.11,2020-04-29,77.76
60,2020-04-30,KTXBIGSP19,75.5,28.3,26,4.4,30.07,2020-04-30,77.28
61,2020-05-01,KTXBIGSP19,83.2,43.1,31,9.1,29.78,2020-05-01,84.06
62,2020-05-02,KTXBIGSP19,87.7,21.8,27,6.8,29.78,2020-05-02,65.94
63,2020-05-03,KTXBIGSP19,87.6,36.5,31,4.5,29.76,2020-05-03,58.36
64,2020-05-04,KTXBIGSP19,88.7,23.9,28,7.1,29.67,2020-05-04,78.64
65,2020-05-05,KTXBIGSP19,72.5,31.3,40,4.7,30.09,2020-05-05,75.16
