,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KTXCANYO151,50.4,16.2,36,8.0,26.07,2020-03-01,152.27
1,2020-03-02,KTXCANYO151,44.1,22.6,58,5.9,26.19,2020-03-02,117.75
2,2020-03-03,KTXCANYO151,46.8,19.2,54,5.0,26.21,2020-03-03,126.18
3,2020-03-04,KTXCANYO151,43.8,14.5,52,6.1,26.38,2020-03-04,120.02
4,2020-03-05,KTXCANYO151,43.9,20.1,55,9.5,26.69,2020-03-05,133.23
5,2020-03-06,KTXCANYO151,45.1,17.6,53,7.8,26.71,2020-03-06,167.75
6,2020-03-07,KTXCANYO151,52.3,28.0,52,12.1,26.52,2020-03-07,247.41
7,2020-03-08,KTXCANYO151,50.8,36.3,82,9.7,26.29,2020-03-08,213.05
8,2020-03-09,KTXCANYO151,53.1,37.6,71,8.1,26.42,2020-03-09,157.05
9,2020-03-10,KTXCANYO151,56.3,37.2,66,9.1,26.44,2020-03-10,146.76
10,2020-03-11,KTXCANYO151,56.8,35.1,60,7.1,26.36,2020-03-11,166.61
11,2020-03-12,KTXCANYO151,61.0,34.3,57,7.4,26.22,2020-03-12,209.81
12,2020-03-13,KTXCANYO151,42.1,34.3,91,7.3,26.32,2020-03-13,304.94
13,2020-03-14,KTXCANYO151,50.1,35.2,79,5.7,26.47,2020-03-14,325.53
14,2020-03-15,KTXCANYO151,40.0,37.6,99,4.2,26.55,2020-03-15,228.61
15,2020-03-16,KTXCANYO151,51.1,38.1,88,7.1,26.42,2020-03-16,253.73
16,2020-03-17,KTXCANYO151,53.2,47.8,97,6.1,26.34,2020-03-17,198.46
17,2020-03-18,KTXCANYO151,55.2,40.6,80,7.5,26.2,2020-03-18,212.8
18,2020-03-19,KTXCANYO151,53.4,29.3,66,16.3,26.38,2020-03-19,196.35
19,2020-03-20,KTXCANYO151,36.1,25.3,77,9.4,26.65,2020-03-20,207.13
20,2020-03-21,KTXCANYO151,37.9,28.2,85,6.0,26.58,2020-03-21,201.38
21,2020-03-22,KTXCANYO151,51.3,25.0,69,11.3,26.37,2020-03-22,156.65
22,2020-03-23,KTXCANYO151,53.4,35.8,74,5.2,26.31,2020-03-23,117.34
23,2020-03-24,KTXCANYO151,54.6,28.0,50,6.6,26.23,2020-03-24,108.91
24,2020-03-25,KTXCANYO151,58.4,22.3,47,9.9,26.19,2020-03-25,106.65
25,2020-03-26,KTXCANYO151,66.7,32.5,40,11.1,26.08,2020-03-26,95.54
26,2020-03-27,KTXCANYO151,59.3,25.2,52,10.4,26.05,2020-03-27,102.27
27,2020-03-28,KTXCANYO151,48.7,4.1,37,12.1,26.29,2020-03-28,109.24
28,2020-03-29,KTXCANYO151,47.0,21.7,53,5.5,26.41,2020-03-29,108.51
29,2020-03-30,KTXCANYO151,53.8,19.6,62,7.1,26.29,2020-03-30,76.9
30,2020-03-31,KTXCANYO151,54.1,27.7,60,6.0,26.36,2020-03-31,85.82
31,2020-04-01,KTXCANYO151,60.4,25.9,48,9.7,26.18,2020-04-01,81.36
32,2020-04-02,KTXCANYO151,59.6,19.8,49,11.0,26.2,2020-04-02,77.15
33,2020-04-03,KTXCANYO151,35.8,18.1,68,12.1,26.41,2020-04-03,78.69
34,2020-04-04,KTXCANYO151,42.0,21.6,66,3.3,26.36,2020-04-04,96.92
35,2020-04-05,KTXCANYO151,52.4,34.0,80,8.9,26.23,2020-04-05,84.85
